Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
127	GO:BP	GO:0001889	liver development	0.0061538492030978	True	"""The process whose specific outcome is the progression of the liver over time, from its formation to the mature structure. The liver is an exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes."" [GOC:add, ISBN:068340007X]"	141	99	6	15719	0.0606060606060606	0.0425531914893617	query_1	['GO:0048732', 'GO:0061008']	['CUL3', 'PTCH1', 'IHH', 'ZMPSTE24', 'RARA', 'PKD2']
128	GO:BP	GO:0031648	protein destabilization	0.006297872670164	True	"""Any process that decreases the stability of a protein, making it more vulnerable to degradative processes or aggregation."" [GOC:mah]"	50	99	4	15719	0.0404040404040404	0.08	query_1	['GO:0031647']	['CUL3', 'CREBBP', 'DERL1', 'EP300']
52	GO:CC	GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	0.0063265332268045	True	"""A multiprotein ATPase complex required for the efficient dislocation of ER-lumenal degradation substrates, and their subsequent proteolysis by the proteasome. In budding yeast, this complex includes Cdc48p, Npl4p and Ufd1p proteins. In mammals, this complex includes a hexamer of VCP/p97 (a cytosolic ATPase) and trimers of each of its cofactors UFD1L and NPL4 (NPLOC4) (e.g. a 6:3:3 stoichiometry)."" [PMID:11813000, PMID:16179952]"	8	100	2	16420	0.02	0.25	query_1	['GO:0005789', 'GO:0098796', 'GO:0140534']	['VCP', 'FAF2']
129	GO:BP	GO:0060548	negative regulation of cell death	0.0064090127398312	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	951	99	16	15719	0.1616161616161616	0.0168243953732912	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['IHH', 'NAA38', 'SELENOS', 'SYVN1', 'PPARD', 'DAD1', 'HSP90AB1', 'DDB1', 'HSP90B1', 'VHL', 'HIF1A', 'SHH', 'COPS5', 'PKHD1', 'HHIP', 'NAA35']
130	GO:BP	GO:0036294	cellular response to decreased oxygen levels	0.0064873666916285	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	143	99	6	15719	0.0606060606060606	0.0419580419580419	query_1	['GO:0036293', 'GO:0071453']	['EGLN3', 'PPARD', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1']
131	GO:BP	GO:0061008	hepaticobiliary system development	0.006684338802854	True	"""The progression of the hepaticobiliary system over time, from its formation to the mature structure. The hepaticobiliary system is responsible for metabolic and catabolic processing of small molecules absorbed from the blood or gut, hormones and serum proteins, detoxification, storage of glycogen, triglycerides, metals and lipid soluble vitamins and excretion of bile. Included are the synthesis of albumin, blood coagulation factors, complement, and specific binding proteins."" [GOC:dph]"	144	99	6	15719	0.0606060606060606	0.0416666666666666	query_1	['GO:0048731']	['CUL3', 'PTCH1', 'IHH', 'ZMPSTE24', 'RARA', 'PKD2']
82	REAC	REAC:R-HSA-917937	Iron uptake and transport	0.0067842284347066	True	Iron uptake and transport	57	83	4	10022	0.0481927710843373	0.0701754385964912	query_1	['REAC:R-HSA-382551']	['SKP1', 'NEDD8', 'CAND1', 'CUL1']
133	GO:BP	GO:0043170	macromolecule metabolic process	0.0069098318773405	True	"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	8561	99	71	15719	0.7171717171717171	0.0082934236654596	query_1	['GO:0071704']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'DAD1', 'LMO7', 'DHH', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'PKD2', 'CUL4A', 'TUSC3', 'CDX1', 'NAA35']
132	GO:BP	GO:0051223	regulation of protein transport	0.0069098318773405	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	501	99	11	15719	0.1111111111111111	0.0219560878243512	query_1	['GO:0015031', 'GO:0051049', 'GO:0070201']	['PPARD', 'DERL2', 'TAMALIN', 'OS9', 'UBE2J1', 'HIF1A', 'SHH', 'ERLEC1', 'SELENOK', 'HSPA8', 'FAM3D']
135	GO:BP	GO:0007165	signal transduction	0.0069098318773405	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5252	99	50	15719	0.5050505050505051	0.0095201827875095	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['CUL3', 'RXRA', 'PTCH1', 'MROH2B', 'IHH', 'SELENOS', 'SYVN1', 'CREBBP', 'PPARD', 'BOC', 'DHH', 'CYTH4', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'CYTH3', 'CYTH1', 'ZMPSTE24', 'TAMALIN', 'CYTH2', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'ARFRP1', 'VHL', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'AHR', 'ERLEC1', 'SELENOK', 'CUL5', 'COPS5', 'PKHD1', 'RARA', 'HHIP', 'FAM3D', 'CUL1', 'CUL2', 'FABP5', 'PKD2', 'CUL4A']
134	GO:BP	GO:0042981	regulation of apoptotic process	0.0069098318773405	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	1376	99	20	15719	0.202020202020202	0.0145348837209302	query_1	['GO:0006915', 'GO:0043067']	['EGLN3', 'IHH', 'NAA38', 'SELENOS', 'SYVN1', 'PPARD', 'DAD1', 'HSP90AB1', 'VCP', 'DDB1', 'HSP90B1', 'VHL', 'HIF1A', 'SHH', 'COPS5', 'PKHD1', 'RARA', 'DDX42', 'HHIP', 'NAA35']
83	REAC	REAC:R-HSA-8866654	E3 ubiquitin ligases ubiquitinate target proteins	0.0071550605303848	True	E3 ubiquitin ligases ubiquitinate target proteins	58	83	4	10022	0.0481927710843373	0.0689655172413793	query_1	['REAC:R-HSA-8852135']	['SELENOS', 'VCP', 'DERL1', 'UBE2D2']
136	GO:BP	GO:0030010	establishment of cell polarity	0.0074069839243312	True	"""The specification and formation of anisotropic intracellular organization or cell growth patterns."" [GOC:mah]"	148	99	6	15719	0.0606060606060606	0.0405405405405405	query_1	['GO:0007163']	['HSP90AB1', 'CYTH3', 'CYTH1', 'GBF1', 'SHH', 'PKHD1']
137	GO:BP	GO:0006473	protein acetylation	0.0074069839243312	True	"""The addition of an acetyl group to a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."" [GOC:ai]"	208	99	7	15719	0.0707070707070707	0.0336538461538461	query_1	['GO:0043543']	['NAA38', 'CREBBP', 'ZMPSTE24', 'NAA30', 'SHH', 'EP300', 'NAA35']
138	GO:BP	GO:0023051	regulation of signaling	0.0076067215700153	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3196	99	35	15719	0.3535353535353535	0.0109511889862327	query_1	['GO:0023052', 'GO:0050789']	['CUL3', 'RXRA', 'PTCH1', 'IHH', 'SELENOS', 'SYVN1', 'CREBBP', 'PPARD', 'ARF1', 'LMO7', 'DHH', 'CYTH4', 'CDON', 'HSP90AB1', 'VCP', 'CYTH3', 'CYTH1', 'ZMPSTE24', 'CYTH2', 'RBX1', 'VHL', 'HIF1A', 'GBF1', 'SHH', 'EP300', 'ARNT', 'SELENOK', 'COPS5', 'PKHD1', 'RARA', 'HHIP', 'FAM3D', 'FABP5', 'PKD2', 'CUL4A']
139	GO:BP	GO:0048754	branching morphogenesis of an epithelial tube	0.0076067215700153	True	"""The process in which the anatomical structures of branches in an epithelial tube are generated and organized. A tube is a long hollow cylinder."" [GOC:dgh, GOC:dph, GOC:jid]"	149	99	6	15719	0.0606060606060606	0.0402684563758389	query_1	['GO:0035239', 'GO:0060562', 'GO:0061138']	['PTCH1', 'IHH', 'SHH', 'PKHD1', 'HHIP', 'PKD2']
140	GO:BP	GO:0006807	nitrogen compound metabolic process	0.0076319315839167	True	"""The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."" [GOC:jl, ISBN:0198506732]"	8936	99	73	15719	0.7373737373737373	0.0081692032229185	query_1	['GO:0008152']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'DAD1', 'LMO7', 'DHH', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PKD2', 'CUL4A', 'TUSC3', 'CDX1', 'NAA35']
53	GO:CC	GO:0044294	dendritic growth cone	0.0079517999004177	True	"""The migrating motile tip of a growing nerve cell dendrite."" [GOC:jl]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0030426', 'GO:0044292']	['PTCH1', 'HSP90AB1']
141	GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	0.0080199539052224	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1963	99	25	15719	0.2525252525252525	0.0127356087620988	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']	['RXRA', 'PTCH1', 'IHH', 'CREBBP', 'PPARD', 'LMO7', 'CDON', 'HSP90AB1', 'VCP', 'CSDE1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'AHR', 'CAND1', 'ERCC8', 'COPS5', 'RARA', 'HSPA8', 'PKD2', 'CDX1']
144	GO:BP	GO:0071218	cellular response to misfolded protein	0.0080378238184522	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a misfolded protein stimulus."" [GOC:mah]"	23	99	3	15719	0.0303030303030303	0.1304347826086956	query_1	['GO:0035967', 'GO:0051788']	['CUL3', 'VCP', 'DERL1']
143	GO:BP	GO:0009314	response to radiation	0.0080378238184522	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]"	432	99	10	15719	0.101010101010101	0.0231481481481481	query_1	['GO:0009628']	['CUL4B', 'DDB2', 'CREBBP', 'ZMPSTE24', 'DDB1', 'RBX1', 'HIF1A', 'EP300', 'ERCC8', 'CUL4A']
142	GO:BP	GO:0140250	regulation protein catabolic process at synapse	0.0080378238184522	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein at the synapse."" [PMID:23083742]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0009894']	['CUL3', 'EGLN1']
84	REAC	REAC:R-HSA-73894	DNA Repair	0.0082382501046707	True	DNA Repair	329	83	9	10022	0.108433734939759	0.0273556231003039	query_1	['REAC:0000000']	['CUL4B', 'DDB2', 'VCP', 'DDB1', 'RBX1', 'EP300', 'ERCC8', 'COPS5', 'CUL4A']
54	GO:CC	GO:0098796	membrane protein complex	0.0082629541020488	True	"""Any protein complex that is part of a membrane."" [GOC:dos]"	1249	100	17	16420	0.17	0.0136108887109687	query_1	['GO:0016020', 'GO:0032991']	['SELENOS', 'SYVN1', 'STT3B', 'DAD1', 'DERL2', 'VCP', 'OS9', 'DERL1', 'DDOST', 'RPN1', 'SEL1L', 'STT3A', 'FAF2', 'MAGT1', 'RPN2', 'PKD2', 'TUSC3']
55	GO:CC	GO:0005622	intracellular anatomical structure	0.0083137596935571	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13702	100	94	16420	0.94	0.0068603123631586	query_1	['GO:0110165']	['CUL3', 'EGLN3', 'RXRA', 'LRIG3', 'PTCH1', 'PNPLA2', 'MROH2B', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'ARF1', 'DAD1', 'LMO7', 'DHH', 'GNL2', 'CYTH4', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'CYTH1', 'ARL1', 'ZMPSTE24', 'PLEKHA3', 'TAMALIN', 'SCOC', 'CYTH2', 'ELOB', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CYTIP', 'ARFRP1', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'PRCC', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'DDX42', 'NRAP', 'RPN2', 'HHIP', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'PKD2', 'CUL4A', 'SYS1', 'TUSC3', 'CDX1', 'NAA35']
146	GO:BP	GO:0043067	regulation of programmed cell death	0.0083819071756158	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	99	20	15719	0.202020202020202	0.0142348754448398	query_1	['GO:0010941', 'GO:0012501']	['EGLN3', 'IHH', 'NAA38', 'SELENOS', 'SYVN1', 'PPARD', 'DAD1', 'HSP90AB1', 'VCP', 'DDB1', 'HSP90B1', 'VHL', 'HIF1A', 'SHH', 'COPS5', 'PKHD1', 'RARA', 'DDX42', 'HHIP', 'NAA35']
145	GO:BP	GO:0048568	embryonic organ development	0.0083819071756158	True	"""Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:jid]"	435	99	10	15719	0.101010101010101	0.0229885057471264	query_1	['GO:0009790', 'GO:0048513']	['LRIG3', 'PTCH1', 'IHH', 'EGLN1', 'HIF1A', 'EPAS1', 'SHH', 'ARNT', 'RARA', 'PKD2']
147	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	0.009325885701773	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	99	18	15719	0.1818181818181818	0.0149750415973377	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['RXRA', 'IHH', 'CREBBP', 'PPARD', 'LMO7', 'CDON', 'EGLN1', 'HIF1A', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'AHR', 'CAND1', 'COPS5', 'RARA', 'PKD2', 'CDX1']
148	GO:BP	GO:0070201	regulation of establishment of protein localization	0.009342172592935	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a protein to a specific location."" [GOC:BHF, GOC:mah]"	526	99	11	15719	0.1111111111111111	0.0209125475285171	query_1	['GO:0032880', 'GO:0045184']	['PPARD', 'DERL2', 'TAMALIN', 'OS9', 'UBE2J1', 'HIF1A', 'SHH', 'ERLEC1', 'SELENOK', 'HSPA8', 'FAM3D']
152	GO:BP	GO:0071453	cellular response to oxygen levels	0.0098029591182405	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:mah]"	159	99	6	15719	0.0606060606060606	0.0377358490566037	query_1	['GO:0070482', 'GO:0070887']	['EGLN3', 'PPARD', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1']
151	GO:BP	GO:0001708	cell fate specification	0.0098029591182405	True	"""The cellular developmental process involved in cell fate commitment in which the cell is designated to follow a developmental path, unless they receive extrinsic cues that direct an alternative fate."" [GOC:go_curators]"	104	99	5	15719	0.0505050505050505	0.048076923076923	query_1	['GO:0045165', 'GO:0048869']	['PTCH1', 'IHH', 'DHH', 'CDON', 'SHH']
150	GO:BP	GO:0051641	cellular localization	0.0098029591182405	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3251	99	35	15719	0.3535353535353535	0.0107659181790218	query_1	['GO:0009987', 'GO:0051179']	['CUL3', 'PTCH1', 'SELENOS', 'SYVN1', 'PPARD', 'ARF1', 'DERL2', 'HSP90AB1', 'VCP', 'ARL1', 'ZMPSTE24', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'SELENOK', 'COPS5', 'PKHD1', 'DDX42', 'HSPA8', 'FAM3D', 'PLEKHA8', 'PKD2', 'SYS1']
149	GO:BP	GO:0051788	response to misfolded protein	0.0098029591182405	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a misfolded protein stimulus."" [GOC:go_curators]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0035966']	['CUL3', 'VCP', 'DERL1']
154	GO:BP	GO:1903050	regulation of proteolysis involved in protein catabolic process	0.0099623231759216	True	"""Any process that modulates the frequency, rate or extent of proteolysis involved in cellular catabolic process."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18307834]"	223	99	7	15719	0.0707070707070707	0.0313901345291479	query_1	['GO:0030162', 'GO:0051603']	['HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'RBX1', 'VHL', 'SHH']
153	GO:BP	GO:0009887	animal organ morphogenesis	0.0099623231759216	True	"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]"	1005	99	16	15719	0.1616161616161616	0.0159203980099502	query_1	['GO:0009653', 'GO:0048513']	['CUL3', 'LRIG3', 'PTCH1', 'IHH', 'CDON', 'ZMPSTE24', 'EGLN1', 'HIF1A', 'SHH', 'EP300', 'PKHD1', 'RARA', 'HHIP', 'CUL1', 'PKD2', 'CDX1']
155	GO:BP	GO:0032387	negative regulation of intracellular transport	0.010509261656568	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of substances within cells."" [GOC:mah]"	60	99	4	15719	0.0404040404040404	0.0666666666666666	query_1	['GO:0032386', 'GO:0046907', 'GO:0048523', 'GO:0051051']	['DERL2', 'OS9', 'UBE2J1', 'ERLEC1']
156	GO:BP	GO:0023052	signaling	0.010583117579001	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	5663	99	52	15719	0.5252525252525253	0.0091824121490376	query_1	['GO:0050789']	['CUL3', 'RXRA', 'PTCH1', 'MROH2B', 'IHH', 'SELENOS', 'SYVN1', 'CREBBP', 'PPARD', 'ARF1', 'BOC', 'LMO7', 'DHH', 'CYTH4', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'CYTH3', 'CYTH1', 'ZMPSTE24', 'TAMALIN', 'CYTH2', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'ARFRP1', 'VHL', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'AHR', 'ERLEC1', 'SELENOK', 'CUL5', 'COPS5', 'PKHD1', 'RARA', 'HHIP', 'FAM3D', 'CUL1', 'CUL2', 'FABP5', 'PKD2', 'CUL4A']
157	GO:BP	GO:0016540	protein autoprocessing	0.0106820417273812	True	"""Processing which a protein carries out itself. This involves actions such as the autolytic removal of residues to generate the mature form of the protein."" [GOC:ai, PMID:9335337]"	26	99	3	15719	0.0303030303030303	0.1153846153846153	query_1	['GO:0016485']	['IHH', 'DHH', 'SHH']
158	GO:BP	GO:0000082	G1/S transition of mitotic cell cycle	0.0107875258390645	True	"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]"	227	99	7	15719	0.0707070707070707	0.0308370044052863	query_1	['GO:0044772', 'GO:0044843']	['CUL3', 'CUL4B', 'CUL5', 'CUL1', 'CUL2', 'PKD2', 'CUL4A']
159	GO:BP	GO:0010941	regulation of cell death	0.0107875258390645	True	"""Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	1554	99	21	15719	0.2121212121212121	0.0135135135135135	query_1	['GO:0008219', 'GO:0050794']	['EGLN3', 'IHH', 'NAA38', 'SELENOS', 'SYVN1', 'PPARD', 'DAD1', 'HSP90AB1', 'VCP', 'DDB1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SHH', 'COPS5', 'PKHD1', 'RARA', 'DDX42', 'HHIP', 'NAA35']
160	GO:BP	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	0.0108452366131692	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced in response to a stimulus indicating endoplasmic reticulum (ER) stress, and ends when the execution phase of apoptosis is triggered. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."" [GOC:mah, GOC:mtg_apoptosis, PMID:18701708]"	61	99	4	15719	0.0404040404040404	0.0655737704918032	query_1	['GO:0034976', 'GO:0097193']	['SELENOS', 'SYVN1', 'DNAJC10', 'SELENOK']
161	GO:BP	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	0.0109796980678147	True	"""Any process that activates or increases the frequency, rate or extent of ubiquitin-dependent protein catabolic process."" [GOC:BHF]"	108	99	5	15719	0.0505050505050505	0.0462962962962962	query_1	['GO:0006511', 'GO:0009896', 'GO:1903052', 'GO:2000058']	['VCP', 'ELOB', 'ZYG11B', 'RBX1', 'VHL']
162	GO:BP	GO:0009059	macromolecule biosynthetic process	0.0110749014483192	True	"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	4375	99	43	15719	0.4343434343434343	0.0098285714285714	query_1	['GO:0043170', 'GO:1901576']	['CUL3', 'RXRA', 'PTCH1', 'IHH', 'SELENOS', 'CREBBP', 'STT3B', 'PPARD', 'DAD1', 'LMO7', 'CDON', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'UBE2J1', 'DDOST', 'CSDE1', 'RPN1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'CAND1', 'SELENOK', 'MAGT1', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'RPN2', 'HSPA8', 'PKD2', 'TUSC3', 'CDX1']
163	GO:BP	GO:0045445	myoblast differentiation	0.0113111395021918	True	"""The process in which a relatively unspecialized cell acquires specialized features of a myoblast. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into striated muscle fibers."" [CL:0000056, GOC:go_curators, GOC:mtg_muscle]"	109	99	5	15719	0.0505050505050505	0.0458715596330275	query_1	['GO:0030154', 'GO:0061061']	['PPARD', 'BOC', 'CDON', 'EPAS1', 'SHH']
56	GO:CC	GO:0034663	endoplasmic reticulum chaperone complex	0.01141807931306	True	"""A protein complex that is located in the endoplasmic reticulum and is composed of chaperone proteins, including BiP, GRP94; CaBP1, protein disulfide isomerase (PDI), ERdj3, cyclophilin B, ERp72, GRP170, UDP-glucosyltransferase, and SDF2-L1."" [PMID:12475965]"	11	100	2	16420	0.02	0.1818181818181818	query_1	['GO:0140534']	['DNAJC10', 'HSP90B1']
164	GO:BP	GO:0051246	regulation of protein metabolic process	0.0115411337307996	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2396	99	28	15719	0.2828282828282828	0.011686143572621	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['CUL3', 'EGLN3', 'LIMCH1', 'CUL4B', 'CDON', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'DDB1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'COPS5', 'RARA', 'PKD2', 'CUL4A']
