Keppen-Lubinsky syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
291	GO:BP	GO:0050772	positive regulation of axonogenesis	0.0015165835813416	True	"""Any process that activates or increases the frequency, rate or extent of axonogenesis."" [GOC:ai]"	79	100	5	17376	0.05	0.0632911392405063	query_1	['GO:0007409', 'GO:0031346', 'GO:0050769', 'GO:0050770']	['PLXNB1', 'PLXNA2', 'NRP1', 'SEMA4D', 'PLXNA1']
292	GO:BP	GO:0046968	peptide antigen transport	0.0015788931574307	True	"""The directed movement of a peptide antigen into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. The peptide antigen is typically, but not always, processed from an endogenous or exogenous protein."" [GOC:add, ISBN:0781735149, PMID:15771591]"	3	100	2	17376	0.02	0.6666666666666666	query_1	['GO:0015833', 'GO:0048002']	['CD209', 'CLEC4M']
293	GO:BP	GO:0014053	negative regulation of gamma-aminobutyric acid secretion	0.0015788931574307	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the regulated release of gamma-aminobutyric acid."" [GOC:ef]"	3	100	2	17376	0.02	0.6666666666666666	query_1	['GO:0014051', 'GO:0014052', 'GO:0051048', 'GO:0051956']	['GABBR1', 'HTR1B']
294	GO:BP	GO:0022604	regulation of cell morphogenesis	0.0015788931574307	True	"""Any process that modulates the frequency, rate or extent of cell morphogenesis. Cell morphogenesis is the developmental process in which the shape of a cell is generated and organized."" [GOC:isa_complete]"	250	100	8	17376	0.08	0.032	query_1	['GO:0000902', 'GO:0022603']	['PLXNB1', 'PLXNA2', 'FYN', 'RHOA', 'GNA13', 'SEMA4D', 'GNA12', 'PLXNA1']
295	GO:BP	GO:0003018	vascular process in circulatory system	0.0015788931574307	True	"""A circulatory process that occurs at the level of the vasculature."" [GOC:mtg_cardio]"	250	100	8	17376	0.08	0.032	query_1	['GO:0003013']	['TBXA2R', 'MTNR1B', 'ADRA2C', 'RHOA', 'HTR1B', 'HTR1D', 'HTR1A', 'ADRA2A']
296	GO:CC	GO:0097730	non-motile cilium	0.0016040306682584	True	"""A cilium which may have a variable array of axonemal microtubules but does not contain molecular motors."" [GOC:cilia, GOC:dgh, GOC:kmv, PMID:17009929, PMID:20144998, PMID:22118931]"	151	100	6	17376	0.06	0.0397350993377483	query_1	['GO:0005929']	['GNA11', 'GNAT2', 'GNB1', 'GNAT3', 'GNAQ', 'GNGT1']
297	GO:BP	GO:0007266	Rho protein signal transduction	0.0016774939546241	True	"""The series of molecular signals within the cell that are mediated by a member of the Rho family of proteins switching to a GTP-bound active state."" [GOC:bf]"	130	100	6	17376	0.06	0.0461538461538461	query_1	['GO:0007265']	['ARHGEF25', 'RHOA', 'GNA13', 'NRP1', 'GNA12', 'ADRA2A']
298	GO:BP	GO:0015833	peptide transport	0.0017348675030793	True	"""The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	254	100	8	17376	0.08	0.0314960629921259	query_1	['GO:0042886', 'GO:0071702']	['GNA11', 'PLCB1', 'CD209', 'MTNR1B', 'GABBR1', 'CLEC4M', 'GNAZ', 'ADRA2A']
299	GO:BP	GO:0015844	monoamine transport	0.0017348675030793	True	"""The directed movement of monoamines, organic compounds that contain one amino group that is connected to an aromatic ring by an ethylene group (-CH2-CH2-), into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	82	100	5	17376	0.05	0.0609756097560975	query_1	['GO:0071702', 'GO:0071705']	['GABBR1', 'ADRA2C', 'HTR1B', 'HTR1A', 'ADRA2A']
300	GO:BP	GO:0090066	regulation of anatomical structure size	0.0017937916455007	True	"""Any process that modulates the size of an anatomical structure."" [GOC:dph, GOC:tb]"	488	100	11	17376	0.11	0.0225409836065573	query_1	['GO:0065008']	['GNB3', 'TBXA2R', 'MTNR1B', 'ADRA2C', 'RHOA', 'HTR1B', 'HTR1D', 'NRP1', 'HTR1A', 'SEMA4D', 'ADRA2A']
301	GO:BP	GO:0071380	cellular response to prostaglandin E stimulus	0.0018430145103279	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin E stimulus."" [GOC:mah]"	17	100	3	17376	0.03	0.1764705882352941	query_1	['GO:0034695', 'GO:0071379', 'GO:0097306', 'GO:1901655']	['GNG2', 'GNAS', 'GNB1']
302	GO:BP	GO:0015693	magnesium ion transport	0.0018430145103279	True	"""The directed movement of magnesium (Mg) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	17	100	3	17376	0.03	0.1764705882352941	query_1	['GO:0030001']	['CNNM2', 'CNNM4', 'KCNJ2']
303	GO:CC	GO:0042734	presynaptic membrane	0.0018617400554806	True	"""A specialized area of membrane of the axon terminal that faces the plasma membrane of the neuron or muscle fiber with which the axon terminal establishes a synaptic junction; many synaptic junctions exhibit structural presynaptic characteristics, such as conical, electron-dense internal protrusions, that distinguish it from the remainder of the axon plasma membrane."" [GOC:jl, ISBN:0815316194]"	156	100	6	17376	0.06	0.0384615384615384	query_1	['GO:0097060', 'GO:0098793']	['GABBR1', 'KCTD16', 'KCNJ9', 'HTR1B', 'KCNJ3', 'ADRA2A']
304	REAC	REAC:R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade	0.0019643313021149	True	Inactivation, recovery and regulation of the phototransduction cascade	30	100	3	17376	0.03	0.1	query_1	['REAC:R-HSA-2514856']	['PRKCA', 'GNB1', 'GNGT1']
305	GO:BP	GO:0007155	cell adhesion	0.0019955347977022	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1407	100	20	17376	0.2	0.0142146410803127	query_1	['GO:0009987']	['TRO', 'ICAM3', 'PLXNB1', 'PLXNA2', 'PRKCA', 'CD209', 'PTK7', 'ICAM2', 'FYN', 'RHOA', 'BTN2A2', 'P2RY12', 'GNAS', 'RIC8A', 'CLEC4M', 'S1PR1', 'NRP1', 'FARP2', 'SEMA4D', 'PLXNA1']
306	GO:BP	GO:0055085	transmembrane transport	0.0020617828387207	True	"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]"	1411	100	20	17376	0.2	0.0141743444365698	query_1	['GO:0006810', 'GO:0009987']	['KCNJ16', 'CNNM2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'CNNM4', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
307	GO:BP	GO:0098916	anterograde trans-synaptic signaling	0.002074544088392	True	"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]"	679	100	13	17376	0.13	0.0191458026509572	query_1	['GO:0099537']	['GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'KCNJ10', 'HTR1B', 'HTR1D', 'GABBR2', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
308	GO:BP	GO:0060191	regulation of lipase activity	0.002074544088392	True	"""Any process that modulates the frequency, rate or extent of lipase activity, the hydrolysis of a lipid or phospholipid."" [GOC:dph, GOC:tb]"	86	100	5	17376	0.05	0.0581395348837209	query_1	['GO:0051336']	['GNA15', 'RHOA', 'P2RY12', 'GNA13', 'GNAQ']
309	GO:BP	GO:0007268	chemical synaptic transmission	0.002074544088392	True	"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]"	679	100	13	17376	0.13	0.0191458026509572	query_1	['GO:0098916']	['GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'KCNJ10', 'HTR1B', 'HTR1D', 'GABBR2', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
310	GO:BP	GO:0061383	trabecula morphogenesis	0.0021005614607462	True	"""The process of shaping a trabecula in an organ. A trabecula is a small, often microscopic, tissue element in the form of a small beam, strut or rod, which generally has a mechanical function. Trabecula are usually but not necessarily, composed of dense collagenous tissue."" [GOC:dph]"	46	100	4	17376	0.04	0.0869565217391304	query_1	['GO:0009653']	['PLXNB1', 'RHOA', 'S1PR1', 'SEMA4D']
311	GO:BP	GO:0042886	amide transport	0.0021037026299975	True	"""The directed movement of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl, ISBN:0198506732]"	337	100	9	17376	0.09	0.0267062314540059	query_1	['GO:0071705']	['GNA11', 'PLCB1', 'CD209', 'MTNR1B', 'GABBR1', 'KCNJ10', 'CLEC4M', 'GNAZ', 'ADRA2A']
312	REAC	REAC:R-HSA-2514856	The phototransduction cascade	0.0021438707690798	True	The phototransduction cascade	31	100	3	17376	0.03	0.0967741935483871	query_1	['REAC:R-HSA-2187338']	['PRKCA', 'GNB1', 'GNGT1']
313	GO:CC	GO:0043235	receptor complex	0.002246635367607	True	"""Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:go_curators]"	466	100	10	17376	0.1	0.0214592274678111	query_1	['GO:0032991']	['PLXNB1', 'PLXNA2', 'GABBR1', 'KCTD16', 'MTNR1A', 'HTR1B', 'GABBR2', 'NRP1', 'ADRA2A', 'PLXNA1']
314	GO:BP	GO:0099537	trans-synaptic signaling	0.0022565154697979	True	"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]"	686	100	13	17376	0.13	0.0189504373177842	query_1	['GO:0099536']	['GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'KCNJ10', 'HTR1B', 'HTR1D', 'GABBR2', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
315	GO:CC	GO:0031982	vesicle	0.0023735215472358	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3792	100	37	17376	0.37	0.0097573839662447	query_1	['GO:0043227']	['GNB3', 'GNA11', 'TBXA2R', 'GNG5', 'ICAM3', 'PRKCA', 'GNAI2', 'ANKRD13B', 'PLCB1', 'GNAL', 'GNB4', 'GABBR1', 'RAP1GAP', 'GNG2', 'FYN', 'PDZK1', 'ADRA2C', 'RHOA', 'GNG7', 'KCNJ4', 'GNAS', 'GNB2', 'GCGR', 'GNG12', 'OCIAD1', 'BTK', 'GNB1', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'NRP1', 'MAGED2', 'GNAI1', 'GNAQ', 'GNG4', 'PLXNA1']
316	GO:BP	GO:0043547	positive regulation of GTPase activity	0.0023876941922862	True	"""Any process that activates or increases the activity of a GTPase."" [GOC:jl, GOC:mah]"	269	100	8	17376	0.08	0.0297397769516728	query_1	['GO:0043087', 'GO:0051345']	['PLXNB1', 'GNB5', 'RAP1GAP', 'GNAS', 'S1PR1', 'SEMA4D', 'RGS7', 'RGS14']
317	GO:BP	GO:0035556	intracellular signal transduction	0.0024216403270524	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2546	100	29	17376	0.29	0.0113904163393558	query_1	['GO:0007165']	['TBXA2R', 'ARHGEF25', 'PLXNB1', 'PRKCA', 'GNAI2', 'PLCB1', 'CD209', 'MTNR1B', 'RAP1GAP', 'FYN', 'ADRA2C', 'RHOA', 'BTN2A2', 'P2RY12', 'GNAS', 'CLEC4M', 'PLCB3', 'BTK', 'ADCY3', 'GNB1', 'GNA13', 'NRP1', 'GNAI1', 'FARP2', 'SEMA4D', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
318	GO:BP	GO:0051179	localization	0.0024218517166931	True	"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"	4982	100	46	17376	0.46	0.009233239662786	query_1	['GO:0008150']	['KCNJ16', 'GNA11', 'ICAM3', 'PLXNA2', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'CD209', 'MTNR1B', 'GABBR1', 'FYN', 'PDZK1', 'ADRA2C', 'CNNM4', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNAS', 'GNB2', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'OCIAD1', 'BTK', 'KCNJ2', 'GNAI3', 'KCNJ3', 'NRP1', 'MAGED2', 'GNAI1', 'GNAZ', 'KCNJ14', 'HTR1A', 'KCNJ12', 'GNGT1', 'ADRA2A', 'RGS7', 'RGS14']
319	GO:BP	GO:0051051	negative regulation of transport	0.0024218517166931	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	425	100	10	17376	0.1	0.0235294117647058	query_1	['GO:0006810', 'GO:0048519', 'GO:0051049']	['GNAI2', 'GNB5', 'ANKRD13B', 'MTNR1B', 'GABBR1', 'ADRA2C', 'HTR1B', 'PTGER3', 'GNAZ', 'ADRA2A']
320	GO:BP	GO:0007600	sensory perception	0.0024218517166931	True	"""The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai, GOC:dph]"	599	100	12	17376	0.12	0.020033388981636	query_1	['GO:0050877']	['GNG13', 'GNAL', 'FYN', 'CNNM4', 'PDCL', 'KCNJ10', 'GNAS', 'ADCY3', 'GNAT2', 'GNB1', 'GNAT3', 'ADRA2A']
321	REAC	REAC:R-HSA-390696	Adrenoceptors	0.0025762846218388	True	Adrenoceptors	8	100	2	17376	0.02	0.25	query_1	['REAC:R-HSA-375280']	['ADRA2C', 'ADRA2A']
322	GO:BP	GO:0050909	sensory perception of taste	0.0027853943886351	True	"""The series of events required for an organism to receive a gustatory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Gustation involves the direct detection of chemical composition, usually through contact with chemoreceptor cells. This is a neurological process."" [GOC:ai]"	50	100	4	17376	0.04	0.08	query_1	['GO:0007606']	['GNG13', 'GNAT2', 'GNB1', 'GNAT3']
323	GO:BP	GO:0060666	dichotomous subdivision of terminal units involved in salivary gland branching	0.002786871983382	True	"""The process in which a salivary epithelial cord bifurcates at its end."" [GOC:dph]"	4	100	2	17376	0.02	0.5	query_1	['GO:0060445', 'GO:0060600']	['NRP1', 'PLXNA1']
324	GO:CC	GO:0045121	membrane raft	0.0030290156285047	True	"""Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions."" [PMID:16645198, PMID:20044567]"	318	100	8	17376	0.08	0.0251572327044025	query_1	['GO:0098857']	['GNAI2', 'GABBR1', 'FYN', 'PDZK1', 'BTK', 'GNAI3', 'S1PR1', 'RGS7']
325	GO:CC	GO:0098857	membrane microdomain	0.0030290156285047	True	"""A membrane region with a lipid composition that is distinct from that of the membrane regions that surround it."" [PMID:20044567, PMID:26253820]"	319	100	8	17376	0.08	0.0250783699059561	query_1	['GO:0016020']	['GNAI2', 'GABBR1', 'FYN', 'PDZK1', 'BTK', 'GNAI3', 'S1PR1', 'RGS7']
326	REAC	REAC:R-HSA-422475	Axon guidance	0.0031050003452301	True	Axon guidance	540	100	10	17376	0.1	0.0185185185185185	query_1	['REAC:R-HSA-9675108']	['PLXNB1', 'PLXNA2', 'PRKCA', 'RAP1GAP', 'FYN', 'RHOA', 'NRP1', 'FARP2', 'SEMA4D', 'PLXNA1']
327	GO:BP	GO:0086013	membrane repolarization during cardiac muscle cell action potential	0.0032383478573207	True	"""The process in which ions are transported across a membrane such that the cardiac muscle cell plasma membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]"	21	100	3	17376	0.03	0.1428571428571428	query_1	['GO:0086001', 'GO:0086011', 'GO:0099622']	['KCNJ5', 'KCNJ2', 'KCNJ3']
328	GO:BP	GO:0097306	cellular response to alcohol	0.003416581003054	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr]"	97	100	5	17376	0.05	0.0515463917525773	query_1	['GO:0071310', 'GO:0097305', 'GO:1901701']	['GNG2', 'GNAS', 'ADCY3', 'GNB1', 'GNAI1']
329	GO:BP	GO:0010518	positive regulation of phospholipase activity	0.0034203956935109	True	"""Any process that increases the frequency, rate or extent of phospholipase activity, the hydrolysis of a phospholipid."" [GOC:BHF, GOC:dph, GOC:tb]"	53	100	4	17376	0.04	0.0754716981132075	query_1	['GO:0010517', 'GO:0060193']	['GNA15', 'P2RY12', 'GNA13', 'GNAQ']
330	GO:CC	GO:0031253	cell projection membrane	0.0034815890140779	True	"""The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection."" [GOC:krc, GOC:mah]"	327	100	8	17376	0.08	0.0244648318042813	query_1	['GO:0098590', 'GO:0120025']	['GABBR1', 'PDZK1', 'RHOA', 'P2RY12', 'ADCY3', 'GNAT2', 'GNA13', 'GNA12']
331	GO:BP	GO:0065009	regulation of molecular function	0.0035452042302396	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	2477	100	28	17376	0.28	0.0113039967702866	query_1	['GO:0065007']	['PLXNB1', 'PLXNA2', 'GNAI2', 'GNB5', 'GNA15', 'MTNR1B', 'GABBR1', 'RAP1GAP', 'FYN', 'PDZK1', 'ADRA2C', 'RHOA', 'P2RY12', 'GNG7', 'GNAS', 'BTK', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'NRP1', 'GNAQ', 'SEMA4D', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'RGS14']
332	GO:BP	GO:0009583	detection of light stimulus	0.0036357671272563	True	"""The series of events in which a light stimulus (in the form of photons) is received and converted into a molecular signal."" [GOC:go_curators]"	54	100	4	17376	0.04	0.074074074074074	query_1	['GO:0009416', 'GO:0009581', 'GO:0009582']	['GNA11', 'GNAT2', 'GNAQ', 'GNGT1']
333	GO:BP	GO:0071379	cellular response to prostaglandin stimulus	0.0036357671272563	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin stimulus."" [GOC:mah]"	22	100	3	17376	0.03	0.1363636363636363	query_1	['GO:0032870', 'GO:0034694', 'GO:0071396']	['GNG2', 'GNAS', 'GNB1']
334	GO:BP	GO:0043266	regulation of potassium ion transport	0.0038343870679631	True	"""Any process that modulates the frequency, rate or extent of the directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]"	100	100	5	17376	0.05	0.05	query_1	['GO:0006813', 'GO:0010959']	['MTNR1B', 'GNB2', 'KCNJ2', 'ADRA2A', 'RGS7']
335	GO:CC	GO:0038037	G protein-coupled receptor dimeric complex	0.0038396639957393	True	"""A protein complex that contains two G protein-coupled receptors."" [GOC:al, GOC:bf, PMID:10713101]"	7	100	2	17376	0.02	0.2857142857142857	query_1	['GO:0097648']	['GABBR1', 'GABBR2']
336	GO:BP	GO:0050433	regulation of catecholamine secretion	0.0038460216640311	True	"""Any process that modulates the frequency, rate or extent of the regulated release of catecholamines."" [GOC:ai]"	55	100	4	17376	0.04	0.0727272727272727	query_1	['GO:0050432', 'GO:0051952', 'GO:1903530']	['GABBR1', 'ADRA2C', 'HTR1B', 'ADRA2A']
337	GO:CC	GO:0045211	postsynaptic membrane	0.0038526219001805	True	"""A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane."" [ISBN:0198506732]"	256	100	7	17376	0.07	0.02734375	query_1	['GO:0097060', 'GO:0098794']	['GABBR1', 'KCTD16', 'KCNJ4', 'KCNJ2', 'GABBR2', 'NRP1', 'ADRA2A']
338	GO:BP	GO:0008150	biological_process	0.0039905256276369	True	"""A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."" [GOC:pdt]"	15627	100	99	17376	0.99	0.0063351890957957	query_1	[]	['TTC39A', 'TRO', 'KCNJ16', 'GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'ICAM3', 'PLXNB1', 'PLXNA2', 'CNNM2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'RAP1GAP', 'GNG2', 'PTK7', 'ICAM2', 'FYN', 'KCTD16', 'MTNR1A', 'PDZK1', 'ADRA2C', 'CNNM4', 'PDCL', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'KCNJ9', 'KCNJ4', 'TMEM161B', 'KCNJ5', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'PLCB3', 'GNG12', 'HTR1D', 'OCIAD1', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'MAGED2', 'GPR26', 'GPR39', 'GNAI1', 'FARP2', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'TYW1B', 'SEMA4D', 'GNG4', 'KCNJ12', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
339	REAC	REAC:R-HSA-170660	Adenylate cyclase activating pathway	0.004028885352681	True	Adenylate cyclase activating pathway	10	100	2	17376	0.02	0.2	query_1	['REAC:R-HSA-112040']	['GNAL', 'ADCY3']
340	GO:BP	GO:0023061	signal release	0.0042087874890729	True	"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]"	459	100	10	17376	0.1	0.0217864923747276	query_1	['GO:0007267', 'GO:0032940']	['GNA11', 'PLCB1', 'MTNR1B', 'GABBR1', 'ADRA2C', 'HTR1B', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
341	REAC	REAC:R-HSA-9675108	Nervous system development	0.0042136957252583	True	Nervous system development	564	100	10	17376	0.1	0.0177304964539007	query_1	['REAC:R-HSA-1266738']	['PLXNB1', 'PLXNA2', 'PRKCA', 'RAP1GAP', 'FYN', 'RHOA', 'NRP1', 'FARP2', 'SEMA4D', 'PLXNA1']
342	GO:BP	GO:0010700	negative regulation of norepinephrine secretion	0.0042785412092501	True	"""Any process that decreases the frequency, rate or extent of the regulated release of norepinephrine."" [GOC:dph, GOC:tb]"	5	100	2	17376	0.02	0.4	query_1	['GO:0014061', 'GO:0033604', 'GO:0048243']	['ADRA2C', 'ADRA2A']
343	GO:BP	GO:0150099	neuron-glial cell signaling	0.0042785412092501	True	"""Cell-cell signaling that mediates the transfer of information from a neuron to a glial cell. This signalling has been shown to be mediated by various molecules released by different types of neurons, e.g. glutamate, gamma-amino butyric acid (GABA), noradrenaline, acetylcholine, dopamine and adenosine."" [GOC:aruk, GOC:bc, PMID:10195197, PMID:10196584, PMID:10377338, PMID:10493741, PMID:11356870, PMID:11399439, PMID:15252819, PMID:27788368]"	5	100	2	17376	0.02	0.4	query_1	['GO:0007267']	['GABBR1', 'GABBR2']
344	GO:BP	GO:0050432	catecholamine secretion	0.0042785412092501	True	"""The regulated release of catecholamines by a cell. The catecholamines are a group of physiologically important biogenic amines that possess a catechol (3,4-dihydroxyphenyl) nucleus and are derivatives of 3,4-dihydroxyphenylethylamine."" [GOC:ai, GOC:ef]"	57	100	4	17376	0.04	0.0701754385964912	query_1	['GO:0032940', 'GO:0051937']	['GABBR1', 'ADRA2C', 'HTR1B', 'ADRA2A']
345	GO:BP	GO:0035624	receptor transactivation	0.0042785412092501	True	"""The process in which a receptor is activated by another receptor. Receptor transactivation can occur through different mechanisms and includes cross-talk between signaling pathways where one receptor activates a receptor for a different ligand, and also activation of subunits within a receptor oligomer."" [GOC:al, GOC:bf, GOC:BHF, PMID:16870826, PMID:21063387]"	5	100	2	17376	0.02	0.4	query_1	['GO:2000273']	['ADRA2C', 'ADRA2A']
346	GO:BP	GO:0046879	hormone secretion	0.0042785412092501	True	"""The regulated release of hormones, substances with a specific regulatory effect on a particular organ or group of cells."" [ISBN:0198506732]"	298	100	8	17376	0.08	0.0268456375838926	query_1	['GO:0009914', 'GO:0023061']	['GNA11', 'PLCB1', 'MTNR1B', 'GABBR1', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
347	GO:BP	GO:0140352	export from cell	0.0042895063164929	True	"""The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."" [GOC:pg]"	843	100	14	17376	0.14	0.0166073546856465	query_1	['GO:0006810', 'GO:0009987']	['GNA11', 'GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'PDZK1', 'ADRA2C', 'GNAS', 'HTR1B', 'GCGR', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
348	REAC	REAC:R-HSA-2980736	Peptide hormone metabolism	0.0044011332965612	True	Peptide hormone metabolism	87	100	4	17376	0.04	0.0459770114942528	query_1	['REAC:R-HSA-392499']	['GNB3', 'GNG13', 'GNB1', 'GNAT3']
349	REAC	REAC:R-HSA-2485179	Activation of the phototransduction cascade	0.0047655759759591	True	Activation of the phototransduction cascade	11	100	2	17376	0.02	0.1818181818181818	query_1	['REAC:R-HSA-2514856']	['GNB1', 'GNGT1']
350	GO:BP	GO:1904752	regulation of vascular associated smooth muscle cell migration	0.0049944227622205	True	"""Any process that modulates the frequency, rate or extent of vascular associated smooth muscle cell migration."" [GO_REF:0000058, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:20693317]"	25	100	3	17376	0.03	0.12	query_1	['GO:0014910', 'GO:1904738']	['RHOA', 'GNA13', 'GNA12']
351	GO:BP	GO:0043931	ossification involved in bone maturation	0.0049944227622205	True	"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone, involved in the progression of the skeleton from its formation to its mature state."" [GOC:dph, GOC:mah, GOC:mtg_mpo]"	25	100	3	17376	0.03	0.12	query_1	['GO:0001503', 'GO:0070977']	['PLXNB1', 'RHOA', 'SEMA4D']
