Vascular Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
600	GO:BP	GO:0001954	positive regulation of cell-matrix adhesion	0.0001363926762265	True	"""Any process that activates or increases the rate or extent of cell adhesion to an extracellular matrix."" [GOC:hjd]"	54	99	5	15719	0.0505050505050505	0.0925925925925925	query_1	['GO:0001952', 'GO:0007160', 'GO:0010811']	['ITGB3', 'KDR', 'VEGFA', 'PTK2B', 'NRP1']
601	GO:BP	GO:2000177	regulation of neural precursor cell proliferation	0.0001423997134961	True	"""Any process that modulates the frequency, rate or extent of neural precursor cell proliferation."" [GOC:dph, GOC:yaf]"	91	99	6	15719	0.0606060606060606	0.0659340659340659	query_1	['GO:0042127', 'GO:0061351']	['RAPGEF1', 'ITGB1', 'VEGFC', 'CTNNB1', 'LYN', 'VEGFA']
602	GO:BP	GO:0018126	protein hydroxylation	0.00014254551694	True	"""The addition of a hydroxy group to a protein amino acid."" [GOC:ai]"	27	99	4	15719	0.0404040404040404	0.1481481481481481	query_1	['GO:0036211']	['P4HB', 'P4HA3', 'P4HA2', 'P4HA1']
603	GO:BP	GO:0030900	forebrain development	0.0001451065407767	True	"""The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions)."" [http://www2.merriam-webster.com/cgi-bin/mwmednlm?book=Medical&va=forebrain]"	375	99	11	15719	0.1111111111111111	0.0293333333333333	query_1	['GO:0007420', 'GO:0048856']	['SRC', 'CRK', 'CTNNB1', 'COL3A1', 'FYN', 'NRP2', 'EGFR', 'CDH1', 'CRKL', 'NRP1', 'PLXNA1']
604	GO:BP	GO:2000179	positive regulation of neural precursor cell proliferation	0.0001483004274642	True	"""Any process that activates or increases the frequency, rate or extent of neural precursor cell proliferation."" [GOC:dph, GOC:yaf]"	55	99	5	15719	0.0505050505050505	0.0909090909090909	query_1	['GO:0008284', 'GO:0061351', 'GO:2000177']	['ITGB1', 'VEGFC', 'CTNNB1', 'LYN', 'VEGFA']
605	GO:BP	GO:0031323	regulation of cellular metabolic process	0.0001506727888863	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	5085	99	52	15719	0.5252525252525253	0.0102261553588987	query_1	['GO:0019222', 'GO:0044237', 'GO:0050794']	['MET', 'NCK1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'ITGA5', 'FYN', 'LAT', 'LYN', 'SHB', 'GRB2', 'PDGFRB', 'LCP2', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'DOCK3', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
606	GO:BP	GO:0045216	cell-cell junction organization	0.0001544588022953	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	189	99	8	15719	0.0808080808080808	0.0423280423280423	query_1	['GO:0034330']	['SRC', 'TGFB3', 'CTNNB1', 'JAM3', 'VCL', 'CDH1', 'VEGFA', 'TLN1']
154	REAC	REAC:R-HSA-1474228	Degradation of the extracellular matrix	0.0001572069308623	True	Degradation of the extracellular matrix	133	98	8	10022	0.0816326530612244	0.0601503759398496	query_1	['REAC:R-HSA-1474244']	['FN1', 'SPP1', 'COL3A1', 'COL1A2', 'COL10A1', 'CDH1', 'COL1A1', 'ADAM15']
156	REAC	REAC:R-HSA-5654716	Downstream signaling of activated FGFR4	0.0001572069308623	True	Downstream signaling of activated FGFR4	21	98	4	10022	0.0408163265306122	0.1904761904761904	query_1	['REAC:R-HSA-5654743']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11']
155	REAC	REAC:R-HSA-5654687	Downstream signaling of activated FGFR1	0.0001572069308623	True	Downstream signaling of activated FGFR1	21	98	4	10022	0.0408163265306122	0.1904761904761904	query_1	['REAC:R-HSA-5654736']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11']
157	REAC	REAC:R-HSA-388841	Costimulation by the CD28 family	0.0001594079163415	True	Costimulation by the CD28 family	67	98	6	10022	0.0612244897959183	0.0895522388059701	query_1	['REAC:R-HSA-1280218']	['PIK3R1', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11']
607	GO:BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.0001598932683326	True	"""Any process that modulates the frequency, rate or extent of signaling via a stress-activated protein kinase signaling cascade."" [GOC:mah]"	190	99	8	15719	0.0808080808080808	0.0421052631578947	query_1	['GO:0031098', 'GO:0080135', 'GO:1902531']	['RAPGEF1', 'CRK', 'HGF', 'FLT4', 'LYN', 'EGFR', 'VEGFA', 'PTK2B']
608	GO:BP	GO:0051495	positive regulation of cytoskeleton organization	0.0001598932683326	True	"""Any process that activates or increases the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]"	190	99	8	15719	0.0808080808080808	0.0421052631578947	query_1	['GO:0007010', 'GO:0010638', 'GO:0051493']	['MET', 'NCK1', 'TGFB3', 'PXN', 'GRB2', 'PTK2B', 'NRP1', 'NCK2']
610	GO:BP	GO:0002052	positive regulation of neuroblast proliferation	0.0001630678085595	True	"""Any process that activates or increases the rate of neuroblast proliferation."" [GOC:dph]"	28	99	4	15719	0.0404040404040404	0.1428571428571428	query_1	['GO:0007405', 'GO:0050769', 'GO:1902692', 'GO:2000179']	['ITGB1', 'VEGFC', 'CTNNB1', 'VEGFA']
611	GO:BP	GO:0060055	angiogenesis involved in wound healing	0.0001630678085595	True	"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels and contribute to the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:dph, PMID:15039218]"	28	99	4	15719	0.0404040404040404	0.1428571428571428	query_1	['GO:0001525', 'GO:0042060']	['VEGFB', 'ITGB3', 'KDR', 'VEGFA']
609	GO:BP	GO:0031954	positive regulation of protein autophosphorylation	0.0001630678085595	True	"""Any process that activates or increases the frequency, rate or extent of the phosphorylation by a protein of one or more of its own residues."" [GOC:mah]"	28	99	4	15719	0.0404040404040404	0.1428571428571428	query_1	['GO:0001934', 'GO:0031952', 'GO:0046777']	['PDGFB', 'SRC', 'VEGFC', 'VEGFA']
612	GO:BP	GO:0034614	cellular response to reactive oxygen species	0.0001654836311843	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."" [GOC:mah]"	139	99	7	15719	0.0707070707070707	0.0503597122302158	query_1	['GO:0000302', 'GO:0034599', 'GO:1901701']	['MET', 'SRC', 'HGF', 'PXN', 'FYN', 'EGFR', 'PDGFRA']
613	GO:BP	GO:0055123	digestive system development	0.0001654836311843	True	"""The process whose specific outcome is the progression of the digestive system over time, from its formation to the mature structure. The digestive system is the entire structure in which digestion takes place. Digestion is all of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism."" [GOC:jid]"	139	99	7	15719	0.0707070707070707	0.0503597122302158	query_1	['GO:0048731']	['SRC', 'TGFB3', 'CTNNB1', 'COL3A1', 'EGFR', 'CRKL', 'PDGFRA']
158	REAC	REAC:R-HSA-8851805	MET activates RAS signaling	0.0001669226382336	True	MET activates RAS signaling	8	98	3	10022	0.0306122448979591	0.375	query_1	['REAC:R-HSA-6806834']	['MET', 'HGF', 'SOS1']
159	REAC	REAC:R-HSA-416550	Sema4D mediated inhibition of cell attachment and migration	0.0001669226382336	True	Sema4D mediated inhibition of cell attachment and migration	8	98	3	10022	0.0306122448979591	0.375	query_1	['REAC:R-HSA-400685']	['MET', 'PLXNB1', 'SEMA4D']
614	GO:BP	GO:0030516	regulation of axon extension	0.0001677004642866	True	"""Any process that modulates the rate, direction or extent of axon extension."" [GOC:go_curators]"	94	99	6	15719	0.0606060606060606	0.0638297872340425	query_1	['GO:0048638', 'GO:0048675', 'GO:0061387']	['FN1', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D']
615	GO:BP	GO:0071345	cellular response to cytokine stimulus	0.0001678807240224	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]"	781	99	16	15719	0.1616161616161616	0.0204865556978233	query_1	['GO:0034097', 'GO:0071310']	['P4HB', 'PDGFB', 'SRC', 'VEGFC', 'SOS1', 'ITGA4', 'LYN', 'NRP2', 'SYK', 'PTK2B', 'COL1A1', 'CRKL', 'VCAM1', 'THBS1', 'CBL', 'PTPN11']
616	GO:BP	GO:0086100	endothelin receptor signaling pathway	0.0001687933856255	True	"""A G protein-coupled receptor signaling pathway initiated by endothelin binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:BHF, GOC:mtg_cardiac_conduct_nov11, PMID:10977869]"	10	99	3	15719	0.0303030303030303	0.3	query_1	['GO:0007186']	['BCAR1', 'PTK2B', 'CRKL']
617	GO:BP	GO:0010812	negative regulation of cell-substrate adhesion	0.0001730128824619	True	"""Any process that decreases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	57	99	5	15719	0.0505050505050505	0.087719298245614	query_1	['GO:0007162', 'GO:0010810', 'GO:0031589']	['SRC', 'PIK3R1', 'COL1A1', 'THBS1', 'ADAM15']
618	GO:BP	GO:0045927	positive regulation of growth	0.0001731595261308	True	"""Any process that activates or increases the rate or extent of growth, the increase in size or mass of all or part of an organism."" [GOC:go_curators]"	251	99	9	15719	0.0909090909090909	0.0358565737051792	query_1	['GO:0040007', 'GO:0040008', 'GO:0048518']	['FN1', 'CRK', 'EGFR', 'ERBB2', 'VEGFA', 'PTK2B', 'L1CAM', 'NRP1', 'SEMA4D']
619	GO:BP	GO:0051248	negative regulation of protein metabolic process	0.0001756862756554	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."" [GOC:ai]"	966	99	18	15719	0.1818181818181818	0.0186335403726708	query_1	['GO:0010605', 'GO:0019538', 'GO:0051172', 'GO:0051246']	['NCK1', 'ITGAV', 'SRC', 'ITGB3', 'HGF', 'CTNNB1', 'FYN', 'LYN', 'SHB', 'EGFR', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'THBS1', 'CBL', 'NCK2', 'SEMA4D']
66	GO:CC	GO:0098643	banded collagen fibril	0.0001833840223842	True	"""A supramolecular assembly of fibrillar collagen complexes in the form of a long fiber (fibril) with transverse striations (bands)."" [GOC:dos, PMID:21421911]"	11	99	3	16420	0.0303030303030303	0.2727272727272727	query_1	['GO:0098644', 'GO:0099512']	['COL3A1', 'COL1A2', 'COL1A1']
67	GO:CC	GO:0034685	integrin alphav-beta6 complex	0.0001833840223842	True	"""An integrin complex that comprises one alphav subunit and one beta6 subunit."" [PMID:12297042]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0008305']	['ITGAV', 'ITGB6']
68	GO:CC	GO:0034674	integrin alpha5-beta1 complex	0.0001833840223842	True	"""An integrin complex that comprises one alpha5 subunit and one beta1 subunit."" [PMID:12297042]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0008305']	['ITGB1', 'ITGA5']
69	GO:CC	GO:0016222	procollagen-proline 4-dioxygenase complex	0.0001833840223842	True	"""A protein complex that catalyzes the formation of procollagen trans-4-hydroxy-L-proline and succinate from procollagen L-proline and 2-oxoglutarate, requiring Fe2+ and ascorbate. Contains two alpha subunits that contribute to most parts of the catalytic sites, and two beta subunits that are identical to protein-disulfide isomerase."" [PMID:14500733, PMID:7753822]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0140534', 'GO:1990204']	['P4HB', 'P4HA1']
70	GO:CC	GO:0005584	collagen type I trimer	0.0001833840223842	True	"""A collagen trimer containing alpha(I) chains. The most common form of type I collagen is a heterotrimer containing two alpha1(I) chains and one alpha2(I) chain; homotrimers containing three alpha1(I) chains are also found. Type I collagen triple helices associate to form banded fibrils."" [GOC:mah, GOC:sl, ISBN:0721639976]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0005583']	['COL1A2', 'COL1A1']
71	GO:CC	GO:0005583	fibrillar collagen trimer	0.0001833840223842	True	"""Any triple helical collagen trimer that forms fibrils."" [GOC:mah, ISBN:0721639976, PMID:21421911]"	11	99	3	16420	0.0303030303030303	0.2727272727272727	query_1	['GO:0005581', 'GO:0098643']	['COL3A1', 'COL1A2', 'COL1A1']
72	GO:CC	GO:0002102	podosome	0.0001833840223842	True	"""An actin-rich adhesion structure characterized by formation upon cell substrate contact and localization at the substrate-attached part of the cell, contain an F-actin-rich core surrounded by a ring structure containing proteins such as vinculin and talin, and have a diameter of 0.5 mm."" [PMID:12837608, PMID:15890982]"	31	99	4	16420	0.0404040404040404	0.1290322580645161	query_1	['GO:0015629', 'GO:0043232']	['SRC', 'SH3PXD2A', 'VCL', 'VCAM1']
63	GO:CC	GO:0034681	integrin alpha11-beta1 complex	0.0001833840223842	True	"""An integrin complex that comprises one alpha11 subunit and one beta1 subunit."" [PMID:12297042]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0008305']	['ITGB1', 'ITGA11']
64	GO:CC	GO:0034684	integrin alphav-beta5 complex	0.0001833840223842	True	"""An integrin complex that comprises one alphav subunit and one beta5 subunit."" [PMID:12297042]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0008305']	['ITGB5', 'ITGAV']
61	GO:CC	GO:0034667	integrin alpha3-beta1 complex	0.0001833840223842	True	"""An integrin complex that comprises one alpha3 subunit and one beta1 subunit."" [PMID:12297042]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0008305']	['ITGB1', 'ITGA3']
62	GO:CC	GO:0034669	integrin alpha4-beta7 complex	0.0001833840223842	True	"""An integrin complex that comprises one alpha4 subunit and one beta7 subunit."" [PMID:12297042]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0008305']	['ITGA4', 'ITGB7']
65	GO:CC	GO:0070435	Shc-EGFR complex	0.0001833840223842	True	"""A protein complex that contains the epidermal growth factor receptor (EGFR) and the adaptor protein Shc, and is involved in linking EGFR activation to the p21-Ras pathway."" [GOC:mah, PMID:7798267]"	2	99	2	16420	0.0202020202020202	1.0	query_1	['GO:0098797']	['SHC1', 'EGFR']
73	GO:CC	GO:0015629	actin cytoskeleton	0.0001846282114437	True	"""The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."" [GOC:jl, ISBN:0395825172, ISBN:0815316194]"	488	99	12	16420	0.1212121212121212	0.0245901639344262	query_1	['GO:0005856']	['BCAR1', 'SRC', 'CRK', 'PXN', 'FYN', 'SH3PXD2A', 'JAM3', 'VCL', 'CDH1', 'VCAM1', 'PTK2', 'FLT1']
160	REAC	REAC:R-HSA-5621480	Dectin-2 family	0.0001848193433544	True	Dectin-2 family	22	98	4	10022	0.0408163265306122	0.1818181818181818	query_1	['REAC:R-HSA-5621481']	['PLCG2', 'FYN', 'LYN', 'SYK']
161	REAC	REAC:R-HSA-5654696	Downstream signaling of activated FGFR2	0.0001848193433544	True	Downstream signaling of activated FGFR2	22	98	4	10022	0.0408163265306122	0.1818181818181818	query_1	['REAC:R-HSA-5654738']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11']
620	GO:BP	GO:0032369	negative regulation of lipid transport	0.0001855189878628	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	29	99	4	15719	0.0404040404040404	0.1379310344827586	query_1	['GO:0006869', 'GO:0032368', 'GO:0051051', 'GO:1905953']	['ITGAV', 'ITGB3', 'THBS1', 'PTPN11']
623	GO:BP	GO:0000768	syncytium formation by plasma membrane fusion	0.0001868184652989	True	"""The formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane, by the fusion of the plasma membranes of two or more individual cells."" [GOC:mtg_muscle, GOC:tb]"	58	99	5	15719	0.0505050505050505	0.0862068965517241	query_1	['GO:0006949', 'GO:0140253']	['ITGB1', 'DOCK1', 'SH3PXD2A', 'ADAM12', 'JAM2']
622	GO:BP	GO:0140253	cell-cell fusion	0.0001868184652989	True	"""A cellular process in which two or more cells combine together, their plasma membrane fusing, producing a single cell. In some cases, nuclei fuse, producing a polyploid cell, while in other cases, nuclei remain separate, producing a syncytium."" [Wikipedia:Cell_fusion]"	58	99	5	15719	0.0505050505050505	0.0862068965517241	query_1	['GO:0009987']	['ITGB1', 'DOCK1', 'SH3PXD2A', 'ADAM12', 'JAM2']
621	GO:BP	GO:0072006	nephron development	0.0001868184652989	True	"""The process whose specific outcome is the progression of the nephron over time, from its formation to the mature structure. A nephron is the functional unit of the kidney."" [GOC:mtg_kidney_jan10]"	142	99	7	15719	0.0707070707070707	0.0492957746478873	query_1	['GO:0001822', 'GO:0048856']	['PDGFB', 'ITGB3', 'CTNNB1', 'PDGFRB', 'VEGFA', 'ITGA3', 'PDGFRA']
624	GO:BP	GO:0051924	regulation of calcium ion transport	0.0002001595097939	True	"""Any process that modulates the frequency, rate or extent of the directed movement of calcium ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	256	99	9	15719	0.0909090909090909	0.03515625	query_1	['GO:0006816', 'GO:0010959']	['PDGFB', 'ITGB3', 'PLCG2', 'CTNNB1', 'FYN', 'LYN', 'PDGFRB', 'PLCG1', 'PTK2B']
625	GO:BP	GO:0019722	calcium-mediated signaling	0.0002014918618214	True	"""Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions."" [GOC:signaling]"	197	99	8	15719	0.0808080808080808	0.0406091370558375	query_1	['GO:0019932']	['PLCG2', 'LAT', 'ZAP70', 'KDR', 'SYK', 'PLCG1', 'PTK2B', 'VCAM1']
626	GO:BP	GO:0090303	positive regulation of wound healing	0.0002018786449297	True	"""Any process that increases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:BHF]"	59	99	5	15719	0.0505050505050505	0.0847457627118644	query_1	['GO:0042060', 'GO:0061041', 'GO:1903036']	['ITGB1', 'VEGFB', 'VTN', 'PTK2', 'THBS1']
627	GO:BP	GO:0001701	in utero embryonic development	0.0002046568953353	True	"""The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."" [GOC:go_curators, GOC:mtg_sensu]"	391	99	11	15719	0.1111111111111111	0.0281329923273657	query_1	['GO:0043009']	['ITGB1', 'PDGFB', 'TGFB3', 'CTNNB1', 'COL3A1', 'SH3PXD2A', 'GRB2', 'EGFR', 'PLCG1', 'VEGFA', 'PDGFRA']
628	GO:BP	GO:0050764	regulation of phagocytosis	0.0002077298631721	True	"""Any process that modulates the frequency, rate or extent of phagocytosis, the process in which phagocytes engulf external particulate material."" [GOC:ai]"	98	99	6	15719	0.0606060606060606	0.0612244897959183	query_1	['GO:0006909', 'GO:0030100']	['RAPGEF1', 'ITGAV', 'PLCG2', 'SYK', 'FCGR1A', 'ITGA2']
629	GO:BP	GO:0060325	face morphogenesis	0.000209653039475	True	"""The process in which the anatomical structures of the face are generated and organized. The face is the ventral division of the head."" [GOC:dph]"	30	99	4	15719	0.0404040404040404	0.1333333333333333	query_1	['GO:0009653', 'GO:0060323', 'GO:0060324']	['TGFB3', 'COL1A1', 'PTPN11', 'PDGFRA']
630	GO:BP	GO:0150117	positive regulation of cell-substrate junction organization	0.000209653039475	True	"""Any process that activates or increases the frequency, rate or extent of cell-substrate junction organization."" [GOC:aruk]"	30	99	4	15719	0.0404040404040404	0.1333333333333333	query_1	['GO:0051130', 'GO:0150115', 'GO:0150116']	['PIK3R1', 'KDR', 'VEGFA', 'NRP1']
631	GO:BP	GO:0110053	regulation of actin filament organization	0.0002103548456236	True	"""Any process that modulates the frequency, rate or extent of actin filament organization."" [GOC:kmv]"	258	99	9	15719	0.0909090909090909	0.0348837209302325	query_1	['GO:0007015', 'GO:0032956', 'GO:1902903']	['MET', 'NCK1', 'TGFB3', 'PIK3R1', 'PXN', 'GRB2', 'PTK2B', 'NRP1', 'NCK2']
75	GO:CC	GO:0070062	extracellular exosome	0.000211901839077	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2021	99	27	16420	0.2727272727272727	0.0133597229094507	query_1	['GO:0005615', 'GO:1903561']	['P4HB', 'ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'CRK', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA4', 'LYN', 'GRB2', 'COL1A2', 'VCL', 'CDH1', 'VTN', 'TLN1', 'VCAM1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PLXNA1']
74	GO:CC	GO:0030175	filopodium	0.000211901839077	True	"""Thin, stiff, actin-based protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal or dendritic growth cone, or a dendritic shaft."" [GOC:mah, GOC:pr, ISBN:0815316194]"	106	99	6	16420	0.0606060606060606	0.0566037735849056	query_1	['GO:0098858']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'VCAM1', 'ITGA3']
632	GO:BP	GO:0044703	multi-organism reproductive process	0.0002141351971733	True	"""A biological process that directly contributes to the process of producing new individuals, involving another organism."" [GOC:jl]"	199	99	8	15719	0.0808080808080808	0.0402010050251256	query_1	['GO:0022414']	['SPP1', 'ITGB3', 'TGFB3', 'ITGA5', 'VEGFA', 'ITGA3', 'ITGA2', 'PGF']
162	REAC	REAC:R-HSA-373753	Nephrin family interactions	0.0002206941321914	True	Nephrin family interactions	23	98	4	10022	0.0408163265306122	0.1739130434782608	query_1	['REAC:R-HSA-1500931']	['NCK1', 'PIK3R1', 'FYN', 'NCK2']
633	GO:BP	GO:0001816	cytokine production	0.0002237758622824	True	"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]"	714	99	15	15719	0.1515151515151515	0.0210084033613445	query_1	['GO:0010467', 'GO:0032501']	['FN1', 'ITGAV', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'ITK', 'PLCG2', 'FLT4', 'COL3A1', 'LYN', 'SYK', 'ITGB6', 'THBS1', 'PTPN11']
634	GO:BP	GO:0072110	glomerular mesangial cell proliferation	0.0002237758622824	True	"""The multiplication or reproduction of glomerular mesangial cells, resulting in the expansion of the population."" [GOC:mtg_kidney_jan10]"	11	99	3	15719	0.0303030303030303	0.2727272727272727	query_1	['GO:0072109', 'GO:0072111']	['PDGFB', 'ITGB3', 'PDGFRB']
635	GO:BP	GO:0043589	skin morphogenesis	0.0002237758622824	True	"""The process in which the anatomical structures of the skin are generated and organized. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner, sensitive and vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]"	11	99	3	15719	0.0303030303030303	0.2727272727272727	query_1	['GO:0009887', 'GO:0043588']	['COL1A2', 'COL1A1', 'ITGA2']
636	GO:BP	GO:0010749	regulation of nitric oxide mediated signal transduction	0.0002237758622824	True	"""Any process that modulates the rate, frequency or extent of nitric oxide mediated signal transduction. Nitric oxide mediated signal transduction is The series of molecular signals mediated by the detection of nitric oxide (NO)."" [GOC:BHF, GOC:dph, GOC:tb]"	11	99	3	15719	0.0303030303030303	0.2727272727272727	query_1	['GO:0007263', 'GO:1902531']	['EGFR', 'VEGFA', 'THBS1']
645	GO:BP	GO:1904835	dorsal root ganglion morphogenesis	0.000224788174653	True	"""The developmental process by which a dorsal root ganglion is generated and organized."" [GO_REF:0000083, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:18936100]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0061552', 'GO:1990791']	['NRP2', 'NRP1']
643	GO:BP	GO:0003366	cell-matrix adhesion involved in ameboidal cell migration	0.000224788174653	True	"""The binding of a cell to the extracellular matrix that contributes to the directed movement of an ameboid cell."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0001667', 'GO:0007160']	['ITGA4', 'ITGB7']
642	GO:BP	GO:1903375	facioacoustic ganglion development	0.000224788174653	True	"""The process whose specific outcome is the progression of an acoustico-facial VII-VIII ganglion complex over time, from its formation to the mature structure."" [GO_REF:0000094, GOC:bf, GOC:mat, GOC:PARL, GOC:TermGenie, PMID:18356247]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0061550']	['NRP2', 'NRP1']
638	GO:BP	GO:0021649	vestibulocochlear nerve structural organization	0.000224788174653	True	"""The process that contributes to the act of creating the structural organization of the vestibulocochlear nerve. This process pertains to the physical shaping of a rudimentary structure. This sensory nerve innervates the membranous labyrinth of the inner ear. The vestibular branch innervates the vestibular apparatus that senses head position changes relative to gravity. The auditory branch innervates the cochlear duct, which is connected to the three bony ossicles which transduce sound waves into fluid movement in the cochlea."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0021604', 'GO:0021648']	['NRP2', 'NRP1']
637	GO:BP	GO:1900220	semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis	0.000224788174653	True	"""Any semaphorin-plexin signaling pathway that contributes to bone trabecula morphogenesis."" [GOC:BHF, GOC:TermGenie]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0061430', 'GO:0071526']	['PLXNB1', 'SEMA4D']
644	GO:BP	GO:0061552	ganglion morphogenesis	0.000224788174653	True	"""The process in which the anatomical structures of ganglion are generated and organized."" [GOC:dph]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0048729', 'GO:0061548']	['NRP2', 'NRP1']
641	GO:BP	GO:0140039	cell-cell adhesion in response to extracellular stimulus	0.000224788174653	True	"""The attachment of one cell to another cell via adhesion molecules as a result of an extracellular stimulus."" [PMID:14996911]"	2	99	2	15719	0.0202020202020202	1.0	query_1	['GO:0031668', 'GO:0098609']	['ITGA4', 'VCAM1']
