Noonan syndrome with multiple lentigines	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
920	REAC	REAC:R-HSA-9700206	Signaling by ALK in cancer	1.1615742573533814e-05	True	Signaling by ALK in cancer	53	101	8	10790	0.0792079207920792	0.1509433962264151	query_1	['REAC:R-HSA-5663202']	['FN1', 'PIK3R1', 'MAPK1', 'MAPK3', 'GRB2', 'PIK3CA', 'VCL', 'PLCG1']
921	REAC	REAC:R-HSA-9725370	Signaling by ALK fusions and activated point mutants	1.1615742573533814e-05	True	Signaling by ALK fusions and activated point mutants	53	101	8	10790	0.0792079207920792	0.1509433962264151	query_1	['REAC:R-HSA-9700206']	['FN1', 'PIK3R1', 'MAPK1', 'MAPK3', 'GRB2', 'PIK3CA', 'VCL', 'PLCG1']
922	GO:MF	GO:1901265	nucleoside phosphate binding	1.1738131149055036e-05	True	"""Binding to nucleoside phosphate."" [GOC:TermGenie]"	2179	103	32	20195	0.3106796116504854	0.0146856356126663	query_1	['GO:0097159', 'GO:1901363']	['MET', 'PIK3CB', 'SRC', 'FGFR2', 'MAPK1', 'KSR1', 'ITK', 'FLT4', 'MAPK3', 'TGFBR2', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'BRAF', 'MAP2K1', 'EGFR', 'ARAF', 'PIK3CA', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'RAF1', 'ERBB2', 'PTK2B', 'TGFBR1', 'PTK2', 'LCK', 'MAP2K2', 'PDGFRA', 'FLT1']
923	WP	WP:WP732	Serotonin receptor 2 and ELK-SRF/GATA4 signaling	1.205724730658116e-05	True	Serotonin receptor 2 and ELK-SRF/GATA4 signaling	20	96	6	8133	0.0625	0.3	query_1	['WP:000000']	['MAPK1', 'MAPK3', 'MAP2K1', 'HRAS', 'RAF1', 'MAP2K2']
924	REAC	REAC:R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	1.23344451899445e-05	True	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	717	101	24	10790	0.2376237623762376	0.0334728033472803	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'ITGB1', 'NCK1', 'PLXNB1', 'PIK3R2', 'SRC', 'PIK3R1', 'MAPK1', 'CTNNB1', 'MAPK3', 'SOS1', 'SH3PXD2A', 'ZAP70', 'PIK3CA', 'YWHAB', 'YWHAZ', 'HSP90AA1', 'VAV1', 'CDH1', 'PTK2B', 'PIK3R3', 'PTK2', 'LCK', 'PLXNA1']
925	GO:BP	GO:0060425	lung morphogenesis	1.246413921996484e-05	True	"""The process in which the anatomical structures of the lung are generated and organized."" [GOC:dph]"	52	103	7	21110	0.0679611650485436	0.1346153846153846	query_1	['GO:0009887', 'GO:0030324']	['FGFR2', 'MAPK1', 'CTNNB1', 'MAPK3', 'TGFBR2', 'MAP2K1', 'MAP2K2']
926	GO:BP	GO:0048013	ephrin receptor signaling pathway	1.246413921996484e-05	True	"""The series of molecular signals initiated by ephrin binding to its receptor, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	52	103	7	21110	0.0679611650485436	0.1346153846153846	query_1	['GO:0007169']	['NCK1', 'SRC', 'CRK', 'FYN', 'LYN', 'PTK2', 'PTPN11']
927	KEGG	KEGG:01524	Platinum drug resistance	1.2647060681712516e-05	True	Platinum drug resistance	72	97	9	8161	0.0927835051546391	0.125	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'MAPK1', 'MAPK3', 'PIK3CD', 'PIK3CA', 'ERBB2', 'PIK3R3']
928	HP	HP:0000768	Pectus carinatum	1.2755566434556597e-05	True	A deformity of the chest caused by overgrowth of the ribs and characterized by protrusion of the sternum.	165	52	13	4851	0.25	0.0787878787878787	query_1	['HP:0000766']	['FN1', 'FGFR2', 'TGFB3', 'SOS1', 'TGFBR2', 'BRAF', 'MAP2K1', 'HRAS', 'RAF1', 'TGFBR1', 'SMAD3', 'PTPN11', 'CBL']
929	GO:BP	GO:0048638	regulation of developmental growth	1.2843749058941646e-05	True	"""Any process that modulates the frequency, rate or extent of developmental growth."" [GOC:go_curators]"	323	103	13	21110	0.1262135922330097	0.0402476780185758	query_1	['GO:0040008', 'GO:0048589', 'GO:0050793']	['FN1', 'SPP1', 'SMAD7', 'FGFR2', 'TGFBR2', 'PIK3CA', 'SMURF1', 'CDH1', 'VEGFA', 'TGFBR1', 'L1CAM', 'NRP1', 'SEMA4D']
930	WP	WP:WP3981	miRNA regulation of prostate cancer signaling pathways	1.3079512966146724e-05	True	miRNA regulation of prostate cancer signaling pathways	49	96	8	8133	0.0833333333333333	0.1632653061224489	query_1	['WP:000000']	['MAPK1', 'CTNNB1', 'SOS1', 'GRB2', 'MAP2K1', 'PIK3CA', 'RAF1', 'MAP2K2']
931	WP	WP:WP4481	Resistin as a regulator of inflammation	1.3094707368618584e-05	True	Resistin as a regulator of inflammation	33	96	7	8133	0.0729166666666666	0.2121212121212121	query_1	['WP:000000']	['PIK3CB', 'MAPK1', 'PLCG2', 'MAPK3', 'PIK3CD', 'PIK3CA', 'PLCG1']
932	GO:BP	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	1.3099509609016029e-05	True	"""Any process that modulates the frequency, rate or extent of vascular endothelial growth factor receptor signaling pathway activity."" [GOC:dgh]"	30	103	6	21110	0.058252427184466	0.2	query_1	['GO:0009966', 'GO:0048010', 'GO:0090287']	['VEGFB', 'ITGB3', 'VEGFC', 'ITGA5', 'VTN', 'NRP1']
933	GO:MF	GO:0038023	signaling receptor activity	1.3202967488795748e-05	True	"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]"	1494	103	26	20195	0.2524271844660194	0.0174029451137884	query_1	['GO:0060089']	['MET', 'ITGB1', 'ITGB5', 'PLXNB1', 'ITGAV', 'FGFR2', 'ITGB3', 'FLT4', 'TGFBR2', 'ITGA4', 'NRP2', 'EGFR', 'CD44', 'KDR', 'FCGR1A', 'ERBB2', 'PTK2B', 'TGFBR1', 'L1CAM', 'ITGB6', 'NRP1', 'ITGB7', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
934	GO:MF	GO:0060089	molecular transducer activity	1.3202967488795748e-05	True	"""A compound molecular function in which an effector function is controlled by one or more regulatory components."" [GOC:dos, GOC:pdt]"	1494	103	26	20195	0.2524271844660194	0.0174029451137884	query_1	['GO:0003674']	['MET', 'ITGB1', 'ITGB5', 'PLXNB1', 'ITGAV', 'FGFR2', 'ITGB3', 'FLT4', 'TGFBR2', 'ITGA4', 'NRP2', 'EGFR', 'CD44', 'KDR', 'FCGR1A', 'ERBB2', 'PTK2B', 'TGFBR1', 'L1CAM', 'ITGB6', 'NRP1', 'ITGB7', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
935	REAC	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	1.3388250235579394e-05	True	Response to elevated platelet cytosolic Ca2+	130	101	11	10790	0.1089108910891089	0.0846153846153846	query_1	['REAC:R-HSA-76002']	['VEGFB', 'FN1', 'ITGB3', 'TGFB3', 'VEGFC', 'HGF', 'ITGA2B', 'VCL', 'VEGFA', 'TLN1', 'VEGFD']
936	GO:BP	GO:0051701	biological process involved in interaction with host	1.356610641497244e-05	True	"""An interaction between two organisms living together in more or less intimate association. The term host is used for the larger (macro) of the two members of a symbiosis; the various forms of symbiosis include parasitism, commensalism and mutualism."" [GOC:cc]"	210	103	11	21110	0.1067961165048543	0.0523809523809523	query_1	['GO:0044403']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'ITGA5', 'EGFR', 'ITGB6', 'NRP1', 'ITGB7', 'CBL']
937	GO:CC	GO:0098562	cytoplasmic side of membrane	1.4413433960129828e-05	True	"""The side of a membrane that faces the cytoplasm."" [GOC:dos]"	207	103	10	22122	0.0970873786407767	0.0483091787439613	query_1	['GO:0098552']	['SRC', 'FYN', 'ZAP70', 'LYN', 'SYK', 'CDH1', 'PTK2B', 'PTK2', 'LCK', 'MAP2K2']
938	GO:BP	GO:0032880	regulation of protein localization	1.4415299816662684e-05	True	"""Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location."" [GOC:dph, GOC:mah, GOC:tb]"	873	103	20	21110	0.1941747572815534	0.0229095074455899	query_1	['GO:0008104', 'GO:0060341']	['ITGB1', 'PIK3R2', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CTNNB1', 'FYN', 'TGFB1', 'EGFR', 'HSP90AA1', 'VCL', 'HRAS', 'ERBB2', 'CDH1', 'VEGFA', 'CRKL', 'SMAD3', 'PTPN11']
939	GO:BP	GO:0048568	embryonic organ development	1.4754961723480676e-05	True	"""Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:jid]"	462	103	15	21110	0.145631067961165	0.0324675324675324	query_1	['GO:0009790', 'GO:0048513']	['FGFR2', 'TGFB3', 'MAPK1', 'CTNNB1', 'MAPK3', 'TGFBR2', 'GRB2', 'TGFB1', 'MAP2K1', 'EGFR', 'KDR', 'VEGFA', 'TGFBR1', 'SMAD3', 'PDGFRA']
940	REAC	REAC:R-HSA-8851907	MET activates PI3K/AKT signaling	1.496102407652104e-05	True	MET activates PI3K/AKT signaling	5	101	4	10790	0.0396039603960396	0.8	query_1	['REAC:R-HSA-6806834']	['MET', 'PIK3R1', 'HGF', 'PIK3CA']
941	GO:BP	GO:0050930	induction of positive chemotaxis	1.508829620569814e-05	True	"""Any process that initiates the directed movement of a motile cell or organism towards a higher concentration in a concentration gradient of a specific chemical."" [GOC:ai]"	15	103	5	21110	0.0485436893203883	0.3333333333333333	query_1	['GO:0050927']	['VEGFB', 'VEGFC', 'VEGFA', 'VEGFD', 'PGF']
942	REAC	REAC:R-HSA-5654687	Downstream signaling of activated FGFR1	1.5946573470783298e-05	True	Downstream signaling of activated FGFR1	22	101	6	10790	0.0594059405940594	0.2727272727272727	query_1	['REAC:R-HSA-5654736']	['PIK3R1', 'SOS1', 'PIK3CA', 'HRAS', 'PLCG1', 'PTPN11']
943	REAC	REAC:R-HSA-389357	CD28 dependent PI3K/Akt signaling	1.5946573470783298e-05	True	CD28 dependent PI3K/Akt signaling	22	101	6	10790	0.0594059405940594	0.2727272727272727	query_1	['REAC:R-HSA-389356']	['PIK3R2', 'PIK3R1', 'FYN', 'PIK3CA', 'PIK3R3', 'LCK']
944	REAC	REAC:R-HSA-5654716	Downstream signaling of activated FGFR4	1.5946573470783298e-05	True	Downstream signaling of activated FGFR4	22	101	6	10790	0.0594059405940594	0.2727272727272727	query_1	['REAC:R-HSA-5654743']	['PIK3R1', 'SOS1', 'PIK3CA', 'HRAS', 'PLCG1', 'PTPN11']
945	KEGG	KEGG:04350	TGF-beta signaling pathway	1.5963325345096664e-05	True	TGF-beta signaling pathway	97	97	10	8161	0.1030927835051546	0.1030927835051546	query_1	['KEGG:00000']	['SMURF2', 'SMAD7', 'TGFB3', 'MAPK1', 'MAPK3', 'TGFBR2', 'TGFB1', 'SMURF1', 'TGFBR1', 'SMAD3']
946	GO:BP	GO:0007435	salivary gland morphogenesis	1.6179462515563472e-05	True	"""The process in which the anatomical structures of the salivary gland are generated and organized."" [GOC:jid]"	31	103	6	21110	0.058252427184466	0.1935483870967742	query_1	['GO:0007431', 'GO:0022612']	['FGFR2', 'TGFB3', 'HGF', 'EGFR', 'NRP1', 'PLXNA1']
947	GO:MF	GO:0004708	MAP kinase kinase activity	1.630315396642662e-05	True	"""Catalysis of the concomitant phosphorylation of threonine (T) and tyrosine (Y) residues in a Thr-Glu-Tyr (TEY) thiolester sequence in a MAP kinase (MAPK) substrate."" [ISBN:0198547684]"	18	103	5	20195	0.0485436893203883	0.2777777777777778	query_1	['GO:0004712']	['MAPK1', 'MAPK3', 'BRAF', 'MAP2K1', 'MAP2K2']
948	GO:BP	GO:0010718	positive regulation of epithelial to mesenchymal transition	1.6368749285335935e-05	True	"""Any process that increases the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition is where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell."" [GOC:BHF, GOC:dph, GOC:tb]"	54	103	7	21110	0.0679611650485436	0.1296296296296296	query_1	['GO:0001837', 'GO:0010717', 'GO:0045597', 'GO:0051240']	['TGFB3', 'CTNNB1', 'TGFBR2', 'TGFB1', 'TGFBR1', 'PTK2', 'SMAD3']
949	GO:BP	GO:0072676	lymphocyte migration	1.64447783379046e-05	True	"""The movement of a lymphocyte within or between different tissues and organs of the body."" [CL:0000542, GOC:BHF, GOC:mah]"	121	103	9	21110	0.087378640776699	0.0743801652892562	query_1	['GO:0071674']	['ITGB3', 'CRK', 'PIK3CD', 'ITGA4', 'ZAP70', 'MADCAM1', 'PTK2B', 'CRKL', 'ITGB7']
950	GO:BP	GO:0051251	positive regulation of lymphocyte activation	1.8448693207471948e-05	True	"""Any process that activates or increases the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	399	103	14	21110	0.1359223300970873	0.0350877192982456	query_1	['GO:0002696', 'GO:0046649', 'GO:0051249']	['NCK1', 'SRC', 'TGFBR2', 'FYN', 'ZAP70', 'LYN', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'SH3KBP1', 'VCAM1', 'LCK', 'PTPN11']
951	GO:CC	GO:0044853	plasma membrane raft	1.9309616974019116e-05	True	"""A membrane raft that is part of the plasma membrane."" [GOC:jl]"	114	103	8	22122	0.0776699029126213	0.0701754385964912	query_1	['GO:0045121', 'GO:0098590']	['SRC', 'MAPK1', 'CTNNB1', 'MAPK3', 'TGFBR2', 'LCP2', 'CDH1', 'CBL']
952	GO:CC	GO:0070062	extracellular exosome	1.964332966828933e-05	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2109	103	29	22122	0.2815533980582524	0.0137505926979611	query_1	['GO:0005615', 'GO:1903561']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'CRK', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA4', 'LAMTOR3', 'LYN', 'GRB2', 'CD44', 'YWHAB', 'YWHAZ', 'HSP90AA1', 'VCL', 'SMURF1', 'CDH1', 'VTN', 'TLN1', 'VCAM1', 'LCK', 'ITGB7', 'ADAM15', 'PLXNA1']
953	GO:MF	GO:0042056	chemoattractant activity	1.991660309970989e-05	True	"""Providing the environmental signal that initiates the directed movement of a motile cell or organism towards a higher concentration of that signal."" [GOC:go_curators, ISBN:0198506732]"	37	103	6	20195	0.058252427184466	0.1621621621621621	query_1	['GO:0048018']	['VEGFB', 'VEGFC', 'HGF', 'VEGFA', 'VEGFD', 'PGF']
954	REAC	REAC:R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	2.037691771596773e-05	True	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	12	101	5	10790	0.0495049504950495	0.4166666666666667	query_1	['REAC:R-HSA-9006335']	['PIK3CB', 'PIK3R1', 'PIK3CD', 'LYN', 'PIK3CA']
955	CORUM	CORUM:2997	Ubiquitin E3 ligase (SMAD7-SMURF1) - TGF(beta)	2.050017967470541e-05	True	Ubiquitin E3 ligase (SMAD7-SMURF1) - TGF(beta)	4	71	4	3383	0.056338028169014	1.0	query_1	['CORUM:0000000']	['SMAD7', 'TGFBR2', 'SMURF1', 'TGFBR1']
956	CORUM	CORUM:2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	2.050017967470541e-05	True	PLC-gamma-1-SLP-76-SOS1-LAT complex	4	71	4	3383	0.056338028169014	1.0	query_1	['CORUM:0000000']	['SOS1', 'LAT', 'LCP2', 'PLCG1']
957	CORUM	CORUM:2363	ITGAV-ITGB3-PXN-PTK2b complex	2.050017967470541e-05	True	ITGAV-ITGB3-PXN-PTK2b complex	4	71	4	3383	0.056338028169014	1.0	query_1	['CORUM:0000000']	['ITGAV', 'ITGB3', 'PXN', 'PTK2B']
958	CORUM	CORUM:2955	LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated	2.050017967470541e-05	True	LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated	4	71	4	3383	0.056338028169014	1.0	query_1	['CORUM:0000000']	['LAT', 'LCP2', 'PLCG1', 'LCK']
959	CORUM	CORUM:1777	Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)	2.050017967470541e-05	True	Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)	4	71	4	3383	0.056338028169014	1.0	query_1	['CORUM:0000000']	['SMURF2', 'SMAD7', 'TGFBR2', 'TGFBR1']
960	GO:BP	GO:0009612	response to mechanical stimulus	2.099244055138311e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus."" [GOC:hb]"	219	103	11	21110	0.1067961165048543	0.0502283105022831	query_1	['GO:0009605', 'GO:0009628']	['SRC', 'ITGB3', 'CTNNB1', 'MAPK3', 'TGFBR2', 'FYN', 'TGFB1', 'PIK3CA', 'RAF1', 'PTK2B', 'PTK2']
961	HP	HP:0002103	Abnormal pleura morphology	2.1168198973370584e-05	True	An abnormality of the pulmonary pleura, the thin, transparent membrane which covers the lungs and lines the inside of the chest walls.	172	52	13	4851	0.25	0.0755813953488372	query_1	['HP:0002088']	['SPP1', 'TGFB3', 'ITK', 'TGFBR2', 'TGFB1', 'BRAF', 'MAP2K1', 'HRAS', 'TGFBR1', 'SMAD3', 'PTPN11', 'CBL', 'SEMA4D']
962	GO:BP	GO:1903829	positive regulation of protein localization	2.1383108782218285e-05	True	"""Any process that activates or increases the frequency, rate or extent of a protein localization."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	475	103	15	21110	0.145631067961165	0.031578947368421	query_1	['GO:0008104', 'GO:0032880', 'GO:0048522']	['ITGB1', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'VEGFC', 'FYN', 'TGFB1', 'EGFR', 'HSP90AA1', 'HRAS', 'ERBB2', 'CDH1', 'VEGFA', 'SMAD3']
963	REAC	REAC:R-HSA-373753	Nephrin family interactions	2.1412074967268857e-05	True	Nephrin family interactions	23	101	6	10790	0.0594059405940594	0.2608695652173913	query_1	['REAC:R-HSA-1500931']	['NCK1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'FYN', 'PIK3CA']
964	REAC	REAC:R-HSA-5654696	Downstream signaling of activated FGFR2	2.1412074967268857e-05	True	Downstream signaling of activated FGFR2	23	101	6	10790	0.0594059405940594	0.2608695652173913	query_1	['REAC:R-HSA-5654738']	['PIK3R1', 'SOS1', 'PIK3CA', 'HRAS', 'PLCG1', 'PTPN11']
965	GO:BP	GO:0006954	inflammatory response	2.1637848654985255e-05	True	"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]"	803	103	19	21110	0.1844660194174757	0.0236612702366127	query_1	['GO:0006952']	['ITGB1', 'FN1', 'SRC', 'SPP1', 'HGF', 'PLCG2', 'PIK3CD', 'FYN', 'LAT', 'LYN', 'TGFB1', 'TNC', 'CD44', 'SYK', 'PLCG1', 'FCGR1A', 'VCAM1', 'ITGB6', 'SMAD3']
966	GO:BP	GO:0048308	organelle inheritance	2.186174953876864e-05	True	"""The partitioning of organelles between daughter cells at cell division."" [GOC:jid]"	16	103	5	21110	0.0485436893203883	0.3125	query_1	['GO:0006996']	['MAPK1', 'MAPK3', 'MAP2K1', 'YWHAZ', 'MAP2K2']
967	GO:BP	GO:0048313	Golgi inheritance	2.186174953876864e-05	True	"""The partitioning of Golgi apparatus between daughter cells at cell division."" [GOC:jid, PMID:12851069]"	16	103	5	21110	0.0485436893203883	0.3125	query_1	['GO:0007030', 'GO:0048308']	['MAPK1', 'MAPK3', 'MAP2K1', 'YWHAZ', 'MAP2K2']
968	HP	HP:0000391	Thickened helices	2.384100262550238e-05	True	Increased thickness of the helix of the ear.	46	52	8	4851	0.1538461538461538	0.1739130434782608	query_1	['HP:0011039']	['FGFR2', 'SOS1', 'BRAF', 'MAP2K1', 'RAF1', 'MAP2K2', 'PTPN11', 'CBL']
969	GO:BP	GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	2.4147148410612187e-05	True	"""Any process that activates or increases the frequency, rate or extent of phosphatidylinositol 3-kinase activity."" [GOC:bf]"	33	103	6	21110	0.058252427184466	0.1818181818181818	query_1	['GO:0043551', 'GO:0090218']	['SRC', 'LYN', 'PTK2B', 'PTK2', 'PDGFRA', 'FLT1']
970	GO:BP	GO:0007431	salivary gland development	2.4147148410612187e-05	True	"""The process whose specific outcome is the progression of the salivary gland over time, from its formation to the mature structure. Salivary glands include any of the saliva-secreting exocrine glands of the oral cavity."" [GOC:jid, UBERON:0001044]"	33	103	6	21110	0.058252427184466	0.1818181818181818	query_1	['GO:0035272', 'GO:0048732']	['FGFR2', 'TGFB3', 'HGF', 'EGFR', 'NRP1', 'PLXNA1']
971	GO:CC	GO:1903561	extracellular vesicle	2.5112669015909054e-05	True	"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]"	2133	103	29	22122	0.2815533980582524	0.013595874355368	query_1	['GO:0031982', 'GO:0065010']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'CRK', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA4', 'LAMTOR3', 'LYN', 'GRB2', 'CD44', 'YWHAB', 'YWHAZ', 'HSP90AA1', 'VCL', 'SMURF1', 'CDH1', 'VTN', 'TLN1', 'VCAM1', 'LCK', 'ITGB7', 'ADAM15', 'PLXNA1']
972	GO:CC	GO:0043230	extracellular organelle	2.5368903419875013e-05	True	"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]"	2134	103	29	22122	0.2815533980582524	0.0135895032802249	query_1	['GO:0005576', 'GO:0043226']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'CRK', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA4', 'LAMTOR3', 'LYN', 'GRB2', 'CD44', 'YWHAB', 'YWHAZ', 'HSP90AA1', 'VCL', 'SMURF1', 'CDH1', 'VTN', 'TLN1', 'VCAM1', 'LCK', 'ITGB7', 'ADAM15', 'PLXNA1']
973	GO:CC	GO:0065010	extracellular membrane-bounded organelle	2.5368903419875013e-05	True	"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]"	2134	103	29	22122	0.2815533980582524	0.0135895032802249	query_1	['GO:0043227', 'GO:0043230']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'CRK', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA4', 'LAMTOR3', 'LYN', 'GRB2', 'CD44', 'YWHAB', 'YWHAZ', 'HSP90AA1', 'VCL', 'SMURF1', 'CDH1', 'VTN', 'TLN1', 'VCAM1', 'LCK', 'ITGB7', 'ADAM15', 'PLXNA1']
974	REAC	REAC:R-HSA-112399	IRS-mediated signalling	2.5590142797185965e-05	True	IRS-mediated signalling	39	101	7	10790	0.0693069306930693	0.1794871794871795	query_1	['REAC:R-HSA-2428928', 'REAC:R-HSA-74751']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'HRAS', 'PTPN11']
975	GO:BP	GO:1900182	positive regulation of protein localization to nucleus	2.5884897716249626e-05	True	"""Any process that activates or increases the frequency, rate or extent of protein localization to nucleus."" [GOC:TermGenie]"	89	103	8	21110	0.0776699029126213	0.0898876404494382	query_1	['GO:0034504', 'GO:1900180', 'GO:1903829']	['PIK3R2', 'SRC', 'PIK3R1', 'FYN', 'TGFB1', 'HSP90AA1', 'CDH1', 'SMAD3']
976	GO:BP	GO:0061448	connective tissue development	2.65775094116698e-05	True	"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]"	281	103	12	21110	0.116504854368932	0.0427046263345195	query_1	['GO:0009888']	['SMAD7', 'ITGB3', 'CTNNB1', 'MAPK3', 'TGFBR2', 'TGFB1', 'CD44', 'PIK3CA', 'HRAS', 'TGFBR1', 'SMAD3', 'PTPN11']
977	GO:BP	GO:0051248	negative regulation of protein metabolic process	2.8023342410544057e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."" [GOC:ai]"	1004	103	21	21110	0.203883495145631	0.0209163346613545	query_1	['GO:0010605', 'GO:0019538', 'GO:0051172', 'GO:0051246']	['NCK1', 'PIK3CB', 'ITGAV', 'SRC', 'SMAD7', 'ITGB3', 'HGF', 'CTNNB1', 'FYN', 'LYN', 'EGFR', 'CD44', 'YWHAB', 'RAF1', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'SMAD3', 'CBL', 'SEMA4D']
978	REAC	REAC:R-HSA-2173788	Downregulation of TGF-beta receptor signaling	2.8334152381390648e-05	True	Downregulation of TGF-beta receptor signaling	24	101	6	10790	0.0594059405940594	0.25	query_1	['REAC:R-HSA-2173789']	['SMURF2', 'SMAD7', 'TGFBR2', 'SMURF1', 'TGFBR1', 'SMAD3']
979	GO:BP	GO:0097435	supramolecular fiber organization	2.970176957356119e-05	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:pr]"	819	103	19	21110	0.1844660194174757	0.0231990231990232	query_1	['GO:0016043']	['MET', 'ITGB1', 'NCK1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'GRB2', 'BRAF', 'PIK3CA', 'SH3KBP1', 'PTK2B', 'TGFBR1', 'NRP1', 'SMAD3', 'PDGFRA']
980	GO:MF	GO:0004674	protein serine/threonine kinase activity	2.9794364717728196e-05	True	"""Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."" [GOC:bf, PMID:2956925]"	436	103	14	20195	0.1359223300970873	0.0321100917431192	query_1	['GO:0004672']	['MAPK1', 'KSR1', 'MAPK3', 'TGFBR2', 'BRAF', 'MAP2K1', 'EGFR', 'ARAF', 'PIK3CA', 'SYK', 'RAF1', 'PTK2B', 'TGFBR1', 'MAP2K2']
981	WP	WP:WP4540	Hippo signaling regulation pathways	2.987357125900992e-05	True	Hippo signaling regulation pathways	98	96	10	8133	0.1041666666666666	0.1020408163265306	query_1	['WP:000000']	['MET', 'FGFR2', 'FLT4', 'CTNNB1', 'EGFR', 'KDR', 'CDH1', 'SMAD3', 'PDGFRA', 'FLT1']
