Transaldolase deficiency	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
368	HPA	HPA:0030071	appendix; lymphoid tissue[≥Low]	0.0001389562670911	True	appendix; lymphoid tissue[≥Low]	4726	83	58	11006	0.6987951807228916	0.0122725349132458	query_1	['HPA:0030000']	['RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'UFL1', 'MDC1', 'PMPCA', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'SUMO1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'MBD1', 'NDUFV3', 'PEPD', 'PMPCB', 'OGDH', 'PHB1', 'UFM1', 'STAT5B']
369	HP	HP:0008314	Decreased activity of mitochondrial complex II	0.0001390414984829	True	A reduction in the activity of the mitochondrial respiratory chain complex II, which is part of the electron transport chain in mitochondria.	12	54	5	4851	0.0925925925925925	0.4166666666666667	query_1	['HP:0008972']	['SDHD', 'ISCU', 'SDHB', 'NFS1', 'SDHA']
370	GO:BP	GO:0030518	intracellular steroid hormone receptor signaling pathway	0.0001470528752331	True	"""The series of molecular signals initiated by a steroid binding to an intracellular steroid hormone receptor."" [GOC:mah, GOC:signaling]"	117	96	8	21110	0.0833333333333333	0.0683760683760683	query_1	['GO:0030522', 'GO:0043401']	['DDRGK1', 'UFL1', 'PHB2', 'HDAC6', 'BRCA1', 'UBA5', 'PHB1', 'UFM1']
371	GO:BP	GO:0032508	DNA duplex unwinding	0.0001702640503731	True	"""The process in which interchain hydrogen bonds between two strands of DNA are broken or 'melted', generating a region of unpaired single strands."" [GOC:isa_complete, GOC:mah]"	79	96	7	21110	0.0729166666666666	0.0886075949367088	query_1	['GO:0032392']	['NBN', 'RAD50', 'XRCC6', 'RPA1', 'BLM', 'MRE11', 'RAD51']
372	HPA	HPA:0630221	cervix; squamous epithelial cells[≥Low]	0.0001743647479003	True	cervix; squamous epithelial cells[≥Low]	5452	83	63	11006	0.7590361445783133	0.0115553925165077	query_1	['HPA:0630000']	['SNX6', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'ATF7IP', 'DLST', 'MCUB', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'H2AX', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'SUMO1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PMPCB', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
373	GO:CC	GO:0005694	chromosome	0.0001813907480671	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1939	97	25	22122	0.2577319587628865	0.0128932439401753	query_1	['GO:0043232']	['RBBP8', 'UBE2I', 'NBN', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'SETDB2', 'H2AX', 'UFL1', 'MDC1', 'BRCA2', 'SETDB1', 'SUMO1', 'RPA1', 'FLYWCH1', 'BLM', 'MRE11', 'RAD51', 'CBX5', 'BRCA1', 'STAT5A', 'MBD1', 'TRIM28', 'STAT5B']
374	HP	HP:0004360	Abnormality of acid-base homeostasis	0.0001821358477132	True	An abnormality of the balance or maintenance of the balance of acids and bases in bodily fluids, resulting in an abnormal pH.	402	54	18	4851	0.3333333333333333	0.044776119402985	query_1	['HP:0012337']	['LYRM4', 'OTC', 'DLAT', 'PDHX', 'PDHB', 'PMPCA', 'SDHD', 'DBT', 'BCKDHB', 'PDHA1', 'ISCU', 'SDHB', 'NFS1', 'SDHA', 'DLD', 'PMPCB', 'OGDH', 'BCKDHA']
375	HPA	HPA:0480052	small intestine; glandular cells[≥Medium]	0.0001822502192719	True	small intestine; glandular cells[≥Medium]	6057	83	67	11006	0.8072289156626506	0.0110615816410764	query_1	['HPA:0480051']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'MCAT', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'AFG3L2', 'HDAC6', 'ISCU', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'BCKDHA']
376	HPA	HPA:0060000	bronchus	0.0002013172005433	True	bronchus	7421	83	75	11006	0.9036144578313252	0.0101064546557067	query_1	['HPA:0000000']	['RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
377	HP	HP:0012103	Abnormality of the mitochondrion	0.0002084529433593	True	An anomaly of the mitochondrion, the membranous cytoplasmic organelle the interior of which is subdivided by cristae. The mitochondrion is a self replicating organelle that is the site of tissue respiration.	199	54	13	4851	0.2407407407407407	0.0653266331658291	query_1	['HP:0011017']	['SPG7', 'LYRM4', 'DLAT', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'AFG3L2', 'ISCU', 'SDHB', 'NFS1', 'SDHA', 'DLD']
378	REAC	REAC:R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	0.0002123313983203	True	Regulation of TP53 Activity through Phosphorylation	92	84	8	10790	0.0952380952380952	0.0869565217391304	query_1	['REAC:R-HSA-5633007']	['RBBP8', 'NBN', 'RAD50', 'RPA1', 'BLM', 'MRE11', 'BRCA1', 'BARD1']
379	GO:CC	GO:0005657	replication fork	0.0002136025375154	True	"""The Y-shaped region of a replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:mah, ISBN:0198547684]"	72	97	6	22122	0.0618556701030927	0.0833333333333333	query_1	['GO:0005694', 'GO:0110165']	['NBN', 'TP53BP1', 'H2AX', 'RPA1', 'BLM', 'MRE11']
380	GO:BP	GO:0019318	hexose metabolic process	0.0002205053941474	True	"""The chemical reactions and pathways involving a hexose, any monosaccharide with a chain of six carbon atoms in the molecule."" [ISBN:0198506732]"	229	96	10	21110	0.1041666666666666	0.0436681222707423	query_1	['GO:0005996']	['PDK4', 'DLAT', 'PDHA2', 'PDHB', 'BCKDK', 'PDHA1', 'PDK3', 'GPD1', 'PDK1', 'PDK2']
381	HPA	HPA:0310431	lymph node; germinal center cells[≥Low]	0.0002208124372924	True	lymph node; germinal center cells[≥Low]	5055	83	60	11006	0.7228915662650602	0.0118694362017804	query_1	['HPA:0310000']	['UBE2I', 'PDK4', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'H2AX', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'SIL1', 'BCKDK', 'SUMO1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'UFM1', 'STAT5B', 'BCKDHA']
382	GO:MF	GO:0005515	protein binding	0.0002317718964054	True	"""Binding to a protein."" [GOC:go_curators]"	14881	97	91	20195	0.9381443298969072	0.0061151804314226	query_1	['GO:0005488']	['PPIF', 'RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'UBAC2', 'ZNF350', 'XRCC6', 'TALDO1', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'MCU', 'SIL1', 'SETDB1', 'BCKDK', 'CDNF', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'MOCS3', 'ISCU', 'GPD1', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'ABHD6', 'PEPD', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
383	HPA	HPA:0050053	breast; glandular cells[High]	0.0002368256494015	True	breast; glandular cells[High]	1349	83	27	11006	0.3253012048192771	0.0200148257968865	query_1	['HPA:0050052']	['PDK4', 'GCSH', 'PPM1K', 'HSPA9', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'SETDB2', 'MDC1', 'PMPCA', 'PHB2', 'MCU', 'PDHA1', 'RPA1', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'HDAC6', 'SDHB', 'DLD', 'NDUFV3', 'TRIM28', 'OGDH', 'PHB1', 'BCKDHA']
384	GO:MF	GO:0044389	ubiquitin-like protein ligase binding	0.0002408957920752	True	"""Binding to a ubiquitin-like protein ligase, such as ubiquitin-ligase."" [GOC:jl]"	315	97	11	20195	0.1134020618556701	0.0349206349206349	query_1	['GO:0019899']	['CDK5RAP3', 'HSPA9', 'DDRGK1', 'DBT', 'SUMO1', 'HSPD1', 'PIAS1', 'HDAC6', 'FAF2', 'BRCA1', 'TRIM28']
385	GO:CC	GO:0000795	synaptonemal complex	0.0002417762132159	True	"""A proteinaceous scaffold found between homologous chromosomes during meiosis. It consists of 2 lateral elements and a central element, all running parallel to each other. Transverse filaments connect the lateral elements to the central element."" [DOI:10.5772/29752, GOC:elh]"	40	97	5	22122	0.0515463917525773	0.125	query_1	['GO:0099086']	['UBE2I', 'BRCA2', 'BLM', 'RAD51', 'BRCA1']
386	GO:CC	GO:0099086	synaptonemal structure	0.0002417762132159	True	"""A proteinaceous scaffold found between homologous chromosomes during meiosis."" [GOC:elh, GOC:vw]"	40	97	5	22122	0.0515463917525773	0.125	query_1	['GO:0000794', 'GO:0110165']	['UBE2I', 'BRCA2', 'BLM', 'RAD51', 'BRCA1']
387	HPA	HPA:0060102	bronchus; respiratory epithelial cells[≥Medium]	0.0002458314992371	True	bronchus; respiratory epithelial cells[≥Medium]	4930	83	59	11006	0.7108433734939759	0.0119675456389452	query_1	['HPA:0060101']	['PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'DLST', 'HSPA9', 'TP53BP1', 'UBAC2', 'XRCC6', 'DLAT', 'PDHX', 'SETDB2', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PHB2', 'MCAT', 'SDHD', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'MRE11', 'VDAC1', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'BCKDHA']
388	HPA	HPA:0030051	appendix; glandular cells[≥Low]	0.0002488677643094	True	appendix; glandular cells[≥Low]	6741	83	71	11006	0.8554216867469879	0.010532561934431	query_1	['HPA:0030000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'MCAT', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
389	GO:BP	GO:0019538	protein metabolic process	0.0002502587511098	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	5449	96	49	21110	0.5104166666666666	0.0089924756836116	query_1	['GO:0043170', 'GO:0044238', 'GO:1901564']	['PPIF', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'SNX1', 'CDK5RAP3', 'NBN', 'DLST', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'SETDB2', 'DDRGK1', 'UFL1', 'PMPCA', 'PHB2', 'METTL21C', 'BRCA2', 'SETDB1', 'BCKDK', 'SUMO1', 'HSPD1', 'PDK3', 'BLM', 'PIAS1', 'MRE11', 'RAD51', 'AFG3L2', 'HDAC6', 'MOCS3', 'PDK1', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'DLD', 'PDK2', 'TRIM28', 'BARD1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1']
390	GO:BP	GO:0022900	electron transport chain	0.0002627133130102	True	"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]"	176	96	9	21110	0.09375	0.0511363636363636	query_1	['GO:0006091']	['SDHD', 'ISCU', 'GPD1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'NDUFV3']
391	REAC	REAC:R-HSA-3899300	SUMOylation of transcription cofactors	0.0002709023850695	True	SUMOylation of transcription cofactors	41	84	6	10790	0.0714285714285714	0.1463414634146341	query_1	['REAC:R-HSA-3108232']	['UBE2I', 'ZNF350', 'SUMO1', 'PIAS1', 'MBD1', 'TRIM28']
392	GO:BP	GO:0032392	DNA geometric change	0.000283565218285	True	"""The process in which a transformation is induced in the geometry of a DNA double helix, resulting in a change in twist, writhe, or both, but with no change in linking number. Includes the unwinding of double-stranded DNA by helicases."" [GOC:mah]"	85	96	7	21110	0.0729166666666666	0.0823529411764705	query_1	['GO:0071103']	['NBN', 'RAD50', 'XRCC6', 'RPA1', 'BLM', 'MRE11', 'RAD51']
393	GO:MF	GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	0.0003058528199088	True	"""Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a quinone or related compound."" [GOC:jl]"	4	97	3	20195	0.0309278350515463	0.75	query_1	['GO:0016627']	['SDHD', 'SDHB', 'SDHA']
394	GO:BP	GO:0044571	[2Fe-2S] cluster assembly	0.000307910497207	True	"""The incorporation of two iron atoms and two sulfur atoms into an iron-sulfur cluster."" [GOC:jl, GOC:mengo_curators, GOC:pde, GOC:tt, GOC:vw, PMID:15952888]"	11	96	4	21110	0.0416666666666666	0.3636363636363636	query_1	['GO:0016226']	['LYRM4', 'ISCU', 'NFS1', 'NDUFAB1']
395	HPA	HPA:0290000	liver	0.0003391667967893	True	liver	6292	83	68	11006	0.8192771084337349	0.010807374443738	query_1	['HPA:0000000']	['PDK4', 'GCSH', 'SNX1', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'DLAT', 'PDHX', 'SETDB2', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
396	HPA	HPA:0160252	endometrium 1; cells in endometrial stroma[≥Medium]	0.0003422899075964	True	endometrium 1; cells in endometrial stroma[≥Medium]	2232	83	36	11006	0.4337349397590361	0.0161290322580645	query_1	['HPA:0160251']	['UBE2I', 'PDK4', 'GCSH', 'ADSL', 'DLST', 'HSPA9', 'TP53BP1', 'XRCC6', 'PDHX', 'SETDB2', 'H2AX', 'MDC1', 'PHB2', 'MCU', 'SIL1', 'PDHA1', 'SUMO1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'ISCU', 'PDK1', 'SDHB', 'NFS1', 'CBX5', 'MICU1', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'OGDH', 'PHB1', 'BCKDHA']
397	HPA	HPA:0030072	appendix; lymphoid tissue[≥Medium]	0.0003441651723199	True	appendix; lymphoid tissue[≥Medium]	2983	83	43	11006	0.5180722891566265	0.0144150184378142	query_1	['HPA:0030071']	['RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'SNX1', 'ADSL', 'ATF7IP', 'DLST', 'HSPA9', 'XRCC6', 'PAXIP1', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'MDC1', 'PMPCA', 'SDHD', 'RPA1', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'ISCU', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'MBD1', 'NDUFV3', 'PEPD', 'PMPCB', 'OGDH', 'PHB1', 'UFM1']
398	HP	HP:0001941	Acidosis	0.0003662580330401	True	Abnormal acid accumulation or depletion of base.	374	54	17	4851	0.3148148148148148	0.0454545454545454	query_1	['HP:0004360']	['LYRM4', 'DLAT', 'PDHX', 'PDHB', 'PMPCA', 'SDHD', 'DBT', 'BCKDHB', 'PDHA1', 'ISCU', 'SDHB', 'NFS1', 'SDHA', 'DLD', 'PMPCB', 'OGDH', 'BCKDHA']
399	HP	HP:0008775	Abnormal prostate morphology	0.0003734357332422	True	An abnormality of the prostate.	42	54	7	4851	0.1296296296296296	0.1666666666666666	query_1	['HP:0000022']	['NBN', 'RAD50', 'BRCA2', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
400	HPA	HPA:0540053	stomach 1; glandular cells[High]	0.0003758275921473	True	stomach 1; glandular cells[High]	2448	83	38	11006	0.4578313253012048	0.0155228758169934	query_1	['HPA:0540052']	['PDK4', 'GCSH', 'MAIP1', 'CDK5RAP3', 'HSPA9', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'SETDB2', 'PDHB', 'H2AX', 'MCAT', 'SDHD', 'DBT', 'BCKDK', 'BCKDHB', 'RPA1', 'FLYWCH1', 'BLM', 'MRE11', 'AFG3L2', 'ISCU', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'MICU2', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'BCKDHA']
401	GO:BP	GO:0009081	branched-chain amino acid metabolic process	0.0003770883836794	True	"""The chemical reactions and pathways involving amino acids containing a branched carbon skeleton, comprising isoleucine, leucine and valine."" [GOC:ai]"	28	96	5	21110	0.0520833333333333	0.1785714285714285	query_1	['GO:0006520']	['DBT', 'BCKDK', 'BCKDHB', 'DLD', 'BCKDHA']
402	GO:BP	GO:0010564	regulation of cell cycle process	0.0003946938891265	True	"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	726	96	16	21110	0.1666666666666666	0.0220385674931129	query_1	['GO:0022402', 'GO:0051726']	['RBBP8', 'CDK5RAP3', 'NBN', 'TP53BP1', 'RAD50', 'PAXIP1', 'H2AX', 'DDRGK1', 'MDC1', 'PHB2', 'BRCA2', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
403	GO:BP	GO:0030520	intracellular estrogen receptor signaling pathway	0.0004354570797794	True	"""The series of molecular signals initiated by estrogen binding to an intracellular receptor, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	55	96	6	21110	0.0625	0.109090909090909	query_1	['GO:0030518']	['DDRGK1', 'UFL1', 'PHB2', 'BRCA1', 'UBA5', 'UFM1']
404	GO:BP	GO:0008152	metabolic process	0.0004541343040746	True	"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"	14409	96	87	21110	0.90625	0.0060378929835519	query_1	['GO:0008150']	['PPIF', 'RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'ZNF45', 'UBAC2', 'ZNF350', 'XRCC6', 'TALDO1', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'MOCS3', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'STAT5A', 'SDHC', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MFN1', 'ABHD6', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
405	GO:CC	GO:0045252	oxoglutarate dehydrogenase complex	0.0004599186884764	True	"""A complex of multiple copies of three enzymatic components: oxoglutarate dehydrogenase (lipoamide) (E1), dihydrolipoamide S-succinyltransferase (E2) and dihydrolipoamide dehydrogenase (E3); catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and carbon dioxide (CO2)."" [MetaCyc:CPLX66-42, PMID:10848975]"	6	97	3	22122	0.0309278350515463	0.5	query_1	['GO:0045240', 'GO:1990234']	['DLST', 'DLD', 'OGDH']
406	GO:CC	GO:0030870	Mre11 complex	0.0004599186884764	True	"""Trimeric protein complex that possesses endonuclease activity; involved in meiotic recombination, DNA repair and checkpoint signaling. In Saccharomyces cerevisiae, the complex comprises Mre11p, Rad50p, and Xrs2p; complexes identified in other species generally contain proteins orthologous to the Saccharomyces cerevisiae proteins."" [GOC:mah, GOC:vw, PMID:11988766, PMID:17674145]"	6	97	3	22122	0.0309278350515463	0.5	query_1	['GO:0140513']	['NBN', 'RAD50', 'MRE11']
407	GO:BP	GO:0090309	positive regulation of DNA methylation-dependent heterochromatin formation	0.0004602563497081	True	"""Any process that increases the rate, frequency, or extent of DNA methylation-dependent heterochromatin formation."" [GOC:BHF]"	12	96	4	21110	0.0416666666666666	0.3333333333333333	query_1	['GO:0006346', 'GO:0031453', 'GO:0090308']	['ATF7IP', 'SETDB2', 'SETDB1', 'TRIM28']
