Rabson-Mendenhall syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1133	GO:BP	GO:0043062	extracellular structure organization	0.0022739099108922	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	298	100	8	15719	0.08	0.0268456375838926	query_1	['GO:0016043']	['ITGB1', 'ITGB3', 'TGFB1', 'VTN', 'TGFBR1', 'SMAD3', 'ADAM15', 'PDGFRA']
238	REAC	REAC:R-HSA-74713	IRS activation	0.0022762632666327	True	IRS activation	5	97	2	10022	0.0206185567010309	0.4	query_1	['REAC:R-HSA-74751']	['INSR', 'IRS1']
239	REAC	REAC:R-HSA-8949275	RUNX3 Regulates Immune Response and Cell Migration	0.0022762632666327	True	RUNX3 Regulates Immune Response and Cell Migration	5	97	2	10022	0.0206185567010309	0.4	query_1	['REAC:R-HSA-8878159']	['SPP1', 'ITGA4']
240	REAC	REAC:R-HSA-8866376	Reelin signalling pathway	0.0022762632666327	True	Reelin signalling pathway	5	97	2	10022	0.0206185567010309	0.4	query_1	['REAC:R-HSA-422475']	['FYN', 'SH3KBP1']
237	REAC	REAC:R-HSA-112412	SOS-mediated signalling	0.0022762632666327	True	SOS-mediated signalling	5	97	2	10022	0.0206185567010309	0.4	query_1	['REAC:R-HSA-112399']	['SOS1', 'IRS1']
1135	GO:BP	GO:0006949	syncytium formation	0.0023545821090268	True	"""The formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane. Syncytia are normally derived from single cells that fuse or fail to complete cell division."" [ISBN:0198506732]"	62	100	4	15719	0.04	0.064516129032258	query_1	['GO:0009987', 'GO:0048646']	['ITGB1', 'SH3PXD2A', 'ADAM12', 'CD81']
1134	GO:BP	GO:0050854	regulation of antigen receptor-mediated signaling pathway	0.0023545821090268	True	"""Any process that modulates the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a B- or T cell."" [GOC:ai]"	62	100	4	15719	0.04	0.064516129032258	query_1	['GO:0009966', 'GO:0050776', 'GO:0050851']	['LYN', 'CD81', 'LCK', 'CD19']
1136	GO:BP	GO:0072089	stem cell proliferation	0.0023608237555048	True	"""The multiplication or reproduction of stem cells, resulting in the expansion of a stem cell population. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:mtg_kidney_jan10]"	109	100	5	15719	0.05	0.0458715596330275	query_1	['GO:0008283']	['VEGFC', 'CTNNB1', 'TGFBR2', 'TGFB1', 'KDR']
1137	GO:BP	GO:0015749	monosaccharide transmembrane transport	0.0023608237555048	True	"""The process in which a monosaccharide is transported across a lipid bilayer, from one side of a membrane to the other. Monosaccharides are the simplest carbohydrates; they are polyhydric alcohols containing either an aldehyde or a keto group and between three to ten or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides."" [GO_REF:0000069, GOC:TermGenie, GOC:vw]"	109	100	5	15719	0.05	0.0458715596330275	query_1	['GO:0034219']	['C3', 'PIK3R1', 'INSR', 'IRS1', 'PTPN11']
1138	GO:BP	GO:0045229	external encapsulating structure organization	0.0023608237555048	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	300	100	8	15719	0.08	0.0266666666666666	query_1	['GO:0016043']	['ITGB1', 'ITGB3', 'TGFB1', 'VTN', 'TGFBR1', 'SMAD3', 'ADAM15', 'PDGFRA']
1139	GO:BP	GO:0060512	prostate gland morphogenesis	0.0023608237555048	True	"""The process in which the anatomical structures of a prostate gland are generated and organized."" [GOC:dph, PMID:18977204]"	27	100	3	15719	0.03	0.1111111111111111	query_1	['GO:0003006', 'GO:0022612', 'GO:0030850']	['FGFR2', 'TNC', 'ESR1']
1140	GO:BP	GO:1901655	cellular response to ketone	0.0023608237555048	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ketone stimulus."" [GOC:pr, GOC:TermGenie]"	109	100	5	15719	0.05	0.0458715596330275	query_1	['GO:1901654', 'GO:1901701']	['SRC', 'SPP1', 'TGFB1', 'IGF1R', 'ADAM15']
1141	GO:BP	GO:0070570	regulation of neuron projection regeneration	0.0023608237555048	True	"""Any process that modulates the rate, frequency or extent of neuron projection regeneration, the regrowth of neuronal processes such as axons or dendrites following their loss or damage."" [GOC:mah]"	27	100	3	15719	0.03	0.1111111111111111	query_1	['GO:0010975', 'GO:0031102', 'GO:0050793', 'GO:0080135']	['SPP1', 'HGF', 'IGF1R']
1142	GO:BP	GO:1900078	positive regulation of cellular response to insulin stimulus	0.0023608237555048	True	"""Any process that activates or increases the frequency, rate or extent of cellular response to insulin stimulus."" [GOC:TermGenie, GOC:yaf]"	27	100	3	15719	0.03	0.1111111111111111	query_1	['GO:0032869', 'GO:0048522', 'GO:0048584', 'GO:1900076']	['SRC', 'IRS1', 'PTPN11']
102	GO:CC	GO:0031528	microvillus membrane	0.0023835838668729	True	"""The portion of the plasma membrane surrounding a microvillus."" [GOC:mah]"	28	101	3	16420	0.0297029702970297	0.1071428571428571	query_1	['GO:0005902', 'GO:0031253']	['ITGAV', 'ITGB3', 'CTNNB1']
101	GO:CC	GO:0005938	cell cortex	0.0023835838668729	True	"""The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins."" [GOC:mah, ISBN:0815316194]"	311	101	8	16420	0.0792079207920792	0.0257234726688102	query_1	['GO:0005737', 'GO:0071944']	['FGFR2', 'CTNNB1', 'PXN', 'FGB', 'VCL', 'CDH1', 'PTK2B', 'PTK2']
1143	GO:BP	GO:2000116	regulation of cysteine-type endopeptidase activity	0.002386132435652	True	"""Any process that modulates the frequency, rate or extent of cysteine-type endopeptidase activity."" [GOC:obol, GOC:yaf]"	230	100	7	15719	0.07	0.0304347826086956	query_1	['GO:0052548']	['SRC', 'HGF', 'FYN', 'SYK', 'VEGFA', 'LCK', 'SMAD3']
1144	GO:BP	GO:0042593	glucose homeostasis	0.002386132435652	True	"""Any process involved in the maintenance of an internal steady state of glucose within an organism or cell."" [GOC:go_curators]"	230	100	7	15719	0.07	0.0304347826086956	query_1	['GO:0033500']	['PIK3R2', 'PIK3R1', 'INSR', 'PIK3CA', 'IGF1R', 'IRS1', 'PTPN11']
1145	GO:BP	GO:0006606	protein import into nucleus	0.0023983837970118	True	"""The directed movement of a protein from the cytoplasm to the nucleus."" [GOC:jl]"	166	100	6	15719	0.06	0.036144578313253	query_1	['GO:0006886', 'GO:0034504', 'GO:0051170', 'GO:0072594']	['PIK3R2', 'PIK3R1', 'TGFB1', 'SYK', 'CDH1', 'SMAD3']
1146	GO:BP	GO:0006508	proteolysis	0.0024226004832069	True	"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]"	1668	100	22	15719	0.22	0.013189448441247	query_1	['GO:0019538']	['SMURF2', 'SRC', 'SMAD7', 'FGA', 'HGF', 'CTNNB1', 'FYN', 'ADAM19', 'LYN', 'FGB', 'SYK', 'FGG', 'SMURF1', 'PTK2B', 'VEGFA', 'ADAM12', 'VTN', 'PTK2', 'LCK', 'SMAD3', 'ADAM15', 'CBL']
1147	GO:BP	GO:0033500	carbohydrate homeostasis	0.0024416635804369	True	"""A homeostatic process involved in the maintenance of an internal steady state of a carbohydrate within an organism or cell."" [GOC:mah]"	231	100	7	15719	0.07	0.0303030303030303	query_1	['GO:0048878']	['PIK3R2', 'PIK3R1', 'INSR', 'PIK3CA', 'IGF1R', 'IRS1', 'PTPN11']
1148	GO:BP	GO:0044057	regulation of system process	0.0024585881631355	True	"""Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system."" [GOC:jl]"	545	100	11	15719	0.11	0.0201834862385321	query_1	['GO:0003008', 'GO:0051239']	['SRC', 'SPP1', 'SMAD7', 'FGA', 'HGF', 'APOA1', 'FGB', 'FGG', 'PTK2B', 'SMAD3', 'PTPN11']
1149	GO:BP	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.0024938516993454	True	"""Any cell surface receptor signaling pathway that is involved in cell-cell signaling."" [GO_REF:0000060, GOC:TermGenie, ISBN:0-7167-3051-0]"	546	100	11	15719	0.11	0.0201465201465201	query_1	['GO:0007166', 'GO:0007267']	['RAPGEF1', 'C3', 'SMURF2', 'SRC', 'FGFR2', 'PLCG2', 'CTNNB1', 'EGFR', 'SMURF1', 'PTK2B', 'SMAD3']
1150	GO:BP	GO:0065003	protein-containing complex assembly	0.0025571804256892	True	"""The aggregation, arrangement and bonding together of a set of macromolecules to form a protein-containing complex."" [GOC:jl]"	1562	100	21	15719	0.21	0.0134443021766965	query_1	['GO:0022607', 'GO:0043933']	['MET', 'FN1', 'PIK3R2', 'SRC', 'FGA', 'PLCG2', 'PXN', 'MS4A1', 'GRB2', 'APOA1', 'FGB', 'SYK', 'FGG', 'PTK2B', 'VEGFA', 'ESR1', 'VTN', 'TLN1', 'PTK2', 'SMAD3', 'PTPN11']
241	REAC	REAC:R-HSA-5686938	Regulation of TLR by endogenous ligand	0.0025666835394713	True	Regulation of TLR by endogenous ligand	21	97	3	10022	0.0309278350515463	0.1428571428571428	query_1	['REAC:R-HSA-168898']	['FGA', 'FGB', 'FGG']
1151	GO:BP	GO:0031954	positive regulation of protein autophosphorylation	0.0026046152899615	True	"""Any process that activates or increases the frequency, rate or extent of the phosphorylation by a protein of one or more of its own residues."" [GOC:mah]"	28	100	3	15719	0.03	0.1071428571428571	query_1	['GO:0001934', 'GO:0031952', 'GO:0046777']	['SRC', 'VEGFC', 'VEGFA']
1152	GO:BP	GO:0061437	renal system vasculature development	0.0026046152899615	True	"""The process whose specific outcome is the progression of vasculature of the renal system over time, from its formation to the mature structure."" [GOC:dph, GOC:mtg_kidney_jan10, PMID:11891195]"	28	100	3	15719	0.03	0.1071428571428571	query_1	['GO:0001944', 'GO:0072001']	['ITGB3', 'NRP1', 'PDGFRA']
1153	GO:BP	GO:0061440	kidney vasculature development	0.0026046152899615	True	"""The process whose specific outcome is the progression of the vasculature of the kidney over time, from its formation to the mature structure."" [GOC:dph, GOC:mtg_kidney_jan10, PMID:11891195]"	28	100	3	15719	0.03	0.1071428571428571	query_1	['GO:0001822', 'GO:0061437']	['ITGB3', 'NRP1', 'PDGFRA']
1154	GO:BP	GO:0071404	cellular response to low-density lipoprotein particle stimulus	0.0026046152899615	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a low-density lipoprotein particle stimulus."" [GOC:mah]"	28	100	3	15719	0.03	0.1071428571428571	query_1	['GO:0055094', 'GO:0071402']	['ITGB1', 'SYK', 'CD81']
1155	GO:BP	GO:0006911	phagocytosis, engulfment	0.0026092980145749	True	"""The internalization of bacteria, immune complexes and other particulate matter or of an apoptotic cell by phagocytosis, including the membrane and cytoskeletal processes required, which involves one of three mechanisms: zippering of pseudopods around a target via repeated receptor-ligand interactions, sinking of the target directly into plasma membrane of the phagocytosing cell, or induced uptake via an enhanced membrane ruffling of the phagocytosing cell similar to macropinocytosis."" [GOC:curators, ISBN:0781735149]"	64	100	4	15719	0.04	0.0625	query_1	['GO:0006909', 'GO:0099024']	['C3', 'PLCG2', 'FCGR1A', 'IGHM']
1156	GO:BP	GO:0007568	aging	0.0026092980145749	True	"""A developmental process that is a deterioration and loss of function over time. Aging includes loss of functions such as resistance to disease, homeostasis, and fertility, as well as wear and tear. Aging includes cellular senescence, but is more inclusive. May precede death and may succeed developmental maturation (GO:0021700)."" [GOC:PO_curators]"	169	100	6	15719	0.06	0.0355029585798816	query_1	['GO:0032502']	['TGFB3', 'TGFBR2', 'GRB2', 'TGFB1', 'IGF1R', 'VCAM1']
1157	GO:BP	GO:0046634	regulation of alpha-beta T cell activation	0.0026301583043201	True	"""Any process that modulates the frequency, rate or extent of alpha-beta T cell activation."" [GOC:ai]"	112	100	5	15719	0.05	0.0446428571428571	query_1	['GO:0046631', 'GO:0050863']	['SMAD7', 'TGFBR2', 'ZAP70', 'SYK', 'CD81']
1158	GO:BP	GO:0046631	alpha-beta T cell activation	0.0026863892489947	True	"""The change in morphology and behavior of an alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:add]"	170	100	6	15719	0.06	0.0352941176470588	query_1	['GO:0042110']	['SMAD7', 'ITK', 'TGFBR2', 'ZAP70', 'SYK', 'CD81']
103	GO:CC	GO:0005769	early endosome	0.0026913219151704	True	"""A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."" [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]"	397	101	9	16420	0.0891089108910891	0.0226700251889168	query_1	['GO:0005768']	['RAPGEF1', 'EGFR', 'APOA1', 'KDR', 'FCGR1A', 'ERBB2', 'SH3GL2', 'VCAM1', 'NRP1']
1159	GO:BP	GO:0031400	negative regulation of protein modification process	0.0027487059530918	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	467	100	10	15719	0.1	0.0214132762312633	query_1	['GO:0031399', 'GO:0036211', 'GO:0051248']	['PIK3CB', 'SMAD7', 'HGF', 'CTNNB1', 'FYN', 'LYN', 'SH3GL2', 'CRKL', 'CBL', 'SEMA4D']
1160	GO:BP	GO:0050771	negative regulation of axonogenesis	0.002755738953782	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of axonogenesis."" [GOC:ai]"	65	100	4	15719	0.04	0.0615384615384615	query_1	['GO:0007409', 'GO:0010977', 'GO:0050768', 'GO:0050770']	['SPP1', 'CDH1', 'NRP1', 'SEMA4D']
1161	GO:BP	GO:0051170	import into nucleus	0.002762796154186	True	"""The directed movement of substances into the nucleus."" [GOC:ai]"	171	100	6	15719	0.06	0.0350877192982456	query_1	['GO:0006913']	['PIK3R2', 'PIK3R1', 'TGFB1', 'SYK', 'CDH1', 'SMAD3']
1162	GO:BP	GO:0001933	negative regulation of protein phosphorylation	0.0028082411188482	True	"""Any process that stops, prevents or reduces the rate of addition of phosphate groups to amino acids within a protein."" [GOC:hjd]"	309	100	8	15719	0.08	0.0258899676375404	query_1	['GO:0001932', 'GO:0006468', 'GO:0031400', 'GO:0042326']	['PIK3CB', 'SMAD7', 'HGF', 'LYN', 'SH3GL2', 'CRKL', 'CBL', 'SEMA4D']
1163	GO:BP	GO:0021602	cranial nerve morphogenesis	0.0028547143034615	True	"""The process in which the anatomical structure of the cranial nerves are generated and organized. The cranial nerves are composed of twelve pairs of nerves that emanate from the nervous tissue of the hindbrain. These nerves are sensory, motor, or mixed in nature, and provide the motor and general sensory innervation of the head, neck and viscera. They mediate vision, hearing, olfaction and taste and carry the parasympathetic innervation of the autonomic ganglia that control visceral functions."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	29	100	3	15719	0.03	0.1034482758620689	query_1	['GO:0009653', 'GO:0021545']	['NRP2', 'NRP1', 'PLXNA1']
1164	GO:BP	GO:0001773	myeloid dendritic cell activation	0.0028547143034615	True	"""The change in morphology and behavior of a dendritic cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	29	100	3	15719	0.03	0.1034482758620689	query_1	['GO:0002274']	['TGFBR2', 'TGFB1', 'ITGB6']
1165	GO:BP	GO:0055094	response to lipoprotein particle	0.0028547143034615	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipoprotein particle stimulus."" [GOC:BHF, GOC:rl]"	29	100	3	15719	0.03	0.1034482758620689	query_1	['GO:0009719', 'GO:0010243']	['ITGB1', 'SYK', 'CD81']
1166	GO:BP	GO:0034504	protein localization to nucleus	0.0028547143034615	True	"""A process in which a protein transports or maintains the localization of another protein to the nucleus."" [GOC:ecd]"	310	100	8	15719	0.08	0.0258064516129032	query_1	['GO:0033365']	['PIK3R2', 'SRC', 'PIK3R1', 'FYN', 'TGFB1', 'SYK', 'CDH1', 'SMAD3']
1167	GO:BP	GO:0002507	tolerance induction	0.0028547143034615	True	"""A process that directly activates any of the steps required for tolerance, a physiologic state in which the immune system does not react destructively against the components of an organism that harbors it or against antigens that are introduced to it."" [GO_REF:0000022, GOC:jal, ISBN:0781735149]"	29	100	3	15719	0.03	0.1034482758620689	query_1	['GO:0002376', 'GO:0002520']	['TGFBR2', 'LYN', 'TGFB1']
1168	GO:BP	GO:0043269	regulation of monoatomic ion transport	0.0028547143034615	True	"""Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]"	556	100	11	15719	0.11	0.0197841726618705	query_1	['GO:0006811', 'GO:0051049']	['ITGB1', 'ITGB3', 'PLCG2', 'CTNNB1', 'FYN', 'MS4A1', 'LYN', 'TGFB1', 'PLCG1', 'PTK2B', 'CD19']
1169	GO:BP	GO:0032369	negative regulation of lipid transport	0.0028547143034615	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	29	100	3	15719	0.03	0.1034482758620689	query_1	['GO:0006869', 'GO:0032368', 'GO:0051051', 'GO:1905953']	['ITGAV', 'ITGB3', 'PTPN11']
1184	GO:BP	GO:0060017	parathyroid gland development	0.002869501491054	True	"""The process whose specific outcome is the progression of the parathyroid gland over time, from its formation to the mature structure. The parathyroid gland is an organ specialised for secretion of parathyroid hormone."" [GOC:dph, ISBN:0721662544]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0035270', 'GO:0048732']	['CRKL', 'TGFBR1']
1183	GO:BP	GO:0001885	endothelial cell development	0.002869501491054	True	"""The progression of an endothelial cell over time, from its formation to the mature structure."" [GOC:dph]"	66	100	4	15719	0.04	0.0606060606060606	query_1	['GO:0002064', 'GO:0045446']	['MET', 'RAPGEF1', 'VCL', 'VEGFA']
1181	GO:BP	GO:0071863	regulation of cell proliferation in bone marrow	0.002869501491054	True	"""A process that modulates the frequency, rate or extent of cell proliferation in the bone marrow."" [GOC:mah, GOC:yaf, PMID:17063141]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0042127', 'GO:0071838']	['FGFR2', 'SHC1']
1180	GO:BP	GO:0060600	dichotomous subdivision of an epithelial terminal unit	0.002869501491054	True	"""The process in which an epithelial cord, rod or tube bifurcates at its end."" [GOC:dph]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0002009', 'GO:0061138']	['NRP1', 'PLXNA1']
1179	GO:BP	GO:0060440	trachea formation	0.002869501491054	True	"""The process pertaining to the initial formation of a trachea from unspecified parts. The process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the trachea is recognizable. The trachea is the portion of the airway that attaches to the bronchi as it branches."" [GOC:dph]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0048645', 'GO:0060439']	['CTNNB1', 'TGFBR2']
1178	GO:BP	GO:0046847	filopodium assembly	0.002869501491054	True	"""The assembly of a filopodium, a thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone."" [GOC:dph, GOC:mah, GOC:tb, PMID:16337369, PMID:18464790]"	66	100	4	15719	0.04	0.0606060606060606	query_1	['GO:0120031']	['TGFB3', 'PIK3R1', 'TGFBR1', 'NRP1']
1177	GO:BP	GO:0048842	positive regulation of axon extension involved in axon guidance	0.002869501491054	True	"""Any process that activates, maintains or increases the frequency, rate or extent of axon extension involved in axon guidance."" [GOC:devbiol]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0045773', 'GO:0048841', 'GO:0048846', 'GO:0050921']	['VEGFA', 'NRP1']
1182	GO:BP	GO:0060638	mesenchymal-epithelial cell signaling	0.002869501491054	True	"""Any process that mediates the transfer of information from a mesenchymal cell to an epithelial cell where it is received and interpreted."" [GOC:dph]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0007267']	['HGF', 'TNC']
1175	GO:BP	GO:0035995	detection of muscle stretch	0.002869501491054	True	"""The series of events by which a muscle stretch stimulus is received by a cell and converted into a molecular signal."" [PMID:14583192]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0035994', 'GO:0050982']	['CTNNB1', 'PTK2']
1174	GO:BP	GO:0001878	response to yeast	0.002869501491054	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a yeast species."" [PMID:14707091]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0009620']	['CRK', 'PLCG2']
1173	GO:BP	GO:0033029	regulation of neutrophil apoptotic process	0.002869501491054	True	"""Any process that modulates the frequency, rate, or extent of neutrophil apoptotic process."" [GOC:add, GOC:mtg_apoptosis]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0001781', 'GO:0002682', 'GO:0033032', 'GO:2000106']	['PIK3CB', 'PIK3CD']
1172	GO:BP	GO:0043954	cellular component maintenance	0.002869501491054	True	"""The organization process that preserves a cellular component in a stable functional or structural state."" [GOC:dph, GOC:jl, GOC:mah]"	66	100	4	15719	0.04	0.0606060606060606	query_1	['GO:0016043']	['ITGB3', 'INSR', 'FYN', 'IGF1R']
1176	GO:BP	GO:0035754	B cell chemotaxis	0.002869501491054	True	"""The directed movement of a B cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [CL:0000236, GOC:BHF]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0048247']	['PIK3CD', 'PTK2B']
1171	GO:BP	GO:0035790	platelet-derived growth factor receptor-alpha signaling pathway	0.002869501491054	True	"""The series of molecular signals initiated a ligand binding to an alpha-type platelet-derived growth factor receptor (PDGFalpha) on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:yaf, PMID:10372961]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0048008']	['CBL', 'PDGFRA']
1170	GO:BP	GO:1903911	positive regulation of receptor clustering	0.002869501491054	True	"""Any process that activates or increases the frequency, rate or extent of receptor clustering."" [GO_REF:0000058, GOC:als, GOC:TermGenie, PMID:23575248]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0043113', 'GO:1903909', 'GO:1905477']	['TGFB1', 'CD81']
1185	GO:BP	GO:0060828	regulation of canonical Wnt signaling pathway	0.0028873854194763	True	"""Any process that modulates the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes."" [GOC:dph, GOC:sdb_2009, GOC:tb]"	239	100	7	15719	0.07	0.0292887029288702	query_1	['GO:0030111', 'GO:0060070']	['RAPGEF1', 'SMURF2', 'SRC', 'FGFR2', 'CTNNB1', 'EGFR', 'SMAD3']
1186	GO:BP	GO:0051047	positive regulation of secretion	0.0029292631794566	True	"""Any process that activates or increases the frequency, rate or extent of the controlled release of a substance from a cell or a tissue."" [GOC:ai]"	312	100	8	15719	0.08	0.0256410256410256	query_1	['GO:0046903', 'GO:0051046', 'GO:0051050']	['SPP1', 'FGA', 'TGFB3', 'VEGFC', 'FGB', 'SYK', 'FGG', 'PTPN11']
242	REAC	REAC:R-HSA-140875	Common Pathway of Fibrin Clot Formation	0.0029390428383561	True	Common Pathway of Fibrin Clot Formation	22	97	3	10022	0.0309278350515463	0.1363636363636363	query_1	['REAC:R-HSA-140877']	['FGA', 'FGB', 'FGG']
1187	GO:BP	GO:0022411	cellular component disassembly	0.0030042965967527	True	"""A cellular process that results in the breakdown of a cellular component."" [GOC:isa_complete]"	474	100	10	15719	0.1	0.0210970464135021	query_1	['GO:0016043']	['C3', 'ITGB1', 'TGFB3', 'PIK3R1', 'INSR', 'PIK3CA', 'IGF1R', 'SH3GL2', 'TGFBR1', 'ADAM15']
1188	GO:BP	GO:0030278	regulation of ossification	0.0030042965967527	True	"""Any process that modulates the frequency, rate or extent of ossification, the formation of bone or of a bony substance or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:go_curators]"	116	100	5	15719	0.05	0.043103448275862	query_1	['GO:0001503', 'GO:0051239']	['SMAD7', 'TGFB1', 'PTK2B', 'SMAD3', 'PTPN11']
1189	GO:BP	GO:0009620	response to fungus	0.0030118387545323	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a fungus."" [GOC:hb]"	67	100	4	15719	0.04	0.0597014925373134	query_1	['GO:0051707']	['CRK', 'PLCG2', 'TGFB1', 'SYK']
1190	GO:BP	GO:0002260	lymphocyte homeostasis	0.0030118387545323	True	"""The process of regulating the proliferation and elimination of lymphocytes such that the total number of lymphocytes within a whole or part of an organism is stable over time in the absence of an outside stimulus."" [GOC:add, PMID:15826826, PMID:16319493, PMID:16551252, PMID:16551262]"	67	100	4	15719	0.04	0.0597014925373134	query_1	['GO:0001776']	['SOS1', 'LAT', 'LYN', 'TGFB1']
1191	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	0.003035824941695	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1934	100	24	15719	0.24	0.0124095139607032	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['MET', 'PIK3R2', 'SRC', 'SPP1', 'FGFR2', 'TGFB3', 'PIK3R1', 'INSR', 'HGF', 'SHC1', 'CTNNB1', 'TGFB1', 'EGFR', 'APOA1', 'IGF1R', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'IRS1', 'ESR1', 'CD81', 'TGFBR1', 'SMAD3']
1196	GO:BP	GO:2000108	positive regulation of leukocyte apoptotic process	0.0030835288900922	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte apoptotic process."" [GOC:BHF, GOC:mtg_apoptosis]"	30	100	3	15719	0.03	0.1	query_1	['GO:0043065', 'GO:0071887', 'GO:2000106']	['PIK3CB', 'PIK3CD', 'LYN']
1195	GO:BP	GO:0003401	axis elongation	0.0030835288900922	True	"""The developmental growth that results in the elongation of a line that defines polarity or symmetry in an anatomical structure."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	30	100	3	15719	0.03	0.1	query_1	['GO:0060560']	['FGFR2', 'TGFB1', 'ESR1']
1197	GO:BP	GO:0061037	negative regulation of cartilage development	0.0030835288900922	True	"""Any process that decreases the rate, frequency, or extent of cartilage development, the process whose specific outcome is the progression of the cartilage over time, from its formation to the mature structure. Cartilage is a connective tissue dominated by extracellular matrix containing collagen type II and large amounts of proteoglycan, particularly chondroitin sulfate."" [GOC:dph]"	30	100	3	15719	0.03	0.1	query_1	['GO:0051093', 'GO:0051216', 'GO:0051241', 'GO:0061035']	['CTNNB1', 'TGFBR1', 'PTPN11']
