Branchioskeletogenital syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
983	GO:BP	GO:0003323	type B pancreatic cell development	0.0014617551092523	True	"""The process whose specific outcome is the progression of a type B pancreatic cell over time, from its formation to the mature structure. A type B pancreatic cell is a cell located towards center of the islets of Langerhans that secretes insulin."" [CL:0000169, GOC:dph]"	22	99	3	15719	0.0303030303030303	0.1363636363636363	query_1	['GO:0002068', 'GO:0003309']	['AKT1', 'DLL1', 'CDH2']
986	GO:BP	GO:0042180	cellular ketone metabolic process	0.001501162305853	True	"""The chemical reactions and pathways involving any of a class of organic compounds that contain the carbonyl group, CO, and in which the carbonyl group is bonded only to carbon atoms, as carried out by individual cells. The general formula for a ketone is RCOR, where R and R are alkyl or aryl groups."" [GOC:jl, ISBN:0787650153]"	209	99	7	15719	0.0707070707070707	0.0334928229665071	query_1	['GO:0044237', 'GO:0044281', 'GO:0071704']	['REST', 'AKT1', 'NR1H2', 'NCOR2', 'NR1H3', 'SIRT1', 'NCOR1']
987	GO:BP	GO:0044092	negative regulation of molecular function	0.0015061253339641	True	"""Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	971	99	16	15719	0.1616161616161616	0.0164778578784757	query_1	['GO:0065009']	['AKT1', 'SRC', 'PSEN1', 'SIN3A', 'WWTR1', 'SUMO1', 'SIRT1', 'NOTCH1', 'HDAC3', 'KAT2B', 'ESR1', 'APP', 'FOXH1', 'TP53', 'HDAC2', 'KDM1A']
988	GO:BP	GO:0048754	branching morphogenesis of an epithelial tube	0.0015168511595448	True	"""The process in which the anatomical structures of branches in an epithelial tube are generated and organized. A tube is a long hollow cylinder."" [GOC:dgh, GOC:dph, GOC:jid]"	149	99	6	15719	0.0606060606060606	0.0402684563758389	query_1	['GO:0035239', 'GO:0060562', 'GO:0061138']	['SRC', 'CTNNB1', 'AR', 'SMAD4', 'NOTCH1', 'ESR1']
989	GO:BP	GO:0099537	trans-synaptic signaling	0.0015396519223288	True	"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]"	686	99	13	15719	0.1313131313131313	0.0189504373177842	query_1	['GO:0099536']	['AKT1', 'SRC', 'PSEN1', 'KAT2A', 'CTNNB1', 'NCSTN', 'CDH11', 'KMT2A', 'CDH2', 'MECP2', 'CDH1', 'RARA', 'APP']
991	GO:BP	GO:0097306	cellular response to alcohol	0.0015496763709924	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr]"	97	99	5	15719	0.0505050505050505	0.0515463917525773	query_1	['GO:0071310', 'GO:0097305', 'GO:1901701']	['AKT1', 'CTNNB1', 'CTNNA1', 'CDH1', 'JUP']
990	GO:BP	GO:0044784	metaphase/anaphase transition of cell cycle	0.0015496763709924	True	"""The cell cycle process in which a cell progresses from metaphase to anaphase as part of the cell cycle."" [GOC:mtg_cell_cycle]"	97	99	5	15719	0.0505050505050505	0.0515463917525773	query_1	['GO:0033045', 'GO:0044770']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
993	GO:BP	GO:0010611	regulation of cardiac muscle hypertrophy	0.0015585993710816	True	"""Any process that modulates the rate, frequency or extent of the enlargement or overgrowth of all or part of the heart due to an increase in size (not length) of individual cardiac muscle fibers, without cell division."" [GOC:dph, GOC:tb]"	54	99	4	15719	0.0404040404040404	0.074074074074074	query_1	['GO:0003300', 'GO:0014743', 'GO:0043502']	['SMAD4', 'NOTCH1', 'FOXO1', 'SMAD3']
992	GO:BP	GO:0001541	ovarian follicle development	0.0015585993710816	True	"""The process whose specific outcome is the progression of the ovarian follicle over time, from its formation to the mature structure."" [https://www.ncbi.nlm.nih.gov/books/NBK279054/]"	54	99	4	15719	0.0404040404040404	0.074074074074074	query_1	['GO:0003006', 'GO:0008585', 'GO:0048856']	['SRC', 'CTNNA1', 'SMAD4', 'ESR1']
994	GO:BP	GO:0010639	negative regulation of organelle organization	0.0015610806549078	True	"""Any process that decreases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	351	99	9	15719	0.0909090909090909	0.0256410256410256	query_1	['GO:0006996', 'GO:0033043', 'GO:0051129']	['AKT1', 'SRC', 'PIK3R1', 'KAT2A', 'SMAD4', 'KAT2B', 'CTNNA2', 'TP53', 'CDH5']
995	GO:BP	GO:0043085	positive regulation of catalytic activity	0.0015962402248064	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1078	99	17	15719	0.1717171717171717	0.0157699443413729	query_1	['GO:0044093', 'GO:0050790']	['REST', 'UBE2I', 'AKT1', 'SRC', 'PSEN1', 'STAT3', 'APH1B', 'NR1H2', 'CTNNB1', 'NCSTN', 'NR1H3', 'PSENEN', 'EGFR', 'SIRT1', 'APH1A', 'ESR1', 'SMAD3']
996	GO:BP	GO:0010469	regulation of signaling receptor activity	0.0016158546567217	True	"""Any process that modulates the frequency, rate or extent of a signaling receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity."" [GOC:dph, GOC:tb]"	151	99	6	15719	0.0606060606060606	0.0397350993377483	query_1	['GO:0009966', 'GO:0065009']	['NCOA3', 'SRC', 'PSEN1', 'HDAC1', 'APP', 'HDAC2']
997	GO:BP	GO:0043542	endothelial cell migration	0.0016178090834209	True	"""The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:go_curators]"	212	99	7	15719	0.0707070707070707	0.0330188679245283	query_1	['GO:0010631']	['AKT1', 'SIRT1', 'NOTCH1', 'MECP2', 'SP1', 'CDH5', 'JUP']
1003	GO:BP	GO:0007386	compartment pattern specification	0.0016194598823297	True	"""The regionalization process in which embryonic segments are divided into compartments that will result in differences in cell differentiation."" [http://fly.ebi.ac.uk/allied-data/lk/interactive-fly/aimain/1aahome.htm, ISBN:0879694238]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0009952']	['DLL1', 'NOTCH1']
998	GO:BP	GO:0016199	axon midline choice point recognition	0.0016194598823297	True	"""The recognition of molecules at the central nervous system midline choice point by an axon growth cone; this choice point determines whether the growth cone will cross the midline."" [PMID:11376484]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0016198']	['FOXG1', 'APP']
999	GO:BP	GO:1905908	positive regulation of amyloid fibril formation	0.0016194598823297	True	"""Any process that activates or increases the frequency, rate or extent of amyloid fibril formation."" [GO_REF:0000058, GOC:aruk, GOC:bc, GOC:TermGenie, PMID:23106396]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0051247', 'GO:1902905', 'GO:1905906', 'GO:1990000']	['PSEN1', 'APP']
1000	GO:BP	GO:0051097	negative regulation of helicase activity	0.0016194598823297	True	"""Any process that stops or reduces the activity of a helicase."" [GOC:ai]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0032780', 'GO:0043086', 'GO:0051095']	['SIRT1', 'TP53']
1001	GO:BP	GO:0061419	positive regulation of transcription from RNA polymerase II promoter in response to hypoxia	0.0016194598823297	True	"""Any process that increases the frequency, rate or extent of transcription from an RNA polymerase II promoter as a result of a hypoxia stimulus."" [GOC:dph]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0036003', 'GO:0061418', 'GO:1901522']	['RBPJ', 'TP53']
1002	GO:BP	GO:0045899	positive regulation of RNA polymerase II transcription preinitiation complex assembly	0.0016194598823297	True	"""Any process that activates or increases the frequency, rate or extent of RNA polymerase II transcriptional preinitiation complex assembly."" [GOC:go_curators]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0031334', 'GO:0045898', 'GO:0051123', 'GO:0060261']	['ESR1', 'TP53']
1004	GO:BP	GO:0061316	canonical Wnt signaling pathway involved in heart development	0.0016194598823297	True	"""The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes that contributes to the progression of the heart over time. In this pathway, the activated receptor signals via downstream effectors that result in the inhibition of beta-catenin phosphorylation, thereby preventing degradation of beta-catenin. Stabilized beta-catenin can then accumulate and travel to the nucleus to trigger changes in transcription of target genes."" [GOC:mtg_heart]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0003306', 'GO:0060070']	['CTNNB1', 'RBPJ']
1005	GO:BP	GO:1904016	response to Thyroglobulin triiodothyronine	0.0016194598823297	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a Thyroglobulin triiodothyronine stimulus."" [GO_REF:0000071, GOC:TermGenie, PMID:7531505]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0010033']	['NCOA2', 'NCOA1']
1006	GO:BP	GO:0002085	inhibition of neuroepithelial cell differentiation	0.0016194598823297	True	"""Any process that prevents the activation of neuroepithelial cell differentiation. Neuroepithelial cell differentiation is the process in which epiblast cells acquire specialized features of neuroepithelial cells."" [GOC:dph, PMID:16678814]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0022603', 'GO:0030857', 'GO:0045995', 'GO:0048505', 'GO:0060563']	['DLL1', 'NOTCH1']
1007	GO:BP	GO:0048550	negative regulation of pinocytosis	0.0016194598823297	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of pinocytosis. Pinocytosis is the process in which cells take in liquid material from their external environment; literally 'cell drinking'. Liquid is enclosed in vesicles, formed by invagination of the plasma membrane. These vesicles then move into the cell and pass their contents to endosomes."" [GOC:go_curators]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0006907', 'GO:0045806', 'GO:0048548']	['NR1H2', 'NR1H3']
1008	GO:BP	GO:0051176	positive regulation of sulfur metabolic process	0.0016194598823297	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving sulfur or compounds containing sulfur."" [GOC:ai]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0006790', 'GO:0031325', 'GO:0042762']	['CTNNB1', 'SP1']
1011	GO:BP	GO:0048714	positive regulation of oligodendrocyte differentiation	0.0016303637277851	True	"""Any process that activates or increases the frequency, rate or extent of oligodendrocyte differentiation."" [GOC:vp, PMID:15139015]"	23	99	3	15719	0.0303030303030303	0.1304347826086956	query_1	['GO:0045687', 'GO:0048709', 'GO:0048713']	['HDAC1', 'PRMT5', 'HDAC2']
1009	GO:BP	GO:0090042	tubulin deacetylation	0.0016303637277851	True	"""The removal of an acetyl group from tubulin. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."" [GOC:BHF, GOC:dph, GOC:tb]"	23	99	3	15719	0.0303030303030303	0.1304347826086956	query_1	['GO:0006476']	['KAT2A', 'EP300', 'KAT2B']
1010	GO:BP	GO:0060444	branching involved in mammary gland duct morphogenesis	0.0016303637277851	True	"""The process in which the branching structure of the mammary gland duct is generated and organized. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk."" [GOC:dph]"	23	99	3	15719	0.0303030303030303	0.1304347826086956	query_1	['GO:0048754', 'GO:0060603']	['SRC', 'AR', 'ESR1']
1012	GO:BP	GO:2000179	positive regulation of neural precursor cell proliferation	0.0016397834313899	True	"""Any process that activates or increases the frequency, rate or extent of neural precursor cell proliferation."" [GOC:dph, GOC:yaf]"	55	99	4	15719	0.0404040404040404	0.0727272727272727	query_1	['GO:0008284', 'GO:0061351', 'GO:2000177']	['CTNNB1', 'FOXG1', 'NOTCH1', 'KDM1A']
1013	GO:BP	GO:0003229	ventricular cardiac muscle tissue development	0.0016397834313899	True	"""The process whose specific outcome is the progression of ventricular cardiac muscle over time, from its formation to the mature structure."" [GOC:mtg_heart]"	55	99	4	15719	0.0404040404040404	0.0727272727272727	query_1	['GO:0048738']	['SMAD4', 'NOTCH1', 'RBPJ', 'FOXH1']
161	REAC	REAC:R-HSA-9022699	MECP2 regulates neuronal receptors and channels	0.0016439011944476	True	MECP2 regulates neuronal receptors and channels	15	98	3	10022	0.0306122448979591	0.2	query_1	['REAC:R-HSA-8986944']	['HDAC1', 'SIN3A', 'HDAC2']
1014	GO:BP	GO:0032760	positive regulation of tumor necrosis factor production	0.0016626767711337	True	"""Any process that activates or increases the frequency, rate or extent of tumor necrosis factor production."" [GO_REF:0000058, GOC:TermGenie, PMID:10891884, PMID:15560120]"	99	99	5	15719	0.0505050505050505	0.0505050505050505	query_1	['GO:0032640', 'GO:0032680', 'GO:1903557']	['PSEN1', 'STAT3', 'PIK3R1', 'APP', 'HDAC2']
1015	GO:BP	GO:0045639	positive regulation of myeloid cell differentiation	0.0016626767711337	True	"""Any process that activates or increases the frequency, rate or extent of myeloid cell differentiation."" [GOC:go_curators]"	99	99	5	15719	0.0505050505050505	0.0505050505050505	query_1	['GO:0030099', 'GO:0045597', 'GO:0045637']	['STAT3', 'FOXO3', 'RUNX1', 'NOTCH2', 'RCOR1']
1016	GO:BP	GO:0002218	activation of innate immune response	0.0016798228856624	True	"""Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."" [GO_REF:0000022, GOC:add, GOC:mtg_sensu, ISBN:0781735149, PMID:15199967, PMID:16177805]"	214	99	7	15719	0.0707070707070707	0.0327102803738317	query_1	['GO:0002253', 'GO:0045089']	['CREBBP', 'SRC', 'SIN3A', 'NR1H3', 'EP300', 'GPS2', 'ESR1']
1017	GO:BP	GO:0042176	regulation of protein catabolic process	0.0016912771698402	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:go_curators, GOC:jl]"	356	99	9	15719	0.0909090909090909	0.0252808988764044	query_1	['GO:0009894', 'GO:0030163', 'GO:0051246']	['AKT1', 'PSEN1', 'SUMO1', 'EGFR', 'SMAD4', 'CDH1', 'FOXO1', 'SMAD3', 'SMARCC1']
1018	GO:BP	GO:0051494	negative regulation of cytoskeleton organization	0.001695934989481	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]"	153	99	6	15719	0.0606060606060606	0.0392156862745098	query_1	['GO:0007010', 'GO:0010639', 'GO:0051493']	['PIK3R1', 'KAT2A', 'SMAD4', 'KAT2B', 'CTNNA2', 'CDH5']
1019	GO:BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	0.0017347116667317	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	100	99	5	15719	0.0505050505050505	0.05	query_1	['GO:0097193', 'GO:1902532', 'GO:2001234', 'GO:2001242']	['AKT1', 'SRC', 'HDAC1', 'SIRT1', 'KDM1A']
1020	GO:BP	GO:0014743	regulation of muscle hypertrophy	0.0017453992631739	True	"""Any process that modulates the frequency, rate or extent of muscle hypertrophy."" [GOC:mtg_muscle]"	56	99	4	15719	0.0404040404040404	0.0714285714285714	query_1	['GO:0014896', 'GO:0090257']	['SMAD4', 'NOTCH1', 'FOXO1', 'SMAD3']
1021	GO:BP	GO:0090316	positive regulation of intracellular protein transport	0.001750661899861	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of proteins within cells."" [GOC:tb]"	154	99	6	15719	0.0606060606060606	0.0389610389610389	query_1	['GO:0006886', 'GO:0032388', 'GO:0033157', 'GO:0051222']	['PSEN1', 'PIK3R1', 'HDAC3', 'CDH1', 'SMAD3', 'JUP']
162	REAC	REAC:R-HSA-5688426	Deubiquitination	0.0017542384903633	True	Deubiquitination	281	98	10	10022	0.1020408163265306	0.0355871886120996	query_1	['REAC:R-HSA-597592']	['SMAD1', 'KAT2A', 'AR', 'SMAD2', 'SMAD4', 'EP300', 'KAT2B', 'ESR1', 'TP53', 'SMAD3']
1022	GO:BP	GO:1901565	organonitrogen compound catabolic process	0.0017921595695814	True	"""The chemical reactions and pathways resulting in the breakdown of organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	1302	99	19	15719	0.1919191919191919	0.0145929339477726	query_1	['GO:1901564', 'GO:1901575']	['UBE2I', 'AKT1', 'ADAM10', 'PSEN1', 'CTNNB1', 'TBL1X', 'WWTR1', 'SUMO1', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH1', 'FOXO1', 'PDE8A', 'TBL1XR1', 'SMAD3', 'SMARCC1', 'HIPK2']
1024	GO:BP	GO:0060065	uterus development	0.0018312568677233	True	"""The reproductive developmental process whose specific outcome is the progression of the uterus over time, from its formation to the mature structure."" [GOC:dph, GOC:ebc]"	24	99	3	15719	0.0303030303030303	0.125	query_1	['GO:0048513', 'GO:0048608']	['SRC', 'SMAD4', 'ESR1']
1023	GO:BP	GO:1902455	negative regulation of stem cell population maintenance	0.0018312568677233	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of stem cell population maintenance."" [GOC:hjd, GOC:TermGenie, PMID:22969033]"	24	99	3	15719	0.0303030303030303	0.125	query_1	['GO:0019827', 'GO:0051093', 'GO:0051241', 'GO:2000036']	['HDAC1', 'SIN3A', 'HDAC2']
75	GO:CC	GO:0016327	apicolateral plasma membrane	0.001832432892347	True	"""The apical end of the lateral plasma membrane of epithelial cells."" [GOC:hb]"	23	100	3	16420	0.03	0.1304347826086956	query_1	['GO:0098590']	['CTNNB1', 'CDH2', 'JUP']
1025	GO:BP	GO:0050807	regulation of synapse organization	0.0018570829292885	True	"""Any process that modulates the physical form of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:dph, GOC:tb]"	218	99	7	15719	0.0707070707070707	0.0321100917431192	query_1	['GO:0050803', 'GO:0050808', 'GO:0051128']	['AKT1', 'ADAM10', 'PSEN1', 'CTNNB1', 'CDH2', 'CTNNA2', 'APP']
1026	GO:BP	GO:0043388	positive regulation of DNA binding	0.0018570829292885	True	"""Any process that increases the frequency, rate or extent of DNA binding. DNA binding is any process in which a gene product interacts selectively with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb]"	57	99	4	15719	0.0404040404040404	0.0701754385964912	query_1	['GO:0051099', 'GO:0051101']	['CTNNB1', 'EP300', 'SKI', 'HIPK2']
1027	GO:BP	GO:0061005	cell differentiation involved in kidney development	0.0018570829292885	True	"""The process in which relatively unspecialized cells acquire specialized structural and/or functional features that characterize the cells of the kidney as it progresses from its formation to the mature state."" [GOC:mtg_kidney_jan10]"	57	99	4	15719	0.0404040404040404	0.0701754385964912	query_1	['GO:0001822', 'GO:0030154']	['CTNNB1', 'WWTR1', 'NOTCH1', 'NOTCH2']
1028	GO:BP	GO:1990845	adaptive thermogenesis	0.0018622527012411	True	"""The regulated production of heat in response to short term environmental changes, such as stress, diet or reduced temperature."" [PMID:17260010, PMID:20363363]"	156	99	6	15719	0.0606060606060606	0.0384615384615384	query_1	['GO:0008152']	['NR1H2', 'NR1H3', 'NOTCH1', 'RBPJ', 'HDAC3', 'KDM1A']
1029	GO:BP	GO:0070372	regulation of ERK1 and ERK2 cascade	0.0018652204925573	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:add, ISBN:0121245462, ISBN:0896039986]"	287	99	8	15719	0.0808080808080808	0.0278745644599303	query_1	['GO:0043408', 'GO:0070371']	['SRC', 'EGFR', 'SMAD4', 'NOTCH1', 'NOTCH2', 'PRMT5', 'PDE8A', 'APP']
1030	GO:BP	GO:1902106	negative regulation of leukocyte differentiation	0.0018799537123828	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of leukocyte differentiation."" [GOC:add, GOC:TermGenie]"	102	99	5	15719	0.0505050505050505	0.0490196078431372	query_1	['GO:0002521', 'GO:1902105', 'GO:1903707']	['CBFB', 'PIK3R1', 'CTNNB1', 'RUNX1', 'RARA']
1031	GO:BP	GO:0051100	negative regulation of binding	0.0019209154633338	True	"""Any process that stops or reduces the rate or extent of binding, the selective interaction of a molecule with one or more specific sites on another molecule."" [GOC:ai]"	157	99	6	15719	0.0606060606060606	0.0382165605095541	query_1	['GO:0044092', 'GO:0051098']	['AKT1', 'PSEN1', 'SIN3A', 'SUMO1', 'HDAC2', 'KDM1A']
76	GO:CC	GO:0097060	synaptic membrane	0.001923674097954	True	"""A specialized area of membrane on either the presynaptic or the postsynaptic side of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell."" [GOC:BHF, PMID:20410104]"	364	100	9	16420	0.09	0.0247252747252747	query_1	['GO:0045202', 'GO:0098590']	['ADAM10', 'SRC', 'PSEN1', 'CTNNB1', 'NCSTN', 'PSENEN', 'CDH2', 'APH1A', 'CDH10']
1032	GO:BP	GO:0002263	cell activation involved in immune response	0.0019472963788553	True	"""A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	289	99	8	15719	0.0808080808080808	0.0276816608996539	query_1	['GO:0001775', 'GO:0002252', 'GO:0006955']	['PSEN1', 'STAT3', 'KMT2A', 'DLL1', 'NOTCH2', 'RARA', 'APP', 'TP53']
1033	GO:BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	0.0019585147874354	True	"""Any process that activates or increases the frequency, rate or extent of tumor necrosis factor superfamily cytokine production."" [GO_REF:0000058, GOC:TermGenie, PMID:24187568]"	103	99	5	15719	0.0505050505050505	0.0485436893203883	query_1	['GO:0001819', 'GO:0071706', 'GO:1903555']	['PSEN1', 'STAT3', 'PIK3R1', 'APP', 'HDAC2']
1034	GO:BP	GO:0043500	muscle adaptation	0.0019585147874354	True	"""A process in which muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities."" [GOC:mtg_muscle, PMID:11181628, PMID:11449884, PMID:12605307]"	103	99	5	15719	0.0505050505050505	0.0485436893203883	query_1	['GO:0003012', 'GO:0050896']	['FOXO3', 'SMAD4', 'NOTCH1', 'FOXO1', 'SMAD3']
164	REAC	REAC:R-HSA-180292	GAB1 signalosome	0.0019605358835868	True	GAB1 signalosome	16	98	3	10022	0.0306122448979591	0.1875	query_1	['REAC:R-HSA-177929']	['SRC', 'PIK3R1', 'EGFR']
165	REAC	REAC:R-HSA-159418	Recycling of bile acids and salts	0.0019605358835868	True	Recycling of bile acids and salts	16	98	3	10022	0.0306122448979591	0.1875	query_1	['REAC:R-HSA-194068']	['RXRA', 'NCOA2', 'NCOA1']
163	REAC	REAC:R-HSA-1912420	Pre-NOTCH Processing in Golgi	0.0019605358835868	True	Pre-NOTCH Processing in Golgi	16	98	3	10022	0.0306122448979591	0.1875	query_1	['REAC:R-HSA-1912422']	['NOTCH3', 'NOTCH1', 'NOTCH2']
1035	GO:BP	GO:0051145	smooth muscle cell differentiation	0.00196796705639	True	"""The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary."" [CL:0000192, GOC:ai]"	58	99	4	15719	0.0404040404040404	0.0689655172413793	query_1	['GO:0042692']	['CTNNB1', 'SIRT1', 'NOTCH1', 'MECP2']
1036	GO:BP	GO:0099536	synaptic signaling	0.0019838447961175	True	"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]"	708	99	13	15719	0.1313131313131313	0.0183615819209039	query_1	['GO:0007267']	['AKT1', 'SRC', 'PSEN1', 'KAT2A', 'CTNNB1', 'NCSTN', 'CDH11', 'KMT2A', 'CDH2', 'MECP2', 'CDH1', 'RARA', 'APP']
77	GO:CC	GO:0000791	euchromatin	0.0020071566797055	True	"""A dispersed and relatively uncompacted form of chromatin that is in a transcription-competent conformation."" [PMID:32017156]"	57	100	4	16420	0.04	0.0701754385964912	query_1	['GO:0000785']	['CTNNB1', 'SIRT1', 'SP1', 'ESR1']
1037	GO:BP	GO:0001817	regulation of cytokine production	0.0020085089214229	True	"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]"	709	99	13	15719	0.1313131313131313	0.0183356840620592	query_1	['GO:0001816', 'GO:0010468', 'GO:0051239']	['SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'DLL1', 'SIRT1', 'SMAD4', 'RUNX1', 'RARA', 'APP', 'SMAD3', 'HDAC2']
1040	GO:BP	GO:0031065	positive regulation of histone deacetylation	0.0020396536412554	True	"""Any process that activates or increases the frequency, rate or extent of the removal of acetyl groups from histones."" [GOC:mah]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0016575', 'GO:0031063', 'GO:0090312']	['CTBP1', 'SIRT1', 'TP53']
1039	GO:BP	GO:0006346	DNA methylation-dependent heterochromatin formation	0.0020396536412554	True	"""Repression of transcription by methylation of DNA, leading to the formation of heterochromatin."" [GOC:mah]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0140718']	['HDAC1', 'SIRT1', 'KDM1A']
1038	GO:BP	GO:0060740	prostate gland epithelium morphogenesis	0.0020396536412554	True	"""The process in which the anatomical structures of epithelia of the prostate gland are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."" [GOC:dph]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0002009', 'GO:0003006', 'GO:0060512']	['AR', 'NOTCH1', 'ESR1']
1041	GO:BP	GO:0010632	regulation of epithelial cell migration	0.0020404644259645	True	"""Any process that modulates the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	222	99	7	15719	0.0707070707070707	0.0315315315315315	query_1	['GO:0010631', 'GO:0030334', 'GO:0051239']	['AKT1', 'SRC', 'SIRT1', 'NOTCH1', 'MECP2', 'SP1', 'JUP']
1042	GO:BP	GO:0097191	extrinsic apoptotic signaling pathway	0.0020404644259645	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with either a ligand binding to a cell surface receptor, or a ligand being withdrawn from a cell surface receptor (e.g. in the case of signaling by dependence receptors), and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis, GOC:yaf, PMID:17340152]"	222	99	7	15719	0.0707070707070707	0.0315315315315315	query_1	['GO:0007166', 'GO:0097190']	['AKT1', 'SRC', 'PIK3R1', 'AR', 'CTNNA1', 'SMAD3', 'SKIL']
1043	GO:BP	GO:0006796	phosphate-containing compound metabolic process	0.0020675679299539	True	"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]"	2612	99	30	15719	0.303030303030303	0.0114854517611026	query_1	['GO:0006793']	['SMAD1', 'MAML1', 'CTBP1', 'AKT1', 'CDK8', 'ADAM10', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'NR1H2', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'MECP2', 'HDAC3', 'KAT2B', 'PDE8A', 'RARA', 'APP', 'TP53', 'PKN3', 'CDH5', 'SMAD3', 'HDAC2', 'HIPK2']
