LMNA-related cardiocutaneous progeria syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
230	GO:BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	2.729149322489774e-05	True	"""Any process that modulates the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	63	100	6	15719	0.06	0.0952380952380952	query_1	['GO:0010833', 'GO:0032204']	['ATR', 'PARP1', 'XRCC5', 'ERCC4', 'ATM', 'PNKP']
231	GO:BP	GO:0045132	meiotic chromosome segregation	2.7665553329774463e-05	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets during M phase of the meiotic cell cycle."" [GOC:ai, GOC:mah]"	98	100	7	15719	0.07	0.0714285714285714	query_1	['GO:0098813', 'GO:0140013', 'GO:1903046']	['BRIP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RMI1']
103	REAC	REAC:R-HSA-68867	Assembly of the pre-replicative complex	2.823774187340636e-05	True	Assembly of the pre-replicative complex	142	96	9	10022	0.09375	0.0633802816901408	query_1	['REAC:R-HSA-69002']	['MCM6', 'MCM5', 'MCM7', 'H2AX', 'MCM4', 'MCM2', 'MCM3', 'ORC4', 'ORC2']
63	GO:CC	GO:0000785	chromatin	2.9997831241989155e-05	True	"""The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."" [GOC:elh, PMID:20404130]"	1279	101	22	16420	0.2178217821782178	0.0172009382329945	query_1	['GO:0005694', 'GO:0110165']	['MCM7', 'FANCI', 'RAD51AP1', 'H2AX', 'RPA2', 'POLE4', 'POLA1', 'PCNA', 'AR', 'PARP1', 'APTX', 'FANCD2', 'POLE3', 'RAD51', 'MCM2', 'CHRAC1', 'XRCC1', 'KAT5', 'TP53', 'BANF1', 'ORC2', 'MSH6']
232	GO:BP	GO:0035556	intracellular signal transduction	3.1279010603929264e-05	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	100	35	15719	0.35	0.0137524557956778	query_1	['GO:0007165']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'PAXIP1', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'AR', 'PARP1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'POLB', 'BARD1', 'TP53', 'MSH6']
233	GO:BP	GO:0000076	DNA replication checkpoint signaling	3.212774703381806e-05	True	"""A signal transduction process that contributes to a DNA replication checkpoint, that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome."" [GOC:curators, GOC:rn, PMID:11728327, PMID:12537518]"	17	100	4	15719	0.04	0.2352941176470588	query_1	['GO:0031570']	['HUS1', 'RAD9B', 'RAD9A', 'HUS1B']
234	GO:BP	GO:0045191	regulation of isotype switching	3.2458939153932e-05	True	"""Any process that modulates the frequency, rate or extent of isotype switching."" [GOC:ai]"	37	100	5	15719	0.05	0.1351351351351351	query_1	['GO:0000018', 'GO:0002637', 'GO:0002889', 'GO:0045190', 'GO:0050864']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
104	REAC	REAC:R-HSA-1834941	STING mediated induction of host immune responses	3.4222515463313694e-05	True	STING mediated induction of host immune responses	15	96	4	10022	0.0416666666666666	0.2666666666666666	query_1	['REAC:R-HSA-1834949']	['XRCC6', 'XRCC5', 'MRE11', 'PRKDC']
235	GO:BP	GO:0010638	positive regulation of organelle organization	3.62260484140592e-05	True	"""Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	508	100	14	15719	0.14	0.0275590551181102	query_1	['GO:0006996', 'GO:0033043', 'GO:0051130']	['NBN', 'RAD50', 'RAD51AP1', 'LIG4', 'FEN1', 'ATR', 'ERCC1', 'XRCC5', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'TP53', 'PNKP']
236	GO:BP	GO:1905168	positive regulation of double-strand break repair via homologous recombination	3.687538371803545e-05	True	"""Any process that activates or increases the frequency, rate or extent of double-strand break repair via homologous recombination."" [GO_REF:0000058, GOC:TermGenie, PMID:12023299]"	38	100	5	15719	0.05	0.131578947368421	query_1	['GO:0000724', 'GO:0010569', 'GO:0045911', 'GO:2000781']	['RBBP8', 'RAD51AP1', 'WDR48', 'PARP1', 'KAT5']
237	GO:BP	GO:0045321	leukocyte activation	4.208134252002332e-05	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	920	100	19	15719	0.19	0.0206521739130434	query_1	['GO:0001775', 'GO:0002376']	['NBN', 'MSH2', 'TP53BP1', 'DCLRE1C', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'PRKDC', 'KAT5', 'TP53', 'RNF8', 'MSH6']
241	GO:BP	GO:0000019	regulation of mitotic recombination	4.4452301671501785e-05	True	"""Any process that modulates the frequency, rate or extent of DNA recombination during mitosis."" [GOC:go_curators]"	6	100	3	15719	0.03	0.5	query_1	['GO:0000018', 'GO:0006312']	['RAD50', 'MLH1', 'MRE11']
238	GO:BP	GO:0043504	mitochondrial DNA repair	4.4452301671501785e-05	True	"""The process of restoring mitochondrial DNA after damage."" [PMID:12565799, PMID:15189144, PMID:16050976]"	6	100	3	15719	0.03	0.5	query_1	['GO:0006281', 'GO:0032042']	['LIG3', 'PARP1', 'TP53']
239	GO:BP	GO:0043570	maintenance of DNA repeat elements	4.4452301671501785e-05	True	"""Any process involved in sustaining the fidelity and copy number of DNA repeat elements."" [GOC:jl]"	6	100	3	15719	0.03	0.5	query_1	['GO:0006259', 'GO:0051276']	['MSH2', 'MSH3', 'RMI2']
240	GO:BP	GO:0051105	regulation of DNA ligation	4.4452301671501785e-05	True	"""Any process that modulates the frequency, rate or extent of DNA ligation, the re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [GOC:ai]"	6	100	3	15719	0.03	0.5	query_1	['GO:0006266', 'GO:0051052']	['APLF', 'RAD51', 'XRCC1']
105	REAC	REAC:R-HSA-110312	Translesion synthesis by REV1	4.486831201924438e-05	True	Translesion synthesis by REV1	16	96	4	10022	0.0416666666666666	0.25	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
64	GO:CC	GO:0016363	nuclear matrix	4.77321019245062e-05	True	"""The dense fibrillar network lying on the inner side of the nuclear membrane."" [ISBN:0582227089]"	127	101	7	16420	0.0693069306930693	0.0551181102362204	query_1	['GO:0034399', 'GO:0110165']	['LMNA', 'HLTF', 'PAXIP1', 'OGG1', 'POLA1', 'BLM', 'TP53']
242	GO:BP	GO:0009059	macromolecule biosynthetic process	4.864656711973904e-05	True	"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	4375	100	49	15719	0.49	0.0112	query_1	['GO:0043170', 'GO:1901576']	['RBBP8', 'BRIP1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'PNKP', 'POLE', 'POLD2', 'ORC2', 'RNF8']
244	GO:BP	GO:0035518	histone H2A monoubiquitination	4.948692185427285e-05	True	"""The modification of histone H2A by addition of a single ubiquitin group."" [PMID:18206970]"	19	100	4	15719	0.04	0.2105263157894736	query_1	['GO:0010390', 'GO:0033522']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1']
243	GO:BP	GO:0008340	determination of adult lifespan	4.948692185427285e-05	True	"""The pathways that regulate the duration of the adult phase of the life-cycle of an animal."" [PMID:25561524, PMID:273723695, PMID:3424805]"	19	100	4	15719	0.04	0.2105263157894736	query_1	['GO:0032501']	['MSH2', 'ATM', 'TP53', 'MSH6']
245	GO:BP	GO:0051172	negative regulation of nitrogen compound metabolic process	5.332753118703358e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2264	100	32	15719	0.32	0.0141342756183745	query_1	['GO:0006807', 'GO:0009892', 'GO:0051171']	['RBBP8', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'MLH1', 'MSH3', 'OGG1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'BLM', 'ATM', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'ORC2', 'RNF8', 'MSH6']
106	REAC	REAC:R-HSA-5656121	Translesion synthesis by POLI	5.716547133030293e-05	True	Translesion synthesis by POLI	17	96	4	10022	0.0416666666666666	0.2352941176470588	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
107	REAC	REAC:R-HSA-5655862	Translesion synthesis by POLK	5.716547133030293e-05	True	Translesion synthesis by POLK	17	96	4	10022	0.0416666666666666	0.2352941176470588	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
66	GO:CC	GO:0000808	origin recognition complex	6.478937558664727e-05	True	"""A multisubunit complex that is located at the replication origins of a chromosome."" [GOC:elh]"	9	101	3	16420	0.0297029702970297	0.3333333333333333	query_1	['GO:0005694', 'GO:0032991']	['MCM2', 'ORC4', 'ORC2']
65	GO:CC	GO:0005664	nuclear origin of replication recognition complex	6.478937558664727e-05	True	"""A multisubunit complex that is located at the replication origins of a chromosome in the nucleus."" [GOC:elh]"	9	101	3	16420	0.0297029702970297	0.3333333333333333	query_1	['GO:0000228', 'GO:0000808', 'GO:0140513']	['MCM2', 'ORC4', 'ORC2']
246	GO:BP	GO:2000573	positive regulation of DNA biosynthetic process	7.113043849050463e-05	True	"""Any process that activates or increases the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	75	100	6	15719	0.06	0.08	query_1	['GO:0010557', 'GO:0031328', 'GO:0051054', 'GO:0071897', 'GO:2000278']	['USP1', 'PCNA', 'ATR', 'XRCC5', 'ATM', 'PNKP']
247	GO:BP	GO:0032042	mitochondrial DNA metabolic process	7.475498207319856e-05	True	"""The chemical reactions and pathways involving mitochondrial DNA."" [GOC:mah]"	21	100	4	15719	0.04	0.1904761904761904	query_1	['GO:0000002', 'GO:0006259']	['LIG3', 'PARP1', 'TOP3A', 'TP53']
248	GO:BP	GO:0045002	double-strand break repair via single-strand annealing	7.495389358002075e-05	True	"""Repair of a DSB made between two repeated sequences oriented in the same direction occurs primarily by the single strand annealing pathway. The ends of the break are processed by a 5' to 3' exonuclease, exposing complementary single-strand regions of the direct repeats that can anneal, resulting in a deletion of the unique DNA between the direct repeats."" [PMID:11606529]"	7	100	3	15719	0.03	0.4285714285714285	query_1	['GO:0006302']	['RBBP8', 'RAD52', 'OGG1']
249	GO:BP	GO:0051096	positive regulation of helicase activity	7.495389358002075e-05	True	"""Any process that activates or increases the activity of a helicase."" [GOC:ai]"	7	100	3	15719	0.03	0.4285714285714285	query_1	['GO:0032781', 'GO:0043085', 'GO:0051095']	['MSH2', 'MSH3', 'MSH6']
250	GO:BP	GO:0044271	cellular nitrogen compound biosynthetic process	7.604875079485021e-05	True	"""The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]"	4445	100	49	15719	0.49	0.011023622047244	query_1	['GO:0034641', 'GO:0044249']	['RBBP8', 'BRIP1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'PNKP', 'POLE', 'POLD2', 'ORC2', 'RNF8']
108	REAC	REAC:R-HSA-110320	Translesion Synthesis by POLH	9.089769278529875e-05	True	Translesion Synthesis by POLH	19	96	4	10022	0.0416666666666666	0.2105263157894736	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
251	GO:BP	GO:0007059	chromosome segregation	9.920510485932308e-05	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]"	411	100	12	15719	0.12	0.0291970802919708	query_1	['GO:0022402']	['BRIP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'TOP3A', 'BRCA1', 'KAT5', 'RMI2', 'RMI1', 'BANF1']
252	GO:BP	GO:0016574	histone ubiquitination	0.0001008894989868	True	"""The modification of histones by addition of ubiquitin groups."" [GOC:ai]"	47	100	5	15719	0.05	0.1063829787234042	query_1	['GO:0016567', 'GO:0016570']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1', 'RNF8']
253	GO:BP	GO:0048519	negative regulation of biological process	0.0001055691567446	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5055	100	53	15719	0.53	0.010484668644906	query_1	['GO:0008150', 'GO:0050789']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'LIG4', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'EMD', 'RMI2', 'TP53', 'NEIL1', 'BANF1', 'ORC2', 'RNF8', 'MSH6']
254	GO:BP	GO:1901976	regulation of cell cycle checkpoint	0.000111176826517	True	"""Any process that modulates the frequency, rate or extent of cell cycle checkpoint."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:23028116]"	48	100	5	15719	0.05	0.1041666666666666	query_1	['GO:0000075', 'GO:1901987', 'GO:1902531']	['RPA2', 'BRCA2', 'RAD51', 'BRCA1', 'BARD1']
255	GO:BP	GO:0033313	meiotic cell cycle checkpoint signaling	0.0001165738899047	True	"""A signaling process that contributes to a meiotic cell cycle checkpoint that ensures accurate chromosome replication and segregation by preventing progression through a meiotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]"	8	100	3	15719	0.03	0.375	query_1	['GO:0000075', 'GO:1903046']	['HUS1', 'RAD1', 'HUS1B']
67	GO:CC	GO:0070310	ATR-ATRIP complex	0.0001239969582519	True	"""A protein complex that contains the protein kinase ATR and ATR-interacting protein (ATRIP) and binds single-stranded DNA; ssDNA binding affinity is increased in the presence of replication protein A."" [GOC:mah, PMID:14724280]"	2	101	2	16420	0.0198019801980198	1.0	query_1	['GO:0140513']	['ATR', 'ATRIP']
68	GO:CC	GO:0032389	MutLalpha complex	0.0001239969582519	True	"""A heterodimer involved in the recognition of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MLH1 and PMS2."" [GOC:vk]"	2	101	2	16420	0.0198019801980198	1.0	query_1	['GO:0032300', 'GO:0140513']	['MLH1', 'PMS2']
70	GO:CC	GO:0032301	MutSalpha complex	0.0001239969582519	True	"""A heterodimer involved in the recognition and repair of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MSH2 and MSH6."" [PMID:11005803]"	2	101	2	16420	0.0198019801980198	1.0	query_1	['GO:0032300', 'GO:0140513']	['MSH2', 'MSH6']
69	GO:CC	GO:0032302	MutSbeta complex	0.0001239969582519	True	"""A heterodimer involved in binding to and correcting insertion/deletion mutations. In human the complex consists of two subunits, MSH2 and MSH3."" [PMID:11005803]"	2	101	2	16420	0.0198019801980198	1.0	query_1	['GO:0032300', 'GO:0140513']	['MSH2', 'MSH3']
256	GO:BP	GO:2000278	regulation of DNA biosynthetic process	0.0001251763388498	True	"""Any process that modulates the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	125	100	7	15719	0.07	0.056	query_1	['GO:0010556', 'GO:0031326', 'GO:0051052', 'GO:0071897']	['USP1', 'PCNA', 'ATR', 'XRCC5', 'ATM', 'TP53', 'PNKP']
258	GO:BP	GO:0031325	positive regulation of cellular metabolic process	0.0001322130974016	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2845	100	36	15719	0.36	0.0126537785588752	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['RBBP8', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD51AP1', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'BLM', 'ATM', 'MRE11', 'RAD51', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'TP53', 'PNKP', 'RNF8']
257	GO:BP	GO:0072331	signal transduction by p53 class mediator	0.0001322130974016	True	"""An intracellular signaling process that is induced by the cell cycle regulator phosphoprotein p53 or an equivalent protein."" [GOC:mah]"	175	100	8	15719	0.08	0.0457142857142857	query_1	['GO:0035556']	['NBN', 'MSH2', 'PAXIP1', 'BRCA2', 'ATR', 'ATM', 'KAT5', 'TP53']
259	GO:BP	GO:0009892	negative regulation of metabolic process	0.00013276153975	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	2846	100	36	15719	0.36	0.0126493323963457	query_1	['GO:0008152', 'GO:0019222', 'GO:0048519']	['RBBP8', 'LMNA', 'BRIP1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'MLH1', 'MSH3', 'OGG1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'BLM', 'ATM', 'POLE3', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'BANF1', 'ORC2', 'RNF8', 'MSH6']
260	GO:BP	GO:0010835	regulation of protein ADP-ribosylation	0.0001707181111248	True	"""Any process that modulates the frequency, rate or extent of protein ADP-ribosylation. Protein ADP-ribosylation is the transfer, from NAD, of ADP-ribose to protein amino acids."" [GOC:dph, GOC:tb]"	9	100	3	15719	0.03	0.3333333333333333	query_1	['GO:0051338']	['XRCC1', 'PNKP', 'BANF1']
261	GO:BP	GO:0097190	apoptotic signaling pathway	0.0001708056365822	True	"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]"	588	100	14	15719	0.14	0.0238095238095238	query_1	['GO:0006915', 'GO:0007165']	['LMNA', 'NBN', 'MSH2', 'MLH1', 'BRCA2', 'AR', 'PARP1', 'ATM', 'RAD9A', 'BRCA1', 'PRKDC', 'POLB', 'TP53', 'MSH6']
262	GO:BP	GO:0045830	positive regulation of isotype switching	0.0002007343853678	True	"""Any process that activates or increases the frequency, rate or extent of isotype switching."" [GOC:go_curators]"	27	100	4	15719	0.04	0.1481481481481481	query_1	['GO:0002639', 'GO:0002891', 'GO:0045190', 'GO:0045191', 'GO:0045911', 'GO:0050871', 'GO:0051094']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
263	GO:BP	GO:0051351	positive regulation of ligase activity	0.0002390915950038	True	"""Any process that activates or increases the frequency, rate or extent of ligase activity, the catalysis of the ligation of two substances with concomitant breaking of a diphosphate linkage, usually in a nucleoside triphosphate."" [GOC:ai]"	10	100	3	15719	0.03	0.3	query_1	['GO:0043085', 'GO:0051340']	['XRCC4', 'NHEJ1', 'XRCC1']
264	GO:BP	GO:0048304	positive regulation of isotype switching to IgG isotypes	0.0002390915950038	True	"""Any process that activates or increases the frequency, rate or extent of isotype switching to IgG isotypes."" [GOC:jid]"	10	100	3	15719	0.03	0.3	query_1	['GO:0045830', 'GO:0048291', 'GO:0048302']	['MSH2', 'PAXIP1', 'MLH1']
265	GO:BP	GO:0002443	leukocyte mediated immunity	0.00024746604756	True	"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	381	100	11	15719	0.11	0.0288713910761154	query_1	['GO:0002252']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
266	GO:BP	GO:0000002	mitochondrial genome maintenance	0.000264991106208	True	"""The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome."" [GOC:ai, GOC:vw]"	29	100	4	15719	0.04	0.1379310344827586	query_1	['GO:0007005']	['LIG3', 'PARP1', 'TOP3A', 'TP53']
267	GO:BP	GO:0001775	cell activation	0.0002719482026191	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1059	100	19	15719	0.19	0.0179414542020774	query_1	['GO:0009987', 'GO:0032501']	['NBN', 'MSH2', 'TP53BP1', 'DCLRE1C', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'PRKDC', 'KAT5', 'TP53', 'RNF8', 'MSH6']
112	REAC	REAC:R-HSA-5632927	Defective Mismatch Repair Associated With MSH3	0.0002826041860239	True	Defective Mismatch Repair Associated With MSH3	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-5423599']	['MSH2', 'MSH3']
111	REAC	REAC:R-HSA-5545483	Defective Mismatch Repair Associated With MLH1	0.0002826041860239	True	Defective Mismatch Repair Associated With MLH1	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-5423599']	['MLH1', 'PMS2']
110	REAC	REAC:R-HSA-9663199	Defective DNA double strand break response due to BRCA1 loss of function	0.0002826041860239	True	Defective DNA double strand break response due to BRCA1 loss of function	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-9675136']	['BRCA1', 'BARD1']
109	REAC	REAC:R-HSA-5632987	Defective Mismatch Repair Associated With PMS2	0.0002826041860239	True	Defective Mismatch Repair Associated With PMS2	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-5423599']	['MLH1', 'PMS2']
114	REAC	REAC:R-HSA-9699150	Defective DNA double strand break response due to BARD1 loss of function	0.0002826041860239	True	Defective DNA double strand break response due to BARD1 loss of function	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-9675136']	['BRCA1', 'BARD1']
115	REAC	REAC:R-HSA-5632968	Defective Mismatch Repair Associated With MSH6	0.0002826041860239	True	Defective Mismatch Repair Associated With MSH6	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-5423599']	['MSH2', 'MSH6']
113	REAC	REAC:R-HSA-73930	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	0.0002826041860239	True	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	2	96	2	10022	0.0208333333333333	1.0	query_1	['REAC:R-HSA-110381']	['APEX1', 'POLB']
278	GO:BP	GO:1990505	mitotic DNA replication maintenance of fidelity	0.0003135180351041	True	"""Any maintenance of fidelity that is involved in mitotic cell cycle DNA replication."" [PMID:19185548]"	2	100	2	15719	0.02	1.0	query_1	['GO:1902298', 'GO:1902969', 'GO:1903047']	['BRCA2', 'RAD51']
277	GO:BP	GO:1990426	mitotic recombination-dependent replication fork processing	0.0003135180351041	True	"""Replication fork processing that includes recombination between DNA near the arrested fork and homologous sequences. Proteins involved in homologous recombination are required for replication restart."" [GOC:mah, PMID:23093942]"	2	100	2	15719	0.02	1.0	query_1	['GO:0031297', 'GO:1990505']	['BRCA2', 'RAD51']
275	GO:BP	GO:1904882	regulation of telomerase catalytic core complex assembly	0.0003135180351041	True	"""Any process that modulates the frequency, rate or extent of telomerase catalytic core complex assembly."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:rph, GOC:TermGenie, PMID:26586433]"	2	100	2	15719	0.02	1.0	query_1	['GO:0043254', 'GO:1904868']	['ATR', 'ATM']
274	GO:BP	GO:1904884	positive regulation of telomerase catalytic core complex assembly	0.0003135180351041	True	"""Any process that activates or increases the frequency, rate or extent of telomerase catalytic core complex assembly."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:rph, GOC:TermGenie, PMID:26586433]"	2	100	2	15719	0.02	1.0	query_1	['GO:0031334', 'GO:1904868', 'GO:1904882']	['ATR', 'ATM']
273	GO:BP	GO:1903518	positive regulation of single strand break repair	0.0003135180351041	True	"""Any process that activates or increases the frequency, rate or extent of single strand break repair."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:17395247]"	2	100	2	15719	0.02	1.0	query_1	['GO:0000012', 'GO:0045739', 'GO:1903516']	['PARP1', 'XRCC1']
276	GO:BP	GO:0000710	meiotic mismatch repair	0.0003135180351041	True	"""A system for the identification and correction of base-base mismatches, small insertion-deletion loops, and regions of heterology that are present in duplex DNA formed with strands from two recombining molecules. Correction of the mismatch can result in non-Mendelian segregation of alleles following meiosis."" [GOC:elh, PMID:10357855]"	2	100	2	15719	0.02	1.0	query_1	['GO:0006298', 'GO:0061982']	['ERCC1', 'MSH6']
268	GO:BP	GO:0045004	DNA replication proofreading	0.0003135180351041	True	"""Correction of replication errors by DNA polymerase using a 3'-5' exonuclease activity."" [GOC:ai]"	2	100	2	15719	0.02	1.0	query_1	['GO:0006281', 'GO:0045005']	['POLD1', 'POLE']
