GAPO syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
268	GO:BP	GO:0099011	neuronal dense core vesicle exocytosis	9.486799596056914e-05	True	"""The secretion of molecules (e.g. neuropeptides, insulin-related peptides or neuromodulators such as serotonin and dopamine) contained within a neuronal dense core vesicle by fusion of the granule with the plasma membrane of a neuron in response to increased cytosolic calcium levels."" [GOC:kmv, PMID:17553987, PMID:24653208]"	7	101	3	17376	0.0297029702970297	0.4285714285714285	query_1	['GO:1990504']	['SNAP25', 'STXBP1', 'RAB3A']
269	GO:BP	GO:0002447	eosinophil mediated immunity	9.486799596056914e-05	True	"""Any process involved in the carrying out of an immune response by an eosinophil."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	7	101	3	17376	0.0297029702970297	0.4285714285714285	query_1	['GO:0002444']	['VAMP7', 'VAMP2', 'STX4']
270	REAC	REAC:R-HSA-112316	Neuronal System	9.852781347353376e-05	True	Neuronal System	378	101	11	17376	0.1089108910891089	0.0291005291005291	query_1	['REAC:0000000']	['APBA3', 'SYT1', 'VAMP2', 'STX1A', 'SLC17A7', 'LRRTM4', 'SLC18A3', 'SNAP25', 'HSPA8', 'STXBP1', 'RAB3A']
271	GO:BP	GO:0060341	regulation of cellular localization	0.0001174065810265	True	"""Any process that modulates the frequency, rate or extent of a process in which a cell, a substance, or a cellular entity is transported to, or maintained in a specific location within or in the membrane of a cell."" [GOC:dph, GOC:tb]"	950	101	18	17376	0.1782178217821782	0.0189473684210526	query_1	['GO:0032879', 'GO:0050794', 'GO:0051641']	['VTI1B', 'PICALM', 'CLTC', 'VAMP2', 'STX7', 'TMEM30A', 'STX1A', 'STX6', 'STX10', 'STX3', 'STXBP5', 'STX4', 'SNAP25', 'RAB9A', 'HSPA8', 'VAMP8', 'EIPR1', 'STX8']
272	GO:CC	GO:0070820	tertiary granule	0.0001233891263495	True	"""A secretory granule that contains cathepsin and gelatinase and is readily exocytosed upon cell activation; found primarily in mature neutrophil cells."" [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]"	156	101	7	17376	0.0693069306930693	0.0448717948717948	query_1	['GO:0030141']	['DOK3', 'STX7', 'ATP11A', 'SNAP25', 'SNAP23', 'VAMP1', 'VAMP8']
273	GO:BP	GO:1905475	regulation of protein localization to membrane	0.0001272357090237	True	"""Any process that modulates the frequency, rate or extent of protein localization to membrane."" [GO_REF:0000058, GOC:bc, GOC:PARL, GOC:TermGenie, PMID:26911690]"	177	101	8	17376	0.0792079207920792	0.0451977401129943	query_1	['GO:0032880', 'GO:0072657']	['VTI1B', 'PICALM', 'CLTC', 'STX7', 'STX3', 'STX4', 'VAMP8', 'STX8']
274	GO:BP	GO:0043300	regulation of leukocyte degranulation	0.0001321922982714	True	"""Any process that modulates the frequency, rate, or extent of leukocyte degranulation."" [GOC:add, ISBN:0781735149]"	49	101	5	17376	0.0495049504950495	0.1020408163265306	query_1	['GO:0002697', 'GO:0043299', 'GO:1903305']	['VAMP7', 'AP1G1', 'STX4', 'STXBP1', 'VAMP8']
275	GO:BP	GO:0060291	long-term synaptic potentiation	0.0001406384676592	True	"""A process that modulates synaptic plasticity such that synapses are changed resulting in the increase in the rate, or frequency of synaptic transmission at the synapse."" [GOC:dgh, GOC:dph]"	85	101	6	17376	0.0594059405940594	0.0705882352941176	query_1	['GO:0048167', 'GO:0050806']	['VAMP2', 'STX3', 'SLC18A3', 'STX4', 'SNAP25', 'SNAP47']
276	GO:BP	GO:0099637	neurotransmitter receptor transport	0.0001445425085062	True	"""The directed movement of neurotransmitter receptors."" [GOC:dos]"	24	101	4	17376	0.0396039603960396	0.1666666666666666	query_1	['GO:0015031', 'GO:0031503']	['STX3', 'STX1B', 'SNAP25', 'SNAP47']
277	GO:BP	GO:0050804	modulation of chemical synaptic transmission	0.0001445425085062	True	"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]"	445	101	12	17376	0.1188118811881188	0.0269662921348314	query_1	['GO:0007268', 'GO:0099177']	['SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'STXBP1', 'SNAP47', 'RAB3A']
278	GO:BP	GO:0099177	regulation of trans-synaptic signaling	0.0001463438762736	True	"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]"	446	101	12	17376	0.1188118811881188	0.0269058295964125	query_1	['GO:0010646', 'GO:0023051', 'GO:0099537']	['SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'STXBP1', 'SNAP47', 'RAB3A']
279	GO:CC	GO:0070821	tertiary granule membrane	0.0001527635883137	True	"""The lipid bilayer surrounding a tertiary granule."" [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]"	67	101	5	17376	0.0495049504950495	0.0746268656716417	query_1	['GO:0030667', 'GO:0070820']	['ATP11A', 'SNAP25', 'SNAP23', 'VAMP1', 'VAMP8']
280	GO:BP	GO:0048167	regulation of synaptic plasticity	0.0001616438869349	True	"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]"	184	101	8	17376	0.0792079207920792	0.0434782608695652	query_1	['GO:0050804', 'GO:0065008']	['VAMP2', 'STX3', 'SLC18A3', 'STX4', 'SNAP25', 'STXBP1', 'SNAP47', 'RAB3A']
281	GO:BP	GO:0010876	lipid localization	0.0001648975438615	True	"""Any process in which a lipid is transported to, or maintained in, a specific location."" [GOC:BHF, GOC:dph, GOC:tb]"	452	101	12	17376	0.1188118811881188	0.0265486725663716	query_1	['GO:0033036']	['ATP10D', 'ATP10A', 'VPS52', 'ATP8B1', 'TMEM30A', 'ATP11A', 'VPS54', 'ATP10B', 'VPS53', 'STX12', 'FURIN', 'VPS51']
282	GO:BP	GO:0016236	macroautophagy	0.0001944551540457	True	"""The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure. Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."" [PMID:11099404, PMID:12914914, PMID:15798367, PMID:16973210, PMID:20159618, PMID:9412464]"	314	101	10	17376	0.099009900990099	0.0318471337579617	query_1	['GO:0006914']	['VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'STAM', 'SEC22B', 'STX12', 'VAMP8', 'SNAP29']
283	GO:CC	GO:0120025	plasma membrane bounded cell projection	0.000197166046043	True	"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]"	2125	101	27	17376	0.2673267326732673	0.0127058823529411	query_1	['GO:0042995']	['VAMP7', 'APBA3', 'MLF1', 'VTI1A', 'SYT1', 'VAMP2', 'ATP8B1', 'STX1A', 'SH3BP1', 'SLC17A7', 'SDCCAG8', 'STX3', 'SLC18A3', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'VAMP1', 'ANTXR1', 'VAMP3', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'SNAP29', 'RAB3A']
284	GO:BP	GO:0002553	histamine secretion by mast cell	0.0002055219962931	True	"""The regulated release of histamine by a mast cell or group of mast cells."" [GOC:add, ISBN:0781735149]"	9	101	3	17376	0.0297029702970297	0.3333333333333333	query_1	['GO:0002441', 'GO:0043303', 'GO:0051649', 'GO:0140029']	['VAMP7', 'SNAP23', 'VAMP8']
285	GO:BP	GO:0002441	histamine secretion involved in inflammatory response	0.0002055219962931	True	"""The regulated release of histamine by a cell as part of an inflammatory response."" [GOC:add, ISBN:0781735149]"	9	101	3	17376	0.0297029702970297	0.3333333333333333	query_1	['GO:0001821', 'GO:0002349', 'GO:0046879']	['VAMP7', 'SNAP23', 'VAMP8']
286	GO:BP	GO:0002349	histamine production involved in inflammatory response	0.0002055219962931	True	"""The synthesis or release of histamine following a stimulus as part of an inflammatory response, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149, PMID:16730260]"	9	101	3	17376	0.0297029702970297	0.3333333333333333	query_1	['GO:0002532']	['VAMP7', 'SNAP23', 'VAMP8']
287	REAC	REAC:R-HSA-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	0.0002334272643374	True	Endosomal Sorting Complex Required For Transport (ESCRT)	31	101	4	17376	0.0396039603960396	0.1290322580645161	query_1	['REAC:R-HSA-199991']	['CHMP2A', 'HGS', 'STAM2', 'STAM']
288	GO:BP	GO:0007032	endosome organization	0.000233835844881	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of endosomes."" [GOC:dph, GOC:jl, GOC:mah]"	94	101	6	17376	0.0594059405940594	0.0638297872340425	query_1	['GO:0010256', 'GO:0016050']	['CHMP2A', 'HGS', 'STAM2', 'STX6', 'STAM', 'VAMP4']
289	GO:BP	GO:0070925	organelle assembly	0.0002355359901653	True	"""The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	910	101	17	17376	0.1683168316831683	0.0186813186813186	query_1	['GO:0006996', 'GO:0022607']	['AP1B1', 'AGFG1', 'CHMP2A', 'HGS', 'STAM2', 'STX7', 'AP1S1', 'SDCCAG8', 'STAM', 'AP1G1', 'DNM2', 'AP1S3', 'AP1S2', 'AP1M1', 'SEC22B', 'STX12', 'SNAP29']
290	GO:BP	GO:0006914	autophagy	0.0002407052181526	True	"""The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."" [GOC:autophagy, ISBN:0198547684, PMID:11099404, PMID:9412464]"	553	101	13	17376	0.1287128712871287	0.023508137432188	query_1	['GO:0044248', 'GO:0061919']	['VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'CLTC', 'STAM', 'SEC22B', 'STX12', 'HSPA8', 'VAMP8', 'SNAP29', 'VPS51']
291	GO:BP	GO:0061919	process utilizing autophagic mechanism	0.0002407052181526	True	"""A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway."" [PMID:21997368, PMID:22966490, PMID:28596378]"	553	101	13	17376	0.1287128712871287	0.023508137432188	query_1	['GO:0009987']	['VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'CLTC', 'STAM', 'SEC22B', 'STX12', 'HSPA8', 'VAMP8', 'SNAP29', 'VPS51']
292	GO:BP	GO:0002275	myeloid cell activation involved in immune response	0.0002418104337243	True	"""A change in the morphology or behavior of a myeloid cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	95	101	6	17376	0.0594059405940594	0.0631578947368421	query_1	['GO:0002274', 'GO:0002366']	['VAMP7', 'VAMP2', 'STX4', 'SNAP23', 'STXBP1', 'VAMP8']
293	GO:CC	GO:0098794	postsynapse	0.000247728665679	True	"""The part of a synapse that is part of the post-synaptic cell."" [GOC:dos]"	630	101	13	17376	0.1287128712871287	0.0206349206349206	query_1	['GO:0045202', 'GO:0110165']	['APBA3', 'PICALM', 'STX1A', 'LRRTM4', 'STX3', 'DNM2', 'STX4', 'SNAP25', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'RAB3A']
294	GO:BP	GO:0015914	phospholipid transport	0.0002550274595433	True	"""The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."" [GOC:ai]"	96	101	6	17376	0.0594059405940594	0.0625	query_1	['GO:0006869', 'GO:0015748']	['ATP10D', 'ATP10A', 'ATP8B1', 'TMEM30A', 'ATP11A', 'ATP10B']
295	GO:CC	GO:0044306	neuron projection terminus	0.0002777235668451	True	"""The specialized, terminal region of a neuron projection such as an axon or a dendrite."" [GOC:jl]"	123	101	6	17376	0.0594059405940594	0.048780487804878	query_1	['GO:0043005', 'GO:0110165']	['VTI1A', 'SYT1', 'VAMP2', 'SLC18A3', 'HSPA8', 'RAB3A']
296	GO:CC	GO:0031083	BLOC-1 complex	0.0002783227145021	True	"""A protein complex required for the biogenesis of specialized organelles of the endosomal-lysosomal system, such as melanosomes and platelet dense granules. Many of the protein subunits are conserved between mouse and human; the mouse complex contains the Pallidin, Muted, Cappuccino, Dysbindin, Snapin, BLOS1, BLOS2, AND BLOS3 proteins."" [PMID:15102850]"	15	101	3	17376	0.0297029702970297	0.2	query_1	['GO:0031082']	['SNAP25', 'STX12', 'SNAP47']
297	GO:BP	GO:1990504	dense core granule exocytosis	0.0002788984182391	True	"""The secretion of molecules (e.g. neuropeptides, insulin-related peptides or neuromodulators such as serotonin and dopamine) contained within a membrane-bounced dense core granule by fusion of the granule with the plasma membrane of a cell in response to increased cytosolic calcium levels."" [GOC:kmv, PMID:17553987, PMID:24653208]"	10	101	3	17376	0.0297029702970297	0.3	query_1	['GO:0017156']	['SNAP25', 'STXBP1', 'RAB3A']
298	GO:BP	GO:0006622	protein targeting to lysosome	0.0003273516394797	True	"""The process of directing proteins towards the lysosome using signals contained within the protein."" [GOC:curators]"	30	101	4	17376	0.0396039603960396	0.1333333333333333	query_1	['GO:0006623', 'GO:0007041', 'GO:0061462']	['HGS', 'VPS54', 'VPS53', 'HSPA8']
299	GO:CC	GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex	0.000334480042863	True	"""A SNARE complex that contains synaptobrevin 2 (VAMP2), SNAP-25, syntaxin 1a, and complexin II (or orthologs thereof)."" [PMID:7553862]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0031201']	['VAMP2', 'STX1A']
300	GO:CC	GO:0030132	clathrin coat of coated pit	0.0003349599058065	True	"""The coat found on coated pits and the coated vesicles derived from coated pits; comprises clathrin and the AP-2 adaptor complex."" [GOC:mah]"	16	101	3	17376	0.0297029702970297	0.1875	query_1	['GO:0005905', 'GO:0030118', 'GO:0098797']	['PICALM', 'CLTC', 'SLC18A3']
301	REAC	REAC:R-HSA-204005	COPII-mediated vesicle transport	0.0003549317011549	True	COPII-mediated vesicle transport	68	101	5	17376	0.0495049504950495	0.0735294117647058	query_1	['REAC:R-HSA-199977']	['GOSR2', 'BET1', 'SEC22B', 'NAPA', 'STX5']
302	GO:BP	GO:0032367	intracellular cholesterol transport	0.0003717457603253	True	"""The directed movement of cholesterol, cholest-5-en-3-beta-ol, within cells."" [GOC:mah]"	31	101	4	17376	0.0396039603960396	0.1290322580645161	query_1	['GO:0030301', 'GO:0032366']	['VPS52', 'VPS54', 'VPS53', 'VPS51']
303	GO:BP	GO:0016081	synaptic vesicle docking	0.0003720741922228	True	"""The initial (indirect) attachment of a synaptic vesicle membrane to the presynaptic active zone membrane, mediated by proteins protruding from the membrane and proteins of the presynaptic active zone cytoplasmic component. Synaptic vesicle tethering is the first step in this process."" [PMID:15217342]"	11	101	3	17376	0.0297029702970297	0.2727272727272727	query_1	['GO:0006904', 'GO:0016079']	['STX1A', 'STX1B', 'SNAP25']
304	GO:BP	GO:0001821	histamine secretion	0.0003720741922228	True	"""The regulated release of histamine by a cell or tissue. It is formed by decarboxylation of histidine and it acts through receptors in smooth muscle and in secretory systems."" [GOC:mah, ISBN:0198506732, ISBN:0781735149]"	11	101	3	17376	0.0297029702970297	0.2727272727272727	query_1	['GO:0046903', 'GO:0051608']	['VAMP7', 'SNAP23', 'VAMP8']
305	GO:CC	GO:0098978	glutamatergic synapse	0.0004048467006047	True	"""A synapse that uses glutamate as a neurotransmitter."" [GOC:dos]"	405	101	10	17376	0.099009900990099	0.0246913580246913	query_1	['GO:0045202']	['SYT1', 'STX1A', 'STX3', 'DNM2', 'STX4', 'SNAP25', 'HSPA8', 'STXBP1', 'SNAP47', 'NAPA']
306	GO:BP	GO:0036258	multivesicular body assembly	0.0004148797006284	True	"""The aggregation, arrangement and bonding together of a set of components to form a multivesicular body, a type of late endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm."" [GOC:sart, PMID:11566881, PMID:19571114]"	32	101	4	17376	0.0396039603960396	0.125	query_1	['GO:0036257', 'GO:0070925']	['CHMP2A', 'HGS', 'STAM2', 'STAM']
307	GO:BP	GO:0097120	receptor localization to synapse	0.0004188835585881	True	"""Any process in which a receptor is transported to, and/or maintained at the synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell."" [GOC:BHF, GOC:sjp, PMID:21525273]"	64	101	5	17376	0.0495049504950495	0.078125	query_1	['GO:0031503']	['STX7', 'STX3', 'STX1B', 'SNAP25', 'SNAP47']
308	GO:BP	GO:0009306	protein secretion	0.0004188835585881	True	"""The controlled release of proteins from a cell."" [GOC:ai]"	348	101	10	17376	0.099009900990099	0.028735632183908	query_1	['GO:0015031', 'GO:0032940', 'GO:0035592']	['AP1B1', 'STX1A', 'AP1S1', 'AP1M2', 'AP1G1', 'STXBP5', 'STX4', 'SNAP25', 'EIPR1', 'RAB3A']
309	GO:BP	GO:0030301	cholesterol transport	0.0004226604344373	True	"""The directed movement of cholesterol, cholest-5-en-3-beta-ol, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah, ISBN:0198506732]"	106	101	6	17376	0.0594059405940594	0.0566037735849056	query_1	['GO:0015918']	['VPS52', 'VPS54', 'VPS53', 'STX12', 'FURIN', 'VPS51']
310	GO:BP	GO:0035592	establishment of protein localization to extracellular region	0.0004235041248605	True	"""The directed movement of a protein to a specific location within the extracellular region."" [GOC:bf, GOC:BHF]"	349	101	10	17376	0.099009900990099	0.0286532951289398	query_1	['GO:0045184', 'GO:0071692']	['AP1B1', 'STX1A', 'AP1S1', 'AP1M2', 'AP1G1', 'STXBP5', 'STX4', 'SNAP25', 'EIPR1', 'RAB3A']
311	GO:CC	GO:0042995	cell projection	0.0004332888915075	True	"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]"	2233	101	27	17376	0.2673267326732673	0.0120913569189431	query_1	['GO:0110165']	['VAMP7', 'APBA3', 'MLF1', 'VTI1A', 'SYT1', 'VAMP2', 'ATP8B1', 'STX1A', 'SH3BP1', 'SLC17A7', 'SDCCAG8', 'STX3', 'SLC18A3', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'VAMP1', 'ANTXR1', 'VAMP3', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'SNAP29', 'RAB3A']
312	GO:BP	GO:0007009	plasma membrane organization	0.0004457976133712	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the plasma membrane."" [GOC:dph, GOC:jl, GOC:mah]"	158	101	7	17376	0.0693069306930693	0.0443037974683544	query_1	['GO:0010256', 'GO:0061024']	['CHMP2A', 'ATP10A', 'COLEC12', 'ATP8B1', 'DNM2', 'STX4', 'RAB3A']
313	GO:BP	GO:0036257	multivesicular body organization	0.0004527032425167	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a multivesicular body. A multivesicular body is a type of late endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm."" [GOC:sart, PMID:11566881]"	33	101	4	17376	0.0396039603960396	0.1212121212121212	query_1	['GO:0007032']	['CHMP2A', 'HGS', 'STAM2', 'STAM']
314	GO:BP	GO:0002444	myeloid leukocyte mediated immunity	0.0004554640618112	True	"""Any process involved in the carrying out of an immune response by a myeloid leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	108	101	6	17376	0.0594059405940594	0.0555555555555555	query_1	['GO:0002443']	['VAMP7', 'VAMP2', 'STX4', 'SNAP23', 'STXBP1', 'VAMP8']
315	GO:BP	GO:0043473	pigmentation	0.0004554640618112	True	"""The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells."" [GOC:jl]"	108	101	6	17376	0.0594059405940594	0.0555555555555555	query_1	['GO:0008150']	['AP1B1', 'AP1S1', 'AP1G1', 'AP1S3', 'AP1S2', 'AP1M1']
316	GO:BP	GO:1901632	regulation of synaptic vesicle membrane organization	0.0004614648880703	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle membrane organization."" [GOC:TermGenie, PMID:22426000]"	12	101	3	17376	0.0297029702970297	0.25	query_1	['GO:0048499', 'GO:0051128']	['SYT1', 'STXBP1', 'RAB3A']
317	GO:BP	GO:0031630	regulation of synaptic vesicle fusion to presynaptic active zone membrane	0.0004614648880703	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle fusion to the presynaptic membrane."" [GOC:mah]"	12	101	3	17376	0.0297029702970297	0.25	query_1	['GO:0031338', 'GO:0031629', 'GO:1901632']	['SYT1', 'STXBP1', 'RAB3A']
318	GO:BP	GO:0071692	protein localization to extracellular region	0.0004687017661064	True	"""Any process in which a protein is transported from one specific location in the extracellular region to another, or maintained in a specific extracellular location."" [GOC:mah]"	355	101	10	17376	0.099009900990099	0.028169014084507	query_1	['GO:0008104']	['AP1B1', 'STX1A', 'AP1S1', 'AP1M2', 'AP1G1', 'STXBP5', 'STX4', 'SNAP25', 'EIPR1', 'RAB3A']
319	REAC	REAC:R-HSA-5682910	LGI-ADAM interactions	0.0004768548826063	True	LGI-ADAM interactions	14	101	3	17376	0.0297029702970297	0.2142857142857142	query_1	['REAC:R-HSA-1266738']	['STX1A', 'STX1B', 'LGI3']
320	REAC	REAC:R-HSA-8875360	InlB-mediated entry of Listeria monocytogenes into host cell	0.0004768548826063	True	InlB-mediated entry of Listeria monocytogenes into host cell	14	101	3	17376	0.0297029702970297	0.2142857142857142	query_1	['REAC:R-HSA-8876384']	['HGS', 'STAM2', 'STAM']
321	GO:BP	GO:0032366	intracellular sterol transport	0.0004926470420658	True	"""The directed movement of sterols within cells."" [GOC:mah]"	34	101	4	17376	0.0396039603960396	0.1176470588235294	query_1	['GO:0015918', 'GO:0032365']	['VPS52', 'VPS54', 'VPS53', 'VPS51']
322	GO:CC	GO:0030134	COPII-coated ER to Golgi transport vesicle	0.0005183463779862	True	"""A vesicle with a coat formed of the COPII coat complex proteins. The COPII coat complex is formed by the Sec23p/Sec24p and the Sec13p/Sec31p heterodimers. COPII-associated vesicles transport proteins from the rough endoplasmic reticulum to the Golgi apparatus (anterograde transport)."" [PMID:11252894, PMID:17499046, PMID:22160157, PMID:8004676, Wikipedia:COPII]"	88	101	5	17376	0.0495049504950495	0.0568181818181818	query_1	['GO:0030135']	['VTI1B', 'VTI1A', 'GOSR2', 'SEC22B', 'STX5']
323	REAC	REAC:R-HSA-9013420	RHOU GTPase cycle	0.0005275235449458	True	RHOU GTPase cycle	39	101	4	17376	0.0396039603960396	0.1025641025641025	query_1	['REAC:R-HSA-9012999']	['HGS', 'STAM2', 'CLTC', 'STAM']
324	REAC	REAC:R-HSA-6798695	Neutrophil degranulation	0.0005275235449458	True	Neutrophil degranulation	462	101	11	17376	0.1089108910891089	0.0238095238095238	query_1	['REAC:R-HSA-168249']	['DOK3', 'TMEM30A', 'ATP11A', 'SNAP25', 'IGF2R', 'SNAP23', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'RAB3A']
325	GO:CC	GO:0043229	intracellular organelle	0.0005450672582633	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12235	101	87	17376	0.8613861386138614	0.0071107478545157	query_1	['GO:0005622', 'GO:0043226']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'MLF1', 'VTI1B', 'VTI1A', 'TINAGL1', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'B4GALNT4', 'HGS', 'ATP10D', 'BHLHE41', 'ATP10A', 'COLEC12', 'PICALM', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'PACS1', 'SLC17A7', 'AP1S1', 'SDCCAG8', 'TPP2', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'WDR37', 'VPS53', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'NFIL3', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'RAB3A', 'STX5']
326	GO:BP	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.0005504831236045	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide covalently tagged with ubiquitin, via the multivesicular body (MVB) sorting pathway; ubiquitin-tagged proteins are sorted into MVBs, and delivered to a lysosome/vacuole for degradation."" [GOC:jl, PMID:11511343]"	35	101	4	17376	0.0396039603960396	0.1142857142857142	query_1	['GO:0006511']	['CHMP2A', 'HGS', 'STAM2', 'STAM']
327	GO:BP	GO:0051608	histamine transport	0.0005833981778824	True	"""The directed movement of histamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Histamine is a physiologically active amine, found in plant and animal tissue and released from mast cells as part of an allergic reaction in humans."" [GOC:ai]"	13	101	3	17376	0.0297029702970297	0.2307692307692307	query_1	['GO:0071702', 'GO:0071705']	['VAMP7', 'SNAP23', 'VAMP8']
328	GO:CC	GO:0031082	BLOC complex	0.000641556922416	True	"""Any of several protein complexes required for the biogenesis of specialized organelles of the endosomal-lysosomal system, such as melanosomes, platelet dense granules, and other related organelles; acronym for biogenesis of lysosomal-related organelles complex."" [PMID:15102850, PMID:15261680]"	20	101	3	17376	0.0297029702970297	0.15	query_1	['GO:0140535']	['SNAP25', 'STX12', 'SNAP47']
329	REAC	REAC:R-HSA-6794362	Protein-protein interactions at synapses	0.0006447729757815	True	Protein-protein interactions at synapses	79	101	5	17376	0.0495049504950495	0.0632911392405063	query_1	['REAC:R-HSA-112316']	['APBA3', 'SYT1', 'STX1A', 'LRRTM4', 'STXBP1']
330	REAC	REAC:R-HSA-5250958	Toxicity of botulinum toxin type B (botB)	0.0006544174751667	True	Toxicity of botulinum toxin type B (botB)	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['REAC:R-HSA-168799']	['SYT1', 'VAMP2']
