Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
372	GO:BP	GO:0048519	negative regulation of biological process	4.387369423633037e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5057	104	57	17376	0.5480769230769231	0.0112715048447696	query_1	['GO:0008150', 'GO:0050789']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'LIG4', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'BRCA2', 'PHLPP1', 'RAD1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'HUS1B', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
373	REAC	REAC:R-HSA-162592	Integration of provirus	6.116082194870475e-07	True	Integration of provirus	9	104	4	17376	0.0384615384615384	0.4444444444444444	query_1	['REAC:R-HSA-162594']	['XRCC6', 'LIG4', 'XRCC4', 'XRCC5']
374	GO:BP	GO:0009058	biosynthetic process	6.904631693628775e-07	True	"""The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]"	5412	104	59	17376	0.5673076923076923	0.0109016999260901	query_1	['GO:0008152']	['RBBP8', 'BRIP1', 'AKT1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'ERCC3', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'CDK4', 'POLE2', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8']
375	GO:BP	GO:0007095	mitotic G2 DNA damage checkpoint signaling	6.904631693628775e-07	True	"""A mitotic cell cycle checkpoint that detects and negatively regulates progression through the G2/M transition of the cell cycle in response to DNA damage."" [GOC:mtg_cell_cycle, PMID:16299494]"	35	104	6	17376	0.0576923076923076	0.1714285714285714	query_1	['GO:0044773', 'GO:0044818']	['NBN', 'CDKN1A', 'BLM', 'ATM', 'MRE11', 'BRCA1']
376	GO:BP	GO:0060218	hematopoietic stem cell differentiation	6.904631693628775e-07	True	"""The process in which a relatively unspecialized cell acquires specialized features of a hematopoietic stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:bf, GOC:BHF, GOC:dph, GOC:rl, PMID:15378083]"	35	104	6	17376	0.0576923076923076	0.1714285714285714	query_1	['GO:0002244', 'GO:0048863']	['XRCC5', 'PRKDC', 'KAT5', 'TP53', 'ERCC2', 'CDK6']
377	GO:BP	GO:0006275	regulation of DNA replication	7.842744370569753e-07	True	"""Any process that modulates the frequency, rate or extent of DNA replication."" [GOC:go_curators]"	126	104	9	17376	0.0865384615384615	0.0714285714285714	query_1	['GO:0006260', 'GO:0051052']	['NBN', 'LIG3', 'PCNA', 'ATR', 'BLM', 'POLE3', 'CDK2', 'CHRAC1', 'TP53']
378	GO:CC	GO:0000110	nucleotide-excision repair factor 1 complex	8.171901462082742e-07	True	"""One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and endodeoxynuclease activities. In S. cerevisiae, it is composed of Rad1p, Rad10p, and Rad14p; in human the subunits are ERCC4/XPF, ERCC1 and XPA, respectively."" [PMID:10915862]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0000109']	['XPA', 'ERCC1', 'ERCC4']
379	GO:CC	GO:0070985	transcription factor TFIIK complex	8.171901462082742e-07	True	"""A transcription factor complex that forms part of the holo TFIIH complex. In Saccharomyces/human, TFIIK contains Ccl1p/Cyclin H, Tfb3p/MAT1 and Kin28p/CDK7."" [GOC:mah, PMID:19818408, PMID:22572993]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0005675', 'GO:0090575']	['CDK7', 'CCNH', 'MNAT1']
380	GO:CC	GO:0019907	cyclin-dependent protein kinase activating kinase holoenzyme complex	8.171901462082742e-07	True	"""A cyclin-dependent kinase activating kinase complex capable of activating cyclin-dependent kinases by threonine phosphorylation, thus regulating cell cycle progression. consists of a kinase, cyclin and optional assembly factors, in human CDK7, CCNH and MNAT1. CAK activity is itself regulated throughout the cell cycle by T-loop phosphorylation of its kinase component (CDK7 in human). Phosphorylation of serine residues during mitosis inactivates the enzyme. Also capable of CAK phosphorylating the carboxyl-terminal domain (CTD) of RNA polymerase II and other transcription activating proteins, as part of the general transcription factor TFIIH."" [GOC:bhm, PMID:8752210]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0019908', 'GO:0032806', 'GO:0150005']	['CDK7', 'CCNH', 'MNAT1']
381	GO:CC	GO:0032807	DNA ligase IV complex	8.171901462082742e-07	True	"""A eukaryotically conserved protein complex that contains DNA ligase IV and is involved in DNA repair by non-homologous end joining; in addition to the ligase, the complex also contains XRCC4 or a homolog, e.g. Saccharomyces Lif1p."" [PMID:16314503]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0070419', 'GO:0140513']	['LIG4', 'XRCC4', 'NHEJ1']
382	GO:BP	GO:0010605	negative regulation of macromolecule metabolic process	8.43991315156427e-07	True	"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	2639	104	38	17376	0.3653846153846153	0.0143993937097385	query_1	['GO:0009892', 'GO:0043170', 'GO:0060255']	['RBBP8', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'MLH1', 'MSH3', 'OGG1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'POLE3', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
383	REAC	REAC:R-HSA-5632928	Defective Mismatch Repair Associated With MSH2	8.465907630893057e-07	True	Defective Mismatch Repair Associated With MSH2	3	104	3	17376	0.0288461538461538	1.0	query_1	['REAC:R-HSA-5423599']	['MSH2', 'MSH3', 'MSH6']
384	GO:BP	GO:0045321	leukocyte activation	1.2755523889879235e-06	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	924	104	21	17376	0.2019230769230769	0.0227272727272727	query_1	['GO:0001775', 'GO:0002376']	['AKT1', 'NBN', 'MSH2', 'TP53BP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'CDKN1A', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'PRKDC', 'KAT5', 'TP53', 'CDK6', 'RNF8', 'MSH6']
385	GO:BP	GO:0070192	chromosome organization involved in meiotic cell cycle	1.2755523889879235e-06	True	"""A process of chromosome organization that is involved in a meiotic cell cycle."" [GOC:mah]"	64	104	7	17376	0.0673076923076923	0.109375	query_1	['GO:0051276', 'GO:1903046']	['BRIP1', 'RAD50', 'MLH1', 'FANCD2', 'ATM', 'MRE11', 'RAD51']
386	GO:BP	GO:2001251	negative regulation of chromosome organization	1.2950947738214853e-06	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome organization."" [GOC:obol]"	96	104	8	17376	0.0769230769230769	0.0833333333333333	query_1	['GO:0010639', 'GO:0033044', 'GO:0051276']	['NBN', 'RAD50', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'MNAT1', 'XRCC1']
387	GO:BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1.5148142080332873e-06	True	"""Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity."" [GOC:go_curators, GOC:pr]"	98	104	8	17376	0.0769230769230769	0.0816326530612244	query_1	['GO:0071900', 'GO:1904029']	['AKT1', 'CDK7', 'CDKN1A', 'CCNH', 'BLM', 'CCND2', 'MNAT1', 'CCND1']
388	GO:BP	GO:0002366	leukocyte activation involved in immune response	1.5590483119978203e-06	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	284	104	12	17376	0.1153846153846153	0.0422535211267605	query_1	['GO:0002263', 'GO:0045321']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'TP53', 'RNF8', 'MSH6']
389	REAC	REAC:R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	1.6561068257177497e-06	True	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	26	104	5	17376	0.048076923076923	0.1923076923076923	query_1	['REAC:R-HSA-167172']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
390	REAC	REAC:R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	1.6561068257177497e-06	True	RNA Pol II CTD phosphorylation and interaction with CE	26	104	5	17376	0.048076923076923	0.1923076923076923	query_1	['REAC:R-HSA-73857']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
391	GO:BP	GO:0032201	telomere maintenance via semi-conservative replication	1.7692458990353305e-06	True	"""The process in which telomeric DNA is synthesized semi-conservatively by the conventional replication machinery and telomeric accessory factors as part of cell cycle DNA replication."" [GOC:BHF, GOC:BHF_telomere, GOC:rl, GOC:vw, PMID:16598261]"	9	104	4	17376	0.0384615384615384	0.4444444444444444	query_1	['GO:0000723', 'GO:0022402', 'GO:0033260']	['FEN1', 'PCNA', 'BLM', 'WRN']
392	GO:BP	GO:0002263	cell activation involved in immune response	1.79722497260783e-06	True	"""A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	288	104	12	17376	0.1153846153846153	0.0416666666666666	query_1	['GO:0001775', 'GO:0002252', 'GO:0006955']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'TP53', 'RNF8', 'MSH6']
393	GO:BP	GO:1904029	regulation of cyclin-dependent protein kinase activity	1.881704154363461e-06	True	"""Any process that modulates the frequency, rate or extent of cyclin-dependent protein kinase activity."" [GO_REF:0000059, GOC:als, GOC:TermGenie, PMID:22995177]"	101	104	8	17376	0.0769230769230769	0.0792079207920792	query_1	['GO:0045859', 'GO:0051726']	['AKT1', 'CDK7', 'CDKN1A', 'CCNH', 'BLM', 'CCND2', 'MNAT1', 'CCND1']
394	GO:BP	GO:0007004	telomere maintenance via telomerase	1.8866676949819888e-06	True	"""The maintenance of proper telomeric length by the addition of telomeric repeats by telomerase."" [GOC:elh]"	68	104	7	17376	0.0673076923076923	0.1029411764705882	query_1	['GO:0006278', 'GO:0010833']	['RAD50', 'ATR', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'PNKP']
395	GO:BP	GO:0006278	RNA-templated DNA biosynthetic process	2.079939225965221e-06	True	"""A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand."" [GOC:mah, ISBN:0198506732]"	69	104	7	17376	0.0673076923076923	0.1014492753623188	query_1	['GO:0071897']	['RAD50', 'ATR', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'PNKP']
396	GO:BP	GO:0061819	telomeric DNA-containing double minutes formation	2.3940876181758096e-06	True	"""A telomere maintenance process that results in the formation of small fragments of circular extrachromosomal DNA elements which contain telomeric DNA. It is speculated that telomeric DNA-containing double minutes are formed through a recombination event between the telomere and chromosome-internal TTAGGG-like sequences. Telomeric DNA-containing double minutes appear as two closely positioned dots in metaphase."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:14690602, PMID:2397458]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0000722']	['ERCC1', 'ERCC4', 'XRCC1']
397	GO:BP	GO:1905764	regulation of protection from non-homologous end joining at telomere	2.3940876181758096e-06	True	"""Any process that modulates the frequency, rate or extent of protection from non-homologous end joining at telomere."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:14690602]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0031848', 'GO:1904353', 'GO:1904505']	['ERCC1', 'ERCC4', 'XRCC1']
398	GO:BP	GO:1905765	negative regulation of protection from non-homologous end joining at telomere	2.3940876181758096e-06	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of protection from non-homologous end joining at telomere."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:14690602]"	3	104	3	17376	0.0288461538461538	1.0	query_1	['GO:0031848', 'GO:1904354', 'GO:1904506', 'GO:1905764']	['ERCC1', 'ERCC4', 'XRCC1']
399	REAC	REAC:R-HSA-72086	mRNA Capping	2.4290557035724567e-06	True	mRNA Capping	28	104	5	17376	0.048076923076923	0.1785714285714285	query_1	['REAC:R-HSA-8953854']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
400	REAC	REAC:R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	2.537730467728793e-06	True	Formation of TC-NER Pre-Incision Complex	52	104	6	17376	0.0576923076923076	0.1153846153846153	query_1	['REAC:R-HSA-6781827']	['XPA', 'CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
401	GO:CC	GO:0070522	ERCC4-ERCC1 complex	3.1109268495487355e-06	True	"""A heterodimeric nucleotide-excision repair complex that has endonuclease activity specific for bubble structures characteristic of certain DNA lesions. The subunits are known as XPF/ERCC4 and ERCC1 in mammals, and Rad1p and Rad10p in S. cerevisiae."" [PMID:14734547]"	4	104	3	17376	0.0288461538461538	0.75	query_1	['GO:0000109']	['ERCC1', 'ERCC4', 'XRCC1']
402	GO:CC	GO:0070532	BRCA1-B complex	3.1109268495487355e-06	True	"""A protein complex that contains the BRCA1-BARD1 heterodimer, BACH1 and TopBP1, and binds to DNA during S phase at DNA damage sites."" [GOC:mah, PMID:16391231]"	4	104	3	17376	0.0288461538461538	0.75	query_1	['GO:0140513']	['BRIP1', 'BRCA1', 'BARD1']
403	GO:CC	GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	3.1109268495487355e-06	True	"""A large protein complex which is involved in the repair of DNA double-strand breaks and, in mammals, V(D)J recombination events. It consists of the DNA-dependent protein kinase catalytic subunit (DNA-PKcs), the DNA end-binding heterodimer Ku, the nuclear phosphoprotein XRCC4 or a homolog thereof, and DNA ligase IV."" [GOC:jl, GOC:mah, PMID:10854421, PMID:12235392, PMID:17072889]"	4	104	3	17376	0.0288461538461538	0.75	query_1	['GO:0070419', 'GO:0140513']	['LIG4', 'XRCC4', 'PRKDC']
404	REAC	REAC:R-HSA-3270619	IRF3-mediated induction of type I IFN	3.1722236798196745e-06	True	IRF3-mediated induction of type I IFN	13	104	4	17376	0.0384615384615384	0.3076923076923077	query_1	['REAC:R-HSA-1834941']	['XRCC6', 'XRCC5', 'MRE11', 'PRKDC']
405	REAC	REAC:R-HSA-174430	Telomere C-strand synthesis initiation	3.1722236798196745e-06	True	Telomere C-strand synthesis initiation	13	104	4	17376	0.0384615384615384	0.3076923076923077	query_1	['REAC:R-HSA-174417']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2']
406	REAC	REAC:R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	3.1722236798196745e-06	True	Inhibition of replication initiation of damaged DNA by RB1/E2F1	13	104	4	17376	0.0384615384615384	0.3076923076923077	query_1	['REAC:R-HSA-113510']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2']
407	GO:BP	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	3.325057548433149e-06	True	"""Any signalling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	74	104	7	17376	0.0673076923076923	0.0945945945945946	query_1	['GO:0000082', 'GO:1901991', 'GO:1902807', 'GO:2000045']	['RPA2', 'CDKN1A', 'ATM', 'CDK2', 'PRKDC', 'TP53', 'CCND1']
408	GO:BP	GO:0048731	system development	3.879547279464033e-06	True	"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]"	3689	104	45	17376	0.4326923076923077	0.0121984277582	query_1	['GO:0007275', 'GO:0048856']	['USP45', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'H2AX', 'ERCC3', 'MSH3', 'BRCA2', 'PHLPP1', 'RAD1', 'PCNA', 'CDKN1A', 'AR', 'PMS2', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'MNAT1', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'WRN', 'TP53', 'PHLPP2', 'ERCC2', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
409	REAC	REAC:R-HSA-73863	RNA Polymerase I Transcription Termination	3.963115513785042e-06	True	RNA Polymerase I Transcription Termination	31	104	5	17376	0.048076923076923	0.1612903225806451	query_1	['REAC:R-HSA-73864']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
410	GO:BP	GO:0042276	error-prone translesion synthesis	4.38804355721809e-06	True	"""The conversion of DNA-damage induced single-stranded gaps into large molecular weight DNA after replication by using a specialized DNA polymerase or replication complex to insert a defined nucleotide across the lesion. This process does not remove the replication-blocking lesions and causes an increase in the endogenous mutation level. For example, in E. coli, a low fidelity DNA polymerase, pol V, copies lesions that block replication fork progress. This produces mutations specifically targeted to DNA template damage sites, but it can also produce mutations at undamaged sites."" [GOC:elh, GOC:jl, PMID:11485998]"	11	104	4	17376	0.0384615384615384	0.3636363636363636	query_1	['GO:0019985']	['USP1', 'POLD3', 'POLE2', 'POLD2']
411	GO:BP	GO:0097190	apoptotic signaling pathway	4.578572097878865e-06	True	"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]"	588	104	16	17376	0.1538461538461538	0.0272108843537414	query_1	['GO:0006915', 'GO:0007165']	['AKT1', 'NBN', 'MSH2', 'MLH1', 'BRCA2', 'CDKN1A', 'AR', 'PARP1', 'ATM', 'RAD9A', 'BRCA1', 'PRKDC', 'POLB', 'TP53', 'KDM1A', 'MSH6']
412	REAC	REAC:R-HSA-113418	Formation of the Early Elongation Complex	4.596202330065868e-06	True	Formation of the Early Elongation Complex	32	104	5	17376	0.048076923076923	0.15625	query_1	['REAC:R-HSA-75955']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
413	REAC	REAC:R-HSA-167158	Formation of the HIV-1 Early Elongation Complex	4.596202330065868e-06	True	Formation of the HIV-1 Early Elongation Complex	32	104	5	17376	0.048076923076923	0.15625	query_1	['REAC:R-HSA-167169']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
414	GO:BP	GO:2000001	regulation of DNA damage checkpoint	4.664674658121656e-06	True	"""Any process that modulates the frequency, rate or extent of a DNA damage checkpoint."" [GOC:obol]"	26	104	5	17376	0.048076923076923	0.1923076923076923	query_1	['GO:0000077', 'GO:0080135', 'GO:1901976']	['RPA2', 'BRCA2', 'RAD51', 'BRCA1', 'BARD1']
415	GO:BP	GO:0006915	apoptotic process	4.943266264625924e-06	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1798	104	29	17376	0.2788461538461538	0.0161290322580645	query_1	['GO:0012501']	['AKT1', 'NBN', 'MSH2', 'LIG4', 'MLH1', 'ERCC3', 'OGG1', 'BRCA2', 'PHLPP1', 'CDKN1A', 'AR', 'PARP1', 'ATM', 'RAD9A', 'MRE11', 'CCND2', 'APEX1', 'MNAT1', 'BRCA1', 'ERCC5', 'PRKDC', 'KAT5', 'BARD1', 'POLB', 'TP53', 'ERCC2', 'KDM1A', 'CCND1', 'MSH6']
416	GO:BP	GO:0009892	negative regulation of metabolic process	5.603095855150659e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	2845	104	38	17376	0.3653846153846153	0.0133567662565905	query_1	['GO:0008152', 'GO:0019222', 'GO:0048519']	['RBBP8', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'MLH1', 'MSH3', 'OGG1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'POLE3', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
417	REAC	REAC:R-HSA-1834941	STING mediated induction of host immune responses	5.800474683087762e-06	True	STING mediated induction of host immune responses	15	104	4	17376	0.0384615384615384	0.2666666666666666	query_1	['REAC:R-HSA-1834949']	['XRCC6', 'XRCC5', 'MRE11', 'PRKDC']
418	GO:CC	GO:0000800	lateral element	5.806736850279241e-06	True	"""A proteinaceous core found between sister chromatids during meiotic prophase."" [GOC:elh]"	15	104	4	17376	0.0384615384615384	0.2666666666666666	query_1	['GO:0000795', 'GO:0110165']	['BRCA2', 'BLM', 'RAD51', 'BRCA1']
419	GO:BP	GO:1902807	negative regulation of cell cycle G1/S phase transition	6.020535784093942e-06	True	"""Any signalling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]"	81	104	7	17376	0.0673076923076923	0.0864197530864197	query_1	['GO:0044843', 'GO:1901988', 'GO:1902806']	['RPA2', 'CDKN1A', 'ATM', 'CDK2', 'PRKDC', 'TP53', 'CCND1']
420	GO:BP	GO:0033522	histone H2A ubiquitination	6.784414785987927e-06	True	"""The modification of histone H2A by addition of one or more ubiquitin groups."" [GOC:bf, GOC:mah, PMID:15509584, PMID:16473935, PMID:18430235]"	28	104	5	17376	0.048076923076923	0.1785714285714285	query_1	['GO:0016574']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1', 'RNF8']
421	GO:CC	GO:0030870	Mre11 complex	7.416228160433774e-06	True	"""Trimeric protein complex that possesses endonuclease activity; involved in meiotic recombination, DNA repair and checkpoint signaling. In Saccharomyces cerevisiae, the complex comprises Mre11p, Rad50p, and Xrs2p; complexes identified in other species generally contain proteins orthologous to the Saccharomyces cerevisiae proteins."" [GOC:mah, GOC:vw, PMID:11988766, PMID:17674145]"	5	104	3	17376	0.0288461538461538	0.6	query_1	['GO:0140513']	['NBN', 'RAD50', 'MRE11']
422	GO:CC	GO:0070418	DNA-dependent protein kinase complex	7.416228160433774e-06	True	"""A protein complex that is involved in the repair of DNA double-strand breaks and, in mammals, V(D)J recombination events. It consists of the DNA-dependent protein kinase catalytic subunit (DNA-PKcs) and the DNA end-binding heterodimer Ku."" [GOC:mah, PMID:10854421, PMID:12235392]"	5	104	3	17376	0.0288461538461538	0.6	query_1	['GO:0140513', 'GO:1902554']	['XRCC6', 'XRCC5', 'PRKDC']
423	GO:BP	GO:0007275	multicellular organism development	7.457567118913565e-06	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4319	104	49	17376	0.4711538461538461	0.0113452188006482	query_1	['GO:0032501', 'GO:0048856']	['RBBP8', 'HUS1', 'USP45', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'H2AX', 'ERCC3', 'MSH3', 'BRCA2', 'PHLPP1', 'RAD1', 'PCNA', 'CDKN1A', 'AR', 'PMS2', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'MNAT1', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'WRN', 'TP53', 'PHLPP2', 'ERCC2', 'KDM1A', 'POLE', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
424	REAC	REAC:R-HSA-110312	Translesion synthesis by REV1	7.634784469478594e-06	True	Translesion synthesis by REV1	16	104	4	17376	0.0384615384615384	0.25	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
425	GO:BP	GO:2000781	positive regulation of double-strand break repair	8.273149167678045e-06	True	"""Any process that activates or increases the frequency, rate or extent of double-strand break repair."" [GOC:BHF]"	85	104	7	17376	0.0673076923076923	0.0823529411764705	query_1	['GO:0006302', 'GO:0045739', 'GO:2000779']	['RBBP8', 'RAD51AP1', 'WDR48', 'PARP1', 'PRKDC', 'KAT5', 'PNKP']
426	GO:BP	GO:2000278	regulation of DNA biosynthetic process	8.491811079979359e-06	True	"""Any process that modulates the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	124	104	8	17376	0.0769230769230769	0.064516129032258	query_1	['GO:0010556', 'GO:0031326', 'GO:0051052', 'GO:0071897']	['USP1', 'PCNA', 'CDKN1A', 'ATR', 'XRCC5', 'ATM', 'TP53', 'PNKP']
