Keppen-Lubinsky syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
169	GO:BP	GO:0042886	amide transport	0.0042011199444189	True	"""The directed movement of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl, ISBN:0198506732]"	337	99	9	15719	0.0909090909090909	0.0267062314540059	query_1	['GO:0071705']	['GNA11', 'PLCB1', 'CD209', 'MTNR1B', 'GABBR1', 'KCNJ10', 'CLEC4M', 'GNAZ', 'ADRA2A']
170	GO:BP	GO:0050909	sensory perception of taste	0.0042011199444189	True	"""The series of events required for an organism to receive a gustatory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Gustation involves the direct detection of chemical composition, usually through contact with chemoreceptor cells. This is a neurological process."" [GOC:ai]"	50	99	4	15719	0.0404040404040404	0.08	query_1	['GO:0007606']	['GNG13', 'GNAT2', 'GNB1', 'GNAT3']
39	GO:CC	GO:0098857	membrane microdomain	0.0044813116800953	True	"""A membrane region with a lipid composition that is distinct from that of the membrane regions that surround it."" [PMID:20044567, PMID:26253820]"	319	100	8	16420	0.08	0.0250783699059561	query_1	['GO:0016020']	['GNAI2', 'GABBR1', 'FYN', 'PDZK1', 'BTK', 'GNAI3', 'S1PR1', 'RGS7']
40	GO:CC	GO:0045121	membrane raft	0.0044813116800953	True	"""Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions."" [PMID:16645198, PMID:20044567]"	318	100	8	16420	0.08	0.0251572327044025	query_1	['GO:0098857']	['GNAI2', 'GABBR1', 'FYN', 'PDZK1', 'BTK', 'GNAI3', 'S1PR1', 'RGS7']
41	GO:CC	GO:0038037	G protein-coupled receptor dimeric complex	0.0044996102672633	True	"""A protein complex that contains two G protein-coupled receptors."" [GOC:al, GOC:bf, PMID:10713101]"	7	100	2	16420	0.02	0.2857142857142857	query_1	['GO:0097648']	['GABBR1', 'GABBR2']
171	GO:BP	GO:0086013	membrane repolarization during cardiac muscle cell action potential	0.0045315017867284	True	"""The process in which ions are transported across a membrane such that the cardiac muscle cell plasma membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]"	21	99	3	15719	0.0303030303030303	0.1428571428571428	query_1	['GO:0086001', 'GO:0086011', 'GO:0099622']	['KCNJ5', 'KCNJ2', 'KCNJ3']
172	GO:BP	GO:0043547	positive regulation of GTPase activity	0.004605660743433	True	"""Any process that activates or increases the activity of a GTPase."" [GOC:jl, GOC:mah]"	270	99	8	15719	0.0808080808080808	0.0296296296296296	query_1	['GO:0043087', 'GO:0051345']	['PLXNB1', 'GNB5', 'RAP1GAP', 'GNAS', 'S1PR1', 'SEMA4D', 'RGS7', 'RGS14']
174	GO:BP	GO:0007268	chemical synaptic transmission	0.0049210929365537	True	"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]"	679	99	13	15719	0.1313131313131313	0.0191458026509572	query_1	['GO:0098916']	['GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'KCNJ10', 'HTR1B', 'HTR1D', 'GABBR2', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
173	GO:BP	GO:0098916	anterograde trans-synaptic signaling	0.0049210929365537	True	"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]"	679	99	13	15719	0.1313131313131313	0.0191458026509572	query_1	['GO:0099537']	['GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'KCNJ10', 'HTR1B', 'HTR1D', 'GABBR2', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
175	GO:BP	GO:0010033	response to organic substance	0.0049376380451997	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]"	2672	99	31	15719	0.3131313131313131	0.0116017964071856	query_1	['GO:0042221']	['GNA11', 'TBXA2R', 'PRKCA', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GABBR1', 'GNG8', 'GNG2', 'PTK7', 'FYN', 'RHOA', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'GNAQ', 'HTR1A', 'ADRA2A', 'RGS7']
177	GO:BP	GO:0071379	cellular response to prostaglandin stimulus	0.0050474226756568	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin stimulus."" [GOC:mah]"	22	99	3	15719	0.0303030303030303	0.1363636363636363	query_1	['GO:0032870', 'GO:0034694', 'GO:0071396']	['GNG2', 'GNAS', 'GNB1']
176	GO:BP	GO:0010518	positive regulation of phospholipase activity	0.0050474226756568	True	"""Any process that increases the frequency, rate or extent of phospholipase activity, the hydrolysis of a phospholipid."" [GOC:BHF, GOC:dph, GOC:tb]"	53	99	4	15719	0.0404040404040404	0.0754716981132075	query_1	['GO:0010517', 'GO:0060193']	['GNA15', 'P2RY12', 'GNA13', 'GNAQ']
42	GO:CC	GO:0031253	cell projection membrane	0.0051172953179393	True	"""The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection."" [GOC:krc, GOC:mah]"	328	100	8	16420	0.08	0.024390243902439	query_1	['GO:0098590', 'GO:0120025']	['GABBR1', 'PDZK1', 'RHOA', 'P2RY12', 'ADCY3', 'GNAT2', 'GNA13', 'GNA12']
178	GO:BP	GO:0051051	negative regulation of transport	0.0051186126295846	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	426	99	10	15719	0.101010101010101	0.0234741784037558	query_1	['GO:0006810', 'GO:0048519', 'GO:0051049']	['GNAI2', 'GNB5', 'ANKRD13B', 'MTNR1B', 'GABBR1', 'ADRA2C', 'HTR1B', 'PTGER3', 'GNAZ', 'ADRA2A']
179	GO:BP	GO:0099537	trans-synaptic signaling	0.0052782323081403	True	"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]"	686	99	13	15719	0.1313131313131313	0.0189504373177842	query_1	['GO:0099536']	['GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'KCNJ10', 'HTR1B', 'HTR1D', 'GABBR2', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
180	GO:BP	GO:0097306	cellular response to alcohol	0.0052939199623166	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr]"	97	99	5	15719	0.0505050505050505	0.0515463917525773	query_1	['GO:0071310', 'GO:0097305', 'GO:1901701']	['GNG2', 'GNAS', 'ADCY3', 'GNB1', 'GNAI1']
181	GO:BP	GO:0009583	detection of light stimulus	0.0053058229717665	True	"""The series of events in which a light stimulus (in the form of photons) is received and converted into a molecular signal."" [GOC:go_curators]"	54	99	4	15719	0.0404040404040404	0.074074074074074	query_1	['GO:0009416', 'GO:0009581', 'GO:0009582']	['GNA11', 'GNAT2', 'GNAQ', 'GNGT1']
43	GO:CC	GO:0045211	postsynaptic membrane	0.0054725704750397	True	"""A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane."" [ISBN:0198506732]"	256	100	7	16420	0.07	0.02734375	query_1	['GO:0097060', 'GO:0098794']	['GABBR1', 'KCTD16', 'KCNJ4', 'KCNJ2', 'GABBR2', 'NRP1', 'ADRA2A']
185	GO:BP	GO:0150099	neuron-glial cell signaling	0.0054758517107276	True	"""Cell-cell signaling that mediates the transfer of information from a neuron to a glial cell. This signalling has been shown to be mediated by various molecules released by different types of neurons, e.g. glutamate, gamma-amino butyric acid (GABA), noradrenaline, acetylcholine, dopamine and adenosine."" [GOC:aruk, GOC:bc, PMID:10195197, PMID:10196584, PMID:10377338, PMID:10493741, PMID:11356870, PMID:11399439, PMID:15252819, PMID:27788368]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0007267']	['GABBR1', 'GABBR2']
184	GO:BP	GO:0035624	receptor transactivation	0.0054758517107276	True	"""The process in which a receptor is activated by another receptor. Receptor transactivation can occur through different mechanisms and includes cross-talk between signaling pathways where one receptor activates a receptor for a different ligand, and also activation of subunits within a receptor oligomer."" [GOC:al, GOC:bf, GOC:BHF, PMID:16870826, PMID:21063387]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:2000273']	['ADRA2C', 'ADRA2A']
183	GO:BP	GO:0007600	sensory perception	0.0054758517107276	True	"""The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai, GOC:dph]"	600	99	12	15719	0.1212121212121212	0.02	query_1	['GO:0050877']	['GNG13', 'GNAL', 'FYN', 'CNNM4', 'PDCL', 'KCNJ10', 'GNAS', 'ADCY3', 'GNAT2', 'GNB1', 'GNAT3', 'ADRA2A']
182	GO:BP	GO:0010700	negative regulation of norepinephrine secretion	0.0054758517107276	True	"""Any process that decreases the frequency, rate or extent of the regulated release of norepinephrine."" [GOC:dph, GOC:tb]"	5	99	2	15719	0.0202020202020202	0.4	query_1	['GO:0014061', 'GO:0033604', 'GO:0048243']	['ADRA2C', 'ADRA2A']
186	GO:BP	GO:0050433	regulation of catecholamine secretion	0.0055422499100716	True	"""Any process that modulates the frequency, rate or extent of the regulated release of catecholamines."" [GOC:ai]"	55	99	4	15719	0.0404040404040404	0.0727272727272727	query_1	['GO:0050432', 'GO:0051952', 'GO:1903530']	['GABBR1', 'ADRA2C', 'HTR1B', 'ADRA2A']
95	REAC	REAC:R-HSA-1430728	Metabolism	0.0056237647843036	True	Metabolism	1954	84	28	10022	0.3333333333333333	0.014329580348004	query_1	['REAC:0000000']	['GNB3', 'GNA11', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'ADRA2C', 'GNG7', 'GNAS', 'GNB2', 'PLCB3', 'GNG12', 'ADCY3', 'GNB1', 'GNAI1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1', 'ADRA2A']
94	REAC	REAC:R-HSA-390696	Adrenoceptors	0.0056237647843036	True	Adrenoceptors	8	84	2	10022	0.0238095238095238	0.25	query_1	['REAC:R-HSA-375280']	['ADRA2C', 'ADRA2A']
96	REAC	REAC:R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade	0.0057951846347276	True	Inactivation, recovery and regulation of the phototransduction cascade	30	84	3	10022	0.0357142857142857	0.1	query_1	['REAC:R-HSA-2514856']	['PRKCA', 'GNB1', 'GNGT1']
187	GO:BP	GO:0043266	regulation of potassium ion transport	0.0058664163778454	True	"""Any process that modulates the frequency, rate or extent of the directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]"	100	99	5	15719	0.0505050505050505	0.05	query_1	['GO:0006813', 'GO:0010959']	['MTNR1B', 'GNB2', 'KCNJ2', 'ADRA2A', 'RGS7']
188	GO:BP	GO:0007155	cell adhesion	0.0059680738038391	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	99	20	15719	0.202020202020202	0.0141944641589779	query_1	['GO:0009987']	['TRO', 'ICAM3', 'PLXNB1', 'PLXNA2', 'PRKCA', 'CD209', 'PTK7', 'ICAM2', 'FYN', 'RHOA', 'BTN2A2', 'P2RY12', 'GNAS', 'RIC8A', 'CLEC4M', 'S1PR1', 'NRP1', 'FARP2', 'SEMA4D', 'PLXNA1']
189	GO:BP	GO:0055085	transmembrane transport	0.0061580627495475	True	"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]"	1413	99	20	15719	0.202020202020202	0.0141542816702052	query_1	['GO:0006810', 'GO:0009987']	['KCNJ16', 'CNNM2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'CNNM4', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
190	GO:BP	GO:0050432	catecholamine secretion	0.0062244524570515	True	"""The regulated release of catecholamines by a cell. The catecholamines are a group of physiologically important biogenic amines that possess a catechol (3,4-dihydroxyphenyl) nucleus and are derivatives of 3,4-dihydroxyphenylethylamine."" [GOC:ai, GOC:ef]"	57	99	4	15719	0.0404040404040404	0.0701754385964912	query_1	['GO:0032940', 'GO:0051937']	['GABBR1', 'ADRA2C', 'HTR1B', 'ADRA2A']
97	REAC	REAC:R-HSA-2514856	The phototransduction cascade	0.0063124694793772	True	The phototransduction cascade	31	84	3	10022	0.0357142857142857	0.0967741935483871	query_1	['REAC:R-HSA-2187338']	['PRKCA', 'GNB1', 'GNGT1']
44	GO:CC	GO:0031982	vesicle	0.0065776462060443	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3794	100	37	16420	0.37	0.0097522403795466	query_1	['GO:0043227']	['GNB3', 'GNA11', 'TBXA2R', 'GNG5', 'ICAM3', 'PRKCA', 'GNAI2', 'ANKRD13B', 'PLCB1', 'GNAL', 'GNB4', 'GABBR1', 'RAP1GAP', 'GNG2', 'FYN', 'PDZK1', 'ADRA2C', 'RHOA', 'GNG7', 'KCNJ4', 'GNAS', 'GNB2', 'GCGR', 'GNG12', 'OCIAD1', 'BTK', 'GNB1', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'NRP1', 'MAGED2', 'GNAI1', 'GNAQ', 'GNG4', 'PLXNA1']
45	GO:CC	GO:0043657	host cell	0.0066959392874026	True	"""A cell within a host organism. Includes the host plasma membrane and any external encapsulating structures such as the host cell wall and cell envelope."" [GOC:jl]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0018995']	['CD209', 'CLEC4M']
46	GO:CC	GO:0018995	host cellular component	0.0066959392874026	True	"""Any cellular component of a host cell. The host is an organism in which another organism, for instance a parasite or symbiont, spends part or all of its life cycle and from which it obtains nourishment and/or protection."" [ISBN:0198506732]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0110165']	['CD209', 'CLEC4M']
47	GO:CC	GO:0097648	G protein-coupled receptor complex	0.0066959392874026	True	"""A protein complex that contains G protein-coupled receptors."" [GOC:bhm]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0098802']	['GABBR1', 'GABBR2']
194	GO:BP	GO:0086011	membrane repolarization during action potential	0.0067869680669431	True	"""The process in which ions are transported across a membrane such that the membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0001508', 'GO:0086009']	['KCNJ5', 'KCNJ2', 'KCNJ3']
192	GO:BP	GO:1904752	regulation of vascular associated smooth muscle cell migration	0.0067869680669431	True	"""Any process that modulates the frequency, rate or extent of vascular associated smooth muscle cell migration."" [GO_REF:0000058, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:20693317]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0014910', 'GO:1904738']	['RHOA', 'GNA13', 'GNA12']
191	GO:BP	GO:0034695	response to prostaglandin E	0.0067869680669431	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin E stimulus."" [GOC:BHF, GOC:vk]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0034694', 'GO:0097305', 'GO:1901654']	['GNG2', 'GNAS', 'GNB1']
193	GO:BP	GO:0043931	ossification involved in bone maturation	0.0067869680669431	True	"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone, involved in the progression of the skeleton from its formation to its mature state."" [GOC:dph, GOC:mah, GOC:mtg_mpo]"	25	99	3	15719	0.0303030303030303	0.12	query_1	['GO:0001503', 'GO:0070977']	['PLXNB1', 'RHOA', 'SEMA4D']
195	GO:BP	GO:0006940	regulation of smooth muscle contraction	0.0073807845299522	True	"""Any process that modulates the frequency, rate or extent of smooth muscle contraction."" [GOC:go_curators]"	60	99	4	15719	0.0404040404040404	0.0666666666666666	query_1	['GO:0006937', 'GO:0006939']	['TBXA2R', 'ADRA2C', 'RHOA', 'ADRA2A']
196	GO:BP	GO:0010259	multicellular organism aging	0.007559741159435	True	"""An aging process that has as participant a whole multicellular organism. Multicellular organism aging includes loss of functions such as resistance to disease, homeostasis, and fertility, as well as wear and tear. Multicellular organisms aging includes processes like cellular senescence and organ senescence, but is more inclusive. May precede death (GO:0016265) of an organism and may succeed developmental maturation (GO:0021700)."" [GOC:PO_curators]"	26	99	3	15719	0.0303030303030303	0.1153846153846153	query_1	['GO:0007275', 'GO:0007568']	['GNA11', 'GNA13', 'GNA12']
197	GO:BP	GO:0021856	hypothalamic tangential migration using cell-axon interactions	0.0075695800452115	True	"""The movement of a hypothalamic neuronal precursor tangentially through the forebrain using an interaction of the migrating cells with axons of other neurons."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	6	99	2	15719	0.0202020202020202	0.3333333333333333	query_1	['GO:0021855']	['NRP1', 'PLXNA1']
198	GO:BP	GO:0098914	membrane repolarization during atrial cardiac muscle cell action potential	0.0075695800452115	True	"""The process in which ions are transported across a membrane such that the atrial cardiomyocyte membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential."" [GOC:dph, GOC:mtg_cardiac_conduct_nov11, GOC:tb]"	6	99	2	15719	0.0202020202020202	0.3333333333333333	query_1	['GO:0086013', 'GO:0086014', 'GO:0099624']	['KCNJ5', 'KCNJ3']
199	GO:BP	GO:0014062	regulation of serotonin secretion	0.0075695800452115	True	"""Any process that modulates the frequency, rate or extent of the regulated release of serotonin."" [GOC:ef]"	6	99	2	15719	0.0202020202020202	0.3333333333333333	query_1	['GO:0001820', 'GO:0043269', 'GO:1903530']	['HTR1B', 'HTR1A']
200	GO:BP	GO:0021828	gonadotrophin-releasing hormone neuronal migration to the hypothalamus	0.0075695800452115	True	"""The directional movement of a gonadotrophin-releasing hormone producing neuron from the nasal placode to the hypothalamus."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, PMID:12626695]"	6	99	2	15719	0.0202020202020202	0.3333333333333333	query_1	['GO:0001764', 'GO:0021856', 'GO:0021888']	['NRP1', 'PLXNA1']
201	GO:BP	GO:0046879	hormone secretion	0.0075971958009848	True	"""The regulated release of hormones, substances with a specific regulatory effect on a particular organ or group of cells."" [ISBN:0198506732]"	298	99	8	15719	0.0808080808080808	0.0268456375838926	query_1	['GO:0009914', 'GO:0023061']	['GNA11', 'PLCB1', 'MTNR1B', 'GABBR1', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
202	GO:BP	GO:0051234	establishment of localization	0.0077656204157909	True	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	4373	99	43	15719	0.4343434343434343	0.0098330665447061	query_1	['GO:0051179']	['KCNJ16', 'GNA11', 'ICAM3', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'CD209', 'MTNR1B', 'GABBR1', 'FYN', 'PDZK1', 'ADRA2C', 'CNNM4', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNAS', 'GNB2', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'OCIAD1', 'BTK', 'KCNJ2', 'GNAI3', 'KCNJ3', 'NRP1', 'MAGED2', 'GNAZ', 'KCNJ14', 'HTR1A', 'KCNJ12', 'ADRA2A', 'RGS7', 'RGS14']
203	GO:BP	GO:1901655	cellular response to ketone	0.0080066953860365	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ketone stimulus."" [GOC:pr, GOC:TermGenie]"	109	99	5	15719	0.0505050505050505	0.0458715596330275	query_1	['GO:1901654', 'GO:1901701']	['GNG2', 'GNAS', 'ADCY3', 'GNB1', 'GNAI1']
204	GO:BP	GO:0023061	signal release	0.0080066953860365	True	"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]"	459	99	10	15719	0.101010101010101	0.0217864923747276	query_1	['GO:0007267', 'GO:0032940']	['GNA11', 'PLCB1', 'MTNR1B', 'GABBR1', 'ADRA2C', 'HTR1B', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
205	GO:BP	GO:1904738	vascular associated smooth muscle cell migration	0.0080961063720787	True	"""The orderly movement of a vascular associated smooth muscle cell from one site to another."" [GO_REF:0000091, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:20693317]"	27	99	3	15719	0.0303030303030303	0.1111111111111111	query_1	['GO:0014909']	['RHOA', 'GNA13', 'GNA12']
98	REAC	REAC:R-HSA-170660	Adenylate cyclase activating pathway	0.0086693172294906	True	Adenylate cyclase activating pathway	10	84	2	10022	0.0238095238095238	0.2	query_1	['REAC:R-HSA-112040']	['GNAL', 'ADCY3']
207	GO:BP	GO:0099505	regulation of presynaptic membrane potential	0.0088967921297894	True	"""Any process that modulates the potential difference across a presynaptic membrane."" [GOC:dph, GOC:ef]"	28	99	3	15719	0.0303030303030303	0.1071428571428571	query_1	['GO:0042391']	['GABBR1', 'KCNJ9', 'KCNJ3']
206	GO:BP	GO:0070977	bone maturation	0.0088967921297894	True	"""A developmental process, independent of morphogenetic (shape) change, that is required for bone to attain its fully functional state."" [GOC:dph, GOC:mah]"	28	99	3	15719	0.0303030303030303	0.1071428571428571	query_1	['GO:0048799', 'GO:0060348']	['PLXNB1', 'RHOA', 'SEMA4D']
208	GO:BP	GO:0010517	regulation of phospholipase activity	0.0088967921297894	True	"""Any process that modulates the frequency, rate or extent of phospholipase activity, the hydrolysis of a phospholipid."" [GOC:BHF, GOC:dph, GOC:tb]"	64	99	4	15719	0.0404040404040404	0.0625	query_1	['GO:0060191']	['GNA15', 'P2RY12', 'GNA13', 'GNAQ']
48	GO:CC	GO:0034702	monoatomic ion channel complex	0.0091071840860607	True	"""A protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective monoatomic ion transport down its electrochemical gradient."" [GOC:mah, ISBN:071673706X]"	285	100	7	16420	0.07	0.0245614035087719	query_1	['GO:1902495']	['KCNJ16', 'KCNJ4', 'KCNJ5', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14']
209	GO:BP	GO:0010959	regulation of metal ion transport	0.0091395104943365	True	"""Any process that modulates the frequency, rate, or extent of metal ion transport. Metal ion transport is the directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:dph, GOC:tb]"	386	99	9	15719	0.0909090909090909	0.0233160621761658	query_1	['GO:0030001', 'GO:0043269']	['GNAI2', 'GNB5', 'MTNR1B', 'FYN', 'RHOA', 'GNB2', 'KCNJ2', 'ADRA2A', 'RGS7']
210	GO:BP	GO:0009914	hormone transport	0.0092175000985875	True	"""The directed movement of hormones into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:tb]"	309	99	8	15719	0.0808080808080808	0.0258899676375404	query_1	['GO:0006810', 'GO:0010817']	['GNA11', 'PLCB1', 'MTNR1B', 'GABBR1', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
211	GO:BP	GO:0071695	anatomical structure maturation	0.009249351756111	True	"""A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure to attain its fully functional state."" [GOC:mah]"	65	99	4	15719	0.0404040404040404	0.0615384615384615	query_1	['GO:0021700', 'GO:0048856']	['PLXNB1', 'RHOA', 'S1PR1', 'SEMA4D']
212	GO:BP	GO:0035556	intracellular signal transduction	0.0092648827013217	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	99	29	15719	0.2929292929292929	0.0113948919449901	query_1	['GO:0007165']	['TBXA2R', 'ARHGEF25', 'PLXNB1', 'PRKCA', 'GNAI2', 'PLCB1', 'CD209', 'MTNR1B', 'RAP1GAP', 'FYN', 'ADRA2C', 'RHOA', 'BTN2A2', 'P2RY12', 'GNAS', 'CLEC4M', 'PLCB3', 'BTK', 'ADCY3', 'GNB1', 'GNA13', 'NRP1', 'GNAI1', 'FARP2', 'SEMA4D', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
213	GO:BP	GO:0007202	activation of phospholipase C activity	0.0096473807178048	True	"""The initiation of the activity of the inactive enzyme phospolipase C as the result of The series of molecular signals generated as a consequence of a G protein-coupled receptor binding to its physiological ligand."" [GOC:dph, GOC:mah, GOC:tb, PMID:8280098]"	29	99	3	15719	0.0303030303030303	0.1034482758620689	query_1	['GO:0010863']	['GNA15', 'P2RY12', 'GNAQ']
215	GO:BP	GO:0021855	hypothalamus cell migration	0.0096864484028479	True	"""The directed movement of a cell into the hypothalamus region of the forebrain."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	7	99	2	15719	0.0202020202020202	0.2857142857142857	query_1	['GO:0016477', 'GO:0021854']	['NRP1', 'PLXNA1']
216	GO:BP	GO:0014827	intestine smooth muscle contraction	0.0096864484028479	True	"""A process in which force is generated within smooth muscle tissue, resulting in a change in muscle geometry. This process occurs in the intestine. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. The intestine is the section of the alimentary canal from the stomach to the anal canal. It includes the large intestine and small intestine."" [GOC:mtg_muscle, MA:0001539, MSH:D007422]"	7	99	2	15719	0.0202020202020202	0.2857142857142857	query_1	['GO:0014821', 'GO:0014831']	['PTGER3', 'HTR1D']
217	GO:BP	GO:0140352	export from cell	0.0096864484028479	True	"""The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."" [GOC:pg]"	844	99	14	15719	0.1414141414141414	0.0165876777251184	query_1	['GO:0006810', 'GO:0009987']	['GNA11', 'GNAI2', 'PLCB1', 'MTNR1B', 'GABBR1', 'PDZK1', 'ADRA2C', 'GNAS', 'HTR1B', 'GCGR', 'BTK', 'GNAZ', 'HTR1A', 'ADRA2A']
214	GO:BP	GO:0060600	dichotomous subdivision of an epithelial terminal unit	0.0096864484028479	True	"""The process in which an epithelial cord, rod or tube bifurcates at its end."" [GOC:dph]"	7	99	2	15719	0.0202020202020202	0.2857142857142857	query_1	['GO:0002009', 'GO:0061138']	['NRP1', 'PLXNA1']
