Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
346	GO:BP	GO:0065007	biological regulation	0.008267189544669	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10859	101	79	17376	0.7821782178217822	0.007275071369371	query_1	['GO:0008150']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'PNPLA2', 'MROH2B', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'SYVN1', 'CREBBP', 'PPARD', 'ARF1', 'DAD1', 'BOC', 'LMO7', 'DHH', 'CYTH4', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'CYTH3', 'CYTH1', 'ARL1', 'ZMPSTE24', 'TAMALIN', 'SCOC', 'CYTH2', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CYTIP', 'ARFRP1', 'CSDE1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'PRCC', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'ERLEC1', 'CAND1', 'SELENOK', 'CUL5', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'DDX42', 'HHIP', 'HSPA8', 'FAM3D', 'CUL1', 'CUL2', 'FABP5', 'PKD2', 'CUL4A', 'CDX1', 'NAA35']
347	GO:BP	GO:0003002	regionalization	0.0082723211243626	True	"""The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment."" [GOC:dph, GOC:isa_complete]"	398	101	9	17376	0.0891089108910891	0.0226130653266331	query_1	['GO:0007389']	['PTCH1', 'IHH', 'CDON', 'HIF1A', 'SHH', 'EP300', 'HHIP', 'PKD2', 'CDX1']
348	GO:BP	GO:0007507	heart development	0.008290867925656	True	"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]"	577	101	11	17376	0.1089108910891089	0.0190641247833622	query_1	['GO:0048513', 'GO:0072359']	['PTCH1', 'IHH', 'PPARD', 'ZMPSTE24', 'EGLN1', 'HIF1A', 'SHH', 'EP300', 'RARA', 'NRAP', 'PKD2']
349	GO:BP	GO:0001947	heart looping	0.008290867925656	True	"""The tube morphogenesis process in which the primitive heart tube loops asymmetrically. This looping brings the primitive heart chambers into alignment preceding their future integration. Heart looping begins with dextral-looping and ends when the main regional divisions of the mature heart and primordium of the great arterial trunks become established preceeding septation."" [GOC:dph, PMID:12094232]"	64	101	4	17376	0.0396039603960396	0.0625	query_1	['GO:0003143', 'GO:0061371']	['IHH', 'HIF1A', 'SHH', 'PKD2']
350	REAC	REAC:R-HSA-162906	HIV Infection	0.0084386308545901	True	HIV Infection	224	101	6	17376	0.0594059405940594	0.0267857142857142	query_1	['REAC:R-HSA-5663205']	['ARF1', 'ELOB', 'RBX1', 'SKP1', 'ELOC', 'CUL5']
351	GO:BP	GO:0002052	positive regulation of neuroblast proliferation	0.0087088083914556	True	"""Any process that activates or increases the rate of neuroblast proliferation."" [GOC:dph]"	28	101	3	17376	0.0297029702970297	0.1071428571428571	query_1	['GO:0007405', 'GO:0050769', 'GO:1902692', 'GO:2000179']	['CDON', 'HIF1A', 'SHH']
352	GO:BP	GO:0048598	embryonic morphogenesis	0.0087088083914556	True	"""The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."" [GOC:jid, GOC:mtg_sensu]"	581	101	11	17376	0.1089108910891089	0.0189328743545611	query_1	['GO:0009653', 'GO:0009790']	['CUL3', 'LRIG3', 'PTCH1', 'IHH', 'CREBBP', 'CDON', 'ARFRP1', 'HIF1A', 'SHH', 'RARA', 'PKD2']
353	GO:BP	GO:0050789	regulation of biological process	0.0087088083914556	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	10494	101	77	17376	0.7623762376237624	0.0073375262054507	query_1	['GO:0008150', 'GO:0065007']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'PNPLA2', 'MROH2B', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'SYVN1', 'CREBBP', 'PPARD', 'ARF1', 'DAD1', 'BOC', 'LMO7', 'DHH', 'CYTH4', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'CYTH3', 'CYTH1', 'ZMPSTE24', 'TAMALIN', 'SCOC', 'CYTH2', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'CYTIP', 'ARFRP1', 'CSDE1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'PRCC', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'ERLEC1', 'CAND1', 'SELENOK', 'CUL5', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'DDX42', 'HHIP', 'HSPA8', 'FAM3D', 'CUL1', 'CUL2', 'FABP5', 'PKD2', 'CUL4A', 'CDX1', 'NAA35']
354	GO:BP	GO:0033522	histone H2A ubiquitination	0.0087088083914556	True	"""The modification of histone H2A by addition of one or more ubiquitin groups."" [GOC:bf, GOC:mah, PMID:15509584, PMID:16473935, PMID:18430235]"	28	101	3	17376	0.0297029702970297	0.1071428571428571	query_1	['GO:0016574']	['CUL4B', 'DDB2', 'DDB1']
355	GO:BP	GO:0006109	regulation of carbohydrate metabolic process	0.0089679883811065	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving carbohydrates."" [GOC:go_curators]"	177	101	6	17376	0.0594059405940594	0.0338983050847457	query_1	['GO:0005975', 'GO:0080090']	['SELENOS', 'ZMPSTE24', 'DDB1', 'HIF1A', 'EP300', 'ARNT']
356	GO:BP	GO:0070887	cellular response to chemical stimulus	0.0089679883811065	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2577	101	28	17376	0.2772277227722772	0.0108653473030655	query_1	['GO:0042221', 'GO:0051716']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'SELENOS', 'PPARD', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'OS9', 'DERL1', 'RBX1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'GBF1', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'AHR', 'ERLEC1', 'COPS5', 'RARA', 'HSPA8', 'PKD2']
357	GO:BP	GO:0060562	epithelial tube morphogenesis	0.0090100629800559	True	"""The process in which the anatomical structures of a tube are generated and organized from an epithelium. Epithelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:dph]"	323	101	8	17376	0.0792079207920792	0.0247678018575851	query_1	['GO:0002009', 'GO:0035239']	['PTCH1', 'IHH', 'HIF1A', 'SHH', 'PKHD1', 'RARA', 'HHIP', 'PKD2']
358	REAC	REAC:R-HSA-3371511	HSF1 activation	0.009039021143765	True	HSF1 activation	12	101	2	17376	0.0198019801980198	0.1666666666666666	query_1	['REAC:R-HSA-3371556']	['HSP90AB1', 'VCP']
359	REAC	REAC:R-HSA-556833	Metabolism of lipids	0.009224568964585	True	Metabolism of lipids	689	101	11	17376	0.1089108910891089	0.0159651669085631	query_1	['REAC:R-HSA-1430728']	['RXRA', 'PNPLA2', 'CREBBP', 'PPARD', 'ARF1', 'PLEKHA3', 'EP300', 'ARNT', 'AHR', 'FABP5', 'PLEKHA8']
360	GO:BP	GO:0061138	morphogenesis of a branching epithelium	0.0094166860093262	True	"""The process in which the anatomical structures of a branched epithelium are generated and organized."" [GOC:dph]"	179	101	6	17376	0.0594059405940594	0.0335195530726257	query_1	['GO:0001763', 'GO:0002009']	['PTCH1', 'IHH', 'SHH', 'PKHD1', 'HHIP', 'PKD2']
361	GO:CC	GO:0005766	primary lysosome	0.0094634892719456	True	"""A lysosome before it has fused with a vesicle or vacuole."" [GOC:jl, ISBN:0815316194]"	147	101	5	17376	0.0495049504950495	0.0340136054421768	query_1	['GO:0005764']	['VCP', 'DDOST', 'FAF2', 'MAGT1', 'FABP5']
362	GO:CC	GO:0042582	azurophil granule	0.0094634892719456	True	"""Primary lysosomal granule found in neutrophil granulocytes. Contains a wide range of hydrolytic enzymes and is released into the extracellular fluid."" [GOC:jl, PMID:17152095]"	147	101	5	17376	0.0495049504950495	0.0340136054421768	query_1	['GO:0005766', 'GO:0030141']	['VCP', 'DDOST', 'FAF2', 'MAGT1', 'FABP5']
363	GO:CC	GO:0005788	endoplasmic reticulum lumen	0.0094845328670837	True	"""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]"	296	101	7	17376	0.0693069306930693	0.0236486486486486	query_1	['GO:0005783', 'GO:0070013']	['PNPLA2', 'DNAJC10', 'OS9', 'HSP90B1', 'GBF1', 'SHH', 'ERLEC1']
364	GO:CC	GO:0034663	endoplasmic reticulum chaperone complex	0.0097358889224128	True	"""A protein complex that is located in the endoplasmic reticulum and is composed of chaperone proteins, including BiP, GRP94; CaBP1, protein disulfide isomerase (PDI), ERdj3, cyclophilin B, ERp72, GRP170, UDP-glucosyltransferase, and SDF2-L1."" [PMID:12475965]"	11	101	2	17376	0.0198019801980198	0.1818181818181818	query_1	['GO:0140534']	['DNAJC10', 'HSP90B1']
365	REAC	REAC:R-HSA-168249	Innate Immune System	0.0097757501060726	True	Innate Immune System	1023	101	14	17376	0.1386138613861386	0.0136852394916911	query_1	['REAC:R-HSA-168256']	['CREBBP', 'HSP90AB1', 'VCP', 'DDOST', 'HSP90B1', 'SKP1', 'EP300', 'FAF2', 'CAND1', 'UBE2D2', 'MAGT1', 'HSPA8', 'CUL1', 'FABP5']
366	GO:BP	GO:0046578	regulation of Ras protein signal transduction	0.0099314162514393	True	"""Any process that modulates the frequency, rate or extent of Ras protein signal transduction."" [GOC:bf]"	181	101	6	17376	0.0594059405940594	0.0331491712707182	query_1	['GO:0007265', 'GO:0051056']	['CUL3', 'CYTH4', 'CYTH3', 'CYTH1', 'CYTH2', 'GBF1']
367	GO:BP	GO:0000278	mitotic cell cycle	0.0099586786752631	True	"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]"	896	101	14	17376	0.1386138613861386	0.015625	query_1	['GO:0007049']	['CUL3', 'PTCH1', 'CUL4B', 'ARF1', 'VCP', 'ZMPSTE24', 'DDB1', 'GBF1', 'CUL5', 'PKHD1', 'CUL1', 'CUL2', 'PKD2', 'CUL4A']
368	GO:BP	GO:0061371	determination of heart left/right asymmetry	0.0099586786752631	True	"""Determination of the asymmetric location of the heart with respect to the left and right halves of the organism."" [GOC:dph, GOC:mtg_heart]"	69	101	4	17376	0.0396039603960396	0.0579710144927536	query_1	['GO:0007368', 'GO:0007507']	['IHH', 'HIF1A', 'SHH', 'PKD2']
369	GO:BP	GO:0030853	negative regulation of granulocyte differentiation	0.0099586786752631	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of granulocyte differentiation."" [GOC:mah]"	7	101	2	17376	0.0198019801980198	0.2857142857142857	query_1	['GO:0002762', 'GO:0030851', 'GO:0030852']	['RARA', 'CUL4A']
370	GO:BP	GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	0.0099586786752631	True	"""Any process that activates or increases the frequency, rate or extent of cellular response to transforming growth factor beta stimulus."" [GO_REF:0000058, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:22269326]"	30	101	3	17376	0.0297029702970297	0.1	query_1	['GO:0048584', 'GO:0071560', 'GO:1903844']	['CREBBP', 'HSP90AB1', 'EP300']
371	GO:BP	GO:0032364	intracellular oxygen homeostasis	0.0099586786752631	True	"""A homeostatic process involved in the maintenance of a steady state level of oxygen within a cell."" [GOC:rph]"	7	101	2	17376	0.0198019801980198	0.2857142857142857	query_1	['GO:0055082']	['EGLN1', 'HIF1A']
372	GO:BP	GO:0006006	glucose metabolic process	0.0099586786752631	True	"""The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides."" [ISBN:0198506732]"	182	101	6	17376	0.0594059405940594	0.0329670329670329	query_1	['GO:0019318']	['SELENOS', 'PPARD', 'ZMPSTE24', 'DDB1', 'EP300', 'FABP5']
373	GO:BP	GO:0003007	heart morphogenesis	0.0099586786752631	True	"""The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:dph, GOC:isa_complete]"	254	101	7	17376	0.0693069306930693	0.0275590551181102	query_1	['GO:0007507', 'GO:0009887']	['PTCH1', 'IHH', 'ZMPSTE24', 'EGLN1', 'HIF1A', 'SHH', 'PKD2']
374	GO:BP	GO:0071704	organic substance metabolic process	0.0099586786752631	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	9976	101	74	17376	0.7326732673267327	0.0074178027265437	query_1	['GO:0008152']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'PNPLA2', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'DAD1', 'LMO7', 'DHH', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PKD2', 'CUL4A', 'TUSC3', 'CDX1', 'NAA35']
375	GO:BP	GO:0044843	cell cycle G1/S phase transition	0.0099586786752631	True	"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]"	254	101	7	17376	0.0693069306930693	0.0275590551181102	query_1	['GO:0044770']	['CUL3', 'CUL4B', 'CUL5', 'CUL1', 'CUL2', 'PKD2', 'CUL4A']
376	GO:BP	GO:1902389	ceramide 1-phosphate transport	0.0099586786752631	True	"""The directed movement of a ceramide 1-phosphate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:TermGenie, PMID:23863933]"	7	101	2	17376	0.0198019801980198	0.2857142857142857	query_1	['GO:0015711', 'GO:0015914', 'GO:0035627']	['PLEKHA3', 'PLEKHA8']
377	GO:BP	GO:0051224	negative regulation of protein transport	0.0099586786752631	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	121	101	5	17376	0.0495049504950495	0.0413223140495867	query_1	['GO:0015031', 'GO:0051051', 'GO:0051223', 'GO:1904950']	['DERL2', 'OS9', 'UBE2J1', 'ERLEC1', 'FAM3D']
378	GO:BP	GO:0090162	establishment of epithelial cell polarity	0.0099586786752631	True	"""The specification and formation of anisotropic intracellular organization of an epithelial cell."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	30	101	3	17376	0.0297029702970297	0.1	query_1	['GO:0030010']	['CYTH3', 'CYTH1', 'SHH']
379	GO:BP	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	0.0099586786752631	True	"""Any process that activates or increases the frequency, rate or extent of TGF-beta receptor signaling pathway activity."" [GOC:go_curators]"	30	101	3	17376	0.0297029702970297	0.1	query_1	['GO:0007179', 'GO:0017015', 'GO:0090100', 'GO:1903846']	['CREBBP', 'HSP90AB1', 'EP300']
380	REAC	REAC:R-HSA-211945	Phase I - Functionalization of compounds	0.0101912963743931	True	Phase I - Functionalization of compounds	97	101	4	17376	0.0396039603960396	0.0412371134020618	query_1	['REAC:R-HSA-211859']	['RXRA', 'HSP90AB1', 'ARNT', 'AHR']
381	GO:BP	GO:0003143	embryonic heart tube morphogenesis	0.0103146747062589	True	"""The process in which the anatomical structures of the embryonic heart tube are generated and organized. The embryonic heart tube is an epithelial tube that will give rise to the mature heart."" [GOC:mtg_heart]"	70	101	4	17376	0.0396039603960396	0.0571428571428571	query_1	['GO:0003007', 'GO:0035050', 'GO:0048562', 'GO:0048598', 'GO:0060562']	['IHH', 'HIF1A', 'SHH', 'PKD2']
382	GO:BP	GO:0010243	response to organonitrogen compound	0.0103146747062589	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [PMID:9869419]"	1013	101	15	17376	0.1485148514851485	0.014807502467917	query_1	['GO:0010033', 'GO:1901698']	['SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'AHR', 'FAF2', 'ERLEC1', 'PKD2']
383	REAC	REAC:R-HSA-9707616	Heme signaling	0.0105243156101788	True	Heme signaling	47	101	3	17376	0.0297029702970297	0.0638297872340425	query_1	['REAC:R-HSA-2262752']	['RXRA', 'CREBBP', 'EP300']
384	GO:BP	GO:0010390	histone monoubiquitination	0.0106359698327157	True	"""The modification of histones by addition of a single ubiquitin group."" [PMID:17329563]"	31	101	3	17376	0.0297029702970297	0.0967741935483871	query_1	['GO:0006513', 'GO:0016574']	['CUL4B', 'DDB2', 'DDB1']
385	GO:BP	GO:0080090	regulation of primary metabolic process	0.010729548361761	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5398	101	47	17376	0.4653465346534653	0.008706928492034	query_1	['GO:0019222', 'GO:0044238']	['CUL3', 'EGLN3', 'RXRA', 'PTCH1', 'PNPLA2', 'IHH', 'LIMCH1', 'CUL4B', 'SELENOS', 'CREBBP', 'PPARD', 'LMO7', 'DHH', 'CDON', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'DDB1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'CAND1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'HSPA8', 'FABP5', 'PKD2', 'CUL4A', 'CDX1']
386	GO:BP	GO:0007405	neuroblast proliferation	0.010729548361761	True	"""The expansion of a neuroblast population by cell division. A neuroblast is any cell that will divide and give rise to a neuron."" [GOC:ai, GOC:mtg_sensu, GOC:sart]"	71	101	4	17376	0.0396039603960396	0.056338028169014	query_1	['GO:0048699', 'GO:0061351']	['CDON', 'HIF1A', 'SHH', 'HHIP']
387	GO:BP	GO:1904950	negative regulation of establishment of protein localization	0.0111827195522205	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of establishment of protein localization."" [GO_REF:0000058, GOC:TermGenie, PMID:22761445]"	125	101	5	17376	0.0495049504950495	0.04	query_1	['GO:0045184', 'GO:0070201', 'GO:1903828']	['DERL2', 'OS9', 'UBE2J1', 'ERLEC1', 'FAM3D']
388	GO:BP	GO:0051051	negative regulation of transport	0.0113204358732399	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	425	101	9	17376	0.0891089108910891	0.0211764705882352	query_1	['GO:0006810', 'GO:0048519', 'GO:0051049']	['SELENOS', 'DERL2', 'OS9', 'UBE2J1', 'SHH', 'ERLEC1', 'FAM3D', 'FABP5', 'PKD2']
389	GO:BP	GO:0045165	cell fate commitment	0.0115081580802135	True	"""The cellular developmental process by which a cell establishes the intrinsic character of a cell or tissue region irreversibly committing it to a particular fate."" [ISBN:0716731185]"	262	101	7	17376	0.0693069306930693	0.0267175572519083	query_1	['GO:0030154', 'GO:0048869']	['PTCH1', 'IHH', 'DHH', 'CDON', 'EPAS1', 'SHH', 'RARA']
390	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	0.0115674204091812	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1856	101	22	17376	0.2178217821782178	0.011853448275862	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['RXRA', 'PTCH1', 'IHH', 'CREBBP', 'PPARD', 'LMO7', 'CDON', 'HSP90AB1', 'CSDE1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'AHR', 'CAND1', 'COPS5', 'RARA', 'PKD2', 'CDX1']
391	REAC	REAC:R-HSA-200425	Carnitine metabolism	0.0117120653195959	True	Carnitine metabolism	14	101	2	17376	0.0198019801980198	0.1428571428571428	query_1	['REAC:R-HSA-8978868']	['RXRA', 'PPARD']
392	REAC	REAC:R-HSA-8941856	RUNX3 regulates NOTCH signaling	0.0117120653195959	True	RUNX3 regulates NOTCH signaling	14	101	2	17376	0.0198019801980198	0.1428571428571428	query_1	['REAC:R-HSA-8878159']	['CREBBP', 'EP300']
393	GO:BP	GO:0061136	regulation of proteasomal protein catabolic process	0.0117736631570299	True	"""Any process that modulates the rate, frequency, or extent of the chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:dph, GOC:tb]"	191	101	6	17376	0.0594059405940594	0.031413612565445	query_1	['GO:0010498', 'GO:0042176', 'GO:1903050']	['HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'RBX1', 'SHH']
394	GO:CC	GO:0005811	lipid droplet	0.0118376274509622	True	"""An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."" [GOC:mah, GOC:tb]"	94	101	4	17376	0.0396039603960396	0.0425531914893617	query_1	['GO:0043232']	['PNPLA2', 'VCP', 'GBF1', 'FAF2']
395	GO:BP	GO:1901566	organonitrogen compound biosynthetic process	0.0120173795684635	True	"""The chemical reactions and pathways resulting in the formation of organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	1615	101	20	17376	0.198019801980198	0.0123839009287925	query_1	['GO:1901564', 'GO:1901576']	['STT3B', 'DAD1', 'VCP', 'COX10', 'ELOB', 'UBE2J1', 'DDOST', 'CSDE1', 'RPN1', 'HIF1A', 'ELOC', 'RPLP2', 'STT3A', 'SELENOK', 'MAGT1', 'COPS5', 'RARA', 'RPN2', 'FABP5', 'TUSC3']
396	GO:BP	GO:0006950	response to stress	0.0120173795684635	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3769	101	36	17376	0.3564356435643564	0.0095516052003183	query_1	['GO:0050896']	['CUL3', 'EGLN3', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SEL1L', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'FAF2', 'ERLEC1', 'SELENOK', 'ERCC8', 'COPS5', 'HSPA8', 'PKD2', 'CUL4A']
397	GO:BP	GO:0045879	negative regulation of smoothened signaling pathway	0.0122275485204221	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of smoothened signaling."" [GOC:go_curators]"	33	101	3	17376	0.0297029702970297	0.0909090909090909	query_1	['GO:0007224', 'GO:0008589', 'GO:0009968']	['PTCH1', 'VCP', 'HHIP']
398	GO:BP	GO:0007389	pattern specification process	0.0124808488472013	True	"""Any developmental process that results in the creation of defined areas or spaces within an organism to which cells respond and eventually are instructed to differentiate."" [GOC:go_curators, GOC:isa_complete, ISBN:0521436125]"	433	101	9	17376	0.0891089108910891	0.0207852193995381	query_1	['GO:0007275', 'GO:0032501']	['PTCH1', 'IHH', 'CDON', 'HIF1A', 'SHH', 'EP300', 'HHIP', 'PKD2', 'CDX1']
399	GO:BP	GO:0001763	morphogenesis of a branching structure	0.0124808488472013	True	"""The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes."" [ISBN:0721662544]"	194	101	6	17376	0.0594059405940594	0.0309278350515463	query_1	['GO:0009653', 'GO:0032501']	['PTCH1', 'IHH', 'SHH', 'PKHD1', 'HHIP', 'PKD2']
400	REAC	REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	0.0125475758520298	True	SUMO E3 ligases SUMOylate target proteins	170	101	5	17376	0.0495049504950495	0.0294117647058823	query_1	['REAC:R-HSA-2990846']	['RXRA', 'CREBBP', 'VHL', 'EP300', 'RARA']
401	REAC	REAC:R-HSA-9010553	Regulation of expression of SLITs and ROBOs	0.0127187366458176	True	Regulation of expression of SLITs and ROBOs	171	101	5	17376	0.0495049504950495	0.0292397660818713	query_1	['REAC:R-HSA-376176']	['ELOB', 'RBX1', 'ELOC', 'RPLP2', 'CUL2']
402	REAC	REAC:R-HSA-1660499	Synthesis of PIPs at the plasma membrane	0.0127187366458176	True	Synthesis of PIPs at the plasma membrane	51	101	3	17376	0.0297029702970297	0.0588235294117647	query_1	['REAC:R-HSA-1483255']	['ARF1', 'PLEKHA3', 'PLEKHA8']
403	GO:CC	GO:0098588	bounding membrane of organelle	0.0127683439193913	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2011	101	22	17376	0.2178217821782178	0.0109398309298856	query_1	['GO:0031090']	['PTCH1', 'IHH', 'ARF1', 'DHH', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'PLEKHA3', 'SCOC', 'CYTH2', 'DDOST', 'GBF1', 'SHH', 'MAGT1', 'RPN2', 'HHIP', 'HSPA8', 'FABP5', 'PLEKHA8', 'PKD2', 'SYS1']
