Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1038	GO:BP	GO:0009912	auditory receptor cell fate commitment	0.0009846291767569	True	"""The process in which the cellular identity of auditory hair cells is acquired and determined."" [GOC:lr]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0042491', 'GO:0060120']	['NOTCH1', 'RBPJ']
1039	GO:BP	GO:0060928	atrioventricular node cell development	0.0009846291767569	True	"""The process whose specific outcome is the progression of an atrioventricular (AV) node cell over time, from its formation to the mature state."" [GOC:mtg_heart]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0060922', 'GO:0060926']	['MAML1', 'TBX5']
1040	GO:BP	GO:0032259	methylation	0.0009846291767569	True	"""The process in which a methyl group is covalently attached to a molecule."" [GOC:mah]"	349	101	9	17376	0.0891089108910891	0.0257879656160458	query_1	['GO:0008152']	['WDR77', 'COPRS', 'CTNNB1', 'SMARCB1', 'SMAD4', 'PRMT5', 'SNW1', 'CLNS1A', 'KDM1A']
1041	GO:BP	GO:0060120	inner ear receptor cell fate commitment	0.0009846291767569	True	"""The process in which a cell becomes committed to become an inner ear receptor cell."" [GOC:dph]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0048663', 'GO:0060113']	['NOTCH1', 'RBPJ']
1042	GO:BP	GO:0051146	striated muscle cell differentiation	0.0009846291767569	True	"""The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."" [CL:0000737, GOC:ai]"	274	101	8	17376	0.0792079207920792	0.0291970802919708	query_1	['GO:0042692']	['MAML1', 'AKT1', 'RB1', 'TBX5', 'SMAD4', 'NOTCH1', 'RBPJ', 'CDK1']
1043	GO:BP	GO:1901654	response to ketone	0.0009846291767569	True	"""A response that results in a state of tolerance to ketone."" [GOC:mengo_curators, PMID:23356676]"	206	101	7	17376	0.0693069306930693	0.0339805825242718	query_1	['GO:0010033', 'GO:1901700']	['AKT1', 'SIN3A', 'SOX10', 'SP1', 'CDK4', 'YAP1', 'CCND1']
1044	GO:BP	GO:2000793	cell proliferation involved in heart valve development	0.0009846291767569	True	"""Any cell proliferation that is involved in heart valve development."" [GOC:BHF]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0003170', 'GO:0008283']	['SMAD4', 'NOTCH1']
1045	GO:BP	GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation	0.0009846291767569	True	"""Any process that activates or increases the frequency, rate or extent of CD8-positive, alpha-beta T cell differentiation."" [GOC:add, ISBN:0781735149]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0043374', 'GO:0043376', 'GO:0046638', 'GO:2001187']	['CBFB', 'RUNX1']
1046	GO:BP	GO:0003292	cardiac septum cell differentiation	0.0009846291767569	True	"""The process in which an endocardial cushion cell becomes a cell of a cardiac septum."" [GOC:mtg_heart]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0003279', 'GO:0035051']	['MAML1', 'TBX5']
1047	GO:BP	GO:0009957	epidermal cell fate specification	0.0009846291767569	True	"""The process in which a cell becomes capable of differentiating autonomously into an epidermal cell in an environment that is neutral with respect to the developmental pathway; upon specification, the cell fate can be reversed."" [GOC:mtg_sensu, GOC:sm]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0001708', 'GO:0009913']	['NOTCH1', 'RBPJ']
1048	GO:BP	GO:0060979	vasculogenesis involved in coronary vascular morphogenesis	0.0009846291767569	True	"""The differentiation of endothelial cells from progenitor cells that contributes to blood vessel development in the heart, and the de novo formation of blood vessels and tubes."" [GOC:mtg_heart]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0001570', 'GO:0060977']	['TBX5', 'NOTCH1']
1049	GO:BP	GO:1905448	positive regulation of mitochondrial ATP synthesis coupled electron transport	0.0009846291767569	True	"""Any process that activates or increases the frequency, rate or extent of mitochondrial ATP synthesis coupled electron transport."" [GO_REF:0000058, GOC:bc, GOC:PARL, GOC:TermGenie, PMID:23707074]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0031325', 'GO:0042775', 'GO:1905446']	['CCNB1', 'CDK1']
1050	GO:BP	GO:0030510	regulation of BMP signaling pathway	0.0009846291767569	True	"""Any process that modulates the frequency, rate or extent of the activity of any BMP receptor signaling pathway."" [GOC:mah]"	92	101	5	17376	0.0495049504950495	0.0543478260869565	query_1	['GO:0030509', 'GO:0090092', 'GO:0090287']	['SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2']
1051	GO:BP	GO:1990086	lens fiber cell apoptotic process	0.0009846291767569	True	"""Any apoptotic process in a lens fiber cell. Lens fiber cells are elongated, tightly packed cells that make up the bulk of the mature lens in a camera-type eye."" [CL:0011004, GOC:hjd, PMID:11095619]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:1904019']	['E2F2', 'E2F1']
1052	GO:BP	GO:0060541	respiratory system development	0.0009846291767569	True	"""The progression of the respiratory system over time from its formation to its mature structure. The respiratory system carries out respiratory gaseous exchange."" [GOC:dph]"	206	101	7	17376	0.0693069306930693	0.0339805825242718	query_1	['GO:0048731']	['CTNNB1', 'TBX5', 'SMAD2', 'NOTCH1', 'EP300', 'RBPJ', 'YAP1']
1053	GO:BP	GO:0060922	atrioventricular node cell differentiation	0.0009846291767569	True	"""The process in which a relatively unspecialized cell acquires specialized features of an atrioventricular (AV) node cell. AV node cells are pacemaker cells that are found in the atrioventricular node."" [GOC:mtg_heart]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0003162', 'GO:0003292', 'GO:0060920']	['MAML1', 'TBX5']
1054	GO:BP	GO:0043392	negative regulation of DNA binding	0.0009946413962603	True	"""Any process that stops or reduces the frequency, rate or extent of DNA binding. DNA binding is any process in which a gene product interacts selectively with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb]"	50	101	4	17376	0.0396039603960396	0.08	query_1	['GO:0051100', 'GO:0051101']	['SIN3A', 'E2F1', 'HDAC2', 'KDM1A']
1055	GO:BP	GO:0071731	response to nitric oxide	0.0009946574867689	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitric oxide stimulus."" [GOC:mah, GOC:yaf]"	20	101	3	17376	0.0297029702970297	0.15	query_1	['GO:0010035', 'GO:1901698', 'GO:1901700']	['CCNA2', 'CDK2', 'FOXO1']
1056	GO:BP	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	0.0009946574867689	True	"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage and resulting in the stopping or reduction in rate of the cell cycle."" [GOC:go_curators]"	20	101	3	17376	0.0297029702970297	0.15	query_1	['GO:0030330', 'GO:0031571']	['CDKN1A', 'CDKN1B', 'TP53']
1057	REAC	REAC:R-HSA-201681	TCF dependent signaling in response to WNT	0.0010152113466173	True	TCF dependent signaling in response to WNT	229	101	7	17376	0.0693069306930693	0.0305676855895196	query_1	['REAC:R-HSA-195721']	['AKT1', 'CREBBP', 'CTNNB1', 'HDAC1', 'SMARCA4', 'RBX1', 'EP300']
1058	GO:BP	GO:0009057	macromolecule catabolic process	0.001033819290072	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	1330	101	19	17376	0.1881188118811881	0.0142857142857142	query_1	['GO:0043170', 'GO:1901575']	['AKT1', 'CDK5', 'CTNNB1', 'RBX1', 'WWTR1', 'SKP1', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F1', 'CDKN2A', 'CDK2', 'UBE2W', 'FOXO1', 'SKP2', 'CDKN1B', 'CUL1', 'SMAD3', 'SMARCC1']
1059	GO:BP	GO:0006473	protein acetylation	0.0010377179408695	True	"""The addition of an acetyl group to a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."" [GOC:ai]"	208	101	7	17376	0.0693069306930693	0.0336538461538461	query_1	['GO:0043543']	['CREBBP', 'SMARCB1', 'SMAD4', 'EP300', 'KAT2B', 'FOXO1', 'HDAC2']
1060	REAC	REAC:R-HSA-449147	Signaling by Interleukins	0.0010470880260929	True	Signaling by Interleukins	468	101	10	17376	0.099009900990099	0.0213675213675213	query_1	['REAC:R-HSA-1280215']	['AKT1', 'SMARCA4', 'RBX1', 'CDKN1A', 'SKP1', 'FOXO1', 'CUL1', 'TP53', 'SMAD3', 'CCND1']
1061	GO:CC	GO:0001673	male germ cell nucleus	0.0010484866168639	True	"""The nucleus of a male germ cell, a reproductive cell in males."" [CL:0000015, GOC:hjd, GOC:mtg_sensu]"	54	101	4	17376	0.0396039603960396	0.074074074074074	query_1	['GO:0043073']	['CDK7', 'CDK2', 'TBP', 'SMARCC1']
1062	GO:CC	GO:0005815	microtubule organizing center	0.0010564068702291	True	"""An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides."" [GOC:vw, ISBN:0815316194, PMID:17072892, PMID:17245416, Wikipedia:Microtubule_organizing_center]"	821	101	14	17376	0.1386138613861386	0.0170523751522533	query_1	['GO:0015630', 'GO:0110165']	['AKT1', 'CCNB1', 'CCNE2', 'CTNNB1', 'CCNE1', 'SKP1', 'CHD4', 'SMAD4', 'E2F1', 'CDK1', 'CDK2', 'KAT2B', 'TP53', 'CDK6']
1063	GO:BP	GO:0006282	regulation of DNA repair	0.0010657854516896	True	"""Any process that modulates the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	209	101	7	17376	0.0693069306930693	0.0334928229665071	query_1	['GO:0006281', 'GO:0051052', 'GO:0080135']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'KAT2B', 'KDM1A', 'SMARCC1']
1064	GO:BP	GO:0002064	epithelial cell development	0.0010657854516896	True	"""The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface."" [GOC:dph]"	209	101	7	17376	0.0693069306930693	0.0334928229665071	query_1	['GO:0030855', 'GO:0048468']	['AKT1', 'E2F4', 'NOTCH1', 'NOTCH2', 'ESR1', 'YAP1', 'CDK6']
1065	GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	0.0011190403302415	True	"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	356	101	9	17376	0.0891089108910891	0.0252808988764044	query_1	['GO:0007159', 'GO:0022407']	['AKT1', 'CBFB', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'CDKN2A', 'SMARCC1']
1066	GO:BP	GO:0035264	multicellular organism growth	0.0011377730747525	True	"""The increase in size or mass of an entire multicellular organism, as opposed to cell growth."" [GOC:bf, GOC:curators, GOC:dph, GOC:tb]"	149	101	6	17376	0.0594059405940594	0.0402684563758389	query_1	['GO:0032501', 'GO:0048589']	['WWTR1', 'EP300', 'NOTCH2', 'POU3F2', 'CDK4', 'TP53']
1067	GO:BP	GO:0042176	regulation of protein catabolic process	0.0011394899527708	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:go_curators, GOC:jl]"	357	101	9	17376	0.0891089108910891	0.0252100840336134	query_1	['GO:0009894', 'GO:0030163', 'GO:0051246']	['AKT1', 'RBX1', 'SMAD4', 'VGLL4', 'CDK2', 'FOXO1', 'CDKN1B', 'SMAD3', 'SMARCC1']
1068	GO:BP	GO:2000677	regulation of transcription regulatory region DNA binding	0.0011405335217863	True	"""Any process that modulates the frequency, rate or extent of transcription regulatory region DNA binding."" [GOC:obol]"	52	101	4	17376	0.0396039603960396	0.0769230769230769	query_1	['GO:0051101']	['CTNNB1', 'RB1', 'SIN3A', 'EP300']
1069	GO:BP	GO:0030520	intracellular estrogen receptor signaling pathway	0.0011405335217863	True	"""The series of molecular signals initiated by estrogen binding to an intracellular receptor, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	52	101	4	17376	0.0396039603960396	0.0769230769230769	query_1	['GO:0030518']	['ESR1', 'SKP2', 'FOXH1', 'YAP1']
1070	GO:BP	GO:0051571	positive regulation of histone H3-K4 methylation	0.0011405335217863	True	"""Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 4 of histone H3."" [GOC:mah]"	21	101	3	17376	0.0297029702970297	0.1428571428571428	query_1	['GO:0031062', 'GO:0051568', 'GO:0051569']	['CTNNB1', 'SMAD4', 'SNW1']
1071	REAC	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	0.0011499384155654	True	TP53 Regulates Transcription of DNA Repair Genes	61	101	4	17376	0.0396039603960396	0.0655737704918032	query_1	['REAC:R-HSA-3700989']	['CDK7', 'CCNH', 'MNAT1', 'TP53']
1072	REAC	REAC:R-HSA-5696398	Nucleotide Excision Repair	0.0011499384155654	True	Nucleotide Excision Repair	109	101	5	17376	0.0495049504950495	0.0458715596330275	query_1	['REAC:R-HSA-73894']	['CDK7', 'RBX1', 'CCNH', 'EP300', 'MNAT1']
1073	GO:CC	GO:0034708	methyltransferase complex	0.0011507690425335	True	"""A protein complex that possesses methyltransferase activity."" [GOC:mah]"	101	101	5	17376	0.0495049504950495	0.0495049504950495	query_1	['GO:0005622', 'GO:1990234']	['WDR77', 'E2F6', 'PRMT5', 'CLNS1A', 'HDAC2']
1074	GO:BP	GO:0022607	cellular component assembly	0.0011654014362197	True	"""The aggregation, arrangement and bonding together of a cellular component."" [GOC:isa_complete]"	2839	101	31	17376	0.3069306930693069	0.0109193377949982	query_1	['GO:0016043', 'GO:0044085']	['WDR77', 'CREBBP', 'CDK5', 'E2F4', 'AMOT', 'CTNNB1', 'RB1', 'SNAI1', 'SMARCA4', 'TBX5', 'TEAD2', 'WWTR1', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'EP300', 'TEAD1', 'PRMT5', 'MNAT1', 'CDK1', 'CDK2', 'TBP', 'KAT2B', 'ESR1', 'CDKN1B', 'CLNS1A', 'TP53', 'SMAD3', 'YAP1']
1075	GO:BP	GO:0062014	negative regulation of small molecule metabolic process	0.0011691629290436	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of a small molecule metabolic process."" [GOC:vw]"	96	101	5	17376	0.0495049504950495	0.0520833333333333	query_1	['GO:0009892', 'GO:0044281', 'GO:0062012']	['REST', 'AKT1', 'SNAI1', 'EP300', 'TP53']
1076	REAC	REAC:R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	0.0011780473588447	True	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	26	101	3	17376	0.0297029702970297	0.1153846153846153	query_1	['REAC:R-HSA-167172']	['CDK7', 'CCNH', 'MNAT1']
1077	REAC	REAC:R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	0.0011780473588447	True	RNA Pol II CTD phosphorylation and interaction with CE	26	101	3	17376	0.0297029702970297	0.1153846153846153	query_1	['REAC:R-HSA-73857']	['CDK7', 'CCNH', 'MNAT1']
1078	REAC	REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	0.0011832397258679	True	Interleukin-4 and Interleukin-13 signaling	110	101	5	17376	0.0495049504950495	0.0454545454545454	query_1	['REAC:R-HSA-449147']	['AKT1', 'CDKN1A', 'FOXO1', 'TP53', 'CCND1']
1079	GO:BP	GO:0048562	embryonic organ morphogenesis	0.0011835633078713	True	"""Morphogenesis, during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:jid]"	283	101	8	17376	0.0792079207920792	0.0282685512367491	query_1	['GO:0009887', 'GO:0048568', 'GO:0048598']	['CTNNB1', 'TEAD2', 'SMAD2', 'NOTCH1', 'NOTCH2', 'FOXH1', 'SMAD3', 'YAP1']
1080	GO:BP	GO:1903053	regulation of extracellular matrix organization	0.0012217187922107	True	"""Any process that modulates the frequency, rate or extent of extracellular matrix organization."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:22357537]"	53	101	4	17376	0.0396039603960396	0.0754716981132075	query_1	['GO:0030198', 'GO:0051128']	['RB1', 'NOTCH1', 'RUNX1', 'SMAD3']
1081	REAC	REAC:R-HSA-1989781	PPARA activates gene expression	0.0012281748958024	True	PPARA activates gene expression	111	101	5	17376	0.0495049504950495	0.045045045045045	query_1	['REAC:R-HSA-400206']	['CREBBP', 'CDK8', 'EP300', 'SP1', 'CCNC']
1082	GO:CC	GO:0000791	euchromatin	0.00124664890972	True	"""A dispersed and relatively uncompacted form of chromatin that is in a transcription-competent conformation."" [PMID:32017156]"	57	101	4	17376	0.0396039603960396	0.0701754385964912	query_1	['GO:0000785']	['CTNNB1', 'SP1', 'TBP', 'ESR1']
1083	REAC	REAC:R-HSA-8939245	RUNX1 regulates transcription of genes involved in BCR signaling	0.0012623501414665	True	RUNX1 regulates transcription of genes involved in BCR signaling	6	101	2	17376	0.0198019801980198	0.3333333333333333	query_1	['REAC:R-HSA-8878171']	['CBFB', 'RUNX1']
1084	REAC	REAC:R-HSA-176417	Phosphorylation of Emi1	0.0012623501414665	True	Phosphorylation of Emi1	6	101	2	17376	0.0198019801980198	0.3333333333333333	query_1	['REAC:R-HSA-176408']	['CCNB1', 'CDK1']
1085	REAC	REAC:R-HSA-193670	p75NTR negatively regulates cell cycle via SC1	0.0012623501414665	True	p75NTR negatively regulates cell cycle via SC1	6	101	2	17376	0.0198019801980198	0.3333333333333333	query_1	['REAC:R-HSA-193704']	['HDAC1', 'HDAC2']
1086	REAC	REAC:R-HSA-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum	0.0012623501414665	True	Pre-NOTCH Processing in the Endoplasmic Reticulum	6	101	2	17376	0.0198019801980198	0.3333333333333333	query_1	['REAC:R-HSA-1912422']	['NOTCH1', 'NOTCH2']
1087	GO:BP	GO:0008150	biological_process	0.0012827399236655	True	"""A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."" [GOC:pdt]"	15627	101	100	17376	0.99009900990099	0.0063991809048441	query_1	[]	['REST', 'MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CDK8', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'COPRS', 'AMOT', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'AMOTL2', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'UBE2W', 'AMOTL1', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'CUL1', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
1088	GO:CC	GO:0032993	protein-DNA complex	0.0012871538231144	True	"""A macromolecular complex containing both protein and DNA molecules."" [GOC:mah]"	226	101	7	17376	0.0693069306930693	0.0309734513274336	query_1	['GO:0032991']	['CTNNB1', 'TBX5', 'EP300', 'TEAD4', 'SP1', 'TBP', 'ESR1']
1089	GO:BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0012924037868559	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."" [GOC:go_curators]"	446	101	10	17376	0.099009900990099	0.0224215246636771	query_1	['GO:0006511', 'GO:0010498']	['AKT1', 'CTNNB1', 'RBX1', 'WWTR1', 'SKP1', 'CDK2', 'UBE2W', 'SKP2', 'CUL1', 'SMARCC1']
1090	GO:BP	GO:2001233	regulation of apoptotic signaling pathway	0.0012979124374306	True	"""Any process that modulates the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	364	101	9	17376	0.0891089108910891	0.0247252747252747	query_1	['GO:0009966', 'GO:0042981', 'GO:0097190']	['AKT1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'CDKN2D', 'TP53', 'YAP1', 'KDM1A']
1091	GO:BP	GO:0097150	neuronal stem cell population maintenance	0.0012993573866165	True	"""Any process in by an organism or tissue maintains a population of neuronal stem cells."" [CL:0000047, GOC:dos, GOC:yaf, PMID:11399758]"	22	101	3	17376	0.0297029702970297	0.1363636363636363	query_1	['GO:0019827']	['REST', 'NOTCH1', 'FOXO1']
1092	GO:BP	GO:2000647	negative regulation of stem cell proliferation	0.0012993573866165	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of stem cell proliferation."" [GOC:dph]"	22	101	3	17376	0.0297029702970297	0.1363636363636363	query_1	['GO:0008285', 'GO:0072089', 'GO:0072091']	['RBPJ', 'CDKN2C', 'TP53']
1093	GO:BP	GO:0010611	regulation of cardiac muscle hypertrophy	0.001303341515041	True	"""Any process that modulates the rate, frequency or extent of the enlargement or overgrowth of all or part of the heart due to an increase in size (not length) of individual cardiac muscle fibers, without cell division."" [GOC:dph, GOC:tb]"	54	101	4	17376	0.0396039603960396	0.074074074074074	query_1	['GO:0003300', 'GO:0014743', 'GO:0043502']	['SMAD4', 'NOTCH1', 'FOXO1', 'SMAD3']
1094	GO:BP	GO:0071772	response to BMP	0.0013313037752961	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]"	154	101	6	17376	0.0594059405940594	0.0389610389610389	query_1	['GO:0070848']	['SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'EGR1']
1095	GO:BP	GO:0071773	cellular response to BMP stimulus	0.0013313037752961	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]"	154	101	6	17376	0.0594059405940594	0.0389610389610389	query_1	['GO:0071363', 'GO:0071772']	['SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'EGR1']
1096	GO:BP	GO:0010562	positive regulation of phosphorus metabolic process	0.0013723026858257	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	824	101	14	17376	0.1386138613861386	0.0169902912621359	query_1	['GO:0006793', 'GO:0031325', 'GO:0051174']	['AKT1', 'CDK5', 'CDKN1A', 'SMAD4', 'NAB2', 'CCND2', 'MNAT1', 'CCND3', 'CDKN1B', 'EGR1', 'TP53', 'SMAD3', 'HDAC2', 'CCND1']
1097	GO:BP	GO:0045937	positive regulation of phosphate metabolic process	0.0013723026858257	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	824	101	14	17376	0.1386138613861386	0.0169902912621359	query_1	['GO:0006796', 'GO:0010562', 'GO:0019220']	['AKT1', 'CDK5', 'CDKN1A', 'SMAD4', 'NAB2', 'CCND2', 'MNAT1', 'CCND3', 'CDKN1B', 'EGR1', 'TP53', 'SMAD3', 'HDAC2', 'CCND1']
1098	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	0.0013743989875902	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1596	101	21	17376	0.2079207920792079	0.0131578947368421	query_1	['GO:0008150']	['REST', 'AKT1', 'CREBBP', 'HDAC1', 'SMARCA4', 'SIN3A', 'SMARCB1', 'NOTCH1', 'EP300', 'RBPJ', 'NOTCH2', 'CDK1', 'SNW1', 'SP1', 'ESR1', 'SKP2', 'CDK4', 'TP53', 'SMAD3', 'HDAC2', 'CDK6']
1099	GO:BP	GO:2000179	positive regulation of neural precursor cell proliferation	0.0013866920329049	True	"""Any process that activates or increases the frequency, rate or extent of neural precursor cell proliferation."" [GOC:dph, GOC:yaf]"	55	101	4	17376	0.0396039603960396	0.0727272727272727	query_1	['GO:0008284', 'GO:0061351', 'GO:2000177']	['CTNNB1', 'SOX10', 'NOTCH1', 'KDM1A']
1100	GO:BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	0.0013866920329049	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	100	101	5	17376	0.0495049504950495	0.05	query_1	['GO:0097193', 'GO:1902532', 'GO:2001234', 'GO:2001242']	['AKT1', 'HDAC1', 'SNAI1', 'CDKN2D', 'KDM1A']
1101	GO:BP	GO:0009743	response to carbohydrate	0.0014114540910803	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a carbohydrate stimulus."" [GOC:jl]"	220	101	7	17376	0.0693069306930693	0.0318181818181818	query_1	['GO:0010033', 'GO:1901700']	['SMARCA4', 'SIN3A', 'SMAD2', 'SMARCB1', 'SMAD4', 'CDKN1B', 'EGR1']
1102	REAC	REAC:R-HSA-72086	mRNA Capping	0.0014291258316054	True	mRNA Capping	28	101	3	17376	0.0297029702970297	0.1071428571428571	query_1	['REAC:R-HSA-8953854']	['CDK7', 'CCNH', 'MNAT1']
1103	GO:BP	GO:0051100	negative regulation of binding	0.0014634488239718	True	"""Any process that stops or reduces the rate or extent of binding, the selective interaction of a molecule with one or more specific sites on another molecule."" [GOC:ai]"	157	101	6	17376	0.0594059405940594	0.0382165605095541	query_1	['GO:0044092', 'GO:0051098']	['AKT1', 'SIN3A', 'CDKN1A', 'E2F1', 'HDAC2', 'KDM1A']
1104	GO:BP	GO:0048714	positive regulation of oligodendrocyte differentiation	0.0014669299645705	True	"""Any process that activates or increases the frequency, rate or extent of oligodendrocyte differentiation."" [GOC:vp, PMID:15139015]"	23	101	3	17376	0.0297029702970297	0.1304347826086956	query_1	['GO:0045687', 'GO:0048709', 'GO:0048713']	['HDAC1', 'PRMT5', 'HDAC2']
1105	GO:BP	GO:0014743	regulation of muscle hypertrophy	0.001479104989103	True	"""Any process that modulates the frequency, rate or extent of muscle hypertrophy."" [GOC:mtg_muscle]"	56	101	4	17376	0.0396039603960396	0.0714285714285714	query_1	['GO:0014896', 'GO:0090257']	['SMAD4', 'NOTCH1', 'FOXO1', 'SMAD3']
