Geroderma osteodysplastica	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
99	GO:CC	GO:0005576	extracellular region	0.0038032741751642	True	"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]"	3767	100	37	16420	0.37	0.0098221396336607	query_1	['GO:0110165']	['RHOJ', 'MET', 'ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'KITLG', 'SRC', 'SPP1', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'FLT3LG', 'HGF', 'PLCG2', 'CTNNB1', 'WASL', 'TGFBR2', 'ITGA2B', 'SQSTM1', 'PARD6B', 'PRKCI', 'WAS', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'KDR', 'VCL', 'SMURF1', 'VTN', 'TLN1', 'DOCK2', 'LCK', 'PRKCZ', 'F11R']
1026	GO:BP	GO:0051649	establishment of localization in cell	0.0038365883813883	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2072	100	25	15719	0.25	0.012065637065637	query_1	['GO:0051234', 'GO:0051641']	['ITGB1', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'CTNNB1', 'WASL', 'PIK3CD', 'SQSTM1', 'FYN', 'PRKCI', 'WAS', 'PARD3', 'LAT', 'LYN', 'TGFB1', 'HRAS', 'SYK', 'SMURF1', 'ERBB2', 'SH3GL2', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL']
1027	GO:BP	GO:0060537	muscle tissue development	0.003852897912646	True	"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]"	400	100	9	15719	0.09	0.0225	query_1	['GO:0009888']	['ITGB1', 'SMAD7', 'FGFR2', 'CTNNB1', 'TGFBR2', 'TGFB1', 'TGFBR1', 'SMAD3', 'PDGFRA']
1028	GO:BP	GO:0099173	postsynapse organization	0.003869205744512	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a postsynapse."" [GOC:dos]"	180	100	6	15719	0.06	0.0333333333333333	query_1	['GO:0016043', 'GO:0050808']	['ITGB3', 'CRK', 'WASL', 'FYN', 'PTK2B', 'CRKL']
1030	GO:BP	GO:0001707	mesoderm formation	0.0038895691984164	True	"""The process that gives rise to the mesoderm. This process pertains to the initial formation of the structure from unspecified parts."" [GOC:go_curators]"	70	100	4	15719	0.04	0.0571428571428571	query_1	['GO:0001704', 'GO:0048332']	['ITGB1', 'FGFR2', 'ITGB3', 'SMAD3']
1029	GO:BP	GO:0060415	muscle tissue morphogenesis	0.0038895691984164	True	"""The process in which the anatomical structures of muscle tissue are generated and organized. Muscle tissue consists of a set of cells that are part of an organ and carry out a contractive function."" [GOC:dph]"	70	100	4	15719	0.04	0.0571428571428571	query_1	['GO:0048644', 'GO:0048729']	['SMAD7', 'FGFR2', 'TGFB1', 'TGFBR1']
1032	GO:BP	GO:1903036	positive regulation of response to wounding	0.0038895691984164	True	"""Any process that activates or increases the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	70	100	4	15719	0.04	0.0571428571428571	query_1	['GO:0009611', 'GO:0048584', 'GO:1903034']	['ITGB1', 'HRAS', 'VTN', 'PTK2']
1031	GO:BP	GO:0060411	cardiac septum morphogenesis	0.0038895691984164	True	"""The process in which the anatomical structure of a cardiac septum is generated and organized. A cardiac septum is a partition that separates parts of the heart."" [GOC:dph, GOC:mtg_heart]"	70	100	4	15719	0.04	0.0571428571428571	query_1	['GO:0003206', 'GO:0003279', 'GO:0009653']	['SMAD7', 'FGFR2', 'TGFBR2', 'TGFBR1']
1034	GO:BP	GO:0031623	receptor internalization	0.0039608100154156	True	"""A receptor-mediated endocytosis process that results in the movement of receptors from the plasma membrane to the inside of the cell. The process begins when cell surface receptors are monoubiquitinated following ligand-induced activation. Receptors are subsequently taken up into endocytic vesicles from where they are either targeted to the lysosome or vacuole for degradation or recycled back to the plasma membrane."" [GOC:bf, GOC:mah, GOC:signaling, PMID:15006537, PMID:19643732]"	121	100	5	15719	0.05	0.0413223140495867	query_1	['GO:0006898']	['ITGB1', 'ITGB3', 'PLCG2', 'GRB2', 'SYK']
1033	GO:BP	GO:0045667	regulation of osteoblast differentiation	0.0039608100154156	True	"""Any process that modulates the frequency, rate or extent of osteoblast differentiation."" [GOC:go_curators]"	121	100	5	15719	0.05	0.0413223140495867	query_1	['GO:0001649', 'GO:0045595']	['FGFR2', 'HGF', 'CTNNB1', 'PTK2', 'SMAD3']
255	REAC	REAC:R-HSA-5621481	C-type lectin receptors (CLRs)	0.0040020515458695	True	C-type lectin receptors (CLRs)	132	96	6	10022	0.0625	0.0454545454545454	query_1	['REAC:R-HSA-168249']	['PLCG2', 'FYN', 'LYN', 'HRAS', 'SYK', 'TRAF6']
1045	GO:BP	GO:0001781	neutrophil apoptotic process	0.0040467815802035	True	"""Any apoptotic process in a neutrophil, any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes."" [CL:0000775, GOC:add, GOC:mtg_apoptosis, PMID:12752675, PMID:12960266]"	8	100	2	15719	0.02	0.25	query_1	['GO:0001780', 'GO:0006925', 'GO:0033028', 'GO:0071887']	['PIK3CB', 'PIK3CD']
1041	GO:BP	GO:0002576	platelet degranulation	0.0040467815802035	True	"""The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet."" [GOC:add]"	8	100	2	15719	0.02	0.25	query_1	['GO:0045055', 'GO:0051649']	['LYN', 'SYK']
1042	GO:BP	GO:0007405	neuroblast proliferation	0.0040467815802035	True	"""The expansion of a neuroblast population by cell division. A neuroblast is any cell that will divide and give rise to a neuron."" [GOC:ai, GOC:mtg_sensu, GOC:sart]"	71	100	4	15719	0.04	0.056338028169014	query_1	['GO:0048699', 'GO:0061351']	['ITGB1', 'FGFR2', 'CTNNB1', 'TGFB1']
1043	GO:BP	GO:0036491	regulation of translation initiation in response to endoplasmic reticulum stress	0.0040467815802035	True	"""Any process that modulates the frequency, rate or extent of translation initiation, as a result of endoplasmic reticulum stress."" [GOC:bf, GOC:PARL, PMID:14676213, PMID:16835242]"	8	100	2	15719	0.02	0.25	query_1	['GO:0036490', 'GO:0043558']	['NCK1', 'NCK2']
1038	GO:BP	GO:0071838	cell proliferation in bone marrow	0.0040467815802035	True	"""The multiplication or reproduction of cells, resulting in the expansion of a cell population in the bone marrow."" [GOC:mah, GOC:yaf, PMID:17063141]"	8	100	2	15719	0.02	0.25	query_1	['GO:0008283']	['FGFR2', 'SHC1']
1037	GO:BP	GO:0048333	mesodermal cell differentiation	0.0040467815802035	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mesoderm cell."" [GOC:dgh]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0001707', 'GO:0030154']	['ITGB1', 'FGFR2', 'ITGB3']
1036	GO:BP	GO:0070666	regulation of mast cell proliferation	0.0040467815802035	True	"""Any process that modulates the frequency, rate or extent of mast cell proliferation."" [GOC:add, GOC:mah]"	8	100	2	15719	0.02	0.25	query_1	['GO:0070662', 'GO:0070663']	['KITLG', 'LYN']
1035	GO:BP	GO:0070662	mast cell proliferation	0.0040467815802035	True	"""The expansion of a mast cell population by cell division."" [GOC:add]"	8	100	2	15719	0.02	0.25	query_1	['GO:0070661']	['KITLG', 'LYN']
1044	GO:BP	GO:0038089	positive regulation of cell migration by vascular endothelial growth factor signaling pathway	0.0040467815802035	True	"""The series of molecular signals initiated by vascular endothelial growth factor (VEGF) binding to its receptor on the surface of a cell, which activates or increases the frequency, rate or extent of the orderly movement of a cell from one site to another."" [GOC:bf, GOC:signaling]"	8	100	2	15719	0.02	0.25	query_1	['GO:0030335', 'GO:0038084']	['PIK3CD', 'KDR']
1040	GO:BP	GO:0097305	response to alcohol	0.0040467815802035	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]"	250	100	7	15719	0.07	0.028	query_1	['GO:0010033', 'GO:1901700']	['FGFR2', 'CTNNB1', 'TGFBR2', 'FYN', 'PTK2B', 'TGFBR1', 'CBL']
1059	GO:BP	GO:0003149	membranous septum morphogenesis	0.0040467815802035	True	"""The process in which the membranous septum is generated and organized. The membranous septum is the upper part of ventricular septum."" [GOC:mtg_heart]"	8	100	2	15719	0.02	0.25	query_1	['GO:0009653', 'GO:0060412']	['FGFR2', 'TGFBR2']
1039	GO:BP	GO:0048617	embryonic foregut morphogenesis	0.0040467815802035	True	"""The process in which the anatomical structures of the foregut are generated and organized, during the embryonic phase."" [GOC:jid, GOC:rc]"	8	100	2	15719	0.02	0.25	query_1	['GO:0007440', 'GO:0048598']	['CTNNB1', 'SMAD3']
1057	GO:BP	GO:0045906	negative regulation of vasoconstriction	0.0040467815802035	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of vasoconstriction."" [GOC:go_curators]"	8	100	2	15719	0.02	0.25	query_1	['GO:0019229', 'GO:0042310', 'GO:0051241']	['DOCK4', 'DOCK5']
1046	GO:BP	GO:0038134	ERBB2-EGFR signaling pathway	0.0040467815802035	True	"""The series of molecular signals initiated by binding of a ligand to an epidermal growth factor receptor (EGFR/ERBB1) on the surface of a cell, followed by transmission of the signal by a heterodimeric complex of ERBB2 and EGFR. ERBB2, which does not bind any known ligand, is activated through formation of a heterodimer with another ligand-activated ERBB family member such as EGFR."" [GOC:signaling, PMID:16460914, Reactome:R-HSA-1963589]"	8	100	2	15719	0.02	0.25	query_1	['GO:0007173', 'GO:0038128']	['EGFR', 'ERBB2']
1047	GO:BP	GO:1903670	regulation of sprouting angiogenesis	0.0040467815802035	True	"""Any process that modulates the frequency, rate or extent of sprouting angiogenesis."" [GO_REF:0000058, GOC:TermGenie, PMID:16756958]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0002040', 'GO:0045765']	['RHOJ', 'PIK3CB', 'ITGA5']
1048	GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	0.0040467815802035	True	"""Any process that modulates the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	250	100	7	15719	0.07	0.028	query_1	['GO:0031399', 'GO:0070647']	['SMAD7', 'CTNNB1', 'USP4', 'SQSTM1', 'FYN', 'TRAF6', 'TGFBR1']
1049	GO:BP	GO:0032056	positive regulation of translation in response to stress	0.0040467815802035	True	"""Any process that activates or increases the frequency, rate or extent of translation as a result of a stimulus indicating the organism is under stress."" [GOC:mah]"	8	100	2	15719	0.02	0.25	query_1	['GO:0043555', 'GO:0045727']	['NCK1', 'NCK2']
1050	GO:BP	GO:0060603	mammary gland duct morphogenesis	0.0040467815802035	True	"""The process in which anatomical structures of the mammary ducts are generated and organized. Mammary ducts are epithelial tubes that transport milk."" [GOC:dph, PMID:17120154]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0060443', 'GO:0060562', 'GO:0061180']	['SRC', 'FGFR2', 'TGFB1']
1051	GO:BP	GO:1901388	regulation of transforming growth factor beta activation	0.0040467815802035	True	"""Any process that modulates the frequency, rate or extent of transforming growth factor beta activation."" [GOC:sl, GOC:TermGenie]"	8	100	2	15719	0.02	0.25	query_1	['GO:0010646', 'GO:0023051', 'GO:0036363', 'GO:0071634']	['ITGAV', 'ITGB6']
1052	GO:BP	GO:0031503	protein-containing complex localization	0.0040467815802035	True	"""A localization process that acts on a protein complex; the complex is transported to, or maintained in, a specific location."" [GOC:mah]"	182	100	6	15719	0.06	0.0329670329670329	query_1	['GO:0051179']	['SMAD7', 'ITGB3', 'WASL', 'HRAS', 'ERBB2', 'PRKCZ']
1053	GO:BP	GO:0060484	lung-associated mesenchyme development	0.0040467815802035	True	"""The biological process whose specific outcome is the progression of a lung-associated mesenchyme from an initial condition to its mature state. This process begins with the formation of lung-associated mesenchyme and ends with the mature structure. Lung-associated mesenchyme is the tissue made up of loosely connected mesenchymal cells in the lung."" [GOC:dph, GOC:mtg_lung]"	8	100	2	15719	0.02	0.25	query_1	['GO:0030324', 'GO:0060485']	['FGFR2', 'CTNNB1']
1058	GO:BP	GO:0061045	negative regulation of wound healing	0.0040467815802035	True	"""Any process that decreases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:dph]"	71	100	4	15719	0.04	0.056338028169014	query_1	['GO:0032102', 'GO:0042060', 'GO:0061041', 'GO:1903035']	['CRK', 'VTN', 'SMAD3', 'PDGFRA']
1054	GO:BP	GO:1901031	regulation of response to reactive oxygen species	0.0040467815802035	True	"""Any process that modulates the frequency, rate or extent of response to reactive oxygen species."" [GOC:kmv, GOC:TermGenie]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0000302', 'GO:1902882']	['MET', 'HGF', 'PYCR1']
1055	GO:BP	GO:0120193	tight junction organization	0.0040467815802035	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a tight junction. A tight junction seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other."" [GOC:krc, GOC:rl]"	71	100	4	15719	0.04	0.056338028169014	query_1	['GO:0045216']	['TGFB3', 'PARD3', 'TGFBR1', 'F11R']
1056	GO:BP	GO:0031349	positive regulation of defense response	0.0040467815802035	True	"""Any process that activates or increases the frequency, rate or extent of a defense response."" [GOC:mah]"	404	100	9	15719	0.09	0.0222772277227722	query_1	['GO:0006952', 'GO:0031347', 'GO:0048584']	['SRC', 'PIK3AP1', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'TRAF6']
1060	GO:BP	GO:0002700	regulation of production of molecular mediator of immune response	0.0040867282571209	True	"""Any process that modulates the frequency, rate, or extent of the production of molecular mediator of immune response."" [GOC:add]"	183	100	6	15719	0.06	0.0327868852459016	query_1	['GO:0002440', 'GO:0002697', 'GO:0010468']	['SMAD7', 'TGFB3', 'PLCG2', 'SYK', 'TRAF6', 'PRKCZ']
256	REAC	REAC:R-HSA-9006931	Signaling by Nuclear Receptors	0.00417187005158	True	Signaling by Nuclear Receptors	288	96	9	10022	0.09375	0.03125	query_1	['REAC:R-HSA-162582']	['PIK3R2', 'SRC', 'PIK3R1', 'EGFR', 'PIK3CA', 'HRAS', 'PIK3R3', 'PTK2', 'PRKCZ']
100	GO:CC	GO:0008180	COP9 signalosome	0.0041778325038802	True	"""A protein complex that catalyzes the deneddylation of proteins, including the cullin component of SCF ubiquitin E3 ligase; deneddylation increases the activity of cullin family ubiquitin ligases. The signalosome is involved in many regulatory process, including some which control development, in many species; also regulates photomorphogenesis in plants; in many species its subunits are highly similar to those of the proteasome."" [PMID:11019806, PMID:12186635, PMID:14570571]"	34	100	3	16420	0.03	0.088235294117647	query_1	['GO:0140513']	['LAT', 'GRB2', 'PLCG1']
1065	GO:BP	GO:0104004	cellular response to environmental stimulus	0.0041916797939186	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]"	327	100	8	15719	0.08	0.0244648318042813	query_1	['GO:0051716']	['ITGB3', 'PIK3R1', 'GRB2', 'TGFB1', 'PIK3CA', 'HRAS', 'ITGB6', 'F11R']
1064	GO:BP	GO:0048332	mesoderm morphogenesis	0.0041916797939186	True	"""The process in which the anatomical structures of the mesoderm are generated and organized."" [GOC:go_curators]"	72	100	4	15719	0.04	0.0555555555555555	query_1	['GO:0007498', 'GO:0048729']	['ITGB1', 'FGFR2', 'ITGB3', 'SMAD3']
1063	GO:BP	GO:0051169	nuclear transport	0.0041916797939186	True	"""The directed movement of substances into, out of, or within the nucleus."" [GOC:ai]"	327	100	8	15719	0.08	0.0244648318042813	query_1	['GO:0046907']	['PIK3R2', 'PIK3R1', 'SQSTM1', 'TGFB1', 'SYK', 'SMURF1', 'SMAD3', 'PTPN11']
1061	GO:BP	GO:0006913	nucleocytoplasmic transport	0.0041916797939186	True	"""The directed movement of molecules between the nucleus and the cytoplasm."" [GOC:go_curators]"	327	100	8	15719	0.08	0.0244648318042813	query_1	['GO:0051169']	['PIK3R2', 'PIK3R1', 'SQSTM1', 'TGFB1', 'SYK', 'SMURF1', 'SMAD3', 'PTPN11']
1062	GO:BP	GO:0071214	cellular response to abiotic stimulus	0.0041916797939186	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]"	327	100	8	15719	0.08	0.0244648318042813	query_1	['GO:0009628', 'GO:0104004']	['ITGB3', 'PIK3R1', 'GRB2', 'TGFB1', 'PIK3CA', 'HRAS', 'ITGB6', 'F11R']
1066	GO:BP	GO:0048609	multicellular organismal reproductive process	0.0042234464679706	True	"""The process, occurring above the cellular level, that is pertinent to the reproductive function of a multicellular organism. This includes the integrated processes at the level of tissues and organs."" [GOC:dph, GOC:jid, GOC:tb]"	867	100	14	15719	0.14	0.0161476355247981	query_1	['GO:0022414', 'GO:0032504']	['ITGB1', 'SRC', 'SPP1', 'TGFB3', 'WIPF3', 'CTNNB1', 'SOS1', 'SHB', 'TGFB1', 'PTK2B', 'CRKL', 'TGFBR1', 'PTPN11', 'PDGFRA']
101	GO:CC	GO:0099572	postsynaptic specialization	0.0042429658868142	True	"""A network of proteins within and adjacent to the postsynaptic membrane. Its major components include neurotransmitter receptors and the proteins that spatially and functionally organize them such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components."" [PMID:22046028]"	343	100	8	16420	0.08	0.0233236151603498	query_1	['GO:0043226', 'GO:0098794']	['SRC', 'CTNNB1', 'SOS1', 'FYN', 'LYN', 'PTK2B', 'PRKCZ', 'NCK2']
1067	GO:BP	GO:0016032	viral process	0.0042587185975363	True	"""A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle."" [GOC:bf, GOC:jl, GOC:mah]"	408	100	9	15719	0.09	0.0220588235294117	query_1	['GO:0008150']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'PARD6A', 'ITGA5', 'EGFR', 'ITGB6', 'F11R']
257	REAC	REAC:R-HSA-9013423	RAC3 GTPase cycle	0.004272997586655	True	RAC3 GTPase cycle	91	96	5	10022	0.0520833333333333	0.0549450549450549	query_1	['REAC:R-HSA-9012999']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'PIK3R1', 'ABL2']
1068	GO:BP	GO:0033036	macromolecule localization	0.0042832511014738	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	2841	100	31	15719	0.31	0.0109116508271735	query_1	['GO:0051179']	['ITGB1', 'ITGAV', 'PIK3R2', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'CTNNB1', 'WASL', 'USP4', 'TGFBR2', 'PARD6A', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'DVL2', 'TGFB1', 'EGFR', 'VCL', 'HRAS', 'SYK', 'SMURF1', 'ERBB2', 'CRKL', 'PRKCZ', 'SMAD3', 'PTPN11', 'F11R']
1069	GO:BP	GO:0071396	cellular response to lipid	0.0042832511014738	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:mah]"	582	100	11	15719	0.11	0.0189003436426116	query_1	['GO:0033993', 'GO:0071310']	['SRC', 'SPP1', 'FGFR2', 'PLCG2', 'ABL2', 'LYN', 'TGFB1', 'EGFR', 'SYK', 'PTK2B', 'TRAF6']
1072	GO:BP	GO:0048730	epidermis morphogenesis	0.0043352092783082	True	"""The process in which the anatomical structures of the epidermis are generated and organized. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species."" [GOC:jid, UBERON:0001003]"	33	100	3	15719	0.03	0.0909090909090909	query_1	['GO:0002009', 'GO:0008544']	['FGFR2', 'CTNNB1', 'GORAB']
1071	GO:BP	GO:0009894	regulation of catabolic process	0.0043352092783082	True	"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]"	971	100	15	15719	0.15	0.015447991761071	query_1	['GO:0009056', 'GO:0019222']	['MET', 'ITGB1', 'PIK3CB', 'PIK3R2', 'SMAD7', 'HGF', 'ABL2', 'FYN', 'EGFR', 'PIK3CA', 'KDR', 'SMURF1', 'PTK2B', 'PTK2', 'SMAD3']
1070	GO:BP	GO:0001569	branching involved in blood vessel morphogenesis	0.0043352092783082	True	"""The process of coordinated growth and sprouting of blood vessels giving rise to the organized vascular system."" [GOC:dph]"	33	100	3	15719	0.03	0.0909090909090909	query_1	['GO:0001525', 'GO:0048754']	['CTNNB1', 'TGFBR2', 'KDR']
1074	GO:BP	GO:0003281	ventricular septum development	0.004372806248005	True	"""The progression of the ventricular septum over time from its formation to the mature structure."" [GOC:mtg_heart]"	73	100	4	15719	0.04	0.0547945205479452	query_1	['GO:0003231', 'GO:0003279']	['SMAD7', 'FGFR2', 'TGFBR2', 'TGFBR1']
1073	GO:BP	GO:0099024	plasma membrane invagination	0.004372806248005	True	"""An infolding of the plasma membrane."" [GOC:dos, GOC:vw]"	73	100	4	15719	0.04	0.0547945205479452	query_1	['GO:0010324']	['DOCK1', 'PLCG2', 'FCGR1A', 'ELMO1']
1076	GO:BP	GO:0051235	maintenance of location	0.0044018970585691	True	"""Any process in which a cell, substance or cellular entity, such as a protein complex or organelle, is maintained in a location and prevented from moving elsewhere."" [GOC:ai, GOC:dph, GOC:tb]"	330	100	8	15719	0.08	0.0242424242424242	query_1	['GO:0051179']	['ITGAV', 'ITGB3', 'PLCG2', 'LYN', 'TGFB1', 'PLCG1', 'PTK2B', 'LCK']
1075	GO:BP	GO:0003231	cardiac ventricle development	0.0044018970585691	True	"""The process whose specific outcome is the progression of a cardiac ventricle over time, from its formation to the mature structure. A cardiac ventricle receives blood from a cardiac atrium and pumps it out of the heart."" [GOC:mtg_heart]"	125	100	5	15719	0.05	0.04	query_1	['GO:0003205']	['SMAD7', 'FGFR2', 'TGFBR2', 'TGFB1', 'TGFBR1']
258	REAC	REAC:R-HSA-9706377	FLT3 signaling by CBL mutants	0.0044598992106575	True	FLT3 signaling by CBL mutants	7	96	2	10022	0.0208333333333333	0.2857142857142857	query_1	['REAC:R-HSA-9682385']	['FLT3LG', 'CBL']
1077	GO:BP	GO:0034097	response to cytokine	0.0044646614546241	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]"	873	100	14	15719	0.14	0.0160366552119129	query_1	['GO:0010033']	['SRC', 'SPP1', 'SMAD7', 'SOS1', 'DOCK8', 'PRKCI', 'WAS', 'LYN', 'SYK', 'PTK2B', 'TRAF6', 'CRKL', 'PTPN11', 'CBL']
102	GO:CC	GO:0031594	neuromuscular junction	0.0044669978975896	True	"""The junction between the axon of a motor neuron and a muscle fiber. In response to the arrival of action potentials, the presynaptic button releases molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane of the muscle fiber, leading to a change in post-synaptic potential."" [GOC:nln]"	77	100	4	16420	0.04	0.0519480519480519	query_1	['GO:0045202']	['ITGB1', 'CRK', 'ERBB2', 'CRKL']
105	GO:CC	GO:0016600	flotillin complex	0.0044754142135274	True	"""A protein complex that contains flotillin-1 and flotillin-2, and may contain associated proteins. Flotillins associate into membrane microdomains resembling caveolae."" [PMID:17206938, PMID:17600709]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0005901', 'GO:0098797']	['CTNNB1', 'CBL']
104	GO:CC	GO:0071141	SMAD protein complex	0.0044754142135274	True	"""A protein complex that consists of only SMAD proteins; may be homomeric or heteromeric. Heteromeric complexes act as transcription factors while homomeric complexes exist but are transcriptionally inactive. Hetero- versus homotrimerization is largely enthalpy driven."" [GOC:bhm, GOC:mah, PMID:9670020]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0032991']	['SMAD7', 'SMAD3']
103	GO:CC	GO:0005916	fascia adherens	0.0044754142135274	True	"""A cell-cell junction that contains the transmembrane protein N-cadherin, which interacts with identical molecules from neighbouring cells to form a tight mechanical intercellular link; forms a large portion of the intercalated disc, the structure at which myofibrils terminate in cardiomyocytes."" [GOC:aruk, GOC:bc, GOC:mtg_muscle, PMID:11732910]"	9	100	2	16420	0.02	0.2222222222222222	query_1	['GO:0005911', 'GO:0014704']	['CTNNB1', 'VCL']
1078	GO:BP	GO:0032874	positive regulation of stress-activated MAPK cascade	0.004552527754668	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the stress-activated MAPK cascade."" [GOC:mah]"	126	100	5	15719	0.05	0.0396825396825396	query_1	['GO:0032872', 'GO:0043410', 'GO:0051403', 'GO:0070304']	['KLHDC10', 'CRK', 'HRAS', 'PTK2B', 'TRAF6']
1079	GO:BP	GO:0030162	regulation of proteolysis	0.0046124745188534	True	"""Any process that modulates the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:mah]"	681	100	12	15719	0.12	0.0176211453744493	query_1	['GO:0006508', 'GO:0051246']	['SRC', 'SMAD7', 'HGF', 'FYN', 'LYN', 'SYK', 'SMURF1', 'PTK2B', 'VTN', 'PTK2', 'LCK', 'SMAD3']
1080	GO:BP	GO:2000406	positive regulation of T cell migration	0.0046978845201382	True	"""Any process that activates or increases the frequency, rate or extent of T cell migration."" [GOC:mah]"	34	100	3	15719	0.03	0.088235294117647	query_1	['GO:0072678', 'GO:2000403', 'GO:2000404']	['ITGB3', 'ABL2', 'DOCK8']
1081	GO:BP	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	0.0047024502827902	True	"""Any process that modulates the frequency, rate or extent of activity of any TGF-beta receptor signaling pathway."" [GOC:mah]"	127	100	5	15719	0.05	0.0393700787401574	query_1	['GO:0007179', 'GO:0090092', 'GO:1903844']	['SMURF2', 'SMAD7', 'TGFB3', 'SMURF1', 'SMAD3']
106	GO:CC	GO:0005901	caveola	0.0047301078970886	True	"""A membrane raft that forms small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane. Examples include flask-shaped invaginations of the plasma membrane in adipocytes associated with caveolin proteins, and minute pits or incuppings of the cell membrane formed during pinocytosis. Caveolae may be pinched off to form free vesicles within the cytoplasm."" [GOC:mah, ISBN:0721662544, PMID:16645198]"	79	100	4	16420	0.04	0.050632911392405	query_1	['GO:0044853']	['SRC', 'CTNNB1', 'TGFBR2', 'CBL']
259	REAC	REAC:R-HSA-375165	NCAM signaling for neurite out-growth	0.0047691508487024	True	NCAM signaling for neurite out-growth	56	96	4	10022	0.0416666666666666	0.0714285714285714	query_1	['REAC:R-HSA-422475']	['SOS1', 'FYN', 'HRAS', 'PTK2']
1082	GO:BP	GO:0034103	regulation of tissue remodeling	0.0047914616955	True	"""Any process that modulates the frequency, rate, or extent of tissue remodeling."" [GOC:add]"	75	100	4	15719	0.04	0.0533333333333333	query_1	['GO:0048771', 'GO:0051239']	['SRC', 'SPP1', 'ITGB3', 'SYK']
