Vogt-Koyanagi-Harada disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
520	GO:BP	GO:0070936	protein K48-linked ubiquitination	2.9601146187676093e-06	True	"""A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation."" [GOC:cvs, PMID:15556404]"	69	101	8	21110	0.0792079207920792	0.1159420289855072	query_1	['GO:0000209']	['CUL3', 'RBX1', 'BTRC', 'PELI1', 'SKP1', 'BIRC2', 'CUL1', 'TNFAIP3']
521	GO:CC	GO:0097708	intracellular vesicle	2.9757608258405058e-06	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2513	101	33	22122	0.3267326732673267	0.0131317150815758	query_1	['GO:0031982', 'GO:0043231']	['HSPA1A', 'TNFRSF1B', 'MYD88', 'OPTN', 'RAB8A', 'TRAF3', 'HTT', 'HSP90AB1', 'HSPH1', 'TAB2', 'RAB8B', 'FASLG', 'TLR4', 'IRAK4', 'TNF', 'IRAK2', 'IRF7', 'NFKB1', 'RIPK1', 'IRAK1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'SNX33', 'TAB1', 'MAP3K7', 'CAND1', 'TRAF6', 'TBC1D17', 'HSPA8', 'TAB3', 'TICAM1', 'CD14']
522	REAC	REAC:R-HSA-9758274	Regulation of NF-kappa B signaling	3.13656106010422e-06	True	Regulation of NF-kappa B signaling	18	96	6	10790	0.0625	0.3333333333333333	query_1	['REAC:R-HSA-445989']	['CHUK', 'IKBKB', 'IKBKG', 'TRAF2', 'TRAF6', 'CASP8']
523	GO:BP	GO:0044248	cellular catabolic process	3.1510172595459047e-06	True	"""The chemical reactions and pathways resulting in the breakdown of substances, carried out by individual cells."" [GOC:jl]"	1513	101	27	21110	0.2673267326732673	0.0178453403833443	query_1	['GO:0009056', 'GO:0044237']	['PTPN22', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'MYD88', 'OPTN', 'RAB8A', 'SARM1', 'HTT', 'TAB2', 'IKBKE', 'TBK1', 'TNF', 'RNF31', 'HSP90AA1', 'TAX1BP1', 'SNX33', 'IKBKG', 'TRAF2', 'MAP3K7', 'TBC1D17', 'HSPA8', 'TAB3', 'TICAM1', 'FBXW7', 'LRSAM1', 'CDC37']
524	GO:BP	GO:0009266	response to temperature stimulus	3.2049144421114463e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."" [GOC:hb]"	186	101	11	21110	0.1089108910891089	0.0591397849462365	query_1	['GO:0009628']	['HSPA1A', 'GSK3B', 'CREBBP', 'HSP90AB1', 'DNAJA2', 'IRAK1', 'DNAJA4', 'HSP90AA1', 'NFKBIA', 'CASP8', 'CD14']
525	CORUM	CORUM:5269	TNF-alpha/NF-kappa B signaling complex 8	4.1314290059818366e-06	True	TNF-alpha/NF-kappa B signaling complex 8	6	76	5	3383	0.0657894736842105	0.8333333333333334	query_1	['CORUM:0000000']	['HSP90AB1', 'FKBP5', 'IKBKE', 'HSP90AA1', 'CDC37']
526	GO:BP	GO:0045321	leukocyte activation	4.133695547923603e-06	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	1012	101	22	21110	0.2178217821782178	0.0217391304347826	query_1	['GO:0001775', 'GO:0002376']	['PTPN22', 'CARD11', 'MAP3K8', 'TNFRSF1B', 'MYD88', 'HSPH1', 'TLR4', 'AZI2', 'SKAP2', 'TNF', 'FADD', 'TNIP2', 'PELI1', 'TNFSF14', 'MALT1', 'LTBR', 'RELB', 'TRAF6', 'CASP8', 'TICAM1', 'BCL10', 'TNFAIP3']
527	GO:CC	GO:0031461	cullin-RING ubiquitin ligase complex	4.186432002034273e-06	True	"""Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity."" [PMID:15571813, PMID:15688063]"	186	101	10	22122	0.099009900990099	0.053763440860215	query_1	['GO:0000151']	['CUL3', 'RBX1', 'SPOP', 'BTRC', 'SKP1', 'FBXW11', 'CAND1', 'CUL1', 'FBXW7', 'CUL4A']
528	KEGG	KEGG:04120	Ubiquitin mediated proteolysis	4.424015898207332e-06	True	Ubiquitin mediated proteolysis	140	93	12	8161	0.1290322580645161	0.0857142857142857	query_1	['KEGG:00000']	['CUL3', 'RBX1', 'BTRC', 'SKP1', 'FBXW11', 'BIRC3', 'TRAF6', 'BIRC2', 'CUL1', 'FBXW7', 'CUL4A', 'UBE2N']
529	WP	WP:WP3656	Interleukin-1 induced activation of NF-kB	4.928922413005295e-06	True	Interleukin-1 induced activation of NF-kB	10	88	5	8133	0.0568181818181818	0.5	query_1	['WP:000000']	['UBE2V1', 'NFKB1', 'IRAK1', 'TRAF6', 'UBE2N']
530	HP	HP:0002113	Pulmonary infiltrates	5.035499508232521e-06	True	Pulmonary infiltrates	58	49	9	4851	0.1836734693877551	0.1551724137931034	query_1	['HP:0031983']	['PTPN22', 'MYD88', 'CASP10', 'FASLG', 'TLR4', 'FAS', 'MALT1', 'BIRC3', 'BCL10']
531	GO:BP	GO:0043065	positive regulation of apoptotic process	5.148815183117872e-06	True	"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	507	101	16	21110	0.1584158415841584	0.0315581854043392	query_1	['GO:0006915', 'GO:0042981', 'GO:0043068']	['TNFRSF1B', 'HTT', 'TNFRSF1A', 'FASLG', 'RBCK1', 'TNF', 'FAS', 'FADD', 'LTA', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'CASP8', 'FBXW7', 'BCL10']
532	GO:BP	GO:0019220	regulation of phosphate metabolic process	5.4533274822772325e-06	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	1333	101	25	21110	0.2475247524752475	0.018754688672168	query_1	['GO:0006796', 'GO:0051174']	['PTPN22', 'GSK3B', 'HTT', 'IRAK3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'IKBKB', 'TLR4', 'TBK1', 'TNF', 'FAS', 'RIPK1', 'IRAK1', 'MALT1', 'HSP90AA1', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'PTGES3', 'FBXW7', 'BCL10', 'TNFAIP3', 'CDC37']
533	GO:BP	GO:0051174	regulation of phosphorus metabolic process	5.537178226483712e-06	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:ai]"	1334	101	25	21110	0.2475247524752475	0.0187406296851574	query_1	['GO:0006793', 'GO:0031323']	['PTPN22', 'GSK3B', 'HTT', 'IRAK3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'IKBKB', 'TLR4', 'TBK1', 'TNF', 'FAS', 'RIPK1', 'IRAK1', 'MALT1', 'HSP90AA1', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'PTGES3', 'FBXW7', 'BCL10', 'TNFAIP3', 'CDC37']
534	GO:MF	GO:0019904	protein domain specific binding	5.671106004264716e-06	True	"""Binding to a specific domain of a protein."" [GOC:go_curators]"	690	101	18	20195	0.1782178217821782	0.0260869565217391	query_1	['GO:0005515']	['CUL3', 'PTPN22', 'CARD11', 'HSPA1A', 'MYD88', 'CASP10', 'HSP90AB1', 'RAB8B', 'RELA', 'FADD', 'RIPK1', 'SKP1', 'TRADD', 'HSP90AA1', 'IKBKG', 'CASP8', 'HSPA8', 'BCL10']
535	WP	WP:WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	5.687235727312093e-06	True	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	32	88	7	8133	0.0795454545454545	0.21875	query_1	['WP:000000']	['CHUK', 'RELA', 'IKBKB', 'TNF', 'NFKB1', 'IKBKG', 'NFKBIA']
536	GO:CC	GO:0030659	cytoplasmic vesicle membrane	5.85949093594871e-06	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1204	101	22	22122	0.2178217821782178	0.0182724252491694	query_1	['GO:0012506', 'GO:0031410']	['TNFRSF1B', 'MYD88', 'OPTN', 'RAB8A', 'HTT', 'TAB2', 'RAB8B', 'TLR4', 'IRAK4', 'IRAK2', 'IRF7', 'RIPK1', 'IRAK1', 'TICAM2', 'SNX33', 'TAB1', 'MAP3K7', 'TRAF6', 'HSPA8', 'TAB3', 'TICAM1', 'CD14']
537	HP	HP:0012475	Decreased circulating level of specific antibody	5.999467568465207e-06	True	The presence of normal overall immunoglobulin levels with deficiency of specific immunoglobulins directed against a specific antigen or microorganism.	41	49	8	4851	0.1632653061224489	0.1951219512195122	query_1	['HP:0004313', 'HP:0031404']	['CARD11', 'CASP10', 'FASLG', 'FAS', 'RIPK1', 'IKBKG', 'REL', 'CASP8']
538	GO:BP	GO:0002697	regulation of immune effector process	6.294296235893647e-06	True	"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]"	373	101	14	21110	0.1386138613861386	0.0375335120643431	query_1	['GO:0002252', 'GO:0002682']	['PTPN22', 'TNFRSF1B', 'MYD88', 'IRAK3', 'TLR4', 'TNF', 'FADD', 'LTA', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6', 'TICAM1', 'BCL10']
539	GO:BP	GO:0046649	lymphocyte activation	6.306511299325783e-06	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	847	101	20	21110	0.198019801980198	0.0236127508854781	query_1	['GO:0045321']	['PTPN22', 'CARD11', 'MAP3K8', 'TNFRSF1B', 'MYD88', 'HSPH1', 'TLR4', 'AZI2', 'SKAP2', 'FADD', 'TNIP2', 'PELI1', 'TNFSF14', 'MALT1', 'RELB', 'TRAF6', 'CASP8', 'TICAM1', 'BCL10', 'TNFAIP3']
540	GO:BP	GO:0009408	response to heat	6.706783683572002e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]"	111	101	9	21110	0.0891089108910891	0.081081081081081	query_1	['GO:0006950', 'GO:0009266']	['HSPA1A', 'GSK3B', 'CREBBP', 'HSP90AB1', 'DNAJA2', 'IRAK1', 'DNAJA4', 'HSP90AA1', 'CD14']
541	GO:BP	GO:0002699	positive regulation of immune effector process	7.135617223990333e-06	True	"""Any process that activates or increases the frequency, rate, or extent of an immune effector process."" [GOC:add]"	254	101	12	21110	0.1188118811881188	0.0472440944881889	query_1	['GO:0002252', 'GO:0002684', 'GO:0002697']	['PTPN22', 'MYD88', 'TLR4', 'TNF', 'FADD', 'LTA', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6', 'TICAM1', 'BCL10']
542	WP	WP:WP4481	Resistin as a regulator of inflammation	7.155508557558275e-06	True	Resistin as a regulator of inflammation	33	88	7	8133	0.0795454545454545	0.2121212121212121	query_1	['WP:000000']	['CHUK', 'RELA', 'IKBKB', 'TNF', 'NFKB1', 'IKBKG', 'NFKBIA']
543	GO:BP	GO:0002696	positive regulation of leukocyte activation	7.262070903520936e-06	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]"	446	101	15	21110	0.1485148514851485	0.0336322869955156	query_1	['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']	['PTPN22', 'CARD11', 'MAP3K8', 'MYD88', 'HSPH1', 'TLR4', 'TNF', 'FADD', 'TNIP2', 'PELI1', 'TNFSF14', 'MALT1', 'TRAF6', 'TICAM1', 'BCL10']
544	GO:BP	GO:0032943	mononuclear cell proliferation	7.48010361993693e-06	True	"""The expansion of a mononuclear cell population by cell division. A mononuclear cell is a leukocyte with a single non-segmented nucleus in the mature form."" [GOC:add]"	314	101	13	21110	0.1287128712871287	0.0414012738853503	query_1	['GO:0070661']	['PTPN22', 'CARD11', 'TNFRSF1B', 'MYD88', 'TLR4', 'AZI2', 'TBK1', 'FADD', 'PELI1', 'TNFSF14', 'MALT1', 'TRAF6', 'TICAM1']
545	WP	WP:WP3611	Photodynamic therapy-induced AP-1 survival signaling	7.78088748183197e-06	True	Photodynamic therapy-induced AP-1 survival signaling	50	88	8	8133	0.0909090909090909	0.16	query_1	['WP:000000']	['TNFRSF1A', 'FASLG', 'TNF', 'FAS', 'CFLAR', 'HSP90AA1', 'TRAF2', 'TRAF6']
546	GO:BP	GO:0043068	positive regulation of programmed cell death	7.801818569136706e-06	True	"""Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	522	101	16	21110	0.1584158415841584	0.0306513409961685	query_1	['GO:0010942', 'GO:0012501', 'GO:0043067']	['TNFRSF1B', 'HTT', 'TNFRSF1A', 'FASLG', 'RBCK1', 'TNF', 'FAS', 'FADD', 'LTA', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'CASP8', 'FBXW7', 'BCL10']
547	GO:BP	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	8.049820454456805e-06	True	"""Any process that modulates the activity of a cysteine-type endopeptidase involved in apoptosis."" [GOC:jl, GOC:mtg_apoptosis]"	203	101	11	21110	0.1089108910891089	0.0541871921182266	query_1	['GO:2000116']	['CASP10', 'FASLG', 'TNF', 'FAS', 'CFLAR', 'TNFSF14', 'MALT1', 'BIRC3', 'BIRC2', 'CASP8', 'BCL10']
548	GO:BP	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	8.527223655413569e-06	True	"""Any process that activates or increases the frequency, rate or extent of extrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	50	101	7	21110	0.0693069306930693	0.14	query_1	['GO:0097191', 'GO:2001235', 'GO:2001236']	['RBCK1', 'TNF', 'FADD', 'RIPK1', 'TRAF2', 'LTBR', 'BCL10']
549	GO:BP	GO:0002720	positive regulation of cytokine production involved in immune response	8.880603547874523e-06	True	"""Any process that activates or increases the frequency, rate, or extent of cytokine production that contributes to an immune response."" [GOC:add]"	79	101	8	21110	0.0792079207920792	0.1012658227848101	query_1	['GO:0001819', 'GO:0002367', 'GO:0002702', 'GO:0002718']	['MYD88', 'TLR4', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6', 'TICAM1', 'BCL10']
550	GO:BP	GO:0010498	proteasomal protein catabolic process	8.933590463186587e-06	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]"	527	101	16	21110	0.1584158415841584	0.0303605313092979	query_1	['GO:0030163', 'GO:0051603']	['CUL3', 'SHARPIN', 'HSPA1A', 'GSK3B', 'HSP90AB1', 'RBX1', 'RBCK1', 'SPOP', 'BTRC', 'PELI1', 'SKP1', 'FBXW11', 'BIRC2', 'CUL1', 'FBXW7', 'CUL4A']
551	GO:BP	GO:0001775	cell activation	9.120204228916682e-06	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1157	101	23	21110	0.2277227722772277	0.0198789974070872	query_1	['GO:0009987', 'GO:0032501']	['PTPN22', 'CARD11', 'MAP3K8', 'TNFRSF1B', 'MYD88', 'HSPH1', 'TLR4', 'AZI2', 'SKAP2', 'TNF', 'FADD', 'TNIP2', 'PELI1', 'TNFSF14', 'MALT1', 'NFKB2', 'LTBR', 'RELB', 'TRAF6', 'CASP8', 'TICAM1', 'BCL10', 'TNFAIP3']
552	REAC	REAC:R-HSA-9645460	Alpha-protein kinase 1 signaling pathway	9.665443786251262e-06	True	Alpha-protein kinase 1 signaling pathway	11	96	5	10790	0.0520833333333333	0.4545454545454545	query_1	['REAC:R-HSA-168249']	['TAB2', 'TAB1', 'MAP3K7', 'TRAF6', 'TAB3']
553	REAC	REAC:R-HSA-4755510	SUMOylation of immune response proteins	9.665443786251262e-06	True	SUMOylation of immune response proteins	11	96	5	10790	0.0520833333333333	0.4545454545454545	query_1	['REAC:R-HSA-3108232']	['RELA', 'IKBKE', 'NFKB2', 'IKBKG', 'NFKBIA']
554	GO:BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	9.845339688642318e-06	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, with ubiquitin-protein ligation catalyzed by an SCF (Skp1/Cul1/F-box protein) complex, and mediated by the proteasome."" [PMID:15380083]"	51	101	7	21110	0.0693069306930693	0.1372549019607843	query_1	['GO:0043161']	['RBX1', 'BTRC', 'SKP1', 'FBXW11', 'CUL1', 'FBXW7', 'CUL4A']
555	GO:BP	GO:0031647	regulation of protein stability	1.0118705760789291e-05	True	"""Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation."" [GOC:dph, GOC:mah, GOC:tb]"	322	101	13	21110	0.1287128712871287	0.0403726708074534	query_1	['GO:0065008']	['CUL3', 'HSPA1A', 'CREBBP', 'HTT', 'HSP90AB1', 'BTRC', 'TNIP2', 'HSP90AA1', 'FBXW11', 'HSPA8', 'PTGES3', 'FBXW7', 'CDC37']
556	HP	HP:0005368	Abnormality of humoral immunity	1.0317695529010106e-05	True	An abnormality of the humoral immune system, which comprises antibodies produced by B cells as well as the complement system.	285	49	16	4851	0.3265306122448979	0.0561403508771929	query_1	['HP:0010978']	['CARD11', 'TNFRSF1B', 'MYD88', 'CASP10', 'IKBKB', 'FASLG', 'IRAK4', 'FAS', 'NFKB1', 'RIPK1', 'IRAK1', 'NFKB2', 'IKBKG', 'REL', 'CASP8', 'BCL10']
557	GO:BP	GO:0006511	ubiquitin-dependent protein catabolic process	1.0707918637774232e-05	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]"	696	101	18	21110	0.1782178217821782	0.0258620689655172	query_1	['GO:0019941']	['CUL3', 'SHARPIN', 'HSPA1A', 'GSK3B', 'HSP90AB1', 'RBX1', 'RBCK1', 'SPOP', 'BTRC', 'PELI1', 'SKP1', 'FBXW11', 'BIRC2', 'CUL1', 'FBXW7', 'CUL4A', 'UBE2N', 'TNFAIP3']
558	KEGG	KEGG:05215	Prostate cancer	1.0829157356869587e-05	True	Prostate cancer	97	93	10	8161	0.1075268817204301	0.1030927835051546	query_1	['KEGG:00000']	['GSK3B', 'CREBBP', 'HSP90AB1', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'HSP90AA1', 'IKBKG', 'NFKBIA']
559	GO:BP	GO:0051347	positive regulation of transferase activity	1.106159487299824e-05	True	"""Any process that activates or increases the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from a donor compound to an acceptor."" [GOC:ai]"	535	101	16	21110	0.1584158415841584	0.0299065420560747	query_1	['GO:0043085', 'GO:0051338']	['HSP90AB1', 'TAB2', 'TLR4', 'BTRC', 'TNF', 'SKP1', 'IRAK1', 'MALT1', 'HSP90AA1', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'PTGES3', 'FBXW7', 'UBE2N']
560	GO:MF	GO:0016746	acyltransferase activity	1.1397721445614149e-05	True	"""Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor)."" [GOC:jl, ISBN:0198506732]"	722	101	18	20195	0.1782178217821782	0.0249307479224376	query_1	['GO:0016740']	['CUL3', 'SHARPIN', 'CREBBP', 'TRAF3', 'RBX1', 'RBCK1', 'BTRC', 'RNF31', 'PELI1', 'MALT1', 'FBXW11', 'BIRC3', 'TRAF2', 'TRAF6', 'BIRC2', 'LRSAM1', 'UBE2N', 'TNFAIP3']
561	GO:BP	GO:0050867	positive regulation of cell activation	1.1677462674167552e-05	True	"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]"	462	101	15	21110	0.1485148514851485	0.0324675324675324	query_1	['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']	['PTPN22', 'CARD11', 'MAP3K8', 'MYD88', 'HSPH1', 'TLR4', 'TNF', 'FADD', 'TNIP2', 'PELI1', 'TNFSF14', 'MALT1', 'TRAF6', 'TICAM1', 'BCL10']
562	GO:BP	GO:0045859	regulation of protein kinase activity	1.1841215305585518e-05	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	617	101	17	21110	0.1683168316831683	0.0275526742301458	query_1	['GO:0001932', 'GO:0043549']	['PTPN22', 'HTT', 'IRAK3', 'HSP90AB1', 'TAB2', 'TLR4', 'TNF', 'IRAK1', 'MALT1', 'HSP90AA1', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'FBXW7', 'TNFAIP3', 'CDC37']
563	GO:BP	GO:0045637	regulation of myeloid cell differentiation	1.2061583857336371e-05	True	"""Any process that modulates the frequency, rate or extent of myeloid cell differentiation."" [GOC:go_curators]"	211	101	11	21110	0.1089108910891089	0.0521327014218009	query_1	['GO:0030099', 'GO:1903706']	['HSPA1A', 'TLR4', 'TNF', 'FADD', 'IRF7', 'RIPK1', 'TRAF6', 'NFKBIA', 'CASP8', 'FBXW7', 'CUL4A']
564	HP	HP:0010978	Abnormality of immune system physiology	1.2521866207929404e-05	True	A functional abnormality of the immune system.	1618	49	36	4851	0.7346938775510204	0.0222496909765142	query_1	['HP:0002715']	['PTPN22', 'CARD11', 'TNFRSF1B', 'CREBBP', 'MYD88', 'TRAF3', 'CASP10', 'TNFRSF1A', 'IKBKB', 'FASLG', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'FADD', 'IRF7', 'NFKB1', 'RIPK1', 'IRAK1', 'MALT1', 'NFKB2', 'XPNPEP3', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'NFKBIA', 'CASP8', 'TICAM1', 'FBXW7', 'BCL10', 'TNFAIP3']
565	WP	WP:WP4674	Head and neck squamous cell carcinoma	1.2879951640024356e-05	True	Head and neck squamous cell carcinoma	74	88	9	8133	0.1022727272727272	0.1216216216216216	query_1	['WP:000000']	['CUL3', 'TRAF3', 'RELA', 'FADD', 'NFKB1', 'NFKB2', 'REL', 'BIRC2', 'CASP8']
566	KEGG	KEGG:05166	Human T-cell leukemia virus 1 infection	1.2973110091100035e-05	True	Human T-cell leukemia virus 1 infection	219	93	14	8161	0.1505376344086021	0.0639269406392694	query_1	['KEGG:00000']	['CREBBP', 'MAP3K14', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'NFKB1', 'LTA', 'NFKB2', 'IKBKG', 'LTBR', 'RELB', 'NFKBIA']
567	GO:BP	GO:0019941	modification-dependent protein catabolic process	1.3366105396785672e-05	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	706	101	18	21110	0.1782178217821782	0.0254957507082152	query_1	['GO:0043632', 'GO:0051603']	['CUL3', 'SHARPIN', 'HSPA1A', 'GSK3B', 'HSP90AB1', 'RBX1', 'RBCK1', 'SPOP', 'BTRC', 'PELI1', 'SKP1', 'FBXW11', 'BIRC2', 'CUL1', 'FBXW7', 'CUL4A', 'UBE2N', 'TNFAIP3']
568	GO:BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	1.3595694697542038e-05	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	269	101	12	21110	0.1188118811881188	0.0446096654275092	query_1	['GO:0007159', 'GO:0022409', 'GO:1903037']	['PTPN22', 'CARD11', 'MAP3K8', 'HSPH1', 'RELA', 'TNF', 'FADD', 'TNFSF14', 'IRAK1', 'MALT1', 'TRAF6', 'BCL10']
569	GO:BP	GO:0002761	regulation of myeloid leukocyte differentiation	1.4415880949824884e-05	True	"""Any process that modulates the frequency, rate, or extent of myeloid leukocyte differentiation."" [GOC:add]"	121	101	9	21110	0.0891089108910891	0.0743801652892562	query_1	['GO:0002573', 'GO:0045637', 'GO:1902105']	['TLR4', 'TNF', 'FADD', 'IRF7', 'RIPK1', 'TRAF6', 'CASP8', 'FBXW7', 'CUL4A']
570	REAC	REAC:R-HSA-983169	Class I MHC mediated antigen processing & presentation	1.4658833323421204e-05	True	Class I MHC mediated antigen processing & presentation	380	96	17	10790	0.1770833333333333	0.0447368421052631	query_1	['REAC:R-HSA-1280218']	['CUL3', 'MYD88', 'UBE2V1', 'CHUK', 'IKBKB', 'RBX1', 'TLR4', 'RBCK1', 'BTRC', 'SKP1', 'FBXW11', 'IKBKG', 'CUL1', 'FBXW7', 'CD14', 'LRSAM1', 'UBE2N']
571	GO:BP	GO:0051251	positive regulation of lymphocyte activation	1.485091622944331e-05	True	"""Any process that activates or increases the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	399	101	14	21110	0.1386138613861386	0.0350877192982456	query_1	['GO:0002696', 'GO:0046649', 'GO:0051249']	['PTPN22', 'CARD11', 'MAP3K8', 'MYD88', 'HSPH1', 'TLR4', 'FADD', 'TNIP2', 'PELI1', 'TNFSF14', 'MALT1', 'TRAF6', 'TICAM1', 'BCL10']
572	GO:BP	GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	1.4885120559158e-05	True	"""Any process that modulates the frequency, rate or extent of a cytoplasmic pattern recognition receptor signaling pathway in response to a virus."" [GOC:bf, GOC:jl]"	54	101	7	21110	0.0693069306930693	0.1296296296296296	query_1	['GO:0002753', 'GO:0062207']	['PTPN22', 'HSPA1A', 'TLR4', 'PELI1', 'BIRC3', 'BIRC2', 'TNFAIP3']
573	GO:CC	GO:0008385	IkappaB kinase complex	1.54478965223555e-05	True	"""A trimeric protein complex that phosphorylates inhibitory-kappaB (I-kappaB) proteins. The complex is composed of two kinase subunits (alpha and beta) and a regulatory gamma subunit (also called NEMO). In a resting state, NF-kappaB dimers are bound to inhibitory IKB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:ma, PMID:12055104, PMID:20300203]"	9	101	4	22122	0.0396039603960396	0.4444444444444444	query_1	['GO:0005829', 'GO:1902554']	['CHUK', 'IKBKB', 'IKBKG', 'MAP3K7']
574	HP	HP:0010701	Abnormal immunoglobulin level	1.5567336831711088e-05	True	An abnormal deviation from normal levels of immunoglobulins in blood.	252	49	15	4851	0.3061224489795918	0.0595238095238095	query_1	['HP:0005368', 'HP:0005372']	['CARD11', 'TNFRSF1B', 'MYD88', 'CASP10', 'IKBKB', 'FASLG', 'IRAK4', 'FAS', 'NFKB1', 'RIPK1', 'NFKB2', 'IKBKG', 'REL', 'CASP8', 'BCL10']
575	GO:BP	GO:0007159	leukocyte cell-cell adhesion	1.6329751101308142e-05	True	"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]"	402	101	14	21110	0.1386138613861386	0.0348258706467661	query_1	['GO:0098609']	['PTPN22', 'CARD11', 'MAP3K8', 'HSPH1', 'RELA', 'TNF', 'FADD', 'PELI1', 'TNFSF14', 'IRAK1', 'MALT1', 'TNIP1', 'TRAF6', 'BCL10']
