Dermatosparaxis Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
576	GO:CC	GO:0031256	leading edge membrane	2.6934566525221933e-06	True	"""The portion of the plasma membrane surrounding the leading edge of a motile cell."" [GOC:mah]"	180	100	10	22122	0.1	0.0555555555555555	query_1	['GO:0005886', 'GO:0031252', 'GO:0110165']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
577	REAC	REAC:R-HSA-8865999	MET activates PTPN11	2.765013126844101e-06	True	MET activates PTPN11	4	97	4	10790	0.0412371134020618	1.0	query_1	['REAC:R-HSA-6806834']	['MET', 'HGF', 'GAB1', 'PTPN11']
578	KEGG	KEGG:05224	Breast cancer	2.831258951692469e-06	True	Breast cancer	147	85	12	8161	0.1411764705882353	0.0816326530612244	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'SOS1', 'PIK3CD', 'GRB2', 'EGFR', 'PIK3CA', 'ERBB2', 'PIK3R3', 'SHC3']
579	GO:MF	GO:0004672	protein kinase activity	2.914706244682846e-06	True	"""Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP."" [MetaCyc:PROTEIN-KINASE-RXN]"	587	100	17	20195	0.17	0.0289608177172061	query_1	['GO:0016301', 'GO:0016773', 'GO:0140096']	['MET', 'PIK3CB', 'PIK3CG', 'SRC', 'RET', 'ITK', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'PIK3CA', 'SYK', 'ERBB2', 'PTK2B', 'PTK2', 'LCK', 'PDGFRA']
580	REAC	REAC:R-HSA-8875656	MET receptor recycling	2.9194399318592057e-06	True	MET receptor recycling	9	97	5	10790	0.0515463917525773	0.5555555555555556	query_1	['REAC:R-HSA-6806834']	['MET', 'CRK', 'HGF', 'GAB1', 'CRKL']
581	REAC	REAC:R-HSA-5655291	Signaling by FGFR4 in disease	2.9194399318592057e-06	True	Signaling by FGFR4 in disease	9	97	5	10790	0.0515463917525773	0.5555555555555556	query_1	['REAC:R-HSA-1226099']	['PIK3R1', 'SOS1', 'GAB1', 'PIK3CA', 'PLCG1']
582	GO:BP	GO:0051345	positive regulation of hydrolase activity	2.9274775054145544e-06	True	"""Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds."" [GOC:ai]"	568	100	17	21110	0.17	0.0299295774647887	query_1	['GO:0043085', 'GO:0051336']	['RAPGEF1', 'ITGB1', 'CRK', 'RET', 'ITK', 'SOS1', 'SH3BP1', 'FYN', 'LYN', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'CRKL', 'LCK', 'PDGFRA']
583	REAC	REAC:R-HSA-182971	EGFR downregulation	2.951858920198571e-06	True	EGFR downregulation	30	97	7	10790	0.0721649484536082	0.2333333333333333	query_1	['REAC:R-HSA-177929']	['HGS', 'STAM2', 'STAM', 'EGFR', 'SH3KBP1', 'SH3GL2', 'CBL']
584	HP	HP:0001581	Recurrent skin infections	3.074669916804622e-06	True	Infections of the skin that happen multiple times.	126	49	12	4851	0.2448979591836734	0.0952380952380952	query_1	['HP:0011123']	['PIK3CG', 'PIK3R1', 'PIK3CD', 'ZAP70', 'LCP2', 'EGFR', 'SYK', 'USP8', 'CD247', 'DOCK2', 'BLNK', 'CD3E']
585	GO:BP	GO:0150115	cell-substrate junction organization	3.1438325008663555e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-substrate junction. A cell-substrate junction is a specialized region of connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	103	100	9	21110	0.09	0.087378640776699	query_1	['GO:0034330']	['FN1', 'SRC', 'ITGB3', 'PIK3R1', 'ITGA5', 'VCL', 'PTK2B', 'TLN1', 'PTK2']
586	GO:BP	GO:0002274	myeloid leukocyte activation	3.34510899920444e-06	True	"""A change in the morphology or behavior of a myeloid leukocyte resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:add, ISBN:0781735149]"	240	100	12	21110	0.12	0.05	query_1	['GO:0045321']	['FN1', 'PIK3CG', 'PLCG2', 'PIK3CD', 'LAT', 'LYN', 'LCP2', 'SYK', 'GAB2', 'ITGB6', 'DOCK2', 'CBL']
587	GO:BP	GO:0048523	negative regulation of cellular process	3.348003859141867e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	4753	100	50	21110	0.5	0.0105196717862402	query_1	['GO:0009987', 'GO:0048519', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'CRK', 'PTPN23', 'HGF', 'SHC1', 'ADAMTSL2', 'PLCG2', 'ZNF398', 'WASL', 'ITGA5', 'SH3BP1', 'FYN', 'WAS', 'LYN', 'SHB', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'PLCG1', 'FGG', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'PTK2', 'LCK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7']
588	GO:BP	GO:0045576	mast cell activation	3.450177757267664e-06	True	"""The change in morphology and behavior of a mast cell resulting from exposure to a cytokine, chemokine, soluble factor, or to (at least in mammals) an antigen which the mast cell has specifically bound via IgE bound to Fc-epsilonRI receptors."" [GOC:mgi_curators, ISBN:0781735149]"	71	100	8	21110	0.08	0.1126760563380281	query_1	['GO:0002274']	['PIK3CG', 'PIK3CD', 'LAT', 'LYN', 'LCP2', 'SYK', 'GAB2', 'CBL']
589	REAC	REAC:R-HSA-5654708	Downstream signaling of activated FGFR3	3.46052696416603e-06	True	Downstream signaling of activated FGFR3	18	97	6	10790	0.0618556701030927	0.3333333333333333	query_1	['REAC:R-HSA-5654741']	['PIK3R1', 'SOS1', 'GAB1', 'PIK3CA', 'PLCG1', 'PTPN11']
590	REAC	REAC:R-HSA-9671555	Signaling by PDGFR in disease	3.46052696416603e-06	True	Signaling by PDGFR in disease	18	97	6	10790	0.0618556701030927	0.3333333333333333	query_1	['REAC:R-HSA-5663202']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'PDGFRA']
591	WP	WP:WP4560	MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	3.4867521276186783e-06	True	MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	18	88	6	8133	0.0681818181818181	0.3333333333333333	query_1	['WP:000000']	['ITGAV', 'ITGB3', 'PXN', 'VCL', 'PLCG1', 'PTK2']
592	GO:BP	GO:0034330	cell junction organization	3.56598785415459e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]"	740	100	19	21110	0.19	0.0256756756756756	query_1	['GO:0016043']	['RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PTPN23', 'WASL', 'ITGA5', 'SH3BP1', 'FYN', 'VCL', 'ERBB2', 'PTK2B', 'CRKL', 'TLN1', 'PTK2']
593	HP	HP:0010987	Abnormal cellular immune system morphology	3.602061424221588e-06	True	An abnormality of the morphology or counts of the cells that make up the immune system.	605	49	23	4851	0.4693877551020408	0.0380165289256198	query_1	['HP:0032251']	['PIK3CG', 'SPP1', 'PIK3R1', 'ITK', 'PLCG2', 'PIK3CD', 'WIPF1', 'WAS', 'LAT', 'ZAP70', 'LCP2', 'PIK3CA', 'VCL', 'SYK', 'USP8', 'CD247', 'DOCK2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'PDGFRA']
594	HP	HP:0001881	Abnormal leukocyte morphology	3.602061424221588e-06	True	An abnormality of leukocytes.	605	49	23	4851	0.4693877551020408	0.0380165289256198	query_1	['HP:0001871', 'HP:0010987']	['PIK3CG', 'SPP1', 'PIK3R1', 'ITK', 'PLCG2', 'PIK3CD', 'WIPF1', 'WAS', 'LAT', 'ZAP70', 'LCP2', 'PIK3CA', 'VCL', 'SYK', 'USP8', 'CD247', 'DOCK2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'PDGFRA']
595	HP	HP:0000225	Gingival bleeding	3.6365785819943135e-06	True	Hemorrhage affecting the gingiva.	56	49	9	4851	0.1836734693877551	0.1607142857142857	query_1	['HP:0000168', 'HP:0001892']	['FGA', 'ITGB3', 'WIPF1', 'ITGA2B', 'WAS', 'ADAMTS2', 'FGB', 'FGG', 'ELMO2']
596	KEGG	KEGG:04919	Thyroid hormone signaling pathway	3.6413382981088886e-06	True	Thyroid hormone signaling pathway	121	85	11	8161	0.1294117647058823	0.0909090909090909	query_1	['KEGG:00000']	['PIK3CB', 'ITGAV', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'PLCG2', 'PIK3CD', 'PIK3CA', 'PLCG1', 'PIK3R3']
597	HP	HP:0001892	Abnormal bleeding	3.903749420776005e-06	True	An abnormal susceptibility to bleeding, often referred to as a bleeding diathesis. A bleeding diathesis may be related to vascular, platelet and coagulation defects.	498	49	21	4851	0.4285714285714285	0.0421686746987951	query_1	['HP:0001871']	['FN1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'RET', 'ADAMTSL2', 'SOS1', 'WIPF1', 'ITGA2B', 'WAS', 'ADAMTS2', 'LCP2', 'PIK3CA', 'FGB', 'FGG', 'USP8', 'PTPN11', 'CBL', 'PDGFRA', 'ELMO2']
598	GO:BP	GO:0045860	positive regulation of protein kinase activity	4.02647377758132e-06	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	364	100	14	21110	0.14	0.0384615384615384	query_1	['GO:0001934', 'GO:0033674', 'GO:0045859']	['PIK3R5', 'PIK3CG', 'SRC', 'ITGB3', 'PIK3R6', 'LAT', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'DOCK3', 'PTK2']
599	GO:CC	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	4.027601524085863e-06	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to its cytoplasmic surface, but not integrated into the hydrophobic region."" [GOC:mah]"	97	100	8	22122	0.08	0.0824742268041237	query_1	['GO:0009898', 'GO:0019897']	['SRC', 'FYN', 'ZAP70', 'LYN', 'SYK', 'PTK2B', 'PTK2', 'LCK']
600	HP	HP:0004386	Gastrointestinal inflammation	4.042717299561594e-06	True	Inflammation of the alimentary part of the gastrointestinal system.	129	49	12	4851	0.2448979591836734	0.0930232558139534	query_1	['HP:0012649', 'HP:0012719']	['PIK3CG', 'TGFB3', 'RET', 'ADAMTSL2', 'PLCG2', 'PIK3CD', 'WIPF1', 'WAS', 'ADAMTS2', 'ZAP70', 'SYK', 'DOCK2']
601	GO:BP	GO:0043149	stress fiber assembly	4.065869544840514e-06	True	"""The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity."" [GOC:go_curators, GOC:mah, PMID:16651381]"	106	100	9	21110	0.09	0.0849056603773584	query_1	['GO:0030038', 'GO:0031032']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'PTK2B']
602	GO:BP	GO:0030038	contractile actin filament bundle assembly	4.065869544840514e-06	True	"""Assembly of actin filament bundles in which the filaments are loosely packed (approximately 30-60 nm apart) and arranged with opposing polarities; the loose packing allows myosin (usually myosin-II) to enter the bundle."" [GOC:mah, ISBN:0815316194]"	106	100	9	21110	0.09	0.0849056603773584	query_1	['GO:0051017']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'PTK2B']
603	REAC	REAC:R-HSA-74752	Signaling by Insulin receptor	4.304633209888959e-06	True	Signaling by Insulin receptor	69	97	9	10790	0.0927835051546391	0.1304347826086956	query_1	['REAC:R-HSA-9006934']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'PIK3CA', 'GAB2', 'PTPN11']
604	REAC	REAC:R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	4.304633209888959e-06	True	Role of LAT2/NTAL/LAB on calcium mobilization	69	97	9	10790	0.0927835051546391	0.1304347826086956	query_1	['REAC:R-HSA-2454202']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'FYN', 'LYN', 'PIK3CA', 'SYK', 'GAB2']
605	GO:BP	GO:2000209	regulation of anoikis	4.499857235471476e-06	True	"""Any process that modulates the frequency, rate or extent of anoikis."" [GOC:mah]"	26	100	6	21110	0.06	0.2307692307692307	query_1	['GO:0042981', 'GO:0043276']	['ITGB1', 'SRC', 'ITGA5', 'PIK3CA', 'PIK3R3', 'PTK2']
606	CORUM	CORUM:5177	Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)	4.633402966007768e-06	True	Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)	7	59	5	3383	0.0847457627118644	0.7142857142857143	query_1	['CORUM:0000000']	['BCAR1', 'PXN', 'VCL', 'TLN1', 'PTK2']
607	REAC	REAC:R-HSA-5654741	Signaling by FGFR3	4.809443003503445e-06	True	Signaling by FGFR3	32	97	7	10790	0.0721649484536082	0.21875	query_1	['REAC:R-HSA-190236']	['PIK3R1', 'SOS1', 'GAB1', 'PIK3CA', 'PLCG1', 'PTPN11', 'CBL']
608	KEGG	KEGG:05208	Chemical carcinogenesis - reactive oxygen species	4.95830064851886e-06	True	Chemical carcinogenesis - reactive oxygen species	222	85	14	8161	0.1647058823529411	0.063063063063063	query_1	['KEGG:00000']	['MET', 'PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'HGF', 'SOS1', 'PIK3CD', 'GRB2', 'EGFR', 'PIK3CA', 'PIK3R3', 'PTK2', 'PTPN11']
609	GO:BP	GO:0002697	regulation of immune effector process	5.50906305541262e-06	True	"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]"	373	100	14	21110	0.14	0.0375335120643431	query_1	['GO:0002252', 'GO:0002682']	['RAPGEF1', 'TGFB3', 'PIK3R6', 'CRK', 'NCR3', 'PLCG2', 'WAS', 'LYN', 'SHB', 'VAV1', 'SYK', 'FCGR1A', 'LITAF', 'GAB2']
610	WP	WP:WP5300	TROP2 regulatory signaling	5.565837404267222e-06	True	TROP2 regulatory signaling	48	88	8	8133	0.0909090909090909	0.1666666666666666	query_1	['WP:000000']	['ITGB1', 'FN1', 'SRC', 'PIK3R1', 'ITGA5', 'EGFR', 'TLN1', 'PTK2']
611	GO:MF	GO:0005167	neurotrophin TRK receptor binding	5.770521741089759e-06	True	"""Binding to a neurotrophin TRK receptor."" [GOC:ai]"	6	100	4	20195	0.04	0.6666666666666666	query_1	['GO:0005165']	['PIK3R1', 'SHC1', 'GRB2', 'PLCG1']
612	GO:MF	GO:0005168	neurotrophin TRKA receptor binding	5.770521741089759e-06	True	"""Binding to a neurotrophin TRKA receptor."" [GOC:ai]"	6	100	4	20195	0.04	0.6666666666666666	query_1	['GO:0005167']	['PIK3R1', 'SHC1', 'GRB2', 'PLCG1']
613	GO:BP	GO:0048666	neuron development	5.988954122906457e-06	True	"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]"	1144	100	23	21110	0.23	0.0201048951048951	query_1	['GO:0030182', 'GO:0048468']	['RAPGEF1', 'ITGB1', 'NCK1', 'FN1', 'SPP1', 'CRK', 'HGF', 'RET', 'WASL', 'SOS1', 'FYN', 'LYN', 'GFRA3', 'VCL', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'PTK2', 'ARTN', 'CD3E', 'PTPN11', 'NCK2']
614	WP	WP:WP4685	Melanoma	6.054237062401507e-06	True	Melanoma	68	88	9	8133	0.1022727272727272	0.1323529411764706	query_1	['WP:000000']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CD', 'GRB2', 'PIK3CA', 'VCL', 'PIK3R3']
615	GO:CC	GO:0012506	vesicle membrane	6.202458143177399e-06	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1223	100	22	22122	0.22	0.0179885527391659	query_1	['GO:0031090', 'GO:0031982']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGAV', 'ITGB3', 'HGS', 'STAM2', 'RET', 'WASL', 'ITGA2B', 'WAS', 'LYN', 'STAM', 'GRB2', 'EGFR', 'FCGR1A', 'USP8', 'ERBB2', 'SH3KBP1', 'SH3GL2', 'LITAF', 'NCK2']
616	KEGG	KEGG:04933	AGE-RAGE signaling pathway in diabetic complications	6.325816782187392e-06	True	AGE-RAGE signaling pathway in diabetic complications	100	85	10	8161	0.1176470588235294	0.1	query_1	['KEGG:00000']	['PIK3CB', 'FN1', 'PIK3R2', 'TGFB3', 'PIK3R1', 'PLCG2', 'PIK3CD', 'PIK3CA', 'PLCG1', 'PIK3R3']
617	GO:BP	GO:0051707	response to other organism	6.43363181322779e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1581	100	27	21110	0.27	0.01707779886148	query_1	['GO:0043207', 'GO:0044419']	['NCK1', 'PIK3CG', 'SRC', 'FGA', 'PIK3R6', 'CRK', 'NCR3', 'SHC1', 'PIK3AP1', 'PLCG2', 'WASL', 'PIK3CD', 'WIPF1', 'FYN', 'WAS', 'ZAP70', 'LYN', 'FGB', 'VAV1', 'SYK', 'FCGR1A', 'PTK2B', 'LITAF', 'PTK2', 'ITGB6', 'LCK', 'PTPN11']
618	GO:BP	GO:0031032	actomyosin structure organization	6.519301568967087e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin. The myosin may be organized into filaments."" [GOC:dph, GOC:jl, GOC:mah]"	201	100	11	21110	0.11	0.0547263681592039	query_1	['GO:0030036']	['MET', 'ITGB1', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'PTK2B', 'PDGFRA']
619	GO:BP	GO:0043207	response to external biotic stimulus	6.702266642733798e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1584	100	27	21110	0.27	0.0170454545454545	query_1	['GO:0009605', 'GO:0009607']	['NCK1', 'PIK3CG', 'SRC', 'FGA', 'PIK3R6', 'CRK', 'NCR3', 'SHC1', 'PIK3AP1', 'PLCG2', 'WASL', 'PIK3CD', 'WIPF1', 'FYN', 'WAS', 'ZAP70', 'LYN', 'FGB', 'VAV1', 'SYK', 'FCGR1A', 'PTK2B', 'LITAF', 'PTK2', 'ITGB6', 'LCK', 'PTPN11']
620	KEGG	KEGG:05212	Pancreatic cancer	6.768804322251402e-06	True	Pancreatic cancer	76	85	9	8161	0.1058823529411764	0.1184210526315789	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'TGFB3', 'PIK3R1', 'PIK3CD', 'EGFR', 'PIK3CA', 'ERBB2', 'PIK3R3']
621	KEGG	KEGG:05146	Amoebiasis	6.962035132964303e-06	True	Amoebiasis	101	85	10	8161	0.1176470588235294	0.099009900990099	query_1	['KEGG:00000']	['PIK3CB', 'FN1', 'PIK3R2', 'TGFB3', 'PIK3R1', 'PIK3CD', 'PIK3CA', 'VCL', 'PIK3R3', 'PTK2']
622	REAC	REAC:R-HSA-445144	Signal transduction by L1	7.121227810300705e-06	True	Signal transduction by L1	20	97	6	10790	0.0618556701030927	0.3	query_1	['REAC:R-HSA-373760']	['ITGB1', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'EGFR']
623	WP	WP:WP3676	BDNF-TrkB signaling	7.155508557558275e-06	True	BDNF-TrkB signaling	33	88	7	8133	0.0795454545454545	0.2121212121212121	query_1	['WP:000000']	['PIK3CG', 'SHC1', 'SOS1', 'GAB1', 'GRB2', 'PLCG1', 'GAB2']
624	GO:MF	GO:0060090	molecular adaptor activity	7.237342735315563e-06	True	"""The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way."" [GOC:mtg_MIT_16mar07, GOC:vw]"	545	100	16	20195	0.16	0.0293577981651376	query_1	['GO:0003674']	['NCK1', 'PIK3R1', 'CRK', 'SHC1', 'GAB1', 'ITGA2B', 'LAT', 'SHB', 'GRB2', 'VCL', 'CRKL', 'GAB2', 'BLNK', 'CD3E', 'PTPN11', 'NCK2']
625	GO:BP	GO:1902903	regulation of supramolecular fiber organization	7.98946407756173e-06	True	"""Any process that modulates the frequency, rate or extent of supramolecular fiber organization."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:23921388]"	384	100	14	21110	0.14	0.0364583333333333	query_1	['GO:0051128', 'GO:0097435']	['MET', 'NCK1', 'PIK3R2', 'TGFB3', 'PIK3R1', 'WASL', 'PXN', 'SH3BP1', 'WAS', 'GRB2', 'PIK3CA', 'USP8', 'PTK2B', 'NCK2']
626	GO:CC	GO:0005577	fibrinogen complex	8.027736204579802e-06	True	"""A highly soluble, elongated protein complex found in blood plasma and involved in clot formation. It is converted into fibrin monomer by the action of thrombin. In the mouse, fibrinogen is a hexamer, 46 nm long and 9 nm maximal diameter, containing two sets of nonidentical chains (alpha, beta, and gamma) linked together by disulfide bonds."" [ISBN:0198547684]"	8	100	4	22122	0.04	0.5	query_1	['GO:0005615', 'GO:0032991']	['FN1', 'FGA', 'FGB', 'FGG']
627	HP	HP:0032251	Abnormal immune system morphology	8.038367062896249e-06	True	Abnormal immune system morphology	630	49	23	4851	0.4693877551020408	0.0365079365079365	query_1	['HP:0002715']	['PIK3CG', 'SPP1', 'PIK3R1', 'ITK', 'PLCG2', 'PIK3CD', 'WIPF1', 'WAS', 'LAT', 'ZAP70', 'LCP2', 'PIK3CA', 'VCL', 'SYK', 'USP8', 'CD247', 'DOCK2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'PDGFRA']
628	REAC	REAC:R-HSA-9013408	RHOG GTPase cycle	8.091087374113349e-06	True	RHOG GTPase cycle	74	97	9	10790	0.0927835051546391	0.1216216216216216	query_1	['REAC:R-HSA-9012999']	['ITGB1', 'DOCK1', 'PIK3R1', 'DOCK4', 'VAV1', 'DOCK3', 'DOCK2', 'DOCK5', 'ELMO2']
629	GO:CC	GO:0030027	lamellipodium	8.475869617148246e-06	True	"""A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments."" [ISBN:0815316194]"	203	100	10	22122	0.1	0.0492610837438423	query_1	['GO:0031252', 'GO:0120025']	['ITGB1', 'ITGAV', 'BCAR1', 'ITGB3', 'WASL', 'PXN', 'SH3BP1', 'PIK3CA', 'PLCG1', 'PTK2B']
630	WP	WP:WP4541	Hippo-Merlin signaling dysregulation	8.618265286868156e-06	True	Hippo-Merlin signaling dysregulation	120	88	11	8133	0.125	0.0916666666666666	query_1	['WP:000000']	['MET', 'ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'EGFR', 'PTK2', 'ITGB6', 'PDGFRA']
631	HP	HP:0033796	Abnormal leukocyte physiology	8.8476277920311e-06	True	A functional abnormality of a white blood cell.	282	49	16	4851	0.3265306122448979	0.0567375886524822	query_1	['HP:0001871', 'HP:0010978']	['PIK3CG', 'PIK3R1', 'ITK', 'PLCG2', 'PIK3CD', 'WIPF1', 'WAS', 'LAT', 'ZAP70', 'LCP2', 'SYK', 'SH3KBP1', 'CD247', 'DOCK2', 'BLNK', 'CD3E']
632	HP	HP:0031409	Abnormal lymphocyte physiology	8.8476277920311e-06	True	Any anomaly of lymphocyte function.	282	49	16	4851	0.3265306122448979	0.0567375886524822	query_1	['HP:0011017', 'HP:0033796']	['PIK3CG', 'PIK3R1', 'ITK', 'PLCG2', 'PIK3CD', 'WIPF1', 'WAS', 'LAT', 'ZAP70', 'LCP2', 'SYK', 'SH3KBP1', 'CD247', 'DOCK2', 'BLNK', 'CD3E']
633	REAC	REAC:R-HSA-3000178	ECM proteoglycans	9.126846122924772e-06	True	ECM proteoglycans	75	97	9	10790	0.0927835051546391	0.12	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'ITGB3', 'TGFB3', 'ITGA2B', 'VTN', 'ITGB6']
634	KEGG	KEGG:04625	C-type lectin receptor signaling pathway	9.22202879853584e-06	True	C-type lectin receptor signaling pathway	104	85	10	8161	0.1176470588235294	0.0961538461538461	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'PLCG2', 'PIK3CD', 'PIK3CA', 'SYK', 'PIK3R3', 'PTPN11']
635	GO:BP	GO:0048519	negative regulation of biological process	9.293836886415176e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5932	100	56	21110	0.56	0.00944032366824	query_1	['GO:0008150', 'GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'CRK', 'PTPN23', 'HGF', 'SHC1', 'ADAMTSL2', 'PLCG2', 'ZNF398', 'WASL', 'USP4', 'ITGA5', 'SH3BP1', 'FYN', 'WAS', 'DOCK4', 'LYN', 'SHB', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'SYK', 'PLCG1', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'PTK2', 'LCK', 'CD3E', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7']
636	REAC	REAC:R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	9.399821800947392e-06	True	RHO GTPases Activate WASPs and WAVEs	35	97	7	10790	0.0721649484536082	0.2	query_1	['REAC:R-HSA-195258']	['NCK1', 'WIPF3', 'WASL', 'WIPF1', 'WIPF2', 'WAS', 'PTK2']
637	REAC	REAC:R-HSA-5654743	Signaling by FGFR4	9.399821800947392e-06	True	Signaling by FGFR4	35	97	7	10790	0.0721649484536082	0.2	query_1	['REAC:R-HSA-190236']	['PIK3R1', 'SOS1', 'GAB1', 'PIK3CA', 'PLCG1', 'PTPN11', 'CBL']
