Progeroid syndrome, Petty type	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
895	GO:CC	GO:0045335	phagocytic vesicle	0.0005381654058083	True	"""A membrane-bounded intracellular vesicle that arises from the ingestion of particulate material by phagocytosis."" [GOC:go_curators, ISBN:0198506732]"	135	98	6	17376	0.0612244897959183	0.0444444444444444	query_1	['GO:0030139']	['RAPGEF1', 'ITGB5', 'ITGAV', 'WAS', 'SYK', 'DMBT1']
896	GO:BP	GO:0033631	cell-cell adhesion mediated by integrin	0.0005393815343888	True	"""The attachment of one cell to another cell via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	16	98	3	17376	0.0306122448979591	0.1875	query_1	['GO:0033627', 'GO:0098609']	['ITGB1', 'SKAP1', 'ITGA5']
897	GO:BP	GO:0043366	beta selection	0.0005424702064961	True	"""The process in which successful recombination of a T cell receptor beta chain into a translatable protein coding sequence leads to rescue from apoptosis and subsequent proliferation of an immature T cell."" [ISBN:0781735149, PMID:12220932]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0045058', 'GO:0046632']	['ZAP70', 'SYK']
898	GO:BP	GO:1903997	positive regulation of non-membrane spanning protein tyrosine kinase activity	0.0005424702064961	True	"""Any process that activates or increases the frequency, rate or extent of non-membrane spanning protein tyrosine kinase activity."" [GO_REF:0000059, GOC:BHF, GOC:nc, GOC:TermGenie, PMID:10518561]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0061098', 'GO:1903995']	['SRC', 'DOCK3']
899	GO:BP	GO:1905075	positive regulation of tight junction disassembly	0.0005424702064961	True	"""Any process that activates or increases the frequency, rate or extent of tight junction disassembly."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18718461]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0051130', 'GO:1905071', 'GO:1905073']	['TGFB3', 'TGFBR1']
900	GO:BP	GO:1905073	regulation of tight junction disassembly	0.0005424702064961	True	"""Any process that modulates the frequency, rate or extent of tight junction disassembly."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18718461]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0051128', 'GO:1905071']	['TGFB3', 'TGFBR1']
901	GO:BP	GO:1905071	tight junction disassembly	0.0005424702064961	True	"""The disaggregation of an tight junction into its constituent components."" [GO_REF:0000079, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18718461]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0120193', 'GO:0150147']	['TGFB3', 'TGFBR1']
902	GO:BP	GO:0098749	cerebellar neuron development	0.0005424702064961	True	"""The process whose specific outcome is the progression of a cerebellar neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dos]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0021549', 'GO:0048666']	['CRK', 'CRKL']
903	GO:BP	GO:1904694	negative regulation of vascular associated smooth muscle contraction	0.0005424702064961	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of vascular smooth muscle contraction."" [GO_REF:0000058, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:22158624]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0003056', 'GO:0014829', 'GO:0045906', 'GO:0045986']	['DOCK4', 'DOCK5']
904	GO:BP	GO:0035684	helper T cell extravasation	0.0005424702064961	True	"""The migration of a helper T cell from the blood vessels into the surrounding tissue. A helper T-cell is an effector T cell that provides help in the form of secreted cytokines to other immune cells."" [CL:0000912, GOC:BHF]"	3	98	2	17376	0.0204081632653061	0.6666666666666666	query_1	['GO:0072683']	['CRK', 'CRKL']
905	GO:BP	GO:0071364	cellular response to epidermal growth factor stimulus	0.0005707405232635	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epidermal growth factor stimulus."" [GOC:mah]"	43	98	4	17376	0.0408163265306122	0.0930232558139534	query_1	['GO:0070849', 'GO:0071363']	['EGFR', 'PLCG1', 'ERBB2', 'PTPN11']
906	GO:BP	GO:0010324	membrane invagination	0.0005716448917784	True	"""The infolding of a membrane."" [GOC:tb]"	82	98	5	17376	0.0510204081632653	0.0609756097560975	query_1	['GO:0061024']	['DOCK1', 'PLCG2', 'FCGR1A', 'SMURF1', 'ELMO1']
907	GO:BP	GO:0051279	regulation of release of sequestered calcium ion into cytosol	0.0005716448917784	True	"""Any process that modulates the frequency, rate or extent of the release into the cytosolic compartment of calcium ions sequestered in the endoplasmic reticulum or mitochondria."" [GOC:ai, GOC:tb]"	82	98	5	17376	0.0510204081632653	0.0609756097560975	query_1	['GO:0051209', 'GO:0051282', 'GO:1903169']	['ITGB3', 'LYN', 'TGFB1', 'PLCG1', 'PTK2B']
908	GO:BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.0005730542246685	True	"""Any process that modulates the frequency, rate or extent of signaling via a stress-activated protein kinase signaling cascade."" [GOC:mah]"	190	98	7	17376	0.0714285714285714	0.0368421052631578	query_1	['GO:0031098', 'GO:0080135', 'GO:1902531']	['RAPGEF1', 'CRK', 'HGF', 'LYN', 'EGFR', 'SIRPA', 'PTK2B']
909	REAC	REAC:R-HSA-5686938	Regulation of TLR by endogenous ligand	0.0005789554890233	True	Regulation of TLR by endogenous ligand	21	98	3	17376	0.0306122448979591	0.1428571428571428	query_1	['REAC:R-HSA-168898']	['SFTPA1', 'SFTPD', 'SFTPA2']
910	GO:CC	GO:0043226	organelle	0.000584206783336	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	12942	98	88	17376	0.8979591836734694	0.0067995673002627	query_1	['GO:0110165']	['RAPGEF1', 'LATS1', 'ITGB1', 'SFTPA1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'SKAP1', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'USP4', 'RPGRIP1L', 'WIPF1', 'PARD6A', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'ASAP1', 'WIPF2', 'FYN', 'CHST10', 'FYB1', 'PAX3', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'SYK', 'DMBT1', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SUGCT', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'VTN', 'CC2D1B', 'SLC25A24', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'SFTPA2', 'ZDHHC2']
911	GO:BP	GO:0062197	cellular response to chemical stress	0.0005885538696536	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."" [PMID:26653712]"	330	98	9	17376	0.0918367346938775	0.0272727272727272	query_1	['GO:0033554', 'GO:0070887']	['MET', 'SRC', 'HGF', 'PXN', 'FYN', 'EGFR', 'SIRPA', 'SLC25A24', 'PDGFRA']
912	REAC	REAC:R-HSA-9013409	RHOJ GTPase cycle	0.0006042616184633	True	RHOJ GTPase cycle	53	98	4	17376	0.0408163265306122	0.0754716981132075	query_1	['REAC:R-HSA-9012999']	['PIK3R1', 'WASL', 'WIPF2', 'WAS']
913	GO:BP	GO:0097028	dendritic cell differentiation	0.0006181325186442	True	"""The process in which a precursor cell type acquires the specialized features of a dendritic cell. A dendritic cell is a leukocyte of dendritic lineage specialized in the uptake, processing, and transport of antigens to lymph nodes for the purpose of stimulating an immune response via T cell activation."" [CL:0000451, GOC:pr]"	44	98	4	17376	0.0408163265306122	0.0909090909090909	query_1	['GO:1903131']	['TGFBR2', 'LYN', 'TGFB1', 'ITGB6']
914	GO:BP	GO:0032924	activin receptor signaling pathway	0.0006181325186442	True	"""The series of molecular signals initiated by an extracellular ligand binding to an activin receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:rl, GOC:signaling]"	44	98	4	17376	0.0408163265306122	0.0909090909090909	query_1	['GO:0007178']	['SMAD7', 'TGFBR2', 'TGFBR1', 'SMAD3']
915	GO:BP	GO:0061098	positive regulation of protein tyrosine kinase activity	0.0006181325186442	True	"""Any process that increases the rate, frequency, or extent of protein tyrosine kinase activity."" [GOC:dph, GOC:tb]"	44	98	4	17376	0.0408163265306122	0.0909090909090909	query_1	['GO:0045860', 'GO:0050731', 'GO:0061097']	['SRC', 'DVL2', 'FCGR1A', 'DOCK3']
916	GO:BP	GO:0043065	positive regulation of apoptotic process	0.0006224630011043	True	"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	496	98	11	17376	0.1122448979591836	0.0221774193548387	query_1	['GO:0006915', 'GO:0042981', 'GO:0043068']	['LATS1', 'ITGB1', 'NCK1', 'SRC', 'TGFB3', 'LYN', 'TGFB1', 'PLCG1', 'TGFBR1', 'LCK', 'NCK2']
917	GO:BP	GO:0043129	surfactant homeostasis	0.0006336188584014	True	"""Any process involved in the maintenance of a steady-state level of a surface-active agent that maintains the surface tension of a liquid."" [PMID:23708874, PMID:9751757]"	17	98	3	17376	0.0306122448979591	0.1764705882352941	query_1	['GO:0140962']	['SFTPD', 'TGFB1', 'ITGB6']
918	GO:CC	GO:0031091	platelet alpha granule	0.0006338962942943	True	"""A secretory organelle found in blood platelets, which is unique in that it exhibits further compartmentalization and acquires its protein content via two distinct mechanisms: (1) biosynthesis predominantly at the megakaryocyte (MK) level (with some vestigial platelet synthesis) (e.g. platelet factor 4) and (2) endocytosis and pinocytosis at both the MK and circulating platelet levels (e.g. fibrinogen (Fg) and IgG)."" [PMID:8467233]"	88	98	5	17376	0.0510204081632653	0.0568181818181818	query_1	['GO:0030141']	['FN1', 'ITGB3', 'TGFB3', 'HGF', 'ITGA2B']
919	GO:BP	GO:0043491	protein kinase B signaling	0.000644265389145	True	"""A series of reactions, mediated by the intracellular serine/threonine kinase protein kinase B (also called AKT), which occurs as a result of a single trigger reaction or compound."" [GOC:bf, PMID:20517722]"	194	98	7	17376	0.0714285714285714	0.0360824742268041	query_1	['GO:0035556']	['MET', 'RAPGEF1', 'ITGB1', 'SRC', 'EGFR', 'TGFBR1', 'PTK2']
920	GO:BP	GO:0001763	morphogenesis of a branching structure	0.000644265389145	True	"""The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes."" [ISBN:0721662544]"	194	98	7	17376	0.0714285714285714	0.0360824742268041	query_1	['GO:0009653', 'GO:0032501']	['MET', 'SRC', 'HGF', 'TGFBR2', 'GRB2', 'TGFB1', 'PKD1']
921	REAC	REAC:R-HSA-389357	CD28 dependent PI3K/Akt signaling	0.0006613033787935	True	CD28 dependent PI3K/Akt signaling	22	98	3	17376	0.0306122448979591	0.1363636363636363	query_1	['REAC:R-HSA-389356']	['PIK3R1', 'FYN', 'LCK']
922	GO:BP	GO:1903035	negative regulation of response to wounding	0.000667385737893	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	85	98	5	17376	0.0510204081632653	0.0588235294117647	query_1	['GO:0009611', 'GO:0048585', 'GO:1903034']	['SPP1', 'CRK', 'VTN', 'SMAD3', 'PDGFRA']
923	GO:BP	GO:0007043	cell-cell junction assembly	0.0006758917687129	True	"""The aggregation, arrangement and bonding together of a set of components to form a junction between cells."" [GOC:ai]"	136	98	6	17376	0.0612244897959183	0.0441176470588235	query_1	['GO:0034329', 'GO:0045216']	['SMAD7', 'NPHP4', 'NPHP1', 'PARD3', 'VCL', 'TLN1']
924	GO:BP	GO:0033135	regulation of peptidyl-serine phosphorylation	0.0006758917687129	True	"""Any process that modulates the frequency, rate or extent of the phosphorylation of peptidyl-serine."" [GOC:mah]"	136	98	6	17376	0.0612244897959183	0.0441176470588235	query_1	['GO:0001932', 'GO:0018105']	['LATS1', 'NCK1', 'SMAD7', 'HGF', 'EGFR', 'NCK2']
925	GO:BP	GO:0070301	cellular response to hydrogen peroxide	0.0007021096577811	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus."" [CHEBI:16240, GOC:mah]"	86	98	5	17376	0.0510204081632653	0.0581395348837209	query_1	['GO:0034614', 'GO:0042542']	['MET', 'SRC', 'HGF', 'FYN', 'SIRPA']
926	GO:BP	GO:0048009	insulin-like growth factor receptor signaling pathway	0.0007239666340766	True	"""The series of molecular signals initiated by a ligand binding to an insulin-like growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	46	98	4	17376	0.0408163265306122	0.0869565217391304	query_1	['GO:0007169']	['PIK3R1', 'SHC1', 'SOS1', 'GRB2']
927	GO:BP	GO:1990090	cellular response to nerve growth factor stimulus	0.0007239666340766	True	"""A process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nerve growth factor stimulus."" [PMID:22399805, Wikipedia:Nerve_growth_factor]"	46	98	4	17376	0.0408163265306122	0.0869565217391304	query_1	['GO:0071363', 'GO:1990089']	['RAPGEF1', 'CRK', 'SH3GL2', 'CBL']
928	GO:BP	GO:0007520	myoblast fusion	0.0007239666340766	True	"""A process in which non-proliferating myoblasts fuse to existing fibers or to myotubes to form new fibers. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers."" [CL:0000056, GOC:mtg_muscle]"	46	98	4	17376	0.0408163265306122	0.0869565217391304	query_1	['GO:0000768', 'GO:0014902']	['ITGB1', 'DOCK1', 'DOCK2', 'DOCK5']
929	GO:BP	GO:1900180	regulation of protein localization to nucleus	0.0007265982825963	True	"""Any process that modulates the frequency, rate or extent of protein localization to nucleus."" [GOC:TermGenie]"	138	98	6	17376	0.0612244897959183	0.0434782608695652	query_1	['GO:0032880', 'GO:0034504']	['LATS1', 'SRC', 'PIK3R1', 'FYN', 'TGFB1', 'SMAD3']
930	GO:BP	GO:0010720	positive regulation of cell development	0.0007318708792257	True	"""Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]"	421	98	10	17376	0.1020408163265306	0.0237529691211401	query_1	['GO:0045597', 'GO:0048468', 'GO:0060284']	['ITGB1', 'FN1', 'SMAD7', 'TGFBR2', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'SYK', 'SMURF1']
931	GO:BP	GO:0038128	ERBB2 signaling pathway	0.0007407471666907	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor ERBB2 on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription. ERBB2 receptors are themselves unable to bind to ligands, but act as a signal-amplifying tyrosine kinase within a heterodimeric pair."" [GOC:jc, PMID:16460914, Reactome:R-HSA-1227986]"	18	98	3	17376	0.0306122448979591	0.1666666666666666	query_1	['GO:0038127']	['SRC', 'EGFR', 'ERBB2']
932	GO:BP	GO:0044703	multi-organism reproductive process	0.0007407471666907	True	"""A biological process that directly contributes to the process of producing new individuals, involving another organism."" [GOC:jl]"	199	98	7	17376	0.0714285714285714	0.0351758793969849	query_1	['GO:0022414']	['SMURF2', 'SPP1', 'ITGB3', 'TGFB3', 'TGFBR2', 'ITGA5', 'TGFB1']
933	GO:BP	GO:0035728	response to hepatocyte growth factor	0.0007407471666907	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hepatocyte growth factor stimulus."" [GOC:bf]"	18	98	3	17376	0.0306122448979591	0.1666666666666666	query_1	['GO:0070848']	['BCAR1', 'CRK', 'HGF']
934	GO:CC	GO:0030136	clathrin-coated vesicle	0.0007425628648049	True	"""A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."" [GOC:mah, PMID:11252894]"	206	98	7	17376	0.0714285714285714	0.0339805825242718	query_1	['GO:0030135']	['SFTPA1', 'SFTPD', 'DVL2', 'EGFR', 'FCGR1A', 'SH3GL2', 'SFTPA2']
935	REAC	REAC:R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	0.000742695497348	True	Anti-inflammatory response favouring Leishmania parasite infection	159	98	6	17376	0.0612244897959183	0.0377358490566037	query_1	['REAC:R-HSA-9664433']	['PLCG2', 'FYN', 'LYN', 'SYK', 'PLCG1', 'FCGR1A']
936	REAC	REAC:R-HSA-9664433	Leishmania parasite growth and survival	0.000742695497348	True	Leishmania parasite growth and survival	159	98	6	17376	0.0612244897959183	0.0377358490566037	query_1	['REAC:R-HSA-9658195']	['PLCG2', 'FYN', 'LYN', 'SYK', 'PLCG1', 'FCGR1A']
937	GO:BP	GO:0061448	connective tissue development	0.0007590280704854	True	"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]"	268	98	8	17376	0.0816326530612244	0.0298507462686567	query_1	['GO:0009888']	['SMAD7', 'ITGB3', 'TGFBR2', 'TGFB1', 'TGFBR1', 'PKD1', 'SMAD3', 'PTPN11']
938	REAC	REAC:R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	0.0007662881732064	True	Cargo recognition for clathrin-mediated endocytosis	103	98	5	17376	0.0510204081632653	0.0485436893203883	query_1	['REAC:R-HSA-8856828']	['DVL2', 'EGFR', 'SH3KBP1', 'SH3GL2', 'CBL']
939	GO:BP	GO:0032273	positive regulation of protein polymerization	0.0007694832028177	True	"""Any process that activates or increases the frequency, rate or extent of the process of creating protein polymers."" [GOC:mah]"	88	98	5	17376	0.0510204081632653	0.0568181818181818	query_1	['GO:0031334', 'GO:0032271', 'GO:0051258']	['MET', 'NCK1', 'GRB2', 'PTK2B', 'NCK2']
940	GO:BP	GO:1900182	positive regulation of protein localization to nucleus	0.0007694832028177	True	"""Any process that activates or increases the frequency, rate or extent of protein localization to nucleus."" [GOC:TermGenie]"	88	98	5	17376	0.0510204081632653	0.0568181818181818	query_1	['GO:0034504', 'GO:1900180', 'GO:1903829']	['SRC', 'PIK3R1', 'FYN', 'TGFB1', 'SMAD3']
941	GO:BP	GO:0070849	response to epidermal growth factor	0.0007745523690538	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epidermal growth factor stimulus."" [GOC:BHF, GOC:mah]"	47	98	4	17376	0.0408163265306122	0.0851063829787234	query_1	['GO:0070848']	['EGFR', 'PLCG1', 'ERBB2', 'PTPN11']
942	GO:BP	GO:1990089	response to nerve growth factor	0.0007745523690538	True	"""A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nerve growth factor stimulus."" [PMID:22399805]"	47	98	4	17376	0.0408163265306122	0.0851063829787234	query_1	['GO:0070848']	['RAPGEF1', 'CRK', 'SH3GL2', 'CBL']
943	GO:BP	GO:0010171	body morphogenesis	0.0007745523690538	True	"""The process in which the anatomical structures of the soma are generated and organized."" [GOC:ems, ISBN:0140512888]"	47	98	4	17376	0.0408163265306122	0.0851063829787234	query_1	['GO:0009653']	['TGFB3', 'TGFB1', 'PTPN11', 'PDGFRA']
944	GO:BP	GO:0051216	cartilage development	0.000779335580101	True	"""The process whose specific outcome is the progression of a cartilage element over time, from its formation to the mature structure. Cartilage elements are skeletal elements that consist of connective tissue dominated by extracellular matrix containing collagen type II and large amounts of proteoglycan, particularly chondroitin sulfate."" [GOC:cjm, PMID:23251424]"	201	98	7	17376	0.0714285714285714	0.0348258706467661	query_1	['GO:0001501', 'GO:0048513', 'GO:0061448']	['SMAD7', 'TGFBR2', 'TGFB1', 'TGFBR1', 'PKD1', 'SMAD3', 'PTPN11']
945	GO:BP	GO:0048704	embryonic skeletal system morphogenesis	0.0008042046076452	True	"""The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase."" [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]"	89	98	5	17376	0.0510204081632653	0.0561797752808988	query_1	['GO:0048562', 'GO:0048705', 'GO:0048706']	['TGFB3', 'TGFBR2', 'TGFBR1', 'SMAD3', 'PDGFRA']
946	GO:BP	GO:0048145	regulation of fibroblast proliferation	0.0008042046076452	True	"""Any process that modulates the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]"	89	98	5	17376	0.0510204081632653	0.0561797752808988	query_1	['GO:0042127', 'GO:0048144']	['FN1', 'ITGB3', 'TGFB1', 'EGFR', 'PDGFRA']
947	REAC	REAC:R-HSA-8866376	Reelin signalling pathway	0.0008154303941924	True	Reelin signalling pathway	5	98	2	17376	0.0204081632653061	0.4	query_1	['REAC:R-HSA-422475']	['FYN', 'SH3KBP1']
948	GO:BP	GO:0050808	synapse organization	0.0008203742359787	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:pr]"	428	98	10	17376	0.1020408163265306	0.0233644859813084	query_1	['GO:0034330']	['ITGB1', 'ITGB3', 'CRK', 'WASL', 'ASAP1', 'FYN', 'ERBB2', 'PTK2B', 'CRKL', 'ZDHHC2']
949	GO:CC	GO:0035867	alphav-beta3 integrin-IGF-1-IGF1R complex	0.0008324480584806	True	"""A protein complex that consists of an alphav-beta3 integrin complex bound to insulin-like growth factor-1 (IGF-1) and type I insulin-like growth factor receptor (IGF1R). IGF1R is a heterotetramer that consists of two alpha-subunits and two beta-subunits."" [GOC:BHF, GOC:ebc, PMID:19578119]"	4	98	2	17376	0.0204081632653061	0.5	query_1	['GO:0098797']	['ITGAV', 'ITGB3']
950	GO:BP	GO:0051489	regulation of filopodium assembly	0.0008336233368774	True	"""Any process that modulates the frequency, rate or extent of the assembly of a filopodium, a thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone."" [GOC:ai, GOC:dph, GOC:tb]"	48	98	4	17376	0.0408163265306122	0.0833333333333333	query_1	['GO:0046847', 'GO:0120032']	['TGFB3', 'PIK3R1', 'WASL', 'TGFBR1']
951	GO:BP	GO:0048286	lung alveolus development	0.0008336233368774	True	"""The process whose specific outcome is the progression of the alveolus over time, from its formation to the mature structure. The alveolus is a sac for holding air in the lungs; formed by the terminal dilation of air passageways."" [GOC:mtg_lung, PMID:9751757]"	48	98	4	17376	0.0408163265306122	0.0833333333333333	query_1	['GO:0030324', 'GO:0048856']	['TGFB3', 'SFTPD', 'TGFB1', 'ITGB6']
952	GO:BP	GO:0060039	pericardium development	0.0008586815926417	True	"""The process whose specific outcome is the progression of the pericardium over time, from its formation to the mature structure. The pericardium is a double-walled sac that contains the heart and the roots of the aorta, vena cava and the pulmonary artery."" [GOC:dph, GOC:rph, PMID:15138308, PMID:16376438]"	19	98	3	17376	0.0306122448979591	0.1578947368421052	query_1	['GO:0007507', 'GO:0060429']	['SOS1', 'RPGRIP1L', 'SMAD3']
953	GO:CC	GO:0099503	secretory vesicle	0.0008595258983928	True	"""A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."" [GOC:dos]"	1029	98	16	17376	0.1632653061224489	0.0155490767735665	query_1	['GO:0031410']	['SFTPA1', 'ITGAV', 'FN1', 'ITGB3', 'TGFB3', 'HGF', 'ITGA2B', 'TGFB1', 'CD47', 'VCL', 'DMBT1', 'OSCAR', 'SIRPA', 'CKAP4', 'DOCK2', 'SFTPA2']
954	GO:BP	GO:0001501	skeletal system development	0.0008849473323075	True	"""The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton)."" [GOC:dph, GOC:jid, GOC:tb]"	519	98	11	17376	0.1122448979591836	0.0211946050096339	query_1	['GO:0048731']	['SRC', 'SMAD7', 'TGFB3', 'TGFBR2', 'TGFB1', 'TGFBR1', 'PKD1', 'ITGB6', 'SMAD3', 'PTPN11', 'PDGFRA']
955	GO:BP	GO:0009314	response to radiation	0.0008945838421183	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]"	433	98	10	17376	0.1020408163265306	0.023094688221709	query_1	['GO:0009628']	['ITGB1', 'ITGB3', 'PIK3R1', 'NPHP4', 'NPHP1', 'GRB2', 'TGFB1', 'EGFR', 'ITGB6', 'CBL']
956	GO:BP	GO:0060324	face development	0.0008956135575833	True	"""The biological process whose specific outcome is the progression of a face from an initial condition to its mature state. The face is the ventral division of the head."" [GOC:dph]"	49	98	4	17376	0.0408163265306122	0.0816326530612244	query_1	['GO:0048856', 'GO:0060322']	['TGFB3', 'TGFB1', 'PTPN11', 'PDGFRA']
957	GO:BP	GO:0030838	positive regulation of actin filament polymerization	0.0008956135575833	True	"""Any process that activates or increases the frequency, rate or extent of actin polymerization."" [GOC:mah]"	49	98	4	17376	0.0408163265306122	0.0816326530612244	query_1	['GO:0030041', 'GO:0030833', 'GO:0032273', 'GO:0051495', 'GO:1902905']	['NCK1', 'GRB2', 'PTK2B', 'NCK2']
958	GO:BP	GO:0046633	alpha-beta T cell proliferation	0.0008956135575833	True	"""The expansion of an alpha-beta T cell population by cell division."" [GOC:ai]"	49	98	4	17376	0.0408163265306122	0.0816326530612244	query_1	['GO:0042098', 'GO:0046631']	['TGFBR2', 'ZAP70', 'SYK', 'DOCK2']
959	GO:BP	GO:0042592	homeostatic process	0.000918240632404	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1586	98	21	17376	0.2142857142857142	0.0132408575031525	query_1	['GO:0008150']	['ITGB1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'SFTPD', 'NPHP4', 'PLCG2', 'SOS1', 'LAT', 'LYN', 'TGFB1', 'VCL', 'SYK', 'PLCG1', 'OSCAR', 'PTK2B', 'SH3GL2', 'ITGB6', 'LCK', 'PTPN11']
960	GO:BP	GO:0048568	embryonic organ development	0.0009215857940055	True	"""Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:jid]"	435	98	10	17376	0.1020408163265306	0.0229885057471264	query_1	['GO:0009790', 'GO:0048513']	['TGFB3', 'TGFBR2', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'TGFBR1', 'PKD1', 'SMAD3', 'PDGFRA']
