Ablepharon macrostomia syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1219	GO:MF	GO:0005496	steroid binding	0.0079611177860745	True	"""Binding to a steroid, any of a large group of substances that have in common a ring system based on 1,2-cyclopentanoperhydrophenanthrene."" [GOC:jl, ISBN:0198506732]"	102	100	6	20195	0.06	0.0588235294117647	query_1	['GO:0008289', 'GO:0097159']	['NR1H3', 'AR', 'ESR2', 'NR1H4', 'ESR1', 'VDR']
1220	HPA	HPA:0220052	gallbladder; glandular cells[≥Medium]	0.0079750648817623	True	gallbladder; glandular cells[≥Medium]	6606	77	63	11006	0.8181818181818182	0.0095367847411444	query_1	['HPA:0220051']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'WDR77', 'CREBBP', 'GBA1', 'COPRS', 'FOXO3', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'WWP1', 'HIPK1', 'PDE8A', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
1221	GO:BP	GO:0030308	negative regulation of cell growth	0.0080134818327325	True	"""Any process that stops, prevents, or reduces the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]"	192	100	8	21110	0.08	0.0416666666666666	query_1	['GO:0001558', 'GO:0016049', 'GO:0045926', 'GO:0048523']	['SMARCA4', 'SMARCA2', 'SMAD4', 'VGLL4', 'ESR2', 'WT1', 'TP53', 'SMAD3']
1222	TF	TF:M01104_1	Factor: MOVO-B; motif: GNGGGGG; match class: 1	0.0081740392108656	True	Factor: MOVO-B; motif: GNGGGGG; match class: 1	5813	100	51	20011	0.51	0.0087734388439704	query_1	['TF:M01104']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'TGIF1', 'CREBBP', 'NKX2-5', 'COPRS', 'NR1H2', 'NCOA2', 'FLI1', 'SMARCA4', 'ELK1', 'FOXG1', 'NR1H3', 'MAF', 'WWTR1', 'SUMO1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'TEAD3', 'KAT2B', 'FOXO1', 'HIPK1', 'RARA', 'TBL1XR1', 'TWIST2', 'PSAP', 'HDAC2', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2']
1223	REAC	REAC:R-HSA-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	0.0082597518035638	True	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	7	92	3	10790	0.0326086956521739	0.4285714285714285	query_1	['REAC:R-HSA-3215018']	['UBE2I', 'SUMO1', 'SUMO2']
1224	GO:BP	GO:1902806	regulation of cell cycle G1/S phase transition	0.0083276703370892	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]"	193	100	8	21110	0.08	0.0414507772020725	query_1	['GO:0044843', 'GO:1901987']	['AKT1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SENP2', 'TP53', 'SMARCC1']
1225	GO:BP	GO:0072091	regulation of stem cell proliferation	0.0083597849343207	True	"""Any process that modulates the frequency, rate or extent of stem cell proliferation. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:mtg_kidney_jan10]"	88	100	6	21110	0.06	0.0681818181818181	query_1	['GO:0042127', 'GO:0072089']	['SOX9', 'CTNNB1', 'RUNX2', 'TP53', 'YAP1', 'KDM1A']
1226	KEGG	KEGG:05224	Breast cancer	0.0084070184190044	True	Breast cancer	147	81	8	8161	0.0987654320987654	0.0544217687074829	query_1	['KEGG:00000']	['NCOA3', 'AKT1', 'CTNNB1', 'ESR2', 'SP1', 'ESR1', 'TP53', 'NCOA1']
1227	HP	HP:0011337	Abnormality of mouth size	0.0084342306397973	True	Abnormality of mouth size	406	55	16	4851	0.2909090909090909	0.0394088669950738	query_1	['HP:0000163']	['SOX9', 'AKT1', 'CREBBP', 'GBA1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'MED12', 'MAF', 'SMARCB1', 'SMAD4', 'EP300', 'MECP2', 'SMARCC2', 'SKI', 'TWIST2']
1228	WP	WP:WP732	Serotonin receptor 2 and ELK-SRF/GATA4 signaling	0.0084755260667892	True	Serotonin receptor 2 and ELK-SRF/GATA4 signaling	20	89	4	8133	0.0449438202247191	0.2	query_1	['WP:000000']	['ELK1', 'ELK4', 'GATA4', 'SRF']
1229	GO:BP	GO:0035357	peroxisome proliferator activated receptor signaling pathway	0.0085149986234747	True	"""The series of molecular signals initiated by binding of a ligand to any of the peroxisome proliferator activated receptors (alpha, beta or gamma) in the nuclear membrane, and ending with the initiation or termination of the transcription of target genes."" [GOC:BHF, PMID:18221086]"	23	100	4	21110	0.04	0.1739130434782608	query_1	['GO:0030522']	['RXRA', 'NCOA2', 'GPS2', 'NCOA1']
1230	TF	TF:M00716_1	Factor: ZF5; motif: GSGCGCGR; match class: 1	0.0085455604357723	True	Factor: ZF5; motif: GSGCGCGR; match class: 1	14451	100	91	20011	0.91	0.0062971420662929	query_1	['TF:M00716']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'NCOA3', 'RANBP2', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'COPRS', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'GPR37L1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'KAT2B', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR', 'RANGAP1']
1231	HP	HP:0000289	Broad philtrum	0.008556619373644	True	Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations above the mean, or alternatively, an apparently increased distance between the ridges of the philtrum.	42	55	6	4851	0.109090909090909	0.1428571428571428	query_1	['HP:0000288']	['SMARCA4', 'SMARCA2', 'MAF', 'SMARCB1', 'SMARCC2', 'TBL1XR1']
1232	HP	HP:0000032	Abnormality of male external genitalia	0.0085883615189603	True	An abnormality of male external genitalia.	1124	55	28	4851	0.509090909090909	0.0249110320284697	query_1	['HP:0000811', 'HP:0010461']	['SOX9', 'TGIF1', 'AKT1', 'CREBBP', 'NKX2-5', 'FLI1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'MED12', 'AR', 'MAF', 'SMARCB1', 'SMAD4', 'EP300', 'MECP2', 'SMARCC2', 'SKI', 'NR5A1', 'SRY', 'WT1', 'GATA4', 'FOXH1', 'TBL1XR1', 'TP53', 'TWIST2', 'KDM1A', 'ZFPM2']
1233	REAC	REAC:R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	0.0087101354929946	True	NOTCH4 Intracellular Domain Regulates Transcription	20	92	4	10790	0.0434782608695652	0.2	query_1	['REAC:R-HSA-9013694']	['CREBBP', 'EP300', 'KAT2B', 'SMAD3']
1234	GO:BP	GO:0071333	cellular response to glucose stimulus	0.0087529049153999	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucose stimulus."" [GOC:mah]"	137	100	7	21110	0.07	0.0510948905109489	query_1	['GO:0001678', 'GO:0009749', 'GO:0071331']	['SMARCA4', 'SIN3A', 'SMARCB1', 'SMAD4', 'NR1H4', 'GATA4', 'SRF']
1235	CORUM	CORUM:634	XFIM complex	0.0087669265214378	True	XFIM complex	5	63	3	3383	0.0476190476190476	0.6	query_1	['CORUM:0000000']	['HDAC1', 'HDAC2', 'KDM1A']
1236	CORUM	CORUM:3048	mSin3A complex	0.0087669265214378	True	mSin3A complex	5	63	3	3383	0.0476190476190476	0.6	query_1	['CORUM:0000000']	['HDAC1', 'SIN3A', 'HDAC2']
1237	HP	HP:0000130	Abnormality of the uterus	0.0087870259858321	True	An abnormality of the uterus.	228	55	12	4851	0.2181818181818181	0.0526315789473684	query_1	['HP:0000008']	['SOX9', 'AKT1', 'CTNNB1', 'FLI1', 'AR', 'EP300', 'NR5A1', 'SRY', 'ESR1', 'WT1', 'TP53', 'SMAD3']
1238	TF	TF:M01175	Factor: CKROX; motif: SCCCTCCCC	0.008796376176304	True	Factor: CKROX; motif: SCCCTCCCC	7468	100	60	20011	0.6	0.0080342795929298	query_1	['TF:M00000']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RANBP2', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'COPRS', 'FOXO3', 'SENP1', 'NCOA2', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'TBL1X', 'RXRB', 'NR1H3', 'TEAD2', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'ELK3', 'MECP2', 'TEAD4', 'SUMO2', 'HDAC3', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'KAT2B', 'GATA4', 'FOXO1', 'PDE8A', 'FOXH1', 'TBL1XR1', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'HIPK2', 'RANGAP1']
1239	KEGG	KEGG:05226	Gastric cancer	0.0088167098622811	True	Gastric cancer	148	81	8	8161	0.0987654320987654	0.054054054054054	query_1	['KEGG:00000']	['RXRA', 'AKT1', 'CTNNB1', 'RXRB', 'SMAD2', 'SMAD4', 'TP53', 'SMAD3']
1240	REAC	REAC:R-HSA-6807070	PTEN Regulation	0.0088824701772737	True	PTEN Regulation	138	92	8	10790	0.0869565217391304	0.0579710144927536	query_1	['REAC:R-HSA-1257604']	['REST', 'AKT1', 'HDAC1', 'HDAC3', 'RCOR1', 'TP53', 'HDAC2', 'KDM1A']
1241	GO:BP	GO:1903706	regulation of hemopoiesis	0.0088907359738859	True	"""Any process that modulates the frequency, rate or extent of hemopoiesis."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:20080761]"	412	100	11	21110	0.11	0.0266990291262135	query_1	['GO:0002682', 'GO:0030097', 'GO:0060284', 'GO:2000026']	['CBFB', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'RCOR1', 'RARA', 'SMARCC1']
1242	HPA	HPA:0090932	cerebellum; GLUC cells - nucleus[≥Medium]	0.0089534924103668	True	cerebellum; GLUC cells - nucleus[≥Medium]	90	77	6	11006	0.0779220779220779	0.0666666666666666	query_1	['HPA:0090931']	['SOX9', 'SUMO1', 'EP300', 'MECP2', 'RCOR1', 'TBL1XR1']
1243	HPA	HPA:0510000	soft tissue 2	0.0090297436975403	True	soft tissue 2	5198	77	54	11006	0.7012987012987013	0.0103886110042323	query_1	['HPA:0000000']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'CREBBP', 'GBA1', 'COPRS', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'SIN3A', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'ASAH1', 'ELK3', 'EP300', 'MECP2', 'SUMO2', 'GPS2', 'HDAC3', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'WT1', 'WWP1', 'FOXO1', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
1244	HPA	HPA:0160053	endometrium 1; glandular cells[High]	0.0091628976072715	True	endometrium 1; glandular cells[High]	1469	77	24	11006	0.3116883116883117	0.0163376446562287	query_1	['HPA:0160052']	['REST', 'SOX9', 'RXRA', 'AKT1', 'CREBBP', 'GBA1', 'FOXO3', 'CTNNB1', 'SMARCA4', 'RXRB', 'MED12', 'AAGAB', 'SMARCB1', 'SMAD9', 'MECP2', 'SUMO2', 'SMARCC2', 'RCOR1', 'ESR1', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'SRF']
1245	GO:BP	GO:1901990	regulation of mitotic cell cycle phase transition	0.0091735966610861	True	"""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	334	100	10	21110	0.1	0.029940119760479	query_1	['GO:0007346', 'GO:0044772', 'GO:1901987']	['AKT1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'MECP2', 'SMARCC2', 'SENP2', 'TP53', 'SMARCC1']
1246	TF	TF:M02090_1	Factor: E2F-4; motif: GCGGGAAANA; match class: 1	0.0092442212377568	True	Factor: E2F-4; motif: GCGGGAAANA; match class: 1	6549	100	55	20011	0.55	0.0083982287372117	query_1	['TF:M02090']	['REST', 'UBE2I', 'SOX9', 'TGIF1', 'AKT1', 'COPRS', 'FOXO3', 'SENP1', 'NCOA2', 'FLI1', 'SMARCA2', 'ELK1', 'FOXG1', 'TBX5', 'SIN3A', 'TEAD2', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'ASAH1', 'SMAD4', 'VGLL4', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'ESR2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'TEAD3', 'KAT2B', 'WT1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'RARA', 'SMAD3', 'PSAP', 'HDAC2', 'MYOCD', 'YAP1', 'ZFPM2', 'SRF', 'SKIL', 'HIPK2', 'VDR', 'RANGAP1']
1247	HPA	HPA:0381213	placenta; syncytiotrophoblasts - cell body[High]	0.0092667862030148	True	placenta; syncytiotrophoblasts - cell body[High]	361	77	11	11006	0.1428571428571428	0.0304709141274238	query_1	['HPA:0381212']	['RXRA', 'RANBP2', 'GBA1', 'FOXO3', 'ELK1', 'SIN3A', 'MECP2', 'KDM1A', 'SRF', 'HIPK2', 'RANGAP1']
1248	GO:CC	GO:0140288	GBAF complex	0.0093091034957774	True	"""A SWI/SNF subcomplex that incorporates two mutually exclusive paralogs, GLTSCR1 (glioma tumor suppressor candidate region gene 1) or GLTSCR1L (GLTSCR1-like), BRD9 (bromodomain-containing 9) and the BAF subunits BAF155, BAF60, SS18, BAF53a, and BRG1/BRM."" [PMID:29374058]"	14	100	3	22122	0.03	0.2142857142857142	query_1	['GO:0070603']	['SMARCA4', 'SMARCA2', 'SMARCC1']
1249	GO:BP	GO:0009749	response to glucose	0.0093336978409421	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucose stimulus."" [GOC:jl]"	196	100	8	21110	0.08	0.0408163265306122	query_1	['GO:0009746']	['SMARCA4', 'SIN3A', 'SMAD2', 'SMARCB1', 'SMAD4', 'NR1H4', 'GATA4', 'SRF']
1250	HPA	HPA:0320102	nasopharynx; respiratory epithelial cells[≥Medium]	0.0094621294952525	True	nasopharynx; respiratory epithelial cells[≥Medium]	4767	77	51	11006	0.6623376623376623	0.0106985525487728	query_1	['HPA:0320101']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'WDR77', 'CREBBP', 'GBA1', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'FOXO1', 'HIPK1', 'TBL1XR1', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'ZFPM2', 'SRF', 'HIPK2', 'RANGAP1']
1251	GO:BP	GO:0033273	response to vitamin	0.0095314534929794	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a vitamin stimulus."" [GOC:sl]"	90	100	6	21110	0.06	0.0666666666666666	query_1	['GO:0007584']	['RXRA', 'RXRB', 'RUNX2', 'GATA4', 'RARA', 'VDR']
1252	GO:BP	GO:0071331	cellular response to hexose stimulus	0.0096350737537414	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hexose stimulus."" [GOC:mah]"	139	100	7	21110	0.07	0.0503597122302158	query_1	['GO:0009746', 'GO:0071326']	['SMARCA4', 'SIN3A', 'SMARCB1', 'SMAD4', 'NR1H4', 'GATA4', 'SRF']
1253	HP	HP:0012810	Wide nasal base	0.0096694173139933	True	Increased distance between the attachments of the alae nasi to the face.	25	55	5	4851	0.0909090909090909	0.2	query_1	['HP:0012808']	['SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'SMARCC2']
1254	GO:BP	GO:0009894	regulation of catabolic process	0.0097712254868203	True	"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]"	1003	100	17	21110	0.17	0.0169491525423728	query_1	['GO:0009056', 'GO:0019222']	['SOX9', 'AKT1', 'GBA1', 'FOXO3', 'SUMO1', 'SMAD4', 'VGLL4', 'EP300', 'SUMO2', 'NCOR1', 'GATA4', 'FOXO1', 'TP53', 'SMAD3', 'PSAP', 'SMARCC1', 'HIPK2']
1255	HP	HP:0000786	Primary amenorrhea	0.0099792432664385	True	Primary amenorrhea	122	55	9	4851	0.1636363636363636	0.0737704918032786	query_1	['HP:0000141']	['SOX9', 'AR', 'ESR2', 'NR5A1', 'SRY', 'ESR1', 'WT1', 'GATA4', 'ZFPM2']
1256	TF	TF:M00931	Factor: Sp1; motif: GGGGCGGGGC	0.0100053956488519	True	Factor: Sp1; motif: GGGGCGGGGC	10555	100	75	20011	0.75	0.0071056371387967	query_1	['TF:M00000']	['REST', 'UBE2I', 'SOX9', 'RXRA', 'RANBP2', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'COPRS', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'TEAD2', 'MED12', 'AR', 'MAF', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'KAT2B', 'SRY', 'ESR1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'TBL1XR1', 'TWIST2', 'PSAP', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR', 'RANGAP1']
1257	HPA	HPA:0130051	colon; glandular cells[≥Low]	0.0100572427161189	True	colon; glandular cells[≥Low]	6988	77	65	11006	0.8441558441558441	0.0093016599885518	query_1	['HPA:0130000']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'WDR77', 'CREBBP', 'GBA1', 'COPRS', 'FOXO3', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'EP300', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'WWP1', 'FOXO1', 'HIPK1', 'PDE8A', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
1258	CORUM	CORUM:3064	RNA polymerase II complex, chromatin structure modifying	0.0100720975807545	True	RNA polymerase II complex, chromatin structure modifying	13	63	4	3383	0.0634920634920634	0.3076923076923077	query_1	['CORUM:0000000']	['SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
1259	GO:BP	GO:1900180	regulation of protein localization to nucleus	0.0101031916496059	True	"""Any process that modulates the frequency, rate or extent of protein localization to nucleus."" [GOC:TermGenie]"	140	100	7	21110	0.07	0.05	query_1	['GO:0032880', 'GO:0034504']	['AKT1', 'SIN3A', 'WWTR1', 'SUMO1', 'HDAC3', 'SMAD3', 'YAP1']
1260	HP	HP:0001844	Abnormality of the hallux	0.0101283557514564	True	This term applies for all abnormalities of the big toe, also called hallux.	192	55	11	4851	0.2	0.0572916666666666	query_1	['HP:0001780']	['SOX9', 'AKT1', 'CREBBP', 'NKX2-5', 'GBA1', 'FLI1', 'SMARCA2', 'MED12', 'EP300', 'SRY', 'GATA4']
1261	GO:BP	GO:0003197	endocardial cushion development	0.0102122434555144	True	"""The progression of a cardiac cushion over time, from its initial formation to the mature structure. The endocardial cushion is a specialized region of mesenchymal cells that will give rise to the heart septa and valves."" [GOC:mtg_heart]"	52	100	5	21110	0.05	0.0961538461538461	query_1	['GO:0007507', 'GO:0060485']	['SOX9', 'TBX5', 'SMAD2', 'SMAD4', 'GATA4']
1262	HP	HP:0000765	Abnormal thorax morphology	0.0103055857682843	True	Any abnormality of the thorax (the region of the body formed by the sternum, the thoracic vertebrae and the ribs).	867	55	24	4851	0.4363636363636363	0.0276816608996539	query_1	['HP:0009121']	['REST', 'SOX9', 'TGIF1', 'AKT1', 'CREBBP', 'GBA1', 'FLI1', 'TBX5', 'MED12', 'AR', 'MAF', 'SMAD2', 'ASAH1', 'SMAD4', 'EP300', 'MECP2', 'RUNX2', 'SKI', 'SRY', 'GATA4', 'FOXH1', 'SMAD3', 'ZFPM2', 'VDR']
1263	HP	HP:0000079	Abnormality of the urinary system	0.010494383699517	True	An abnormality of the urinary system.	1915	55	38	4851	0.6909090909090909	0.0198433420365535	query_1	['HP:0000119']	['REST', 'NRIP1', 'SOX9', 'TGIF1', 'AKT1', 'CREBBP', 'GBA1', 'CTNNB1', 'FLI1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'MED12', 'AR', 'MAF', 'AAGAB', 'SMARCB1', 'SMAD4', 'EP300', 'MECP2', 'SMARCC2', 'SKI', 'NR5A1', 'SRY', 'WT1', 'GATA4', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'VDR']
1264	HP	HP:0001824	Weight loss	0.0105226020450178	True	Reduction of total body weight.	318	55	14	4851	0.2545454545454545	0.0440251572327044	query_1	['HP:0004325']	['REST', 'AKT1', 'GBA1', 'CTNNB1', 'FLI1', 'SMAD4', 'RUNX1', 'MECP2', 'WT1', 'GATA4', 'RARA', 'TBL1XR1', 'TP53', 'PSAP']
1265	GO:BP	GO:0071326	cellular response to monosaccharide stimulus	0.0105901010310517	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a monosaccharide stimulus."" [GOC:mah]"	141	100	7	21110	0.07	0.0496453900709219	query_1	['GO:0034284', 'GO:0071322']	['SMARCA4', 'SIN3A', 'SMARCB1', 'SMAD4', 'NR1H4', 'GATA4', 'SRF']
1266	REAC	REAC:R-HSA-3769402	Deactivation of the beta-catenin transactivating complex	0.0107992669109557	True	Deactivation of the beta-catenin transactivating complex	42	92	5	10790	0.0543478260869565	0.119047619047619	query_1	['REAC:R-HSA-201681']	['SOX9', 'AKT1', 'CTNNB1', 'HDAC1', 'SRY']
1267	MIRNA	MIRNA:hsa-miR-3140-5p	hsa-miR-3140-5p	0.0108051075027524	True	hsa-miR-3140-5p	51	95	5	14850	0.0526315789473684	0.0980392156862745	query_1	['MIRNA:000000']	['RANBP2', 'TEAD1', 'SP1', 'SMARCC1', 'SKIL']
1268	HPA	HPA:0381201	placenta; hofbauer cells[≥Low]	0.010830145440799	True	placenta; hofbauer cells[≥Low]	436	77	12	11006	0.1558441558441558	0.0275229357798165	query_1	['HPA:0380000']	['RXRA', 'RANBP2', 'CREBBP', 'GBA1', 'FOXO3', 'SMARCA2', 'ELK1', 'SIN3A', 'MECP2', 'KDM1A', 'SRF', 'RANGAP1']
1269	GO:BP	GO:0045666	positive regulation of neuron differentiation	0.0108332848560367	True	"""Any process that activates or increases the frequency, rate or extent of neuron differentiation."" [GOC:go_curators]"	92	100	6	21110	0.06	0.0652173913043478	query_1	['GO:0030182', 'GO:0045597', 'GO:0045664']	['REST', 'NKX2-5', 'FOXG1', 'SIN3A', 'RARA', 'NCOA1']
