Ataxia-telangiectasia	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
464	GO:CC	GO:0000785	chromatin	0.0001196796498168	True	"""The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."" [GOC:elh, PMID:20404130]"	1278	100	20	17376	0.2	0.0156494522691705	query_1	['GO:0005694', 'GO:0110165']	['FANCI', 'RAD51AP1', 'H2AX', 'RPA2', 'POLE4', 'POLA1', 'PCNA', 'AR', 'PARP1', 'APTX', 'FANCD2', 'POLE3', 'RAD51', 'CHRAC1', 'XRCC1', 'KAT5', 'SLX4', 'TP53', 'KDM1A', 'MSH6']
465	GO:BP	GO:0061820	telomeric D-loop disassembly	0.000132098434355	True	"""A telomere loop disassembly process that results in the disassembly of telomeric D-loops. A telomeric D-loop is a three-stranded DNA displacement loop that forms at the site where the telomeric 3' single-stranded DNA overhang (formed of the repeat sequence TTAGGG in mammals) is tucked back inside the double-stranded component of telomeric DNA molecule, thus forming a t-loop or telomeric-loop and protecting the chromosome terminus."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:10338204, PMID:24012755]"	9	100	3	17376	0.03	0.3333333333333333	query_1	['GO:0090657']	['BLM', 'WRN', 'SLX4']
466	GO:BP	GO:0032504	multicellular organism reproduction	0.0001357222350421	True	"""The biological process in which new individuals are produced by one or two multicellular organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."" [GOC:isa_complete, GOC:jid]"	909	100	17	17376	0.17	0.0187018701870187	query_1	['GO:0000003', 'GO:0032501']	['BRIP1', 'AKT1', 'MSH2', 'WDR48', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'AR', 'PARP1', 'ERCC1', 'FANCD2', 'ATM', 'KAT5', 'RAD51C', 'RNF8', 'MSH6']
467	REAC	REAC:R-HSA-3371511	HSF1 activation	0.000136135083221	True	HSF1 activation	12	100	3	17376	0.03	0.25	query_1	['REAC:R-HSA-3371556']	['RPA2', 'RPA3', 'RPA1']
468	GO:BP	GO:0044843	cell cycle G1/S phase transition	0.0001368464454146	True	"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]"	254	100	9	17376	0.09	0.0354330708661417	query_1	['GO:0044770']	['RBBP8', 'AKT1', 'RPA2', 'ATM', 'APEX1', 'CDK2', 'PRKDC', 'TP53', 'POLE']
469	GO:BP	GO:0045830	positive regulation of isotype switching	0.0001412273821944	True	"""Any process that activates or increases the frequency, rate or extent of isotype switching."" [GOC:go_curators]"	27	100	4	17376	0.04	0.1481481481481481	query_1	['GO:0002639', 'GO:0002891', 'GO:0045190', 'GO:0045191', 'GO:0045911', 'GO:0050871', 'GO:0051094']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
470	REAC	REAC:R-HSA-3371453	Regulation of HSF1-mediated heat shock response	0.0001431262198339	True	Regulation of HSF1-mediated heat shock response	67	100	5	17376	0.05	0.0746268656716417	query_1	['REAC:R-HSA-3371556']	['RPA2', 'ATR', 'RPA3', 'RPA1', 'ATM']
471	GO:BP	GO:0048583	regulation of response to stimulus	0.0001709635818915	True	"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	3729	100	40	17376	0.4	0.0107267363904532	query_1	['GO:0050789', 'GO:0050896']	['RBBP8', 'AKT1', 'MSH2', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'XRCC6', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'PHLPP1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'ATRIP', 'FANCD2', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'XRCC3', 'RMI2', 'TP53', 'PNKP', 'KDM1A', 'RNF8']
472	REAC	REAC:R-HSA-9710421	Defective pyroptosis	0.0001754390547366	True	Defective pyroptosis	70	100	5	17376	0.05	0.0714285714285714	query_1	['REAC:R-HSA-9645723']	['H2AX', 'POLA1', 'PRIM1', 'PRIM2', 'POLA2']
473	REAC	REAC:R-HSA-6804757	Regulation of TP53 Degradation	0.0001788347005812	True	Regulation of TP53 Degradation	36	100	4	17376	0.04	0.1111111111111111	query_1	['REAC:R-HSA-6806003']	['AKT1', 'ATM', 'CDK2', 'TP53']
474	GO:BP	GO:0031848	protection from non-homologous end joining at telomere	0.0001833553551356	True	"""A process that prevents non-homologous end joining at telomere, thereby ensuring that telomeres do not fuse."" [GOC:mah]"	10	100	3	17376	0.03	0.3	query_1	['GO:0016233', 'GO:0043247']	['ERCC1', 'ERCC4', 'XRCC1']
475	GO:BP	GO:0051351	positive regulation of ligase activity	0.0001833553551356	True	"""Any process that activates or increases the frequency, rate or extent of ligase activity, the catalysis of the ligation of two substances with concomitant breaking of a diphosphate linkage, usually in a nucleoside triphosphate."" [GOC:ai]"	10	100	3	17376	0.03	0.3	query_1	['GO:0043085', 'GO:0051340']	['XRCC4', 'NHEJ1', 'XRCC1']
476	GO:BP	GO:0048304	positive regulation of isotype switching to IgG isotypes	0.0001833553551356	True	"""Any process that activates or increases the frequency, rate or extent of isotype switching to IgG isotypes."" [GOC:jid]"	10	100	3	17376	0.03	0.3	query_1	['GO:0045830', 'GO:0048291', 'GO:0048302']	['MSH2', 'PAXIP1', 'MLH1']
477	GO:BP	GO:0000002	mitochondrial genome maintenance	0.0001861694305131	True	"""The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome."" [GOC:ai, GOC:vw]"	29	100	4	17376	0.04	0.1379310344827586	query_1	['GO:0007005']	['LIG3', 'PARP1', 'TOP3A', 'TP53']
478	REAC	REAC:R-HSA-6806003	Regulation of TP53 Expression and Degradation	0.0001979655994162	True	Regulation of TP53 Expression and Degradation	37	100	4	17376	0.04	0.1081081081081081	query_1	['REAC:R-HSA-5633007']	['AKT1', 'ATM', 'CDK2', 'TP53']
479	GO:BP	GO:0007276	gamete generation	0.0002215146373006	True	"""The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell."" [GOC:ems, GOC:mtg_sensu]"	755	100	15	17376	0.15	0.0198675496688741	query_1	['GO:0019953', 'GO:0048609']	['BRIP1', 'AKT1', 'MSH2', 'WDR48', 'MLH1', 'H2AX', 'BRCA2', 'AR', 'ERCC1', 'FANCD2', 'ATM', 'KAT5', 'RAD51C', 'RNF8', 'MSH6']
480	GO:BP	GO:0002712	regulation of B cell mediated immunity	0.0002389746975154	True	"""Any process that modulates the frequency, rate, or extent of B cell mediated immunity."" [GOC:add]"	62	100	5	17376	0.05	0.0806451612903225	query_1	['GO:0002706', 'GO:0002822', 'GO:0019724']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
481	GO:BP	GO:0002889	regulation of immunoglobulin mediated immune response	0.0002389746975154	True	"""Any process that modulates the frequency, rate, or extent of an immunoglobulin mediated immune response."" [GOC:add]"	62	100	5	17376	0.05	0.0806451612903225	query_1	['GO:0002712', 'GO:0016064']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
482	GO:BP	GO:0010390	histone monoubiquitination	0.0002411291483547	True	"""The modification of histones by addition of a single ubiquitin group."" [PMID:17329563]"	31	100	4	17376	0.04	0.1290322580645161	query_1	['GO:0006513', 'GO:0016574']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1']
483	GO:BP	GO:1904882	regulation of telomerase catalytic core complex assembly	0.0002635678868859	True	"""Any process that modulates the frequency, rate or extent of telomerase catalytic core complex assembly."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:rph, GOC:TermGenie, PMID:26586433]"	2	100	2	17376	0.02	1.0	query_1	['GO:0043254', 'GO:1904868']	['ATR', 'ATM']
484	GO:BP	GO:1901255	nucleotide-excision repair involved in interstrand cross-link repair	0.0002635678868859	True	"""Any nucleotide-excision repair that is involved in interstrand cross-link repair."" [GOC:TermGenie, PMID:22064477]"	2	100	2	17376	0.02	1.0	query_1	['GO:0006289', 'GO:0036297']	['XPA', 'ERCC4']
485	GO:BP	GO:0000710	meiotic mismatch repair	0.0002635678868859	True	"""A system for the identification and correction of base-base mismatches, small insertion-deletion loops, and regions of heterology that are present in duplex DNA formed with strands from two recombining molecules. Correction of the mismatch can result in non-Mendelian segregation of alleles following meiosis."" [GOC:elh, PMID:10357855]"	2	100	2	17376	0.02	1.0	query_1	['GO:0006298', 'GO:0061982']	['ERCC1', 'MSH6']
486	GO:BP	GO:0044778	meiotic DNA integrity checkpoint signaling	0.0002635678868859	True	"""A signal transduction process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA during meiosis. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and ends with signal transduction."" [GOC:mtg_cell_cycle]"	2	100	2	17376	0.02	1.0	query_1	['GO:0031570', 'GO:0033313']	['HUS1', 'HUS1B']
487	GO:BP	GO:1990505	mitotic DNA replication maintenance of fidelity	0.0002635678868859	True	"""Any maintenance of fidelity that is involved in mitotic cell cycle DNA replication."" [PMID:19185548]"	2	100	2	17376	0.02	1.0	query_1	['GO:1902298', 'GO:1902969', 'GO:1903047']	['BRCA2', 'RAD51']
488	GO:BP	GO:1904884	positive regulation of telomerase catalytic core complex assembly	0.0002635678868859	True	"""Any process that activates or increases the frequency, rate or extent of telomerase catalytic core complex assembly."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:rph, GOC:TermGenie, PMID:26586433]"	2	100	2	17376	0.02	1.0	query_1	['GO:0031334', 'GO:1904868', 'GO:1904882']	['ATR', 'ATM']
489	GO:BP	GO:0043247	telomere maintenance in response to DNA damage	0.0002635678868859	True	"""Any process that occur in response to the presence of critically short or damaged telomeres."" [GOC:BHF, GOC:BHF_telomere, GOC:jbu, PMID:15279784]"	32	100	4	17376	0.04	0.125	query_1	['GO:0000723', 'GO:0006974']	['ERCC1', 'ERCC4', 'APEX1', 'XRCC1']
490	GO:BP	GO:1904868	telomerase catalytic core complex assembly	0.0002635678868859	True	"""The aggregation, arrangement and bonding together of a set of components to form a telomerase catalytic core complex."" [GO_REF:0000079, GOC:BHF, GOC:BHF_telomere, GOC:rph, GOC:TermGenie, PMID:26586433]"	2	100	2	17376	0.02	1.0	query_1	['GO:1905323']	['ATR', 'ATM']
491	GO:BP	GO:1902298	cell cycle DNA replication maintenance of fidelity	0.0002635678868859	True	"""Any maintenance of fidelity that is involved in cell cycle DNA replication."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	2	100	2	17376	0.02	1.0	query_1	['GO:0022402', 'GO:0044786', 'GO:0045005']	['BRCA2', 'RAD51']
492	GO:BP	GO:1990426	mitotic recombination-dependent replication fork processing	0.0002635678868859	True	"""Replication fork processing that includes recombination between DNA near the arrested fork and homologous sequences. Proteins involved in homologous recombination are required for replication restart."" [GOC:mah, PMID:23093942]"	2	100	2	17376	0.02	1.0	query_1	['GO:0031297', 'GO:1990505']	['BRCA2', 'RAD51']
493	GO:BP	GO:1903518	positive regulation of single strand break repair	0.0002635678868859	True	"""Any process that activates or increases the frequency, rate or extent of single strand break repair."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:17395247]"	2	100	2	17376	0.02	1.0	query_1	['GO:0000012', 'GO:0045739', 'GO:1903516']	['PARP1', 'XRCC1']
494	GO:BP	GO:0045004	DNA replication proofreading	0.0002635678868859	True	"""Correction of replication errors by DNA polymerase using a 3'-5' exonuclease activity."" [GOC:ai]"	2	100	2	17376	0.02	1.0	query_1	['GO:0006281', 'GO:0045005']	['POLD1', 'POLE']
495	GO:BP	GO:0050794	regulation of cellular process	0.0002669574959191	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	9791	100	76	17376	0.76	0.0077622306199571	query_1	['GO:0009987', 'GO:0050789']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'BRCA2', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'APEX1', 'PRIM2', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'RNF8', 'PALB2', 'MSH6']
496	GO:BP	GO:0045143	homologous chromosome segregation	0.0002862051048882	True	"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the first division of the meiotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner; this pairing off, referred to as synapsis, permits genetic recombination. One homolog (both sister chromatids) of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, ISBN:0815316194]"	65	100	5	17376	0.05	0.0769230769230769	query_1	['GO:0007127', 'GO:0045132']	['BRIP1', 'MLH1', 'FANCD2', 'ATM', 'MRE11']
497	GO:BP	GO:0048731	system development	0.0003044965068786	True	"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]"	3689	100	39	17376	0.39	0.0105719707237733	query_1	['GO:0007275', 'GO:0048856']	['BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'H2AX', 'MSH3', 'BRCA2', 'PHLPP1', 'RAD1', 'PCNA', 'AR', 'PMS2', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'WRN', 'TP53', 'PHLPP2', 'KDM1A', 'RNF8', 'MSH6']
498	GO:BP	GO:0001756	somitogenesis	0.0003062653397747	True	"""The formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo."" [ISBN:0721662544]"	66	100	5	17376	0.05	0.0757575757575757	query_1	['GO:0009952', 'GO:0035282', 'GO:0043009', 'GO:0048646', 'GO:0061053']	['ATM', 'PRKDC', 'XRCC2', 'TP53', 'PALB2']
499	GO:BP	GO:0051340	regulation of ligase activity	0.0003096901516964	True	"""Any process that modulates the frequency, rate or extent of ligase activity, the catalysis of the ligation of two substances with concomitant breaking of a diphosphate linkage, usually in a nucleoside triphosphate. Ligase is the systematic name for any enzyme of EC class 6."" [GOC:ai]"	12	100	3	17376	0.03	0.25	query_1	['GO:0050790']	['XRCC4', 'NHEJ1', 'XRCC1']
500	GO:CC	GO:0016363	nuclear matrix	0.0003203393510707	True	"""The dense fibrillar network lying on the inner side of the nuclear membrane."" [ISBN:0582227089]"	127	100	6	17376	0.06	0.0472440944881889	query_1	['GO:0034399', 'GO:0110165']	['HLTF', 'PAXIP1', 'OGG1', 'POLA1', 'BLM', 'TP53']
501	GO:BP	GO:0032212	positive regulation of telomere maintenance via telomerase	0.0003304246860996	True	"""Any process that activates or increases the frequency, rate or extent of the addition of telomeric repeats by telomerase."" [GOC:mah]"	34	100	4	17376	0.04	0.1176470588235294	query_1	['GO:0007004', 'GO:0032210', 'GO:1904358', 'GO:2000573']	['ATR', 'XRCC5', 'ATM', 'PNKP']
502	GO:CC	GO:0043564	Ku70:Ku80 complex	0.0003362095784215	True	"""Heterodimeric protein complex composed of a 70 kDa and a 80 kDa subunit, binds DNA through a channel formed by the heterodimer. Functions in DNA double stranded break repair, chromosome maintenance, transcription regulation, V(D)J recombination, and activation of DNA-PK."" [PMID:12518983]"	3	100	2	17376	0.02	0.6666666666666666	query_1	['GO:0140513']	['XRCC6', 'XRCC5']
503	GO:BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle	0.0003398904534669	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	163	100	7	17376	0.07	0.0429447852760736	query_1	['GO:0000082', 'GO:1901990', 'GO:1902806']	['AKT1', 'RPA2', 'ATM', 'APEX1', 'CDK2', 'PRKDC', 'TP53']
504	GO:BP	GO:1901576	organic substance biosynthetic process	0.0003409084815028	True	"""The chemical reactions and pathways resulting in the formation of an organic substance, any molecular entity containing carbon."" [GOC:pr, GOC:TermGenie]"	5345	100	50	17376	0.5	0.0093545369504209	query_1	['GO:0009058', 'GO:0071704']	['RBBP8', 'BRIP1', 'AKT1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'PNKP', 'KDM1A', 'POLE', 'POLD2', 'RNF8']
505	GO:BP	GO:0060218	hematopoietic stem cell differentiation	0.0003678692278422	True	"""The process in which a relatively unspecialized cell acquires specialized features of a hematopoietic stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:bf, GOC:BHF, GOC:dph, GOC:rl, PMID:15378083]"	35	100	4	17376	0.04	0.1142857142857142	query_1	['GO:0002244', 'GO:0048863']	['XRCC5', 'PRKDC', 'KAT5', 'TP53']
506	GO:BP	GO:0065007	biological regulation	0.0003691433328999	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10859	100	81	17376	0.81	0.0074592503913804	query_1	['GO:0008150']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'APEX1', 'PRIM2', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'RNF8', 'PALB2', 'MSH6']
507	GO:BP	GO:0070914	UV-damage excision repair	0.0003920618737773	True	"""A DNA repair process that is initiated by an endonuclease that introduces a single-strand incision immediately 5' of a UV-induced damage site. UV-damage excision repair acts on both cyclobutane pyrimidine dimers (CPDs) and pyrimidine-pyrimidone 6-4 photoproducts (6-4PPs)."" [GOC:mah, PMID:9619100]"	13	100	3	17376	0.03	0.2307692307692307	query_1	['GO:0006281', 'GO:0034644']	['XPA', 'POLD3', 'ERCC1']
508	GO:BP	GO:0010225	response to UV-C	0.0003920618737773	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."" [GOC:tb]"	13	100	3	17376	0.03	0.2307692307692307	query_1	['GO:0009411']	['BRCA2', 'WRN', 'TP53']
509	REAC	REAC:R-HSA-2262752	Cellular responses to stress	0.0004165617048171	True	Cellular responses to stress	768	100	14	17376	0.14	0.0182291666666666	query_1	['REAC:R-HSA-8953897']	['AKT1', 'NBN', 'RAD50', 'H2AX', 'RPA2', 'ATR', 'RPA3', 'AR', 'RPA1', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'TP53']
510	GO:BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	0.0004541558299263	True	"""Any process that activates or increases the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	37	100	4	17376	0.04	0.1081081081081081	query_1	['GO:0010833', 'GO:0032206', 'GO:1904356']	['ATR', 'XRCC5', 'ATM', 'PNKP']
511	GO:BP	GO:0009058	biosynthetic process	0.0004788686042912	True	"""The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]"	5412	100	50	17376	0.5	0.0092387287509238	query_1	['GO:0008152']	['RBBP8', 'BRIP1', 'AKT1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'PNKP', 'KDM1A', 'POLE', 'POLD2', 'RNF8']
512	REAC	REAC:R-HSA-3371556	Cellular response to heat stress	0.0004795767745223	True	Cellular response to heat stress	87	100	5	17376	0.05	0.057471264367816	query_1	['REAC:R-HSA-2262752']	['RPA2', 'ATR', 'RPA3', 'RPA1', 'ATM']
513	GO:BP	GO:0048302	regulation of isotype switching to IgG isotypes	0.0004922447709659	True	"""Any process that modulates the frequency, rate or extent of isotype switching to IgG isotypes."" [GOC:jid]"	14	100	3	17376	0.03	0.2142857142857142	query_1	['GO:0045191', 'GO:0048291']	['MSH2', 'PAXIP1', 'MLH1']
514	GO:BP	GO:0006915	apoptotic process	0.0004929042980321	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1798	100	24	17376	0.24	0.0133481646273637	query_1	['GO:0012501']	['AKT1', 'NBN', 'MSH2', 'LIG4', 'MLH1', 'OGG1', 'BRCA2', 'PHLPP1', 'AR', 'PARP1', 'ATM', 'RAD9A', 'MRE11', 'APEX1', 'BRCA1', 'PRKDC', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'TP53', 'KDM1A', 'PALB2', 'MSH6']
515	REAC	REAC:R-HSA-8953897	Cellular responses to stimuli	0.0004949552510683	True	Cellular responses to stimuli	782	100	14	17376	0.14	0.0179028132992327	query_1	['REAC:0000000']	['AKT1', 'NBN', 'RAD50', 'H2AX', 'RPA2', 'ATR', 'RPA3', 'AR', 'RPA1', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'TP53']
516	GO:BP	GO:0002637	regulation of immunoglobulin production	0.0005092676724892	True	"""Any process that modulates the frequency, rate, or extent of immunoglobulin production."" [GOC:add]"	74	100	5	17376	0.05	0.0675675675675675	query_1	['GO:0002377', 'GO:0002700']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
517	GO:BP	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	0.0005092676724892	True	"""Any signalling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	74	100	5	17376	0.05	0.0675675675675675	query_1	['GO:0000082', 'GO:1901991', 'GO:1902807', 'GO:2000045']	['RPA2', 'ATM', 'CDK2', 'PRKDC', 'TP53']
518	GO:CC	GO:0000152	nuclear ubiquitin ligase complex	0.0005154297148481	True	"""A ubiquitin ligase complex found in the nucleus."" [GOC:mah]"	47	100	4	17376	0.04	0.0851063829787234	query_1	['GO:0000151', 'GO:0140513']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1']
519	GO:BP	GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	0.0005502473446499	True	"""Any process that modulates the frequency, rate or extent of the cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage."" [GOC:jl]"	39	100	4	17376	0.04	0.1025641025641025	query_1	['GO:0030330', 'GO:0080135', 'GO:1901796']	['ATR', 'ATM', 'TP53', 'KDM1A']
520	GO:BP	GO:0048291	isotype switching to IgG isotypes	0.0006033093297155	True	"""The switching of activated B cells from IgM biosynthesis to biosynthesis of an IgG isotype, accomplished through a recombination process involving an intrachromosomal deletion between switch regions that reside 5' of the IgM and one of the IgG constant region gene segments in the immunoglobulin heavy chain locus."" [ISBN:0781735149, PMID:12370374, PMID:2113175, PMID:9186655]"	15	100	3	17376	0.03	0.2	query_1	['GO:0045190']	['MSH2', 'PAXIP1', 'MLH1']
521	REAC	REAC:R-HSA-162587	HIV Life Cycle	0.0006192910773879	True	HIV Life Cycle	145	100	6	17376	0.06	0.0413793103448275	query_1	['REAC:R-HSA-162906']	['XRCC6', 'LIG4', 'FEN1', 'LIG1', 'XRCC4', 'XRCC5']
522	GO:BP	GO:1901700	response to oxygen-containing compound	0.0006210853012891	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	100	23	17376	0.23	0.0134739308728763	query_1	['GO:0042221']	['BRIP1', 'AKT1', 'LIG4', 'OGG1', 'PCNA', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'BLM', 'ATM', 'RAD51', 'APEX1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'RMI1', 'TP53', 'KDM1A']
