FG syndrome type 1	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
956	GO:BP	GO:0150117	positive regulation of cell-substrate junction organization	0.0036623958600359	True	"""Any process that activates or increases the frequency, rate or extent of cell-substrate junction organization."" [GOC:aruk]"	30	100	3	15719	0.03	0.1	query_1	['GO:0051130', 'GO:0150115', 'GO:0150116']	['PIK3R1', 'VEGFA', 'NRP1']
958	GO:BP	GO:0060325	face morphogenesis	0.0036623958600359	True	"""The process in which the anatomical structures of the face are generated and organized. The face is the ventral division of the head."" [GOC:dph]"	30	100	3	15719	0.03	0.1	query_1	['GO:0009653', 'GO:0060323', 'GO:0060324']	['TGFB3', 'PTPN11', 'PDGFRA']
960	GO:BP	GO:0002698	negative regulation of immune effector process	0.0036744525508221	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune effector process."" [GOC:add]"	117	100	5	15719	0.05	0.0427350427350427	query_1	['GO:0002252', 'GO:0002683', 'GO:0002697']	['TGFB3', 'CRK', 'HFE', 'APOA1', 'CR2']
961	GO:BP	GO:0046883	regulation of hormone secretion	0.0037333955514764	True	"""Any process that modulates the frequency, rate or extent of the regulated release of a hormone from a cell."" [GOC:ai]"	243	100	7	15719	0.07	0.0288065843621399	query_1	['GO:0010646', 'GO:0010817', 'GO:0023051', 'GO:0046879', 'GO:1903530']	['SPP1', 'FGA', 'HFE', 'TFR2', 'FGB', 'FGG', 'PTPN11']
962	GO:BP	GO:1903201	regulation of oxidative stress-induced cell death	0.0037486223407353	True	"""Any process that modulates the frequency, rate or extent of oxidative stress-induced cell death."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie]"	68	100	4	15719	0.04	0.0588235294117647	query_1	['GO:0010941', 'GO:0036473', 'GO:1900407']	['MET', 'HGF', 'CTNNB1', 'FYN']
963	GO:BP	GO:0052547	regulation of peptidase activity	0.0037681681555629	True	"""Any process that modulates the frequency, rate or extent of peptidase activity, the hydrolysis of peptide bonds within proteins."" [GOC:ai]"	395	100	9	15719	0.09	0.0227848101265822	query_1	['GO:0030162', 'GO:0051336']	['SRC', 'HGF', 'FYN', 'LYN', 'SYK', 'VEGFA', 'SERPINA1', 'VTN', 'LCK']
99	GO:CC	GO:0045211	postsynaptic membrane	0.0037885857475862	True	"""A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane."" [ISBN:0198506732]"	256	101	7	16420	0.0693069306930693	0.02734375	query_1	['GO:0097060', 'GO:0098794']	['ADRA1A', 'ITGB3', 'CTNNB1', 'ITGA5', 'NRP2', 'CRKL', 'NRP1']
98	GO:CC	GO:0034366	spherical high-density lipoprotein particle	0.0037885857475862	True	"""A mature high-density lipoprotein (HDL) particle, converted from discoidal HDL particles following the esterification of cholesterol in the particle by phosphatidylcholine-sterol O-acyltransferase (lecithin cholesterol acyltransferase; LCAT)."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	8	101	2	16420	0.0198019801980198	0.25	query_1	['GO:0034364']	['APOA1', 'HPR']
964	GO:BP	GO:0071887	leukocyte apoptotic process	0.0038021004650424	True	"""Any apoptotic process in a leukocyte, an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:BHF, GOC:mah, GOC:mtg_apoptosis]"	118	100	5	15719	0.05	0.0423728813559322	query_1	['GO:0006915']	['PIK3CB', 'PIK3CD', 'CXCL12', 'LYN', 'CRKL']
965	GO:BP	GO:0098660	inorganic ion transmembrane transport	0.0038203516934979	True	"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]"	849	100	14	15719	0.14	0.0164899882214369	query_1	['GO:0055085']	['ITGB1', 'ADRA1A', 'ITGAV', 'ITGB3', 'PLCG2', 'KCNK1', 'HFE', 'FYN', 'MS4A1', 'LYN', 'PLCG1', 'PTK2B', 'LCK', 'CD19']
100	GO:CC	GO:0055037	recycling endosome	0.0039252189204364	True	"""An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane."" [GOC:dph, GOC:jid, GOC:kmv, GOC:rph, PMID:10930469, PMID:15601896, PMID:16246101, PMID:21556374, PMID:21562044]"	188	101	6	16420	0.0594059405940594	0.0319148936170212	query_1	['GO:0005768']	['ITGB1', 'TFRC', 'KCNK1', 'HFE', 'TF', 'ACKR3']
238	REAC	REAC:R-HSA-9013405	RHOD GTPase cycle	0.0039776472827434	True	RHOD GTPase cycle	51	99	4	10022	0.0404040404040404	0.0784313725490196	query_1	['REAC:R-HSA-9012999']	['PLXNB1', 'PIK3R2', 'PIK3R1', 'PLXNA1']
966	GO:BP	GO:2000352	negative regulation of endothelial cell apoptotic process	0.0040069422809783	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of endothelial cell apoptotic process."" [GOC:BHF, GOC:mah, GOC:mtg_apoptosis]"	31	100	3	15719	0.03	0.0967741935483871	query_1	['GO:0072577', 'GO:1904036', 'GO:2000351']	['FGA', 'FGB', 'FGG']
967	GO:BP	GO:0009581	detection of external stimulus	0.0040875625491638	True	"""The series of events in which an external stimulus is received by a cell and converted into a molecular signal."" [GOC:hb]"	120	100	5	15719	0.05	0.0416666666666666	query_1	['GO:0009605', 'GO:0051606']	['CTNNB1', 'FYN', 'CXCL12', 'CXCR4', 'PTK2']
101	GO:CC	GO:0045177	apical part of cell	0.0041562768823924	True	"""The region of a polarized cell that forms a tip or is distal to a base. For example, in a polarized epithelial cell, the apical region has an exposed surface and lies opposite to the basal lamina that separates the epithelium from other tissue."" [GOC:mah, ISBN:0815316194]"	421	101	9	16420	0.0891089108910891	0.0213776722090261	query_1	['GO:0110165']	['FN1', 'ITGB3', 'CTNNB1', 'KCNK1', 'HFE', 'TF', 'ERBB2', 'ABCC1', 'VCAM1']
102	GO:CC	GO:0008180	COP9 signalosome	0.0042275934536443	True	"""A protein complex that catalyzes the deneddylation of proteins, including the cullin component of SCF ubiquitin E3 ligase; deneddylation increases the activity of cullin family ubiquitin ligases. The signalosome is involved in many regulatory process, including some which control development, in many species; also regulates photomorphogenesis in plants; in many species its subunits are highly similar to those of the proteasome."" [PMID:11019806, PMID:12186635, PMID:14570571]"	34	101	3	16420	0.0297029702970297	0.088235294117647	query_1	['GO:0140513']	['LAT', 'GRB2', 'PLCG1']
968	GO:BP	GO:0060562	epithelial tube morphogenesis	0.004269467210488	True	"""The process in which the anatomical structures of a tube are generated and organized from an epithelium. Epithelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:dph]"	323	100	8	15719	0.08	0.0247678018575851	query_1	['GO:0002009', 'GO:0035239']	['MET', 'SRC', 'CTNNB1', 'PIK3CD', 'MED12', 'CXCR4', 'VEGFA', 'NRP1']
103	GO:CC	GO:0030665	clathrin-coated vesicle membrane	0.0042723480567357	True	"""The lipid bilayer surrounding a clathrin-coated vesicle."" [GOC:mah]"	129	101	5	16420	0.0495049504950495	0.0387596899224806	query_1	['GO:0030136', 'GO:0030662']	['TFRC', 'EGFR', 'TF', 'FCGR1A', 'SH3GL2']
987	GO:BP	GO:0030032	lamellipodium assembly	0.0043494417555014	True	"""Formation of a lamellipodium, a thin sheetlike extension of the surface of a migrating cell."" [GOC:mah, ISBN:0815316194]"	71	100	4	15719	0.04	0.056338028169014	query_1	['GO:0097581', 'GO:0120031']	['ITGB1', 'PIK3R1', 'PIK3CA', 'VCL']
986	GO:BP	GO:0038089	positive regulation of cell migration by vascular endothelial growth factor signaling pathway	0.0043494417555014	True	"""The series of molecular signals initiated by vascular endothelial growth factor (VEGF) binding to its receptor on the surface of a cell, which activates or increases the frequency, rate or extent of the orderly movement of a cell from one site to another."" [GOC:bf, GOC:signaling]"	8	100	2	15719	0.02	0.25	query_1	['GO:0030335', 'GO:0038084']	['PIK3CD', 'VEGFA']
985	GO:BP	GO:0061439	kidney vasculature morphogenesis	0.0043494417555014	True	"""The process in which the kidney vasculature is generated and organized. Morphogenesis pertains to the creation of form."" [GOC:dph, GOC:mtg_kidney_jan10]"	8	100	2	15719	0.02	0.25	query_1	['GO:0009653', 'GO:0061438', 'GO:0061440']	['NRP1', 'PDGFRA']
981	GO:BP	GO:1900122	positive regulation of receptor binding	0.0043494417555014	True	"""Any process that activates or increases the frequency, rate or extent of a protein or other molecule binding to a receptor."" [GOC:signaling, GOC:TermGenie]"	8	100	2	15719	0.02	0.25	query_1	['GO:0032092', 'GO:1900120']	['HFE', 'NRP1']
983	GO:BP	GO:0014012	peripheral nervous system axon regeneration	0.0043494417555014	True	"""The regrowth of axons outside the central nervous system (outside the brain and spinal cord) following an axonal injury."" [GOC:ef]"	8	100	2	15719	0.02	0.25	query_1	['GO:0031103']	['TNC', 'CERS2']
969	GO:BP	GO:1905603	regulation of blood-brain barrier permeability	0.0043494417555014	True	"""Any process that modulates blood-brain barrier permeability, the quality of the blood-brain barrier that allows for a controlled passage of substances (e.g. macromolecules, small molecules, ions) into and out of the brain."" [GO_REF:0000058, GOC:als, GOC:aruk, GOC:bc, GOC:TermGenie, PMID:22524708, PMID:30280653]"	8	100	2	15719	0.02	0.25	query_1	['GO:0035633', 'GO:0043114']	['VEGFA', 'SH3GL2']
971	GO:BP	GO:0002719	negative regulation of cytokine production involved in immune response	0.0043494417555014	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of cytokine production contributing to an immune response."" [GOC:add]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0001818', 'GO:0002367', 'GO:0002701', 'GO:0002718']	['TGFB3', 'HFE', 'APOA1']
972	GO:BP	GO:0002576	platelet degranulation	0.0043494417555014	True	"""The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet."" [GOC:add]"	8	100	2	15719	0.02	0.25	query_1	['GO:0045055', 'GO:0051649']	['LYN', 'SYK']
973	GO:BP	GO:0050974	detection of mechanical stimulus involved in sensory perception	0.0043494417555014	True	"""The series of events in which a mechanical stimulus is received and converted into a molecular signal as part of sensory perception."" [GOC:ai, GOC:dos]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0050906', 'GO:0050954', 'GO:0050982']	['FYN', 'CXCL12', 'CXCR4']
984	GO:BP	GO:0061438	renal system vasculature morphogenesis	0.0043494417555014	True	"""The process in which the renal system vasculature is generated and organized. Morphogenesis pertains to the creation of form."" [GOC:dph, GOC:mtg_kidney_jan10, PMID:11891195]"	8	100	2	15719	0.02	0.25	query_1	['GO:0009653', 'GO:0061437']	['NRP1', 'PDGFRA']
975	GO:BP	GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus	0.0043494417555014	True	"""Any process that activates or increases the frequency, rate, or extent of an acute inflammatory response to an antigenic stimulus."" [GOC:add]"	8	100	2	15719	0.02	0.25	query_1	['GO:0002438', 'GO:0002675', 'GO:0002863', 'GO:0002864']	['C3', 'FCGR1A']
974	GO:BP	GO:0032489	regulation of Cdc42 protein signal transduction	0.0043494417555014	True	"""Any process that modulates the frequency, rate or extent of Cdc42 protein signal transduction."" [GOC:mah]"	8	100	2	15719	0.02	0.25	query_1	['GO:0032488', 'GO:0035023']	['APOA1', 'NRP1']
977	GO:BP	GO:1901388	regulation of transforming growth factor beta activation	0.0043494417555014	True	"""Any process that modulates the frequency, rate or extent of transforming growth factor beta activation."" [GOC:sl, GOC:TermGenie]"	8	100	2	15719	0.02	0.25	query_1	['GO:0010646', 'GO:0023051', 'GO:0036363', 'GO:0071634']	['ITGAV', 'ITGB6']
978	GO:BP	GO:0071402	cellular response to lipoprotein particle stimulus	0.0043494417555014	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipoprotein particle stimulus."" [GOC:mah]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0051716']	['ITGB1', 'SYK', 'CD81']
979	GO:BP	GO:0001781	neutrophil apoptotic process	0.0043494417555014	True	"""Any apoptotic process in a neutrophil, any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes."" [CL:0000775, GOC:add, GOC:mtg_apoptosis, PMID:12752675, PMID:12960266]"	8	100	2	15719	0.02	0.25	query_1	['GO:0001780', 'GO:0006925', 'GO:0033028', 'GO:0071887']	['PIK3CB', 'PIK3CD']
980	GO:BP	GO:0021612	facial nerve structural organization	0.0043494417555014	True	"""The process that contributes to the act of creating the structural organization of the facial nerve. This process pertains to the physical shaping of a rudimentary structure. This sensory and motor nerve supplies the muscles of facial expression and the expression and taste at the anterior two-thirds of the tongue. The principal branches are the superficial opthalmic, buccal, palatine and hyomandibular. The main trunk synapses within pterygopalatine ganglion in the parotid gland and this ganglion then gives of nerve branches which supply the lacrimal gland and the mucous secreting glands of the nasal and oral cavities."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	8	100	2	15719	0.02	0.25	query_1	['GO:0021604', 'GO:0021610']	['NRP2', 'NRP1']
982	GO:BP	GO:1903670	regulation of sprouting angiogenesis	0.0043494417555014	True	"""Any process that modulates the frequency, rate or extent of sprouting angiogenesis."" [GO_REF:0000058, GOC:TermGenie, PMID:16756958]"	32	100	3	15719	0.03	0.09375	query_1	['GO:0002040', 'GO:0045765']	['PIK3CB', 'ITGA5', 'VEGFA']
976	GO:BP	GO:0048702	embryonic neurocranium morphogenesis	0.0043494417555014	True	"""The process in which the anatomical structures of the neurocranium are generated and organized during the embryonic phase. The neurocranium is the portion of the vertebrate skull surrounding the brain."" [GOC:dsf, GOC:jid, PMID:16049113]"	8	100	2	15719	0.02	0.25	query_1	['GO:0048598', 'GO:0048701']	['TGFB3', 'MED12']
970	GO:BP	GO:0038134	ERBB2-EGFR signaling pathway	0.0043494417555014	True	"""The series of molecular signals initiated by binding of a ligand to an epidermal growth factor receptor (EGFR/ERBB1) on the surface of a cell, followed by transmission of the signal by a heterodimeric complex of ERBB2 and EGFR. ERBB2, which does not bind any known ligand, is activated through formation of a heterodimer with another ligand-activated ERBB family member such as EGFR."" [GOC:signaling, PMID:16460914, Reactome:R-HSA-1963589]"	8	100	2	15719	0.02	0.25	query_1	['GO:0007173', 'GO:0038128']	['EGFR', 'ERBB2']
104	GO:CC	GO:0016600	flotillin complex	0.0045341228211964	True	"""A protein complex that contains flotillin-1 and flotillin-2, and may contain associated proteins. Flotillins associate into membrane microdomains resembling caveolae."" [PMID:17206938, PMID:17600709]"	9	101	2	16420	0.0198019801980198	0.2222222222222222	query_1	['GO:0005901', 'GO:0098797']	['CTNNB1', 'CBL']
105	GO:CC	GO:0005916	fascia adherens	0.0045341228211964	True	"""A cell-cell junction that contains the transmembrane protein N-cadherin, which interacts with identical molecules from neighbouring cells to form a tight mechanical intercellular link; forms a large portion of the intercalated disc, the structure at which myofibrils terminate in cardiomyocytes."" [GOC:aruk, GOC:bc, GOC:mtg_muscle, PMID:11732910]"	9	101	2	16420	0.0198019801980198	0.2222222222222222	query_1	['GO:0005911', 'GO:0014704']	['CTNNB1', 'VCL']
106	GO:CC	GO:0031594	neuromuscular junction	0.0045341228211964	True	"""The junction between the axon of a motor neuron and a muscle fiber. In response to the arrival of action potentials, the presynaptic button releases molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane of the muscle fiber, leading to a change in post-synaptic potential."" [GOC:nln]"	77	101	4	16420	0.0396039603960396	0.0519480519480519	query_1	['GO:0045202']	['ITGB1', 'CRK', 'ERBB2', 'CRKL']
988	GO:BP	GO:0009582	detection of abiotic stimulus	0.0046331069280615	True	"""The series of events in which an (non-living) abiotic stimulus is received by a cell and converted into a molecular signal."" [GOC:hb]"	124	100	5	15719	0.05	0.0403225806451612	query_1	['GO:0009628', 'GO:0051606']	['CTNNB1', 'FYN', 'CXCL12', 'CXCR4', 'PTK2']
989	GO:BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	0.0046401577509774	True	"""Any process that increases the concentration of calcium ions in the cytosol."" [GOC:ai]"	185	100	6	15719	0.06	0.0324324324324324	query_1	['GO:0065008']	['ADRA1A', 'ITGAV', 'CXCR4', 'PTK2B', 'ACKR3', 'PDGFRA']
992	GO:BP	GO:0003007	heart morphogenesis	0.0046834031419696	True	"""The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:dph, GOC:isa_complete]"	254	100	7	15719	0.07	0.0275590551181102	query_1	['GO:0007507', 'GO:0009887']	['CTNNB1', 'SOS1', 'NRP2', 'VEGFA', 'CRKL', 'PTK2', 'NRP1']
990	GO:BP	GO:0033687	osteoblast proliferation	0.0046834031419696	True	"""The multiplication or reproduction of osteoblasts, resulting in the expansion of an osteoblast cell population. An osteoblast is a bone-forming cell which secretes an extracellular matrix. Hydroxyapatite crystals are then deposited into the matrix to form bone."" [GOC:mah]"	33	100	3	15719	0.03	0.0909090909090909	query_1	['GO:0008283']	['PLXNB1', 'ITGAV', 'ITGB3']
991	GO:BP	GO:0044092	negative regulation of molecular function	0.0046834031419696	True	"""Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	971	100	15	15719	0.15	0.015447991761071	query_1	['GO:0065009']	['MET', 'PIK3CB', 'ITGAV', 'SRC', 'ITGB3', 'HGF', 'HFE', 'ITGA4', 'LYN', 'APOA1', 'VEGFA', 'SERPINA1', 'VTN', 'CBL', 'SEMA4D']
993	GO:BP	GO:1902532	negative regulation of intracellular signal transduction	0.0046834031419696	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	494	100	10	15719	0.1	0.020242914979757	query_1	['GO:0009968', 'GO:0035556', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'PIK3R2', 'SRC', 'CXCL12', 'LYN', 'ACKR3']
994	GO:BP	GO:0001569	branching involved in blood vessel morphogenesis	0.0046834031419696	True	"""The process of coordinated growth and sprouting of blood vessels giving rise to the organized vascular system."" [GOC:dph]"	33	100	3	15719	0.03	0.0909090909090909	query_1	['GO:0001525', 'GO:0048754']	['CTNNB1', 'VEGFA', 'NRP1']
996	GO:BP	GO:0099024	plasma membrane invagination	0.0047233309356921	True	"""An infolding of the plasma membrane."" [GOC:dos, GOC:vw]"	73	100	4	15719	0.04	0.0547945205479452	query_1	['GO:0010324']	['C3', 'PLCG2', 'FCGR1A', 'IGHM']
995	GO:BP	GO:0021536	diencephalon development	0.0047233309356921	True	"""The process whose specific outcome is the progression of the diencephalon over time, from its formation to the mature structure. The diencephalon is the paired caudal parts of the prosencephalon from which the thalamus, hypothalamus, epithalamus and subthalamus are derived; these regions regulate autonomic, visceral and endocrine function, and process information directed to the cerebral cortex."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	73	100	4	15719	0.04	0.0547945205479452	query_1	['GO:0030900', 'GO:0048856']	['CTNNB1', 'NRP2', 'NRP1', 'PLXNA1']
997	GO:BP	GO:2000278	regulation of DNA biosynthetic process	0.0047588265765393	True	"""Any process that modulates the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	125	100	5	15719	0.05	0.04	query_1	['GO:0010556', 'GO:0031326', 'GO:0051052', 'GO:0071897']	['SRC', 'HGF', 'CTNNB1', 'PTK2B', 'VEGFA']
998	GO:BP	GO:0043065	positive regulation of apoptotic process	0.0047951770443539	True	"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	496	100	10	15719	0.1	0.0201612903225806	query_1	['GO:0006915', 'GO:0042981', 'GO:0043068']	['ITGB1', 'PIK3CB', 'SRC', 'TGFB3', 'CTNNB1', 'PIK3CD', 'ITGA4', 'LYN', 'PLCG1', 'LCK']
999	GO:BP	GO:0032872	regulation of stress-activated MAPK cascade	0.0048546457504775	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the stress-activated MAPK cascade."" [GOC:mah]"	187	100	6	15719	0.06	0.0320855614973262	query_1	['GO:0043408', 'GO:0051403', 'GO:0070302']	['RAPGEF1', 'CRK', 'HGF', 'EGFR', 'PTK2B', 'VEGFA']
107	GO:CC	GO:0005901	caveola	0.0048750895306952	True	"""A membrane raft that forms small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane. Examples include flask-shaped invaginations of the plasma membrane in adipocytes associated with caveolin proteins, and minute pits or incuppings of the cell membrane formed during pinocytosis. Caveolae may be pinched off to form free vesicles within the cytoplasm."" [GOC:mah, ISBN:0721662544, PMID:16645198]"	79	101	4	16420	0.0396039603960396	0.050632911392405	query_1	['GO:0044853']	['ADRA1A', 'SRC', 'CTNNB1', 'CBL']
1000	GO:BP	GO:0042476	odontogenesis	0.0049111269388506	True	"""The process whose specific outcome is the progression of a tooth or teeth over time, from formation to the mature structure(s). A tooth is any hard bony, calcareous, or chitinous organ found in the mouth or pharynx of an animal and used in procuring or masticating food."" [GOC:jl, GOC:mah]"	126	100	5	15719	0.05	0.0396825396825396	query_1	['GO:0009887']	['SRC', 'TGFB3', 'CTNNB1', 'ITGB6', 'PDGFRA']
1001	GO:BP	GO:0051928	positive regulation of calcium ion transport	0.0049111269388506	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of calcium ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	126	100	5	15719	0.05	0.0396825396825396	query_1	['GO:0006816', 'GO:0043270', 'GO:0051924']	['PLCG2', 'CXCL12', 'MS4A1', 'PLCG1', 'CD19']
240	REAC	REAC:R-HSA-164944	Nef and signal transduction	0.0049389194894427	True	Nef and signal transduction	7	99	2	10022	0.0202020202020202	0.2857142857142857	query_1	['REAC:R-HSA-164952']	['FYN', 'LCK']
239	REAC	REAC:R-HSA-2179392	EGFR Transactivation by Gastrin	0.0049389194894427	True	EGFR Transactivation by Gastrin	7	99	2	10022	0.0202020202020202	0.2857142857142857	query_1	['REAC:R-HSA-881907']	['SOS1', 'EGFR']
1002	GO:BP	GO:0071677	positive regulation of mononuclear cell migration	0.004939378771194	True	"""Any process that increases the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]"	74	100	4	15719	0.04	0.054054054054054	query_1	['GO:0002687', 'GO:0071674', 'GO:0071675']	['ITGB3', 'ITGA4', 'CXCL12', 'PTK2B']
1003	GO:BP	GO:0030162	regulation of proteolysis	0.0049704860228424	True	"""Any process that modulates the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:mah]"	681	100	12	15719	0.12	0.0176211453744493	query_1	['GO:0006508', 'GO:0051246']	['SRC', 'HGF', 'HFE', 'FYN', 'LYN', 'SYK', 'PTK2B', 'VEGFA', 'SERPINA1', 'VTN', 'PTK2', 'LCK']
108	GO:CC	GO:0042383	sarcolemma	0.0049883178684875	True	"""The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers."" [ISBN:0198506732]"	135	101	5	16420	0.0495049504950495	0.037037037037037	query_1	['GO:0005886']	['ITGB1', 'ADRA1A', 'TGFB3', 'VCL', 'VCAM1']
1004	GO:BP	GO:2000406	positive regulation of T cell migration	0.0050571389276433	True	"""Any process that activates or increases the frequency, rate or extent of T cell migration."" [GOC:mah]"	34	100	3	15719	0.03	0.088235294117647	query_1	['GO:0072678', 'GO:2000403', 'GO:2000404']	['ITGB3', 'ITGA4', 'CXCL12']
1005	GO:BP	GO:0034405	response to fluid shear stress	0.0050571389276433	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fluid shear stress stimulus. Fluid shear stress is the force acting on an object in a system where the fluid is moving across a solid surface."" [GOC:sl]"	34	100	3	15719	0.03	0.088235294117647	query_1	['GO:0006950']	['SRC', 'TGFB3', 'PTK2B']
241	REAC	REAC:R-HSA-9013423	RAC3 GTPase cycle	0.0050597429109094	True	RAC3 GTPase cycle	91	99	5	10022	0.0505050505050505	0.0549450549450549	query_1	['REAC:R-HSA-9012999']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'PIK3R1', 'TFRC']
1006	GO:BP	GO:0090276	regulation of peptide hormone secretion	0.005091105261005	True	"""Any process that modulates the rate, frequency, or extent of the regulated release of a peptide hormone from secretory granules."" [GOC:tb]"	189	100	6	15719	0.06	0.0317460317460317	query_1	['GO:0002791', 'GO:0030072', 'GO:0046883']	['FGA', 'HFE', 'TFR2', 'FGB', 'FGG', 'PTPN11']
242	REAC	REAC:R-HSA-1226099	Signaling by FGFR in disease	0.005180941689212	True	Signaling by FGFR in disease	55	99	4	10022	0.0404040404040404	0.0727272727272727	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SOS1', 'PIK3CA', 'PLCG1']
1007	GO:BP	GO:0007179	transforming growth factor beta receptor signaling pathway	0.005225290824551	True	"""The series of molecular signals initiated by an extracellular ligand binding to a transforming growth factor beta receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah, GOC:signaling]"	190	100	6	15719	0.06	0.031578947368421	query_1	['GO:0007178', 'GO:0071560']	['ITGB5', 'SRC', 'TGFB3', 'PXN', 'PTK2', 'ITGB6']
1008	GO:BP	GO:0033993	response to lipid	0.0053817380002508	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]"	884	100	14	15719	0.14	0.0158371040723981	query_1	['GO:0010033']	['SRC', 'SPP1', 'TGFB3', 'PLCG2', 'TFRC', 'CTNNB1', 'LYN', 'GJB2', 'EGFR', 'PIK3CA', 'SYK', 'PTK2B', 'VCAM1', 'CBL']
1017	GO:BP	GO:0050848	regulation of calcium-mediated signaling	0.0053995411924823	True	"""Any process that modulates the frequency, rate or extent of calcium-mediated signaling, the process in which a cell uses calcium ions to convert an extracellular signal into a response."" [GOC:ai]"	76	100	4	15719	0.04	0.0526315789473684	query_1	['GO:0019722', 'GO:1902531']	['PLCG2', 'ZAP70', 'SYK', 'PTK2B']
1016	GO:BP	GO:0032959	inositol trisphosphate biosynthetic process	0.0053995411924823	True	"""The chemical reactions and pathways resulting in the formation of inositol trisphosphate, 1,2,3,4,5,6-cyclohexanehexol, with three phosphate groups attached."" [GOC:mah]"	9	100	2	15719	0.02	0.2222222222222222	query_1	['GO:0032957', 'GO:0032958']	['PLCG2', 'PTK2B']
1015	GO:BP	GO:1990314	cellular response to insulin-like growth factor stimulus	0.0053995411924823	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin-like growth factor stimulus."" [PMID:20042609]"	9	100	2	15719	0.02	0.2222222222222222	query_1	['GO:0071375']	['ITGB3', 'CRK']
1018	GO:BP	GO:0033034	positive regulation of myeloid cell apoptotic process	0.0053995411924823	True	"""Any process that activates or increases the frequency, rate, or extent of myeloid cell apoptotic process."" [GOC:add, GOC:mtg_apoptosis]"	9	100	2	15719	0.02	0.2222222222222222	query_1	['GO:0033028', 'GO:0033032', 'GO:0043065']	['PIK3CB', 'PIK3CD']
