Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
987	GO:BP	GO:0045861	negative regulation of proteolysis	0.0016261810965585	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:go_curators]"	303	100	8	17376	0.08	0.0264026402640264	query_1	['GO:0006508', 'GO:0030162', 'GO:0051248']	['AKT1', 'HSP90AB1', 'CARD8', 'TNF', 'TNFSF14', 'BIRC3', 'BIRC2', 'SFN']
988	GO:CC	GO:0070013	intracellular organelle lumen	0.0016285761156006	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5406	100	48	17376	0.48	0.0088790233074361	query_1	['GO:0043229', 'GO:0043233']	['HSPA1A', 'GSK3B', 'AKT1', 'NFKBIE', 'BABAM2', 'UBE2V1', 'MAP3K14', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TAB2', 'RELA', 'FKBP5', 'FASLG', 'MCL1', 'IKBKE', 'RBX1', 'BTRC', 'TBK1', 'FAS', 'NFKB1', 'TNIP2', 'SKP1', 'MALT1', 'SHMT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'NLRP1', 'SHMT2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'CUL1', 'FBXW7', 'UBE2N']
989	GO:CC	GO:0043233	organelle lumen	0.0016285761156006	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5406	100	48	17376	0.48	0.0088790233074361	query_1	['GO:0031974', 'GO:0043226']	['HSPA1A', 'GSK3B', 'AKT1', 'NFKBIE', 'BABAM2', 'UBE2V1', 'MAP3K14', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TAB2', 'RELA', 'FKBP5', 'FASLG', 'MCL1', 'IKBKE', 'RBX1', 'BTRC', 'TBK1', 'FAS', 'NFKB1', 'TNIP2', 'SKP1', 'MALT1', 'SHMT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'NLRP1', 'SHMT2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'CUL1', 'FBXW7', 'UBE2N']
990	GO:CC	GO:0031974	membrane-enclosed lumen	0.0016285761156006	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5406	100	48	17376	0.48	0.0088790233074361	query_1	['GO:0110165']	['HSPA1A', 'GSK3B', 'AKT1', 'NFKBIE', 'BABAM2', 'UBE2V1', 'MAP3K14', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TAB2', 'RELA', 'FKBP5', 'FASLG', 'MCL1', 'IKBKE', 'RBX1', 'BTRC', 'TBK1', 'FAS', 'NFKB1', 'TNIP2', 'SKP1', 'MALT1', 'SHMT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'NLRP1', 'SHMT2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'CUL1', 'FBXW7', 'UBE2N']
991	GO:BP	GO:0032102	negative regulation of response to external stimulus	0.0016325263879953	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	383	100	9	17376	0.09	0.0234986945169712	query_1	['GO:0009605', 'GO:0032101', 'GO:0048585']	['SHARPIN', 'TNFRSF1B', 'PYDC2', 'CARD8', 'TNFRSF1A', 'TNF', 'NFKB1', 'TNFAIP3', 'MEFV']
992	GO:BP	GO:0043506	regulation of JUN kinase activity	0.0016530470769944	True	"""Any process that modulates the frequency, rate or extent of JUN kinase activity."" [GOC:jl]"	59	100	4	17376	0.04	0.0677966101694915	query_1	['GO:0043405']	['TNF', 'TRAF2', 'MAP3K7', 'TRAF6']
993	GO:BP	GO:0009416	response to light stimulus	0.0016556572166296	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:go_curators, ISBN:0582227089]"	304	100	8	17376	0.08	0.0263157894736842	query_1	['GO:0009314']	['BAX', 'AKT1', 'BCL2', 'RELA', 'RBX1', 'NLRP1', 'BAK1', 'FBXW7']
994	GO:BP	GO:0009653	anatomical structure morphogenesis	0.0017055627035528	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2538	100	28	17376	0.28	0.0110323089046493	query_1	['GO:0032502', 'GO:0048856']	['BCL2L11', 'BAX', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'FASLG', 'BTRC', 'TNF', 'NFKB1', 'CFLAR', 'TNFSF14', 'NFKB2', 'HSP90AA1', 'FBXW11', 'TAB1', 'TNFAIP3', 'TRAF6', 'BCL2L1', 'BAK1', 'CASP8', 'CUL1', 'FBXW7', 'BCL10']
995	GO:BP	GO:0070665	positive regulation of leukocyte proliferation	0.0017064559000321	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte proliferation."" [GOC:add, GOC:mah]"	165	100	6	17376	0.06	0.0363636363636363	query_1	['GO:0008284', 'GO:0070661', 'GO:0070663']	['CARD11', 'BCL2', 'FADD', 'PYCARD', 'TRAF6', 'BCL2L1']
996	GO:BP	GO:0031348	negative regulation of defense response	0.0017213106412318	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a defense response."" [GOC:mah]"	232	100	7	17376	0.07	0.0301724137931034	query_1	['GO:0006952', 'GO:0031347', 'GO:0048585']	['SHARPIN', 'TNFRSF1B', 'PYDC2', 'TNFRSF1A', 'NFKB1', 'TNFAIP3', 'MEFV']
997	GO:BP	GO:0032879	regulation of localization	0.0017223719313058	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2020	100	24	17376	0.24	0.0118811881188118	query_1	['GO:0050789', 'GO:0051179']	['BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'HSP90AB1', 'TNFRSF1A', 'FASLG', 'IKBKE', 'TNF', 'RNF31', 'NFKB1', 'BBC3', 'RIPK1', 'HSP90AA1', 'SNX33', 'PYCARD', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'FBXW7', 'BAD']
998	GO:BP	GO:0032515	negative regulation of phosphoprotein phosphatase activity	0.0017256570382014	True	"""Any process that stops or reduces the activity of a phosphoprotein phosphatase."" [GOC:mah]"	25	100	3	17376	0.03	0.12	query_1	['GO:0010923', 'GO:0035308', 'GO:0043666']	['GSK3B', 'IKBKB', 'TNF']
999	GO:BP	GO:0051438	regulation of ubiquitin-protein transferase activity	0.0017447183288827	True	"""Any process that modulates the frequency, rate or extent of ubiquitin transferase activity."" [GOC:ai, GOC:tb]"	60	100	4	17376	0.04	0.0666666666666666	query_1	['GO:0051338']	['BTRC', 'SKP1', 'FBXW7', 'UBE2N']
1000	GO:BP	GO:0080164	regulation of nitric oxide metabolic process	0.0017447183288827	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitric oxide, nitrogen monoxide (NO), a colorless gas only slightly soluble in water."" [GOC:DHL]"	60	100	4	17376	0.04	0.0666666666666666	query_1	['GO:0046209', 'GO:0051171']	['AKT1', 'HSP90AB1', 'TNF', 'HSP90AA1']
1001	GO:CC	GO:0072557	IPAF inflammasome complex	0.0017652557895996	True	"""An inflammasome complex that consists of three components, IPAF, NAIP and caspase-1, and includes among its functions the sensing of flagellin derived from Legionella pneumophila, Salmonella typhimurium, Pseudomonas aeruginosa and Shigella flexneri."" [GOC:add, GOC:BHF, GOC:vp, PMID:20303873]"	5	100	2	17376	0.02	0.4	query_1	['GO:0061702']	['NLRC4', 'CASP1']
1002	GO:BP	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	0.0018406650618128	True	"""Any process that activates or increases the frequency, rate or extent of ubiquitin-dependent protein catabolic process."" [GOC:BHF]"	109	100	5	17376	0.05	0.0458715596330275	query_1	['GO:0006511', 'GO:0009896', 'GO:1903052', 'GO:2000058']	['HSPA1A', 'GSK3B', 'AKT1', 'RBX1', 'FBXW7']
1003	GO:BP	GO:0048856	anatomical structure development	0.0018410220627758	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5480	100	48	17376	0.48	0.0087591240875912	query_1	['GO:0032502']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'CASP5', 'AZI2', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'NLRP3', 'LTA', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'LTB', 'NFKB2', 'HSP90AA1', 'FBXW11', 'TAB1', 'TNFAIP3', 'LTBR', 'RELB', 'TRAF6', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP8', 'CUL1', 'FBXW7', 'BCL10', 'BAD']
1004	GO:BP	GO:0050670	regulation of lymphocyte proliferation	0.0018896901586451	True	"""Any process that modulates the frequency, rate or extent of lymphocyte proliferation."" [GOC:ai]"	236	100	7	17376	0.07	0.0296610169491525	query_1	['GO:0032944', 'GO:0046651', 'GO:0051249']	['CARD11', 'TNFRSF1B', 'BCL2', 'FADD', 'BID', 'PYCARD', 'TRAF6']
1005	REAC	REAC:R-HSA-9711123	Cellular response to chemical stress	0.0018974582914859	True	Cellular response to chemical stress	187	100	6	17376	0.06	0.0320855614973262	query_1	['REAC:R-HSA-2262752']	['GSK3B', 'AKT1', 'RBX1', 'BTRC', 'SKP1', 'CUL1']
1006	REAC	REAC:R-HSA-389356	CD28 co-stimulation	0.0018974582914859	True	CD28 co-stimulation	31	100	3	17376	0.03	0.0967741935483871	query_1	['REAC:R-HSA-388841']	['MAP3K8', 'AKT1', 'MAP3K14']
1007	GO:BP	GO:0045936	negative regulation of phosphate metabolic process	0.0018996371011545	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	392	100	9	17376	0.09	0.0229591836734693	query_1	['GO:0006796', 'GO:0010563', 'GO:0019220']	['BAX', 'GSK3B', 'AKT1', 'IKBKB', 'TNF', 'TNFAIP3', 'PYCARD', 'SFN', 'BAK1']
1008	REAC	REAC:R-HSA-8939902	Regulation of RUNX2 expression and activity	0.0019053365527969	True	Regulation of RUNX2 expression and activity	71	100	4	17376	0.04	0.056338028169014	query_1	['REAC:R-HSA-8878166']	['GSK3B', 'RBX1', 'SKP1', 'CUL1']
1009	GO:BP	GO:2000209	regulation of anoikis	0.0019197324382043	True	"""Any process that modulates the frequency, rate or extent of anoikis."" [GOC:mah]"	26	100	3	17376	0.03	0.1153846153846153	query_1	['GO:0042981', 'GO:0043276']	['BCL2', 'MCL1', 'BCL2L1']
1010	GO:BP	GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	0.0019197324382043	True	"""Any process that modulates the frequency, rate or extent of signaling in response to detection of lipopolysaccharide."" [GOC:mah]"	26	100	3	17376	0.03	0.1153846153846153	query_1	['GO:0002831', 'GO:0009966', 'GO:0031663', 'GO:0032101']	['CARD8', 'TNFAIP3', 'TRAF6']
1011	GO:BP	GO:0035994	response to muscle stretch	0.0019197324382043	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a myofibril being extended beyond its slack length."" [GOC:BHF, GOC:vk, PMID:14583192]"	26	100	3	17376	0.03	0.1153846153846153	query_1	['GO:0009612']	['RELA', 'NFKB1', 'NFKBIA']
1012	GO:BP	GO:0010563	negative regulation of phosphorus metabolic process	0.0019248907807574	True	"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	393	100	9	17376	0.09	0.0229007633587786	query_1	['GO:0006793', 'GO:0031324', 'GO:0051174']	['BAX', 'GSK3B', 'AKT1', 'IKBKB', 'TNF', 'TNFAIP3', 'PYCARD', 'SFN', 'BAK1']
1013	GO:BP	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	0.0019636135763313	True	"""Any process that modulates the frequency, rate or extent of ubiquitin-dependent protein catabolic process."" [GOC:BHF]"	170	100	6	17376	0.06	0.0352941176470588	query_1	['GO:0006511', 'GO:0009894', 'GO:1903050']	['HSPA1A', 'GSK3B', 'AKT1', 'HSP90AB1', 'RBX1', 'FBXW7']
1014	GO:BP	GO:0034605	cellular response to heat	0.0020759056036372	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:mah]"	63	100	4	17376	0.04	0.0634920634920634	query_1	['GO:0009408', 'GO:0033554']	['HSPA1A', 'GSK3B', 'HSP90AB1', 'HSP90AA1']
1015	GO:BP	GO:0046907	intracellular transport	0.0020836888475997	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1553	100	20	17376	0.2	0.0128783000643915	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'RNF31', 'BID', 'BBC3', 'MALT1', 'HSP90AA1', 'FBXW11', 'SNX33', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'FBXW7', 'BAD', 'CDC37']
1016	GO:BP	GO:1905323	telomerase holoenzyme complex assembly	0.0021020883819335	True	"""The aggregation, arrangement and bonding together of a set of components to form a telomerase holoenzyme complex."" [GO_REF:0000079, GOC:TermGenie, PMID:26305931]"	6	100	2	17376	0.02	0.3333333333333333	query_1	['GO:0022618']	['HSP90AB1', 'HSP90AA1']
1017	GO:BP	GO:1902177	positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	0.0021020883819335	True	"""Any process that activates or increases the frequency, rate or extent of an oxidative stress-induced intrinsic apoptotic signaling pathway."" [GOC:BHF, GOC:mtg_apoptosis, GOC:TermGenie, PMID:11672522]"	6	100	2	17376	0.02	0.3333333333333333	query_1	['GO:0008631', 'GO:1902175', 'GO:1903209', 'GO:2001244']	['MCL1', 'FBXW7']
1018	GO:BP	GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	0.0021020883819335	True	"""The process in which a protein is incorporated into a mitochondrial membrane as the initial phase of the mitochondrial membrane permeabilization that takes place in the apoptotic signaling pathway."" [GOC:add, GOC:mtg_apoptosis, PMID:12952892]"	6	100	2	17376	0.02	0.3333333333333333	query_1	['GO:0051204', 'GO:0097345']	['BAX', 'BBC3']
1019	GO:BP	GO:2000348	regulation of CD40 signaling pathway	0.0021020883819335	True	"""Any process that modulates the frequency, rate or extent of signaling via the CD40 signaling pathway."" [GOC:mah]"	6	100	2	17376	0.02	0.3333333333333333	query_1	['GO:0009966', 'GO:0023035']	['SHARPIN', 'TNFAIP3']
1020	GO:BP	GO:1902949	positive regulation of tau-protein kinase activity	0.0021020883819335	True	"""Any process that activates or increases the frequency, rate or extent of tau-protein kinase activity."" [GO_REF:0000059, GOC:sjp, GOC:TermGenie, PMID:15897157, PMID:22986780]"	6	100	2	17376	0.02	0.3333333333333333	query_1	['GO:0045860', 'GO:1902947']	['HSP90AB1', 'HSP90AA1']
1021	GO:BP	GO:1903003	positive regulation of protein deubiquitination	0.0021020883819335	True	"""Any process that activates or increases the frequency, rate or extent of protein deubiquitination."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:22970133]"	6	100	2	17376	0.02	0.3333333333333333	query_1	['GO:0016579', 'GO:0045862', 'GO:0090085', 'GO:1903322']	['TANK', 'TNIP1']
1022	GO:BP	GO:1904951	positive regulation of establishment of protein localization	0.0021597244195926	True	"""Any process that activates or increases the frequency, rate or extent of establishment of protein localization."" [GO_REF:0000058, GOC:TermGenie, PMID:22761445]"	318	100	8	17376	0.08	0.0251572327044025	query_1	['GO:0045184', 'GO:0070201', 'GO:1903829']	['GSK3B', 'TNF', 'RNF31', 'BBC3', 'HSP90AA1', 'SFN', 'FBXW7', 'BAD']
1023	GO:BP	GO:2000401	regulation of lymphocyte migration	0.0021790242413611	True	"""Any process that modulates the frequency, rate or extent of lymphocyte migration."" [GOC:mah]"	64	100	4	17376	0.04	0.0625	query_1	['GO:0071675', 'GO:0072676']	['AKT1', 'FADD', 'TNFSF14', 'PYCARD']
1024	GO:BP	GO:0043406	positive regulation of MAP kinase activity	0.0022059022238453	True	"""Any process that activates or increases the frequency, rate or extent of MAP kinase activity."" [GOC:dph, GOC:go_curators]"	114	100	5	17376	0.05	0.043859649122807	query_1	['GO:0043405', 'GO:0043410', 'GO:0071902']	['TNF', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6']
1025	GO:BP	GO:1901652	response to peptide	0.0022419054327581	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	490	100	10	17376	0.1	0.0204081632653061	query_1	['GO:0010243', 'GO:1901700']	['BCL2L11', 'GSK3B', 'AKT1', 'RELA', 'TNF', 'NFKB1', 'CFLAR', 'TNFAIP3', 'NLRP1', 'NFKBIA']
1026	GO:BP	GO:0042391	regulation of membrane potential	0.0022659733002008	True	"""Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."" [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]"	403	100	9	17376	0.09	0.0223325062034739	query_1	['GO:0065008']	['BAX', 'GSK3B', 'AKT1', 'BCL2', 'TNF', 'BID', 'BCL2L1', 'BAK1', 'BAD']
1027	GO:BP	GO:0035967	cellular response to topologically incorrect protein	0.0022869334097796	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a protein that is not folded in its correct three-dimensional structure."" [GOC:bf]"	115	100	5	17376	0.05	0.0434782608695652	query_1	['GO:0033554', 'GO:0035966', 'GO:0071310']	['BCL2L11', 'BAX', 'HSPA1A', 'BBC3', 'BAK1']
1028	GO:CC	GO:0046930	pore complex	0.0023347372426212	True	"""A protein complex providing a discrete opening in a membrane that allows the passage of gases and/or liquids."" [ISBN:0198506732]"	26	100	3	17376	0.03	0.1153846153846153	query_1	['GO:0098796']	['BAX', 'BCL2', 'BAK1']
1029	GO:BP	GO:1901223	negative regulation of NIK/NF-kappaB signaling	0.0023383063828272	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of NIK/NF-kappaB signaling."" [GOC:TermGenie]"	28	100	3	17376	0.03	0.1071428571428571	query_1	['GO:0038061', 'GO:1901222', 'GO:1902532']	['PYDC2', 'RELA', 'FBXW11']
1030	GO:BP	GO:0009651	response to salt stress	0.0023383063828272	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."" [GOC:jl]"	28	100	3	17376	0.03	0.1071428571428571	query_1	['GO:0006970']	['BAX', 'TNF', 'HSP90AA1']
1031	GO:BP	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	0.0023383063828272	True	"""Any process that modulates the frequency, rate or extent of an oxidative stress-induced intrinsic apoptotic signaling pathway."" [GOC:BHF, GOC:mtg_apoptosis, GOC:TermGenie, PMID:11672522]"	28	100	3	17376	0.03	0.1071428571428571	query_1	['GO:0008631', 'GO:1903201', 'GO:2001242']	['AKT1', 'MCL1', 'FBXW7']
1032	GO:BP	GO:0032502	developmental process	0.0023383063828272	True	"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]"	6020	100	51	17376	0.51	0.0084717607973421	query_1	['GO:0008150']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'UBE2V1', 'BCL2', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'MCL1', 'CASP5', 'AZI2', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'NLRP3', 'LTA', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'LTB', 'NFKB2', 'HSP90AA1', 'FBXW11', 'TAB1', 'BIRC3', 'TNFAIP3', 'LTBR', 'RELB', 'TRAF6', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP8', 'CUL1', 'FBXW7', 'BCL10', 'BAD']
1033	GO:BP	GO:0051050	positive regulation of transport	0.0023515076286427	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	888	100	14	17376	0.14	0.0157657657657657	query_1	['GO:0006810', 'GO:0048518', 'GO:0051049']	['BAX', 'GSK3B', 'AKT1', 'FASLG', 'TNF', 'RNF31', 'BBC3', 'HSP90AA1', 'PYCARD', 'SFN', 'NFKBIA', 'BAK1', 'FBXW7', 'BAD']
1034	GO:BP	GO:0071675	regulation of mononuclear cell migration	0.0023610026342167	True	"""Any process that modulates the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]"	116	100	5	17376	0.05	0.043103448275862	query_1	['GO:0002685', 'GO:0071674']	['AKT1', 'TNF', 'FADD', 'TNFSF14', 'PYCARD']
1035	GO:BP	GO:0016032	viral process	0.0024077630014861	True	"""A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle."" [GOC:bf, GOC:jl, GOC:mah]"	407	100	9	17376	0.09	0.0221130221130221	query_1	['GO:0008150']	['BCL2L11', 'HSPA1A', 'GSK3B', 'BCL2', 'HSP90AB1', 'TNF', 'TNIP1', 'BCL2L1', 'BAD']
1036	GO:BP	GO:1901800	positive regulation of proteasomal protein catabolic process	0.0024450560763074	True	"""Any process that activates or increases the frequency, rate or extent of proteasomal protein catabolic process."" [GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21669198]"	117	100	5	17376	0.05	0.0427350427350427	query_1	['GO:0010498', 'GO:0045732', 'GO:0061136', 'GO:1903052']	['HSPA1A', 'GSK3B', 'AKT1', 'RBX1', 'FBXW7']
1037	GO:BP	GO:0050830	defense response to Gram-positive bacterium	0.0024450560763074	True	"""Reactions triggered in response to the presence of a Gram-positive bacterium that act to protect the cell or organism."" [GOC:ai]"	117	100	5	17376	0.05	0.0427350427350427	query_1	['GO:0042742']	['TBK1', 'TNF', 'NLRP3', 'LTA', 'PYCARD']
1038	GO:BP	GO:0016311	dephosphorylation	0.0024450560763074	True	"""The process of removing one or more phosphoric (ester or anhydride) residues from a molecule."" [ISBN:0198506732]"	325	100	8	17376	0.08	0.0246153846153846	query_1	['GO:0006796']	['GSK3B', 'BCL2', 'HSP90AB1', 'IKBKB', 'BTRC', 'TNF', 'FBXW11', 'TAB1']
1039	GO:BP	GO:0042129	regulation of T cell proliferation	0.0024974687740375	True	"""Any process that modulates the frequency, rate or extent of T cell proliferation."" [GOC:jl]"	179	100	6	17376	0.06	0.0335195530726257	query_1	['GO:0042098', 'GO:0050670', 'GO:0050863']	['CARD11', 'TNFRSF1B', 'FADD', 'BID', 'PYCARD', 'TRAF6']
1040	GO:BP	GO:0071482	cellular response to light stimulus	0.0025330140536972	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:mah]"	118	100	5	17376	0.05	0.0423728813559322	query_1	['GO:0009416', 'GO:0071478']	['BAX', 'RBX1', 'NLRP1', 'BAK1', 'FBXW7']
1041	GO:BP	GO:0034394	protein localization to cell surface	0.0025386255052364	True	"""A process in which a protein is transported to, or maintained in, a location within the external part of the cell wall and/or plasma membrane."" [GOC:mah]"	67	100	4	17376	0.04	0.0597014925373134	query_1	['GO:0008104']	['AKT1', 'HSP90AB1', 'TNF', 'SNX33']
1042	GO:BP	GO:0097305	response to alcohol	0.0025494985961628	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]"	250	100	7	17376	0.07	0.028	query_1	['GO:0010033', 'GO:1901700']	['AKT1', 'TNF', 'BIRC2', 'BCL2L1', 'BAK1', 'CASP8', 'BAD']
1043	GO:BP	GO:1902914	regulation of protein polyubiquitination	0.0025572911230752	True	"""Any process that modulates the frequency, rate or extent of protein polyubiquitination."" [GO_REF:0000058, GOC:di, GOC:TermGenie, PMID:23645667]"	29	100	3	17376	0.03	0.1034482758620689	query_1	['GO:0000209', 'GO:0031396']	['UBE2V1', 'BIRC2', 'UBE2N']
1044	GO:BP	GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	0.0025572911230752	True	"""Any process that modulates the frequency, rate or extent of leukocyte adhesion to vascular endothelial cell."" [GO_REF:0000058, GOC:bc, GOC:BHF, GOC:BHF_miRNA, GOC:TermGenie, PMID:23897866]"	29	100	3	17376	0.03	0.1034482758620689	query_1	['GO:0061756', 'GO:1903037']	['RELA', 'TNF', 'TRAF6']
1045	REAC	REAC:R-HSA-9706574	RHOBTB GTPase Cycle	0.0026882160903286	True	RHOBTB GTPase Cycle	35	100	3	17376	0.03	0.0857142857142857	query_1	['REAC:R-HSA-9012999']	['HSP90AB1', 'HSP90AA1', 'CDC37']
