FG syndrome type 1	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1060	REAC	REAC:R-HSA-416700	Other semaphorin interactions	0.0004509029973796	True	Other semaphorin interactions	19	101	3	17376	0.0297029702970297	0.1578947368421052	query_1	['REAC:R-HSA-373755']	['ITGB1', 'SEMA4D', 'PLXNA1']
1061	GO:CC	GO:0030666	endocytic vesicle membrane	0.0004560710728392	True	"""The lipid bilayer surrounding an endocytic vesicle."" [GOC:mah]"	186	101	7	17376	0.0693069306930693	0.0376344086021505	query_1	['GO:0030139', 'GO:0030659', 'GO:0098588']	['RAPGEF1', 'TFRC', 'LYN', 'EGFR', 'TF', 'FCGR1A', 'SH3GL2']
1062	GO:BP	GO:0071621	granulocyte chemotaxis	0.0004698299541165	True	"""The movement of a granulocyte in response to an external stimulus."" [GOC:rph]"	125	101	6	17376	0.0594059405940594	0.048	query_1	['GO:0030595', 'GO:0097530']	['ITGA9', 'PIK3CD', 'VAV1', 'SYK', 'VEGFA', 'PTK2']
1063	GO:BP	GO:0099173	postsynapse organization	0.0004706230849797	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a postsynapse."" [GOC:dos]"	181	101	7	17376	0.0693069306930693	0.0386740331491712	query_1	['GO:0016043', 'GO:0050808']	['ITGB3', 'CRK', 'FYN', 'NRP2', 'PTK2B', 'CRKL', 'NRP1']
1064	GO:CC	GO:0001772	immunological synapse	0.0004741791093489	True	"""An area of close contact between a lymphocyte (T-, B-, or natural killer cell) and a target cell formed through the clustering of particular signaling and adhesion molecules and their associated membrane rafts on both the lymphocyte and the target cell and facilitating activation of the lymphocyte, transfer of membrane from the target cell to the lymphocyte, and in some situations killing of the target cell through release of secretory granules and/or death-pathway ligand-receptor interaction."" [GOC:mgi_curators, PMID:11244041, PMID:11376300]"	43	101	4	17376	0.0396039603960396	0.0930232558139534	query_1	['GO:0005886', 'GO:0110165']	['LAT', 'ZAP70', 'CD81', 'LCK']
1065	REAC	REAC:R-HSA-373752	Netrin-1 signaling	0.0004831921172771	True	Netrin-1 signaling	49	101	4	17376	0.0396039603960396	0.0816326530612244	query_1	['REAC:R-HSA-422475']	['SRC', 'PLCG1', 'PTK2', 'PTPN11']
1066	REAC	REAC:R-HSA-8856828	Clathrin-mediated endocytosis	0.0004831921172771	True	Clathrin-mediated endocytosis	143	101	6	17376	0.0594059405940594	0.0419580419580419	query_1	['REAC:R-HSA-199991']	['TFRC', 'EGFR', 'TF', 'SH3KBP1', 'SH3GL2', 'CBL']
1067	GO:BP	GO:0099084	postsynaptic specialization organization	0.0004839909185417	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a postsynaptic specialization, a structure that lies adjacent to the cytoplasmic face of the postsynaptic membrane."" [GOC:BHF, GOC:sjp, PMID:21525273, PMID:26834556]"	41	101	4	17376	0.0396039603960396	0.0975609756097561	query_1	['GO:0006996', 'GO:0099173']	['ITGB3', 'CRK', 'PTK2B', 'CRKL']
1068	GO:BP	GO:0002714	positive regulation of B cell mediated immunity	0.0004839909185417	True	"""Any process that activates or increases the frequency, rate, or extent of B cell mediated immunity."" [GOC:add]"	41	101	4	17376	0.0396039603960396	0.0975609756097561	query_1	['GO:0002708', 'GO:0002712', 'GO:0002824', 'GO:0019724']	['C3', 'TFRC', 'FCGR1A', 'HPX']
1069	GO:BP	GO:0002891	positive regulation of immunoglobulin mediated immune response	0.0004839909185417	True	"""Any process that activates or increases the frequency, rate, or extent of an immunoglobulin mediated immune response."" [GOC:add]"	41	101	4	17376	0.0396039603960396	0.0975609756097561	query_1	['GO:0002714', 'GO:0002889', 'GO:0016064']	['C3', 'TFRC', 'FCGR1A', 'HPX']
1070	REAC	REAC:R-HSA-9013423	RAC3 GTPase cycle	0.0004848308285997	True	RAC3 GTPase cycle	91	101	5	17376	0.0495049504950495	0.0549450549450549	query_1	['REAC:R-HSA-9012999']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'PIK3R1', 'TFRC']
1071	GO:BP	GO:0008654	phospholipid biosynthetic process	0.0004906791426723	True	"""The chemical reactions and pathways resulting in the formation of a phospholipid, a lipid containing phosphoric acid as a mono- or diester."" [ISBN:0198506732]"	246	101	8	17376	0.0792079207920792	0.032520325203252	query_1	['GO:0006644', 'GO:0008610', 'GO:0090407']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'PIK3CD', 'APOA1', 'PIK3CA', 'PIK3R3']
1072	GO:BP	GO:0071229	cellular response to acid chemical	0.0005020520209138	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of the dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."" [GOC:go_curators, GOC:mah, Wikipedia:Acid]"	79	101	5	17376	0.0495049504950495	0.0632911392405063	query_1	['GO:0001101', 'GO:0070887']	['FYN', 'EGFR', 'PIK3CA', 'VEGFA', 'PDGFRA']
1073	GO:BP	GO:0003151	outflow tract morphogenesis	0.0005020520209138	True	"""The process in which the anatomical structures of the outflow tract are generated and organized. The outflow tract is the portion of the heart through which blood flows into the arteries."" [GOC:mtg_heart, UBERON:0004145]"	79	101	5	17376	0.0495049504950495	0.0632911392405063	query_1	['GO:0003007', 'GO:0009653']	['CTNNB1', 'NRP2', 'VEGFA', 'CRKL', 'NRP1']
1074	GO:BP	GO:0043299	leukocyte degranulation	0.0005020520209138	True	"""The regulated exocytosis of secretory granules by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	79	101	5	17376	0.0495049504950495	0.0632911392405063	query_1	['GO:0002252', 'GO:0045055', 'GO:0051649']	['PIK3CD', 'LAT', 'LYN', 'SYK', 'CBL']
1075	GO:BP	GO:0098749	cerebellar neuron development	0.0005105633520224	True	"""The process whose specific outcome is the progression of a cerebellar neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dos]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0021549', 'GO:0048666']	['CRK', 'CRKL']
1076	GO:BP	GO:0097374	sensory neuron axon guidance	0.0005105633520224	True	"""The process in which the migration of an axon growth cone of a sensory neuron is directed to a specific target site in response to a combination of attractive and repulsive cues. A sensory neuron is an afferent neuron conveying sensory impulses."" [CL:0000101, GOC:pr]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0007411']	['NRP2', 'NRP1']
1077	GO:BP	GO:0001798	positive regulation of type IIa hypersensitivity	0.0005105633520224	True	"""Any process that activates or increases the frequency, rate or extent of type IIa hypersensitivity, a type of inflammatory response."" [GOC:add, ISBN:0781735149]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0001794', 'GO:0001796', 'GO:0002894']	['C3', 'FCGR1A']
1078	GO:BP	GO:0002894	positive regulation of type II hypersensitivity	0.0005105633520224	True	"""Any process that activates or increases the frequency, rate, or extent of type II hypersensitivity."" [GOC:add]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0002445', 'GO:0002885', 'GO:0002888', 'GO:0002891', 'GO:0002892']	['C3', 'FCGR1A']
1079	GO:BP	GO:0038086	VEGF-activated platelet-derived growth factor receptor signaling pathway	0.0005105633520224	True	"""The series of molecular signals initiated by vascular endothelial growth factor (VEGF) binding to a platelet-derived growth factor receptor (PDGFR) on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling, PMID:17470632]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0038084', 'GO:0048008']	['VEGFA', 'PDGFRA']
1080	GO:BP	GO:1905322	positive regulation of mesenchymal stem cell migration	0.0005105633520224	True	"""Any process that activates or increases the frequency, rate or extent of mesenchymal stem cell migration."" [GO_REF:0000058, GOC:TermGenie, PMID:26846297]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0030335', 'GO:1905319', 'GO:1905320']	['CXCR4', 'ACKR3']
1081	GO:BP	GO:1905320	regulation of mesenchymal stem cell migration	0.0005105633520224	True	"""Any process that modulates the frequency, rate or extent of mesenchymal stem cell migration."" [GO_REF:0000058, GOC:TermGenie, PMID:26846297]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0030334', 'GO:1905319']	['CXCR4', 'ACKR3']
1082	GO:BP	GO:1905319	mesenchymal stem cell migration	0.0005105633520224	True	"""The orderly movement of a mesenchymal stem cell from one site to another."" [GO_REF:0000091, GOC:TermGenie, PMID:24924806, PMID:25181476]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0016477']	['CXCR4', 'ACKR3']
1083	GO:BP	GO:1905604	negative regulation of blood-brain barrier permeability	0.0005105633520224	True	"""Any process that decreases blood-brain barrier permeability, the quality of the blood-brain barrier that allows for a controlled passage of substances (e.g. macromolecules, small molecules, ions) into and out of the brain."" [GO_REF:0000058, GOC:als, GOC:aruk, GOC:bc, GOC:TermGenie, PMID:22524708, PMID:30280653]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0043116', 'GO:1905603']	['VEGFA', 'SH3GL2']
1084	GO:BP	GO:0036486	ventral trunk neural crest cell migration	0.0005105633520224	True	"""The movement of trunk neural crest cells from the neural tube, travelling ventrally through the anterior half of each sclerotome. Trunk neural crest cells that remain in the sclerotome form the dorsal root ganglia containing the sensory neurons. Trunk neural crest cells that continue more ventrally form the sympathetic ganglia, the adrenal medulla, and the nerve clusters surrounding the aorta."" [GOC:bf, GOC:mat, GOC:PARL, PMID:16319111, PMID:19386662]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0036484']	['NRP2', 'NRP1']
1085	GO:BP	GO:0038091	positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway	0.0005105633520224	True	"""The series of molecular signals initiated by vascular endothelial growth factor (VEGF) binding to a platelet-derived growth factor receptor (PDGFR) on the surface of a cell, which activates or increases the frequency, rate or extent of cell proliferation."" [GOC:signaling, PMID:17470632]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0008284', 'GO:0038086']	['VEGFA', 'PDGFRA']
1086	GO:BP	GO:0043366	beta selection	0.0005105633520224	True	"""The process in which successful recombination of a T cell receptor beta chain into a translatable protein coding sequence leads to rescue from apoptosis and subsequent proliferation of an immature T cell."" [ISBN:0781735149, PMID:12220932]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0045058', 'GO:0046632']	['ZAP70', 'SYK']
1087	GO:BP	GO:0022408	negative regulation of cell-cell adhesion	0.0005105633520224	True	"""Any process that stops, prevents or reduces the rate or extent of cell adhesion to another cell."" [GOC:isa_complete]"	184	101	7	17376	0.0693069306930693	0.0380434782608695	query_1	['GO:0007162', 'GO:0022407', 'GO:0098609']	['HFE', 'CXCL12', 'APOA1', 'FGG', 'ERBB2', 'VEGFA', 'PTK2']
1088	GO:BP	GO:1902336	positive regulation of retinal ganglion cell axon guidance	0.0005105633520224	True	"""Any process that activates or increases the frequency, rate or extent of retinal ganglion cell axon guidance."" [GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21658587]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0031290', 'GO:0090259', 'GO:1902669']	['VEGFA', 'NRP1']
1089	GO:BP	GO:0035684	helper T cell extravasation	0.0005105633520224	True	"""The migration of a helper T cell from the blood vessels into the surrounding tissue. A helper T-cell is an effector T cell that provides help in the form of secreted cytokines to other immune cells."" [CL:0000912, GOC:BHF]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0072683']	['CRK', 'CRKL']
1090	GO:BP	GO:1903997	positive regulation of non-membrane spanning protein tyrosine kinase activity	0.0005105633520224	True	"""Any process that activates or increases the frequency, rate or extent of non-membrane spanning protein tyrosine kinase activity."" [GO_REF:0000059, GOC:BHF, GOC:nc, GOC:TermGenie, PMID:10518561]"	3	101	2	17376	0.0198019801980198	0.6666666666666666	query_1	['GO:0061098', 'GO:1903995']	['ADRA1A', 'SRC']
1091	REAC	REAC:R-HSA-446343	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	0.000511509237197	True	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	4	101	2	17376	0.0198019801980198	0.5	query_1	['REAC:R-HSA-446353']	['ITGB1', 'PXN']
1092	GO:BP	GO:0010763	positive regulation of fibroblast migration	0.0005121940910334	True	"""Any process that increases the rate, frequency or extent of fibroblast cell migration. Fibroblast cell migration is accomplished by extension and retraction of a pseudopodium."" [GOC:BHF, GOC:dph, GOC:tb]"	16	101	3	17376	0.0297029702970297	0.1875	query_1	['GO:0010761', 'GO:0010762', 'GO:0030335']	['ITGB1', 'ITGB3', 'PTK2']
1093	GO:BP	GO:0033631	cell-cell adhesion mediated by integrin	0.0005121940910334	True	"""The attachment of one cell to another cell via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	16	101	3	17376	0.0297029702970297	0.1875	query_1	['GO:0033627', 'GO:0098609']	['ITGB1', 'ITGA5', 'ITGA4']
1094	GO:BP	GO:0061548	ganglion development	0.0005121940910334	True	"""The process whose specific outcome is the progression of a ganglion over time, from its formation to the mature structure."" [GOC:dph]"	16	101	3	17376	0.0297029702970297	0.1875	query_1	['GO:0007399', 'GO:0009888']	['CTNNB1', 'NRP2', 'NRP1']
1095	GO:BP	GO:0034762	regulation of transmembrane transport	0.0005121940910334	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."" [GOC:mah]"	562	101	12	17376	0.1188118811881188	0.0213523131672597	query_1	['GO:0050794', 'GO:0051049', 'GO:0055085']	['C3', 'ITGB1', 'ITGB3', 'PIK3R1', 'PLCG2', 'FYN', 'MS4A1', 'LYN', 'PLCG1', 'PTK2B', 'CD19', 'PTPN11']
1096	GO:BP	GO:0021783	preganglionic parasympathetic fiber development	0.0005121940910334	True	"""The process whose specific outcome is the progression of a preganglionic parasympathetic fiber over time, from its formation to the mature structure. A preganglionic parasympathetic fiber is a cholinergic axonal fiber projecting from the CNS to a parasympathetic ganglion."" [GO_REF:0000021, GOC:cjm, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	16	101	3	17376	0.0297029702970297	0.1875	query_1	['GO:0007417', 'GO:0048486', 'GO:0048731']	['NRP2', 'NRP1', 'ACKR3']
1097	GO:BP	GO:0035729	cellular response to hepatocyte growth factor stimulus	0.0005121940910334	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hepatocyte growth factor stimulus."" [GOC:bf]"	16	101	3	17376	0.0297029702970297	0.1875	query_1	['GO:0035728', 'GO:0071363']	['BCAR1', 'HGF', 'NRP1']
1098	GO:BP	GO:0048565	digestive tract development	0.0005129713564743	True	"""The process whose specific outcome is the progression of the digestive tract over time, from its formation to the mature structure. The digestive tract is the anatomical structure through which food passes and is processed."" [GOC:go_curators]"	128	101	6	17376	0.0594059405940594	0.046875	query_1	['GO:0035295', 'GO:0055123']	['SRC', 'TGFB3', 'CTNNB1', 'EGFR', 'CRKL', 'PDGFRA']
1099	GO:BP	GO:0001101	response to acid chemical	0.0005129713564743	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."" [GOC:go_curators, GOC:rn]"	128	101	6	17376	0.0594059405940594	0.046875	query_1	['GO:0042221']	['FYN', 'LYN', 'EGFR', 'PIK3CA', 'VEGFA', 'PDGFRA']
1100	GO:BP	GO:2000403	positive regulation of lymphocyte migration	0.0005129713564743	True	"""Any process that activates or increases the frequency, rate or extent of lymphocyte migration."" [GOC:mah]"	42	101	4	17376	0.0396039603960396	0.0952380952380952	query_1	['GO:0071677', 'GO:0072676', 'GO:2000401']	['ITGB3', 'ITGA4', 'CXCL12', 'PTK2B']
1101	GO:BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	0.0005167049153447	True	"""Any process that increases the rate, frequency, or extent of protein serine/threonine kinase activity."" [GOC:mah]"	185	101	7	17376	0.0693069306930693	0.0378378378378378	query_1	['GO:0045860', 'GO:0071900']	['SRC', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'FLT1']
1102	REAC	REAC:R-HSA-416572	Sema4D induced cell migration and growth-cone collapse	0.0005170941732957	True	Sema4D induced cell migration and growth-cone collapse	20	101	3	17376	0.0297029702970297	0.15	query_1	['REAC:R-HSA-400685']	['PLXNB1', 'ERBB2', 'SEMA4D']
1103	GO:BP	GO:0007420	brain development	0.0005171565941381	True	"""The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."" [GOC:dph, GOC:jid, GOC:tb, UBERON:0000955]"	746	101	14	17376	0.1386138613861386	0.0187667560321715	query_1	['GO:0007417', 'GO:0048513', 'GO:0060322']	['ITGB1', 'SRC', 'CRK', 'CTNNB1', 'SOS1', 'FYN', 'CXCL12', 'NRP2', 'CXCR4', 'EGFR', 'CRKL', 'NRP1', 'PTPN11', 'PLXNA1']
1104	GO:BP	GO:0052548	regulation of endopeptidase activity	0.0005171565941381	True	"""Any process that modulates the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins."" [GOC:ai, GOC:hjd]"	320	101	9	17376	0.0891089108910891	0.028125	query_1	['GO:0052547']	['SRC', 'HGF', 'FYN', 'LYN', 'SYK', 'VEGFA', 'SERPINA1', 'VTN', 'LCK']
1105	GO:BP	GO:0140352	export from cell	0.0005171565941381	True	"""The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."" [GOC:pg]"	843	101	15	17376	0.1485148514851485	0.0177935943060498	query_1	['GO:0006810', 'GO:0009987']	['SPP1', 'FGA', 'TGFB3', 'PIK3CD', 'HFE', 'LAT', 'CXCL12', 'LYN', 'TFR2', 'FGB', 'SYK', 'FGG', 'ABCC1', 'CBL', 'PTPN11']
1106	GO:BP	GO:1904062	regulation of monoatomic cation transmembrane transport	0.0005171565941381	True	"""Any process that modulates the frequency, rate or extent of cation transmembrane transport."" [GO_REF:0000058, GOC:TermGenie, PMID:15304482]"	320	101	9	17376	0.0891089108910891	0.028125	query_1	['GO:0034765', 'GO:0098655']	['ITGB1', 'ITGB3', 'PLCG2', 'FYN', 'MS4A1', 'LYN', 'PLCG1', 'PTK2B', 'CD19']
1107	GO:BP	GO:0001503	ossification	0.0005350219720322	True	"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]"	398	101	10	17376	0.099009900990099	0.0251256281407035	query_1	['GO:0032501']	['PLXNB1', 'SPP1', 'HGF', 'CTNNB1', 'TNC', 'EGFR', 'PTK2B', 'PTK2', 'PTPN11', 'SEMA4D']
1108	GO:BP	GO:0001570	vasculogenesis	0.0005411108233548	True	"""The differentiation of endothelial cells from progenitor cells during blood vessel development, and the de novo formation of blood vessels and tubes."" [PMID:8999798]"	81	101	5	17376	0.0495049504950495	0.0617283950617283	query_1	['GO:0030154', 'GO:0048514']	['ITGAV', 'CTNNB1', 'VEGFA', 'NRP1', 'ACKR3']
1109	GO:BP	GO:0048678	response to axon injury	0.0005411108233548	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an axon injury stimulus."" [GOC:dgh, GOC:dph, GOC:jid, GOC:lm]"	81	101	5	17376	0.0495049504950495	0.0617283950617283	query_1	['GO:0009611']	['SPP1', 'PLCG2', 'LYN', 'TNC', 'CERS2']
1110	GO:BP	GO:0035023	regulation of Rho protein signal transduction	0.0005411108233548	True	"""Any process that modulates the frequency, rate or extent of Rho protein signal transduction."" [GOC:bf]"	81	101	5	17376	0.0495049504950495	0.0617283950617283	query_1	['GO:0007266', 'GO:0046578']	['MET', 'ITGB1', 'ADRA1A', 'APOA1', 'NRP1']
1111	REAC	REAC:R-HSA-9013405	RHOD GTPase cycle	0.0005547689532786	True	RHOD GTPase cycle	51	101	4	17376	0.0396039603960396	0.0784313725490196	query_1	['REAC:R-HSA-9012999']	['PLXNB1', 'PIK3R2', 'PIK3R1', 'PLXNA1']
1112	GO:BP	GO:0071364	cellular response to epidermal growth factor stimulus	0.0005556414409726	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epidermal growth factor stimulus."" [GOC:mah]"	43	101	4	17376	0.0396039603960396	0.0930232558139534	query_1	['GO:0070849', 'GO:0071363']	['EGFR', 'PLCG1', 'ERBB2', 'PTPN11']
1113	GO:BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	0.0005714336721887	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with a ligand binding to a death domain receptor on the cell surface, and ends when the execution phase of apoptosis is triggered."" [GOC:mah, GOC:mtg_apoptosis]"	82	101	5	17376	0.0495049504950495	0.0609756097560975	query_1	['GO:0097191']	['FGA', 'PIK3R1', 'HGF', 'FGB', 'FGG']
1114	GO:BP	GO:0051279	regulation of release of sequestered calcium ion into cytosol	0.0005714336721887	True	"""Any process that modulates the frequency, rate or extent of the release into the cytosolic compartment of calcium ions sequestered in the endoplasmic reticulum or mitochondria."" [GOC:ai, GOC:tb]"	82	101	5	17376	0.0495049504950495	0.0609756097560975	query_1	['GO:0051209', 'GO:0051282', 'GO:1903169']	['ITGB3', 'LYN', 'PLCG1', 'PTK2B', 'CD19']
1115	GO:BP	GO:0002819	regulation of adaptive immune response	0.0005814381597028	True	"""Any process that modulates the frequency, rate, or extent of an adaptive immune response."" [GOC:add]"	189	101	7	17376	0.0693069306930693	0.037037037037037	query_1	['GO:0002250', 'GO:0050776']	['C3', 'TFRC', 'HFE', 'FCGR1A', 'CD81', 'HPX', 'CR2']
1116	GO:BP	GO:0043254	regulation of protein-containing complex assembly	0.0005866916989745	True	"""Any process that modulates the frequency, rate or extent of protein complex assembly."" [GOC:jl]"	403	101	10	17376	0.099009900990099	0.0248138957816377	query_1	['GO:0044087', 'GO:0051128', 'GO:0065003']	['MET', 'PIK3R2', 'SRC', 'PLCG2', 'TFRC', 'GRB2', 'SYK', 'PTK2B', 'VEGFA', 'PTPN11']
1117	REAC	REAC:R-HSA-5686938	Regulation of TLR by endogenous ligand	0.000595707591872	True	Regulation of TLR by endogenous ligand	21	101	3	17376	0.0297029702970297	0.1428571428571428	query_1	['REAC:R-HSA-168898']	['FGA', 'FGB', 'FGG']
1118	GO:BP	GO:0051495	positive regulation of cytoskeleton organization	0.0005985666881426	True	"""Any process that activates or increases the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]"	190	101	7	17376	0.0693069306930693	0.0368421052631578	query_1	['GO:0007010', 'GO:0010638', 'GO:0051493']	['MET', 'TGFB3', 'PXN', 'GRB2', 'APOA1', 'PTK2B', 'NRP1']
1119	GO:BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.0005985666881426	True	"""Any process that modulates the frequency, rate or extent of signaling via a stress-activated protein kinase signaling cascade."" [GOC:mah]"	190	101	7	17376	0.0693069306930693	0.0368421052631578	query_1	['GO:0031098', 'GO:0080135', 'GO:1902531']	['RAPGEF1', 'CRK', 'HGF', 'LYN', 'EGFR', 'PTK2B', 'VEGFA']
1120	GO:BP	GO:0032418	lysosome localization	0.0006007203863662	True	"""Any process in which a lysosome is transported to, and/or maintained in, a specific location."" [GOC:mah]"	83	101	5	17376	0.0495049504950495	0.0602409638554216	query_1	['GO:1990849']	['PIK3CD', 'LAT', 'LYN', 'SYK', 'CBL']
1121	GO:BP	GO:1990849	vacuolar localization	0.0006007203863662	True	"""Any process in which the vacuole is transported to, and/or maintained in, a specific location within the cell."" [PMID:26283797]"	83	101	5	17376	0.0495049504950495	0.0602409638554216	query_1	['GO:0051640']	['PIK3CD', 'LAT', 'LYN', 'SYK', 'CBL']
1122	GO:BP	GO:0048486	parasympathetic nervous system development	0.0006019437663023	True	"""The process whose specific outcome is the progression of the parasympathetic nervous system over time, from its formation to the mature structure. The parasympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system. Parasympathetic nerves emerge cranially as pre ganglionic fibers from oculomotor, facial, glossopharyngeal and vagus and from the sacral region of the spinal cord. Most neurons are cholinergic and responses are mediated by muscarinic receptors. The parasympathetic system innervates, for example: salivary glands, thoracic and abdominal viscera, bladder and genitalia."" [FMA:9907, GOC:jid, GOC:sr]"	17	101	3	17376	0.0297029702970297	0.1764705882352941	query_1	['GO:0048483', 'GO:0048731']	['NRP2', 'NRP1', 'ACKR3']
1123	GO:CC	GO:0045334	clathrin-coated endocytic vesicle	0.0006057122963004	True	"""A clathrin-coated, membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance."" [GOC:go_curators]"	86	101	5	17376	0.0495049504950495	0.0581395348837209	query_1	['GO:0030136', 'GO:0030139']	['TFRC', 'EGFR', 'TF', 'FCGR1A', 'SH3GL2']
1124	GO:BP	GO:0032368	regulation of lipid transport	0.0006176670694715	True	"""Any process that modulates the frequency, rate or extent of the directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	133	101	6	17376	0.0594059405940594	0.0451127819548872	query_1	['GO:0006869', 'GO:0051049', 'GO:1905952']	['ITGAV', 'SPP1', 'ITGB3', 'APOA1', 'SYK', 'PTPN11']
1125	GO:BP	GO:0070098	chemokine-mediated signaling pathway	0.0006334321090365	True	"""The series of molecular signals initiated by a chemokine binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	84	101	5	17376	0.0495049504950495	0.0595238095238095	query_1	['GO:0019221', 'GO:1990869']	['CXCL12', 'LYN', 'CXCR4', 'PTK2B', 'ACKR3']
1126	GO:BP	GO:0034332	adherens junction organization	0.0006549160374792	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an adherens junction. An adherens junction is a cell-cell junction composed of the epithelial cadherin-catenin complex at which the cytoplasmic face of the plasma membrane is attached to actin filaments."" [GOC:aruk, GOC:bc, GOC:dph, GOC:jl, GOC:mah]"	45	101	4	17376	0.0396039603960396	0.0888888888888888	query_1	['GO:0045216']	['SRC', 'CTNNB1', 'VCL', 'VEGFA']
1127	REAC	REAC:R-HSA-9006931	Signaling by Nuclear Receptors	0.0006637674004586	True	Signaling by Nuclear Receptors	286	101	8	17376	0.0792079207920792	0.0279720279720279	query_1	['REAC:R-HSA-162582']	['PIK3R2', 'SRC', 'PIK3R1', 'CXCL12', 'EGFR', 'PIK3CA', 'PIK3R3', 'PTK2']
1128	GO:BP	GO:0098662	inorganic cation transmembrane transport	0.0006650763414025	True	"""A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]"	766	101	14	17376	0.1386138613861386	0.0182767624020887	query_1	['GO:0098660']	['ITGB1', 'ADRA1A', 'ITGAV', 'ITGB3', 'PLCG2', 'KCNK1', 'HFE', 'FYN', 'MS4A1', 'LYN', 'PLCG1', 'PTK2B', 'LCK', 'CD19']
