Branchioskeletogenital syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1178	GO:BP	GO:0019217	regulation of fatty acid metabolic process	0.0006576903013144	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving fatty acids."" [GOC:go_curators]"	87	100	5	17376	0.05	0.057471264367816	query_1	['GO:0006631', 'GO:0010565', 'GO:0019216']	['AKT1', 'NR1H2', 'NR1H3', 'SIRT1', 'NCOR1']
1179	GO:CC	GO:0098978	glutamatergic synapse	0.0006730892523998	True	"""A synapse that uses glutamate as a neurotransmitter."" [GOC:dos]"	405	100	10	17376	0.1	0.0246913580246913	query_1	['GO:0045202']	['CTBP1', 'AKT1', 'ADAM10', 'SRC', 'PSEN1', 'CTNNB1', 'CDH11', 'CDH1', 'CTNND1', 'CDH10']
1180	GO:BP	GO:0002285	lymphocyte activation involved in immune response	0.0006832393724954	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	199	100	7	17376	0.07	0.0351758793969849	query_1	['GO:0002366', 'GO:0046649']	['PSEN1', 'STAT3', 'KMT2A', 'DLL1', 'NOTCH2', 'RARA', 'TP53']
1181	GO:BP	GO:0046328	regulation of JNK cascade	0.0006832393724954	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the JNK cascade."" [GOC:bf]"	139	100	6	17376	0.06	0.0431654676258992	query_1	['GO:0007254', 'GO:0032872']	['EGFR', 'GPS2', 'NCOR1', 'HDAC3', 'APP', 'HIPK2']
1182	GO:BP	GO:0055123	digestive system development	0.0006832393724954	True	"""The process whose specific outcome is the progression of the digestive system over time, from its formation to the mature structure. The digestive system is the entire structure in which digestion takes place. Digestion is all of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism."" [GOC:jid]"	139	100	6	17376	0.06	0.0431654676258992	query_1	['GO:0048731']	['SRC', 'CTNNB1', 'SMAD2', 'EGFR', 'NOTCH1', 'SMAD3']
1183	GO:BP	GO:0034614	cellular response to reactive oxygen species	0.0006832393724954	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."" [GOC:mah]"	139	100	6	17376	0.06	0.0431654676258992	query_1	['GO:0000302', 'GO:0034599', 'GO:1901701']	['AKT1', 'SRC', 'EGFR', 'SIRT1', 'PDE8A', 'HDAC2']
1184	GO:BP	GO:0032873	negative regulation of stress-activated MAPK cascade	0.0006834727846914	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the stress-activated MAPK cascade."" [GOC:mah]"	47	100	4	17376	0.04	0.0851063829787234	query_1	['GO:0032872', 'GO:0043409', 'GO:0051403', 'GO:0070303']	['GPS2', 'NCOR1', 'HDAC3', 'FOXO1']
1185	GO:BP	GO:0120163	negative regulation of cold-induced thermogenesis	0.0006834727846914	True	"""Any process that stops, prevents, or reduces the rate of cold-induced thermogenesis."" [PMID:27876809]"	47	100	4	17376	0.04	0.0851063829787234	query_1	['GO:0009892', 'GO:0051241', 'GO:0106106', 'GO:0120161']	['NR1H2', 'NR1H3', 'NOTCH1', 'RBPJ']
1186	GO:BP	GO:0035850	epithelial cell differentiation involved in kidney development	0.0006834727846914	True	"""The process in which relatively unspecialized cells acquire specialized structural and/or functional features of an epithelial cell that characterize the cells of the kidney as it progresses from its formation to the mature state."" [GOC:bf, GOC:mtg_kidney_jan10, GOC:yaf, PMID:16216236]"	47	100	4	17376	0.04	0.0851063829787234	query_1	['GO:0030855', 'GO:0061005']	['CTNNB1', 'WWTR1', 'NOTCH1', 'NOTCH2']
1187	GO:BP	GO:0099537	trans-synaptic signaling	0.0006834727846914	True	"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]"	686	100	13	17376	0.13	0.0189504373177842	query_1	['GO:0099536']	['AKT1', 'SRC', 'PSEN1', 'KAT2A', 'CTNNB1', 'NCSTN', 'CDH11', 'KMT2A', 'CDH2', 'MECP2', 'CDH1', 'RARA', 'APP']
1188	GO:BP	GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	0.0006834727846914	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of signaling via the stress-activated protein kinase signaling cascade."" [GOC:mah]"	47	100	4	17376	0.04	0.0851063829787234	query_1	['GO:0031098', 'GO:0070302', 'GO:1902532']	['GPS2', 'NCOR1', 'HDAC3', 'FOXO1']
1189	GO:CC	GO:0098831	presynaptic active zone cytoplasmic component	0.0006837508695858	True	"""A specialized region below the presynaptic membrane, characterized by electron-dense material, a specialized cytoskeletal matrix and accumulated (associated) synaptic vesicles."" [GOC:dos]"	17	100	3	17376	0.03	0.1764705882352941	query_1	['GO:0048786', 'GO:0099738']	['CTBP1', 'CTNNB1', 'CTNND1']
1190	GO:CC	GO:0099091	postsynaptic specialization, intracellular component	0.0006837508695858	True	"""A network of proteins adjacent to the postsynaptic membrane. Its major components include the proteins that spatially and functionally organize neurotransmitter receptors in the adjacent membrane, such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components."" [GOC:dos]"	17	100	3	17376	0.03	0.1764705882352941	query_1	['GO:0043232', 'GO:0099572']	['SRC', 'CTNNB1', 'CTNND1']
1191	GO:BP	GO:1902882	regulation of response to oxidative stress	0.0006867704978466	True	"""Any process that modulates the frequency, rate or extent of response to oxidative stress."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:16899554]"	88	100	5	17376	0.05	0.0568181818181818	query_1	['GO:0006979', 'GO:0080134']	['REST', 'AKT1', 'CTNNB1', 'SIRT1', 'PDE8A']
1192	GO:BP	GO:0043367	CD4-positive, alpha-beta T cell differentiation	0.0007228197450359	True	"""The process in which a relatively unspecialized T cell acquires specialized features of a mature CD4-positive, alpha-beta T cell."" [CL:0000624, ISBN:0781735149]"	89	100	5	17376	0.05	0.0561797752808988	query_1	['GO:0035710', 'GO:0046632']	['CBFB', 'STAT3', 'KMT2A', 'RUNX1', 'RARA']
1193	GO:BP	GO:0045995	regulation of embryonic development	0.0007228197450359	True	"""Any process that modulates the frequency, rate or extent of embryonic development."" [GOC:go_curators]"	89	100	5	17376	0.05	0.0561797752808988	query_1	['GO:0009790', 'GO:2000026']	['KAT2A', 'CTNNB1', 'DLL1', 'NOTCH1', 'KAT2B']
1194	REAC	REAC:R-HSA-5689880	Ub-specific processing proteases	0.0007301928845636	True	Ub-specific processing proteases	207	100	7	17376	0.07	0.0338164251207729	query_1	['REAC:R-HSA-5688426']	['SMAD1', 'KAT2A', 'AR', 'SMAD2', 'SMAD4', 'TP53', 'SMAD3']
1195	REAC	REAC:R-HSA-211163	AKT-mediated inactivation of FOXO1A	0.0007301928845636	True	AKT-mediated inactivation of FOXO1A	4	100	2	17376	0.02	0.5	query_1	['REAC:R-HSA-210745']	['AKT1', 'FOXO1']
1196	REAC	REAC:R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	0.0007301928845636	True	SMAD2/3 Phosphorylation Motif Mutants in Cancer	4	100	2	17376	0.02	0.5	query_1	['REAC:R-HSA-3304349']	['SMAD2', 'SMAD3']
1197	REAC	REAC:R-HSA-3656532	TGFBR1 KD Mutants in Cancer	0.0007301928845636	True	TGFBR1 KD Mutants in Cancer	4	100	2	17376	0.02	0.5	query_1	['REAC:R-HSA-3656534']	['SMAD2', 'SMAD3']
1198	GO:BP	GO:0001889	liver development	0.0007302073988056	True	"""The process whose specific outcome is the progression of the liver over time, from its formation to the mature structure. The liver is an exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes."" [GOC:add, ISBN:068340007X]"	141	100	6	17376	0.06	0.0425531914893617	query_1	['GO:0048732', 'GO:0061008']	['SMARCB1', 'NOTCH1', 'NOTCH2', 'PRMT5', 'RARA', 'SMAD3']
1199	GO:BP	GO:0120161	regulation of cold-induced thermogenesis	0.0007302073988056	True	"""Any process that modulates the frequency, rate or extent of cold-induced thermogenesis."" [PMID:27876809]"	141	100	6	17376	0.06	0.0425531914893617	query_1	['GO:0019222', 'GO:0051239', 'GO:0106106']	['NR1H2', 'NR1H3', 'NOTCH1', 'RBPJ', 'HDAC3', 'KDM1A']
1200	REAC	REAC:R-HSA-452723	Transcriptional regulation of pluripotent stem cells	0.0007304026170168	True	Transcriptional regulation of pluripotent stem cells	20	100	3	17376	0.03	0.15	query_1	['REAC:R-HSA-1266738']	['STAT3', 'SMAD2', 'SMAD4']
1201	GO:BP	GO:0021795	cerebral cortex cell migration	0.0007376172924332	True	"""The orderly movement of cells from one site to another in the cerebral cortex."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	48	100	4	17376	0.04	0.0833333333333333	query_1	['GO:0021987', 'GO:0022029']	['PSEN1', 'CTNNB1', 'FOXG1', 'EGFR']
1202	GO:BP	GO:0060039	pericardium development	0.0007456666637956	True	"""The process whose specific outcome is the progression of the pericardium over time, from its formation to the mature structure. The pericardium is a double-walled sac that contains the heart and the roots of the aorta, vena cava and the pulmonary artery."" [GOC:dph, GOC:rph, PMID:15138308, PMID:16376438]"	19	100	3	17376	0.03	0.1578947368421052	query_1	['GO:0007507', 'GO:0060429']	['SMAD2', 'NOTCH1', 'SMAD3']
1203	GO:BP	GO:0003184	pulmonary valve morphogenesis	0.0007456666637956	True	"""The process in which the structure of the pulmonary valve is generated and organized."" [GOC:mtg_heart]"	19	100	3	17376	0.03	0.1578947368421052	query_1	['GO:0003177', 'GO:0003179']	['SMAD2', 'NOTCH1', 'NOTCH2']
1204	GO:BP	GO:0030856	regulation of epithelial cell differentiation	0.0007549132612649	True	"""Any process that modulates the frequency, rate or extent of epithelial cell differentiation."" [GOC:mah]"	142	100	6	17376	0.06	0.0422535211267605	query_1	['GO:0030855', 'GO:0045595', 'GO:2000026']	['NCOA3', 'CTNNB1', 'DLL1', 'WWTR1', 'NOTCH1', 'CDH5']
1205	GO:BP	GO:0106106	cold-induced thermogenesis	0.0007549132612649	True	"""The process by which heat is generated by increasing metabolism in response to cold ambient temperatures in order to maintain a stable core body temperature."" [PMID:27876809]"	142	100	6	17376	0.06	0.0422535211267605	query_1	['GO:0001659', 'GO:1990845']	['NR1H2', 'NR1H3', 'NOTCH1', 'RBPJ', 'HDAC3', 'KDM1A']
1206	GO:BP	GO:1901992	positive regulation of mitotic cell cycle phase transition	0.0007554605352096	True	"""Any process that activates or increases the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	90	100	5	17376	0.05	0.0555555555555555	query_1	['GO:0044772', 'GO:0045931', 'GO:1901989', 'GO:1901990']	['AKT1', 'SIN3A', 'EGFR', 'MECP2', 'APP']
1207	GO:BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	0.0007940949993726	True	"""Any process that modulates the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:mah]"	91	100	5	17376	0.05	0.0549450549450549	query_1	['GO:0007091', 'GO:1901990', 'GO:1902099']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
1208	GO:BP	GO:0035315	hair cell differentiation	0.0007940949993726	True	"""The process in which a relatively unspecialized cell acquires specialized features of a hair cell."" [GOC:bf]"	49	100	4	17376	0.04	0.0816326530612244	query_1	['GO:0009913', 'GO:0030182']	['CTNNB1', 'DLL1', 'NOTCH1', 'RBPJ']
1209	GO:CC	GO:0030027	lamellipodium	0.0008084184414088	True	"""A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments."" [ISBN:0815316194]"	197	100	7	17376	0.07	0.0355329949238578	query_1	['GO:0031252', 'GO:0120025']	['AKT1', 'CTNNB1', 'CTNNA1', 'CDH2', 'CDH1', 'APP', 'CTNND1']
1210	GO:BP	GO:0061008	hepaticobiliary system development	0.0008112614396252	True	"""The progression of the hepaticobiliary system over time, from its formation to the mature structure. The hepaticobiliary system is responsible for metabolic and catabolic processing of small molecules absorbed from the blood or gut, hormones and serum proteins, detoxification, storage of glycogen, triglycerides, metals and lipid soluble vitamins and excretion of bile. Included are the synthesis of albumin, blood coagulation factors, complement, and specific binding proteins."" [GOC:dph]"	144	100	6	17376	0.06	0.0416666666666666	query_1	['GO:0048731']	['SMARCB1', 'NOTCH1', 'NOTCH2', 'PRMT5', 'RARA', 'SMAD3']
1211	GO:BP	GO:0010639	negative regulation of organelle organization	0.0008265786238598	True	"""Any process that decreases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	350	100	9	17376	0.09	0.0257142857142857	query_1	['GO:0006996', 'GO:0033043', 'GO:0051129']	['AKT1', 'SRC', 'PIK3R1', 'KAT2A', 'SMAD4', 'KAT2B', 'CTNNA2', 'TP53', 'CDH5']
1212	GO:BP	GO:0060541	respiratory system development	0.0008268340158469	True	"""The progression of the respiratory system over time from its formation to its mature structure. The respiratory system carries out respiratory gaseous exchange."" [GOC:dph]"	206	100	7	17376	0.07	0.0339805825242718	query_1	['GO:0048731']	['CTNNB1', 'SMAD2', 'NOTCH1', 'EP300', 'RBPJ', 'SKI', 'RARA']
1213	GO:BP	GO:0071868	cellular response to monoamine stimulus	0.0008315671331769	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a monoamine stimulus. A monoamine is any of a group of molecular messengers that contain one amino group that is connected to an aromatic ring by ethylene group (-CH2-CH2-). Monoamines are derived from the aromatic amino acids phenylalanine, tyrosine, histidine and tryptophan."" [GOC:mah]"	92	100	5	17376	0.05	0.0543478260869565	query_1	['GO:0071417', 'GO:0071867']	['NCSTN', 'SIN3A', 'PRMT5', 'APP', 'HDAC2']
1214	GO:BP	GO:0071870	cellular response to catecholamine stimulus	0.0008315671331769	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a catecholamine stimulus. A catecholamine is any of a group of biogenic amines that includes 4-(2-aminoethyl)pyrocatechol [4-(2-aminoethyl)benzene-1,2-diol] and derivatives formed by substitution."" [GOC:BHF, GOC:mah]"	92	100	5	17376	0.05	0.0543478260869565	query_1	['GO:0071407', 'GO:0071868', 'GO:0071869', 'GO:1901701']	['NCSTN', 'SIN3A', 'PRMT5', 'APP', 'HDAC2']
1215	GO:BP	GO:0016052	carbohydrate catabolic process	0.0008379872519786	True	"""The chemical reactions and pathways resulting in the breakdown of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."" [ISBN:0198506732]"	145	100	6	17376	0.06	0.0413793103448275	query_1	['GO:0005975', 'GO:1901575']	['PSEN1', 'STAT3', 'EP300', 'NCOR1', 'APP', 'TP53']
1216	REAC	REAC:R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	0.0008441161874851	True	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	21	100	3	17376	0.03	0.1428571428571428	query_1	['REAC:R-HSA-192105']	['RXRA', 'NCOA2', 'NCOA1']
1217	GO:BP	GO:0042180	cellular ketone metabolic process	0.0008473526970592	True	"""The chemical reactions and pathways involving any of a class of organic compounds that contain the carbonyl group, CO, and in which the carbonyl group is bonded only to carbon atoms, as carried out by individual cells. The general formula for a ketone is RCOR, where R and R are alkyl or aryl groups."" [GOC:jl, ISBN:0787650153]"	207	100	7	17376	0.07	0.0338164251207729	query_1	['GO:0044237', 'GO:0044281', 'GO:0071704']	['REST', 'AKT1', 'NR1H2', 'NCOR2', 'NR1H3', 'SIRT1', 'NCOR1']
1218	GO:BP	GO:1901215	negative regulation of neuron death	0.0008473526970592	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]"	207	100	7	17376	0.07	0.0338164251207729	query_1	['GO:0060548', 'GO:0070997', 'GO:1901214']	['REST', 'AKT1', 'PSEN1', 'CTNNB1', 'SIRT1', 'MECP2', 'HIPK2']
1219	GO:BP	GO:0060612	adipose tissue development	0.0008481249623283	True	"""The process whose specific outcome is the progression of adipose tissue over time, from its formation to the mature structure. Adipose tissue is specialized tissue that is used to store fat."" [GOC:dph]"	50	100	4	17376	0.04	0.08	query_1	['GO:0048513', 'GO:0061448']	['NCOA2', 'SIRT1', 'TBL1XR1', 'NCOA1']
1220	GO:BP	GO:0060847	endothelial cell fate specification	0.0008481249623283	True	"""The process involved in the specification of identity of an endothelial cell. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment."" [GOC:dph, GOC:sdb_2009, GOC:tb]"	4	100	2	17376	0.02	0.5	query_1	['GO:0001708', 'GO:0060839']	['DLL1', 'RBPJ']
1221	GO:BP	GO:0002265	astrocyte activation involved in immune response	0.0008481249623283	True	"""A change in the morphology or behavior of an astrocyte resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."" [GOC:add, PMID:11138785]"	4	100	2	17376	0.02	0.5	query_1	['GO:0002263', 'GO:0048143']	['PSEN1', 'APP']
1222	GO:BP	GO:0009912	auditory receptor cell fate commitment	0.0008481249623283	True	"""The process in which the cellular identity of auditory hair cells is acquired and determined."" [GOC:lr]"	4	100	2	17376	0.02	0.5	query_1	['GO:0042491', 'GO:0060120']	['NOTCH1', 'RBPJ']
1223	GO:BP	GO:0031648	protein destabilization	0.0008481249623283	True	"""Any process that decreases the stability of a protein, making it more vulnerable to degradative processes or aggregation."" [GOC:mah]"	50	100	4	17376	0.04	0.08	query_1	['GO:0031647']	['CREBBP', 'SRC', 'SIRT1', 'EP300']
1224	GO:BP	GO:0060120	inner ear receptor cell fate commitment	0.0008481249623283	True	"""The process in which a cell becomes committed to become an inner ear receptor cell."" [GOC:dph]"	4	100	2	17376	0.02	0.5	query_1	['GO:0048663', 'GO:0060113']	['NOTCH1', 'RBPJ']
1225	GO:BP	GO:0030514	negative regulation of BMP signaling pathway	0.0008481249623283	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the BMP signaling pathway."" [GOC:go_curators]"	50	100	4	17376	0.04	0.08	query_1	['GO:0030509', 'GO:0030510', 'GO:0090101', 'GO:0090288']	['NOTCH1', 'SKI', 'SKIL', 'HIPK2']
1226	GO:BP	GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation	0.0008481249623283	True	"""Any process that activates or increases the frequency, rate or extent of CD8-positive, alpha-beta T cell differentiation."" [GOC:add, ISBN:0781735149]"	4	100	2	17376	0.02	0.5	query_1	['GO:0043374', 'GO:0043376', 'GO:0046638', 'GO:2001187']	['CBFB', 'RUNX1']
1227	GO:BP	GO:2000793	cell proliferation involved in heart valve development	0.0008481249623283	True	"""Any cell proliferation that is involved in heart valve development."" [GOC:BHF]"	4	100	2	17376	0.02	0.5	query_1	['GO:0003170', 'GO:0008283']	['SMAD4', 'NOTCH1']
1228	GO:BP	GO:0009957	epidermal cell fate specification	0.0008481249623283	True	"""The process in which a cell becomes capable of differentiating autonomously into an epidermal cell in an environment that is neutral with respect to the developmental pathway; upon specification, the cell fate can be reversed."" [GOC:mtg_sensu, GOC:sm]"	4	100	2	17376	0.02	0.5	query_1	['GO:0001708', 'GO:0009913']	['NOTCH1', 'RBPJ']
1229	GO:BP	GO:1901984	negative regulation of protein acetylation	0.0008485074174679	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of protein acetylation."" [GOC:TermGenie, PMID:22117195]"	20	100	3	17376	0.03	0.15	query_1	['GO:0006473', 'GO:0031400', 'GO:1901983']	['CTBP1', 'SIRT1', 'HDAC2']
1230	GO:BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	0.0008485074174679	True	"""The series of molecular signals initiated by the binding of C-type lectin to its receptor on the surface of a target cell, and resulting in cellular activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	20	100	3	17376	0.03	0.15	query_1	['GO:0002220', 'GO:1990858']	['CREBBP', 'SRC', 'EP300']
1231	GO:BP	GO:1990858	cellular response to lectin	0.0008485074174679	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	100	3	17376	0.03	0.15	query_1	['GO:1990840']	['CREBBP', 'SRC', 'EP300']
1232	GO:BP	GO:0044030	regulation of DNA methylation	0.0008485074174679	True	"""Any process that modulates the frequency, rate or extent of the covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine."" [GOC:jl]"	20	100	3	17376	0.03	0.15	query_1	['GO:0006306', 'GO:0051052']	['KMT2A', 'MECP2', 'PRMT5']
1233	GO:BP	GO:1990840	response to lectin	0.0008485074174679	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	100	3	17376	0.03	0.15	query_1	['GO:0009607']	['CREBBP', 'SRC', 'EP300']
1234	GO:BP	GO:0050821	protein stabilization	0.0008584724933511	True	"""Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation."" [GOC:ai]"	208	100	7	17376	0.07	0.0336538461538461	query_1	['GO:0031647']	['PIK3R1', 'TBL1X', 'SUMO1', 'EP300', 'CTNND1', 'TP53', 'SMAD3']
1235	REAC	REAC:R-HSA-199418	Negative regulation of the PI3K/AKT network	0.000890700922306	True	Negative regulation of the PI3K/AKT network	97	100	5	17376	0.05	0.0515463917525773	query_1	['REAC:R-HSA-1257604']	['AKT1', 'SRC', 'PIK3R1', 'EGFR', 'ESR1']
1236	GO:BP	GO:0099536	synaptic signaling	0.0008939608595994	True	"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]"	708	100	13	17376	0.13	0.0183615819209039	query_1	['GO:0007267']	['AKT1', 'SRC', 'PSEN1', 'KAT2A', 'CTNNB1', 'NCSTN', 'CDH11', 'KMT2A', 'CDH2', 'MECP2', 'CDH1', 'RARA', 'APP']
1237	GO:BP	GO:0046364	monosaccharide biosynthetic process	0.0008982234860338	True	"""The chemical reactions and pathways resulting in the formation of monosaccharides, polyhydric alcohols containing either an aldehyde or a keto group and between three to ten or more carbon atoms."" [ISBN:0198506732]"	94	100	5	17376	0.05	0.0531914893617021	query_1	['GO:0005996', 'GO:0016051', 'GO:0044283']	['KAT2A', 'SIRT1', 'EP300', 'KAT2B', 'FOXO1']
1238	GO:BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	0.0008982234860338	True	"""Any process that modulates the frequency, rate or extent of metaphase/anaphase transition of cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	94	100	5	17376	0.05	0.0531914893617021	query_1	['GO:0033045', 'GO:0044784', 'GO:1901987']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
1239	GO:BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	0.0008982234860338	True	"""The cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:mtg_cell_cycle, PMID:10465783]"	94	100	5	17376	0.05	0.0531914893617021	query_1	['GO:0044772', 'GO:0044784']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
1240	GO:BP	GO:0045912	negative regulation of carbohydrate metabolic process	0.0008987557711358	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving carbohydrate."" [GOC:go_curators]"	51	100	4	17376	0.04	0.0784313725490196	query_1	['GO:0005975', 'GO:0006109', 'GO:0009892']	['STAT3', 'EP300', 'NCOR1', 'TP53']
1241	GO:BP	GO:0003197	endocardial cushion development	0.0008987557711358	True	"""The progression of a cardiac cushion over time, from its initial formation to the mature structure. The endocardial cushion is a specialized region of mesenchymal cells that will give rise to the heart septa and valves."" [GOC:mtg_heart]"	51	100	4	17376	0.04	0.0784313725490196	query_1	['GO:0007507', 'GO:0060485']	['SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ']
1242	GO:BP	GO:0022602	ovulation cycle process	0.0008987557711358	True	"""A process involved in the sexual cycle seen in females, often with physiologic changes in the endometrium that recur at regular intervals during the reproductive years."" [GOC:isa_complete]"	51	100	4	17376	0.04	0.0784313725490196	query_1	['GO:0022414', 'GO:0042698', 'GO:0048511']	['NRIP1', 'SRC', 'SIRT1', 'ESR1']
1243	GO:BP	GO:0001817	regulation of cytokine production	0.0008999057543135	True	"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]"	709	100	13	17376	0.13	0.0183356840620592	query_1	['GO:0001816', 'GO:0010468', 'GO:0051239']	['SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'DLL1', 'SIRT1', 'SMAD4', 'RUNX1', 'RARA', 'APP', 'SMAD3', 'HDAC2']
1244	GO:BP	GO:0042176	regulation of protein catabolic process	0.0009275478053623	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:go_curators, GOC:jl]"	357	100	9	17376	0.09	0.0252100840336134	query_1	['GO:0009894', 'GO:0030163', 'GO:0051246']	['AKT1', 'PSEN1', 'SUMO1', 'EGFR', 'SMAD4', 'CDH1', 'FOXO1', 'SMAD3', 'SMARCC1']
1245	REAC	REAC:R-HSA-9679506	SARS-CoV Infections	0.0009354743359754	True	SARS-CoV Infections	365	100	9	17376	0.09	0.0246575342465753	query_1	['REAC:R-HSA-5663205']	['REST', 'UBE2I', 'AKT1', 'CREBBP', 'HDAC1', 'SUMO1', 'RCOR1', 'HDAC2', 'KDM1A']
1246	GO:BP	GO:0071869	response to catecholamine	0.0009371438545198	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a catecholamine stimulus. A catecholamine is any of a group of biogenic amines that includes 4-(2-aminoethyl)pyrocatechol [4-(2-aminoethyl)benzene-1,2-diol] and derivatives formed by substitution."" [GOC:BHF, GOC:mah]"	95	100	5	17376	0.05	0.0526315789473684	query_1	['GO:0014070', 'GO:0071867', 'GO:1901700']	['NCSTN', 'SIN3A', 'PRMT5', 'APP', 'HDAC2']
1247	GO:BP	GO:0071867	response to monoamine	0.0009371438545198	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a monoamine stimulus. A monoamine is any of a group of molecular messengers that contain one amino group that is connected to an aromatic ring by ethylene group (-CH2-CH2-). Monoamines are derived from the aromatic amino acids phenylalanine, tyrosine, histidine and tryptophan."" [GOC:mah]"	95	100	5	17376	0.05	0.0526315789473684	query_1	['GO:0010243']	['NCSTN', 'SIN3A', 'PRMT5', 'APP', 'HDAC2']
1248	GO:BP	GO:0048754	branching morphogenesis of an epithelial tube	0.0009418414997832	True	"""The process in which the anatomical structures of branches in an epithelial tube are generated and organized. A tube is a long hollow cylinder."" [GOC:dgh, GOC:dph, GOC:jid]"	149	100	6	17376	0.06	0.0402684563758389	query_1	['GO:0035239', 'GO:0060562', 'GO:0061138']	['SRC', 'CTNNB1', 'AR', 'SMAD4', 'NOTCH1', 'ESR1']
