Mandibuloacral dysplasia with type A lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
193	GO:BP	GO:0044819	mitotic G1/S transition checkpoint signaling	1.7887106425461468e-05	True	"""A cell cycle checkpoint that detects and negatively regulates progression from G1 to S phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]"	32	100	5	15719	0.05	0.15625	query_1	['GO:0007093', 'GO:2000134']	['RPA2', 'ATM', 'CDK2', 'PRKDC', 'TP53']
194	GO:BP	GO:0043247	telomere maintenance in response to DNA damage	1.7887106425461468e-05	True	"""Any process that occur in response to the presence of critically short or damaged telomeres."" [GOC:BHF, GOC:BHF_telomere, GOC:jbu, PMID:15279784]"	32	100	5	15719	0.05	0.15625	query_1	['GO:0000723', 'GO:0006974']	['DCLRE1C', 'ERCC1', 'ERCC4', 'APEX1', 'XRCC1']
99	REAC	REAC:R-HSA-174430	Telomere C-strand synthesis initiation	1.9313066911006588e-05	True	Telomere C-strand synthesis initiation	13	96	4	10022	0.0416666666666666	0.3076923076923077	query_1	['REAC:R-HSA-174417']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2']
98	REAC	REAC:R-HSA-3270619	IRF3-mediated induction of type I IFN	1.9313066911006588e-05	True	IRF3-mediated induction of type I IFN	13	96	4	10022	0.0416666666666666	0.3076923076923077	query_1	['REAC:R-HSA-1834941']	['XRCC6', 'XRCC5', 'MRE11', 'PRKDC']
97	REAC	REAC:R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	1.9313066911006588e-05	True	Inhibition of replication initiation of damaged DNA by RB1/E2F1	13	96	4	10022	0.0416666666666666	0.3076923076923077	query_1	['REAC:R-HSA-113510']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2']
195	GO:BP	GO:0002449	lymphocyte mediated immunity	1.9536814278448516e-05	True	"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	283	100	11	15719	0.11	0.03886925795053	query_1	['GO:0002443']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
73	GO:CC	GO:0005743	mitochondrial inner membrane	2.1035814229254652e-05	True	"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]"	466	102	13	16420	0.1274509803921568	0.0278969957081545	query_1	['GO:0019866', 'GO:0031966']	['MICOS10', 'MTX3', 'MTX2', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'DNAJC11', 'CHCHD10', 'SAMM50', 'IMMT']
196	GO:BP	GO:0061024	membrane organization	2.117691008213236e-05	True	"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."" [GOC:dph, GOC:tb]"	785	100	18	15719	0.18	0.0229299363057324	query_1	['GO:0016043']	['MICOS10', 'MTX3', 'MTX2', 'LMNA', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'VRK1', 'APOO', 'CHCHD6', 'EMD', 'DNAJC11', 'TP53', 'CHCHD10', 'SAMM50', 'IMMT', 'BANF1']
197	GO:BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2.3704550052097195e-05	True	"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]"	289	100	11	15719	0.11	0.0380622837370242	query_1	['GO:0002250']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
198	GO:BP	GO:0006979	response to oxidative stress	2.4168333333024018e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl, PMID:12115731]"	416	100	13	15719	0.13	0.03125	query_1	['GO:0006950']	['RAD52', 'OGG1', 'PCNA', 'PARP1', 'ERCC1', 'FANCD2', 'APEX1', 'XRCC1', 'WRN', 'TP53', 'PNKP', 'NEIL1', 'BANF1']
199	GO:BP	GO:0051106	positive regulation of DNA ligation	2.6078007978271025e-05	True	"""Any process that activates or increases the frequency, rate or extent of DNA ligation, the re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [GOC:ai]"	5	100	3	15719	0.03	0.6	query_1	['GO:0006266', 'GO:0051054', 'GO:0051105']	['APLF', 'RAD51', 'XRCC1']
200	GO:BP	GO:0007095	mitotic G2 DNA damage checkpoint signaling	2.755490381537914e-05	True	"""A mitotic cell cycle checkpoint that detects and negatively regulates progression through the G2/M transition of the cell cycle in response to DNA damage."" [GOC:mtg_cell_cycle, PMID:16299494]"	35	100	5	15719	0.05	0.1428571428571428	query_1	['GO:0044773', 'GO:0044818']	['NBN', 'BLM', 'ATM', 'MRE11', 'BRCA1']
201	GO:BP	GO:0090399	replicative senescence	2.7604106455697392e-05	True	"""A cell aging process associated with the dismantling of a cell as a response to telomere shortening and/or cellular aging."" [GOC:BHF]"	16	100	4	15719	0.04	0.25	query_1	['GO:0044237']	['ERCC1', 'ATM', 'WRN', 'TP53']
203	GO:BP	GO:0090398	cellular senescence	2.8344724507974087e-05	True	"""A cell aging process stimulated in response to cellular stress, whereby normal cells lose the ability to divide through irreversible cell cycle arrest."" [GOC:BHF, PMID:28682291]"	97	100	7	15719	0.07	0.0721649484536082	query_1	['GO:0033554', 'GO:0044237']	['LMNA', 'H2AX', 'BRCA2', 'ATM', 'CDK2', 'WRN', 'TP53']
202	GO:BP	GO:2001251	negative regulation of chromosome organization	2.8344724507974087e-05	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome organization."" [GOC:obol]"	97	100	7	15719	0.07	0.0721649484536082	query_1	['GO:0010639', 'GO:0033044', 'GO:0051276']	['NBN', 'RAD50', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'XRCC1']
204	GO:BP	GO:0045132	meiotic chromosome segregation	3.0219291958646464e-05	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets during M phase of the meiotic cell cycle."" [GOC:ai, GOC:mah]"	98	100	7	15719	0.07	0.0714285714285714	query_1	['GO:0098813', 'GO:0140013', 'GO:1903046']	['BRIP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RMI1']
74	GO:CC	GO:0005739	mitochondrion	3.0769217447970406e-05	True	"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]"	1581	102	25	16420	0.2450980392156862	0.0158127767235926	query_1	['GO:0005737', 'GO:0043231']	['MICOS10', 'MTX3', 'MTX2', 'MICOS13', 'LIG3', 'MTX1', 'CHCHD3', 'FEN1', 'OGG1', 'LIG1', 'PARP1', 'APOOL', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'CARD19', 'APOO', 'CHCHD6', 'DNAJC11', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'IMMT']
205	GO:BP	GO:0000280	nuclear division	3.110270430610989e-05	True	"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]"	427	100	13	15719	0.13	0.0304449648711943	query_1	['GO:0048285']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1', 'BANF1']
206	GO:BP	GO:0000076	DNA replication checkpoint signaling	3.5053919377135984e-05	True	"""A signal transduction process that contributes to a DNA replication checkpoint, that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome."" [GOC:curators, GOC:rn, PMID:11728327, PMID:12537518]"	17	100	4	15719	0.04	0.2352941176470588	query_1	['GO:0031570']	['HUS1', 'RAD9B', 'RAD9A', 'HUS1B']
207	GO:BP	GO:0045191	regulation of isotype switching	3.539563019172112e-05	True	"""Any process that modulates the frequency, rate or extent of isotype switching."" [GOC:ai]"	37	100	5	15719	0.05	0.1351351351351351	query_1	['GO:0000018', 'GO:0002637', 'GO:0002889', 'GO:0045190', 'GO:0050864']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
100	REAC	REAC:R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	3.5428291662606874e-05	True	DNA Damage/Telomere Stress Induced Senescence	79	96	7	10022	0.0729166666666666	0.0886075949367088	query_1	['REAC:R-HSA-2559583']	['NBN', 'RAD50', 'H2AX', 'ATM', 'MRE11', 'CDK2', 'TP53']
101	REAC	REAC:R-HSA-1834941	STING mediated induction of host immune responses	3.561940973145123e-05	True	STING mediated induction of host immune responses	15	96	4	10022	0.0416666666666666	0.2666666666666666	query_1	['REAC:R-HSA-1834949']	['XRCC6', 'XRCC5', 'MRE11', 'PRKDC']
208	GO:BP	GO:0010638	positive regulation of organelle organization	3.94818487047318e-05	True	"""Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	508	100	14	15719	0.14	0.0275590551181102	query_1	['GO:0006996', 'GO:0033043', 'GO:0051130']	['NBN', 'RAD50', 'RAD51AP1', 'LIG4', 'FEN1', 'XRCC5', 'ERCC1', 'ATM', 'MRE11', 'VDAC1', 'CDK2', 'TP53', 'CHCHD10', 'PNKP']
76	GO:CC	GO:0031967	organelle envelope	4.063776115044688e-05	True	"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]"	1200	102	21	16420	0.2058823529411764	0.0175	query_1	['GO:0031975', 'GO:0043227', 'GO:0043229']	['MICOS10', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'MICOS13', 'MTX1', 'CHCHD3', 'POLA1', 'PARP1', 'APOOL', 'VDAC1', 'CARD19', 'APOO', 'CHCHD6', 'EMD', 'DNAJC11', 'CHCHD10', 'SAMM50', 'IMMT', 'BANF1']
75	GO:CC	GO:0031975	envelope	4.063776115044688e-05	True	"""A multilayered structure surrounding all or part of a cell; encompasses one or more lipid bilayers, and may include a cell wall layer; also includes the space between layers."" [GOC:mah, GOC:pz]"	1200	102	21	16420	0.2058823529411764	0.0175	query_1	['GO:0110165']	['MICOS10', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'MICOS13', 'MTX1', 'CHCHD3', 'POLA1', 'PARP1', 'APOOL', 'VDAC1', 'CARD19', 'APOO', 'CHCHD6', 'EMD', 'DNAJC11', 'CHCHD10', 'SAMM50', 'IMMT', 'BANF1']
77	GO:CC	GO:0016363	nuclear matrix	4.568626551929212e-05	True	"""The dense fibrillar network lying on the inner side of the nuclear membrane."" [ISBN:0582227089]"	127	102	7	16420	0.0686274509803921	0.0551181102362204	query_1	['GO:0034399', 'GO:0110165']	['LMNA', 'HLTF', 'PAXIP1', 'OGG1', 'POLA1', 'BLM', 'TP53']
102	REAC	REAC:R-HSA-110312	Translesion synthesis by REV1	4.668679213685192e-05	True	Translesion synthesis by REV1	16	96	4	10022	0.0416666666666666	0.25	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
213	GO:BP	GO:0043570	maintenance of DNA repeat elements	4.864761035984822e-05	True	"""Any process involved in sustaining the fidelity and copy number of DNA repeat elements."" [GOC:jl]"	6	100	3	15719	0.03	0.5	query_1	['GO:0006259', 'GO:0051276']	['MSH2', 'MSH3', 'RMI2']
209	GO:BP	GO:0043504	mitochondrial DNA repair	4.864761035984822e-05	True	"""The process of restoring mitochondrial DNA after damage."" [PMID:12565799, PMID:15189144, PMID:16050976]"	6	100	3	15719	0.03	0.5	query_1	['GO:0006281', 'GO:0032042']	['LIG3', 'PARP1', 'TP53']
210	GO:BP	GO:0051105	regulation of DNA ligation	4.864761035984822e-05	True	"""Any process that modulates the frequency, rate or extent of DNA ligation, the re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [GOC:ai]"	6	100	3	15719	0.03	0.5	query_1	['GO:0006266', 'GO:0051052']	['APLF', 'RAD51', 'XRCC1']
211	GO:BP	GO:0000019	regulation of mitotic recombination	4.864761035984822e-05	True	"""Any process that modulates the frequency, rate or extent of DNA recombination during mitosis."" [GOC:go_curators]"	6	100	3	15719	0.03	0.5	query_1	['GO:0000018', 'GO:0006312']	['RAD50', 'MLH1', 'MRE11']
212	GO:BP	GO:0007004	telomere maintenance via telomerase	4.864761035984822e-05	True	"""The maintenance of proper telomeric length by the addition of telomeric repeats by telomerase."" [GOC:elh]"	69	100	6	15719	0.06	0.0869565217391304	query_1	['GO:0006278', 'GO:0010833']	['RAD50', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'PNKP']
214	GO:BP	GO:0034654	nucleobase-containing compound biosynthetic process	5.209475750626627e-05	True	"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]"	3709	100	44	15719	0.44	0.011863035858722	query_1	['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']	['RBBP8', 'BRIP1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'CHCHD10', 'PNKP', 'POLE', 'POLD2', 'RNF8']
215	GO:BP	GO:0006278	RNA-templated DNA biosynthetic process	5.2446294869513625e-05	True	"""A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand."" [GOC:mah, ISBN:0198506732]"	70	100	6	15719	0.06	0.0857142857142857	query_1	['GO:0071897']	['RAD50', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'PNKP']
216	GO:BP	GO:0008340	determination of adult lifespan	5.367979290557028e-05	True	"""The pathways that regulate the duration of the adult phase of the life-cycle of an animal."" [PMID:25561524, PMID:273723695, PMID:3424805]"	19	100	4	15719	0.04	0.2105263157894736	query_1	['GO:0032501']	['MSH2', 'ATM', 'TP53', 'MSH6']
217	GO:BP	GO:0035518	histone H2A monoubiquitination	5.367979290557028e-05	True	"""The modification of histone H2A by addition of a single ubiquitin group."" [PMID:18206970]"	19	100	4	15719	0.04	0.2105263157894736	query_1	['GO:0010390', 'GO:0033522']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1']
103	REAC	REAC:R-HSA-5656121	Translesion synthesis by POLI	5.945028043373016e-05	True	Translesion synthesis by POLI	17	96	4	10022	0.0416666666666666	0.2352941176470588	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
104	REAC	REAC:R-HSA-5655862	Translesion synthesis by POLK	5.945028043373016e-05	True	Translesion synthesis by POLK	17	96	4	10022	0.0416666666666666	0.2352941176470588	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
218	GO:BP	GO:0008152	metabolic process	6.208948112114486e-05	True	"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"	10419	100	86	15719	0.86	0.0082541510701602	query_1	['GO:0008150']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
219	GO:BP	GO:0032042	mitochondrial DNA metabolic process	8.13354626922935e-05	True	"""The chemical reactions and pathways involving mitochondrial DNA."" [GOC:mah]"	21	100	4	15719	0.04	0.1904761904761904	query_1	['GO:0000002', 'GO:0006259']	['LIG3', 'PARP1', 'TOP3A', 'TP53']
221	GO:BP	GO:0045002	double-strand break repair via single-strand annealing	8.146893365868923e-05	True	"""Repair of a DSB made between two repeated sequences oriented in the same direction occurs primarily by the single strand annealing pathway. The ends of the break are processed by a 5' to 3' exonuclease, exposing complementary single-strand regions of the direct repeats that can anneal, resulting in a deletion of the unique DNA between the direct repeats."" [PMID:11606529]"	7	100	3	15719	0.03	0.4285714285714285	query_1	['GO:0006302']	['RBBP8', 'RAD52', 'OGG1']
220	GO:BP	GO:0051096	positive regulation of helicase activity	8.146893365868923e-05	True	"""Any process that activates or increases the activity of a helicase."" [GOC:ai]"	7	100	3	15719	0.03	0.4285714285714285	query_1	['GO:0032781', 'GO:0043085', 'GO:0051095']	['MSH2', 'MSH3', 'MSH6']
222	GO:BP	GO:0018130	heterocycle biosynthetic process	8.157217852230668e-05	True	"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]"	3775	100	44	15719	0.44	0.0116556291390728	query_1	['GO:0044249', 'GO:0046483']	['RBBP8', 'BRIP1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'CHCHD10', 'PNKP', 'POLE', 'POLD2', 'RNF8']
223	GO:BP	GO:0048285	organelle fission	8.661992723622109e-05	True	"""The creation of two or more organelles by division of one organelle."" [GOC:jid]"	473	100	13	15719	0.13	0.0274841437632135	query_1	['GO:0006996']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1', 'BANF1']
224	GO:BP	GO:0019438	aromatic compound biosynthetic process	8.689642594247824e-05	True	"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]"	3785	100	44	15719	0.44	0.0116248348745046	query_1	['GO:0006725', 'GO:0044249']	['RBBP8', 'BRIP1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'POLD4', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'CHCHD10', 'PNKP', 'POLE', 'POLD2', 'RNF8']
225	GO:BP	GO:0033043	regulation of organelle organization	8.916489411971067e-05	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:mah]"	1154	100	21	15719	0.21	0.0181975736568457	query_1	['GO:0006996', 'GO:0051128']	['LMNA', 'NBN', 'RAD50', 'RAD51AP1', 'LIG4', 'FEN1', 'RAD1', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'VDAC1', 'BRCA1', 'CDK2', 'XRCC1', 'RMI2', 'TP53', 'CHCHD10', 'PNKP']
105	REAC	REAC:R-HSA-1268020	Mitochondrial protein import	9.065976979632417e-05	True	Mitochondrial protein import	62	96	6	10022	0.0625	0.0967741935483871	query_1	['REAC:R-HSA-9609507']	['MTX2', 'MTX1', 'CHCHD3', 'VDAC1', 'CHCHD10', 'SAMM50']
106	REAC	REAC:R-HSA-110320	Translesion Synthesis by POLH	9.362271746351284e-05	True	Translesion Synthesis by POLH	19	96	4	10022	0.0416666666666666	0.2105263157894736	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
226	GO:BP	GO:0034502	protein localization to chromosome	9.377433795931684e-05	True	"""Any process in which a protein is transported to, or maintained at, a specific location on a chromosome."" [GOC:mah]"	118	100	7	15719	0.07	0.059322033898305	query_1	['GO:0033365']	['MSH2', 'RPA2', 'BRCA2', 'XRCC4', 'XRCC5', 'RPA1', 'VRK1']
227	GO:BP	GO:0006268	DNA unwinding involved in DNA replication	9.545438965843182e-05	True	"""The process in which interchain hydrogen bonds between two strands of DNA are broken or 'melted', generating unpaired template strands for DNA replication."" [ISBN:071673706X, ISBN:0815316194]"	22	100	4	15719	0.04	0.1818181818181818	query_1	['GO:0006261', 'GO:0032508']	['RPA1', 'BLM', 'RAD51', 'WRN']
78	GO:CC	GO:0031966	mitochondrial membrane	9.881083679005764e-05	True	"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]"	709	102	15	16420	0.1470588235294117	0.0211565585331452	query_1	['GO:0005740', 'GO:0031090']	['MICOS10', 'MTX3', 'MTX2', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'VDAC1', 'CARD19', 'APOO', 'CHCHD6', 'DNAJC11', 'CHCHD10', 'SAMM50', 'IMMT']
228	GO:BP	GO:0016574	histone ubiquitination	0.0001075825425817	True	"""The modification of histones by addition of ubiquitin groups."" [GOC:ai]"	47	100	5	15719	0.05	0.1063829787234042	query_1	['GO:0016567', 'GO:0016570']	['BRCA2', 'RAD51', 'BRCA1', 'BARD1', 'RNF8']
79	GO:CC	GO:0032301	MutSalpha complex	0.0001178985214479	True	"""A heterodimer involved in the recognition and repair of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MSH2 and MSH6."" [PMID:11005803]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0032300', 'GO:0140513']	['MSH2', 'MSH6']
80	GO:CC	GO:0032302	MutSbeta complex	0.0001178985214479	True	"""A heterodimer involved in binding to and correcting insertion/deletion mutations. In human the complex consists of two subunits, MSH2 and MSH3."" [PMID:11005803]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0032300', 'GO:0140513']	['MSH2', 'MSH3']
81	GO:CC	GO:0032389	MutLalpha complex	0.0001178985214479	True	"""A heterodimer involved in the recognition of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MLH1 and PMS2."" [GOC:vk]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0032300', 'GO:0140513']	['MLH1', 'PMS2']
229	GO:BP	GO:1901976	regulation of cell cycle checkpoint	0.0001189699879209	True	"""Any process that modulates the frequency, rate or extent of cell cycle checkpoint."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:23028116]"	48	100	5	15719	0.05	0.1041666666666666	query_1	['GO:0000075', 'GO:1901987', 'GO:1902531']	['RPA2', 'BRCA2', 'RAD51', 'BRCA1', 'BARD1']
230	GO:BP	GO:0033313	meiotic cell cycle checkpoint signaling	0.0001246924257763	True	"""A signaling process that contributes to a meiotic cell cycle checkpoint that ensures accurate chromosome replication and segregation by preventing progression through a meiotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]"	8	100	3	15719	0.03	0.375	query_1	['GO:0000075', 'GO:1903046']	['HUS1', 'RAD1', 'HUS1B']
231	GO:BP	GO:0010639	negative regulation of organelle organization	0.0001283785974672	True	"""Any process that decreases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	351	100	11	15719	0.11	0.0313390313390313	query_1	['GO:0006996', 'GO:0033043', 'GO:0051129']	['LMNA', 'NBN', 'RAD50', 'RAD1', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'BRCA1', 'XRCC1', 'TP53']
232	GO:BP	GO:0090329	regulation of DNA-templated DNA replication	0.0001301272155213	True	"""Any process that modulates the rate, frequency, or extent of DNA-templated DNA replication, the process in which new strands of DNA are synthesized."" [GOC:dph, GOC:tb]"	49	100	5	15719	0.05	0.1020408163265306	query_1	['GO:0006261', 'GO:0006275']	['NBN', 'LIG3', 'PCNA', 'BLM', 'CDK2']
233	GO:BP	GO:0006275	regulation of DNA replication	0.0001397742751932	True	"""Any process that modulates the frequency, rate or extent of DNA replication."" [GOC:go_curators]"	126	100	7	15719	0.07	0.0555555555555555	query_1	['GO:0006260', 'GO:0051052']	['NBN', 'LIG3', 'PCNA', 'BLM', 'POLE3', 'CDK2', 'TP53']
234	GO:BP	GO:2000781	positive regulation of double-strand break repair	0.0001489094397263	True	"""Any process that activates or increases the frequency, rate or extent of double-strand break repair."" [GOC:BHF]"	85	100	6	15719	0.06	0.0705882352941176	query_1	['GO:0006302', 'GO:0045739', 'GO:2000779']	['RBBP8', 'RAD51AP1', 'WDR48', 'PARP1', 'PRKDC', 'PNKP']
235	GO:BP	GO:0045321	leukocyte activation	0.0001581417466067	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	920	100	18	15719	0.18	0.0195652173913043	query_1	['GO:0001775', 'GO:0002376']	['NBN', 'MSH2', 'TP53BP1', 'DCLRE1C', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'PRKDC', 'TP53', 'RNF8', 'MSH6']
