Hoyeraal-Hreidarsson syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
465	GO:BP	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.0017158132929175	True	"""Any cell surface receptor signaling pathway that is involved in cell-cell signaling."" [GO_REF:0000060, GOC:TermGenie, ISBN:0-7167-3051-0]"	546	104	12	15719	0.1153846153846153	0.0219780219780219	query_1	['GO:0007166', 'GO:0007267']	['USP34', 'GSK3B', 'AKT1', 'RNF146', 'CTNNB1', 'TERT', 'TNKS2', 'DVL2', 'AXIN1', 'DVL1', 'AXIN2', 'TNKS']
473	GO:BP	GO:1901700	response to oxygen-containing compound	0.0017260198105333	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	104	24	15719	0.2307692307692307	0.0140597539543057	query_1	['GO:0042221']	['GSK3B', 'AKT1', 'MDM2', 'LIG4', 'CTNNB1', 'PCNA', 'AR', 'PARP1', 'XRCC5', 'BLM', 'ATM', 'RAD51', 'HADHB', 'APEX1', 'USP46', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'POLB', 'RMI1', 'TP53', 'HADHA']
474	GO:BP	GO:0030163	protein catabolic process	0.0017320160285715	True	"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]"	992	104	17	15719	0.1634615384615384	0.0171370967741935	query_1	['GO:0009057', 'GO:0019538', 'GO:1901565']	['USP34', 'GSK3B', 'AKT1', 'MDM2', 'USP1', 'RNF146', 'CTNNB1', 'USP12', 'AXIN1', 'ATM', 'USP7', 'DVL1', 'USP46', 'AXIN2', 'CDK2', 'BARD1', 'RNF8']
476	GO:BP	GO:0010035	response to inorganic substance	0.001733335605921	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inorganic substance stimulus."" [GOC:sm]"	547	104	12	15719	0.1153846153846153	0.0219378427787934	query_1	['GO:0042221']	['AKT1', 'ATRX', 'LIG4', 'PCNA', 'TERT', 'PARP1', 'DAXX', 'BLM', 'RAD51', 'APEX1', 'CDK2', 'TP53']
475	GO:BP	GO:1903052	positive regulation of proteolysis involved in protein catabolic process	0.001733335605921	True	"""Any process that activates or increases the frequency, rate or extent of proteolysis involved in protein catabolic process."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18307834]"	134	104	6	15719	0.0576923076923076	0.044776119402985	query_1	['GO:0045862', 'GO:0051603', 'GO:1903050']	['GSK3B', 'AKT1', 'MDM2', 'AXIN1', 'DVL1', 'AXIN2']
477	GO:BP	GO:0044085	cellular component biogenesis	0.001751539327027	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]"	3106	104	36	15719	0.3461538461538461	0.0115904700579523	query_1	['GO:0071840']	['ACD', 'GSK3B', 'NBN', 'MDM2', 'TP53BP1', 'ATRX', 'TERF2', 'CTNNB1', 'MLH1', 'SHQ1', 'H2AX', 'NHP2', 'TERF1', 'TINF2', 'GAR1', 'DKC1', 'POT1', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'ATM', 'RAD51', 'NAF1', 'DVL1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'RTEL1', 'WRN', 'NOP10', 'TNKS', 'TP53', 'WRAP53']
149	REAC	REAC:R-HSA-3371453	Regulation of HSF1-mediated heat shock response	0.0018175803942925	True	Regulation of HSF1-mediated heat shock response	67	100	5	10022	0.05	0.0746268656716417	query_1	['REAC:R-HSA-3371556']	['GSK3B', 'RPA2', 'RPA3', 'RPA1', 'ATM']
478	GO:BP	GO:0016072	rRNA metabolic process	0.0018516264333356	True	"""The chemical reactions and pathways involving rRNA, ribosomal RNA, a structural constituent of ribosomes."" [ISBN:0198506732]"	254	104	8	15719	0.0769230769230769	0.0314960629921259	query_1	['GO:0034660']	['SHQ1', 'NHP2', 'GAR1', 'DKC1', 'NAF1', 'PRKDC', 'NOP10', 'TP53']
479	GO:BP	GO:0032504	multicellular organism reproduction	0.0018991036938478	True	"""The biological process in which new individuals are produced by one or two multicellular organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."" [GOC:isa_complete, GOC:jid]"	906	104	16	15719	0.1538461538461538	0.0176600441501103	query_1	['GO:0000003', 'GO:0032501']	['AKT1', 'MSH2', 'ATRX', 'WDR48', 'CTNNB1', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'AR', 'PARN', 'PARP1', 'FANCD2', 'ATM', 'RNF8', 'MSH6']
480	GO:BP	GO:0051247	positive regulation of protein metabolic process	0.0019031740209902	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1401	104	21	15719	0.2019230769230769	0.0149892933618843	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['GSK3B', 'AKT1', 'NBN', 'MDM2', 'RAD50', 'FANCI', 'XRCC6', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'DVL2', 'DAXX', 'AXIN1', 'XRCC5', 'MRE11', 'DVL1', 'AXIN2', 'BRCA1', 'PRKDC', 'BARD1', 'TP53']
481	GO:BP	GO:0048285	organelle fission	0.001910162325964	True	"""The creation of two or more organelles by division of one organelle."" [GOC:jid]"	473	104	11	15719	0.1057692307692307	0.0232558139534883	query_1	['GO:0006996']	['RAD50', 'RAD51AP1', 'MLH1', 'TERF1', 'BRCA2', 'RAD1', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
482	GO:BP	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	0.0019254851791342	True	"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage and resulting in the stopping or reduction in rate of the cell cycle."" [GOC:go_curators]"	20	104	3	15719	0.0288461538461538	0.15	query_1	['GO:0030330', 'GO:0031571']	['MDM2', 'ATM', 'TP53']
150	REAC	REAC:R-HSA-5368598	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	0.0019910006105621	True	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	4	100	2	10022	0.02	0.5	query_1	['REAC:R-HSA-201681']	['DVL2', 'DVL1']
151	REAC	REAC:R-HSA-196299	Beta-catenin phosphorylation cascade	0.0020063634883133	True	Beta-catenin phosphorylation cascade	17	100	3	10022	0.03	0.1764705882352941	query_1	['REAC:R-HSA-195253']	['GSK3B', 'CTNNB1', 'AXIN1']
483	GO:BP	GO:0003002	regionalization	0.002055867164657	True	"""The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment."" [GOC:dph, GOC:isa_complete]"	400	104	10	15719	0.0961538461538461	0.025	query_1	['GO:0007389']	['ACD', 'CTNNB1', 'AR', 'DVL2', 'AXIN1', 'ATM', 'DVL1', 'AXIN2', 'PRKDC', 'TP53']
484	GO:BP	GO:0048660	regulation of smooth muscle cell proliferation	0.0020767138635257	True	"""Any process that modulates the frequency, rate or extent of smooth muscle cell proliferation."" [CL:0000192, GOC:ebc]"	139	104	6	15719	0.0576923076923076	0.0431654676258992	query_1	['GO:0042127', 'GO:0048659']	['AKT1', 'XRCC6', 'CTNNB1', 'TERT', 'XRCC5', 'PRKDC']
152	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	0.002186201597097	True	Mitotic G1 phase and G1/S transition	147	100	7	10022	0.07	0.0476190476190476	query_1	['REAC:R-HSA-69278']	['AKT1', 'RPA2', 'PCNA', 'RPA3', 'RPA1', 'CDK2', 'POLA2']
485	GO:BP	GO:0062197	cellular response to chemical stress	0.0021973712405395	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."" [PMID:26653712]"	330	104	9	15719	0.0865384615384615	0.0272727272727272	query_1	['GO:0033554', 'GO:0070887']	['AKT1', 'CTNNB1', 'PCNA', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'APEX1', 'TP53']
487	GO:BP	GO:0051571	positive regulation of histone H3-K4 methylation	0.0022127166240047	True	"""Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 4 of histone H3."" [GOC:mah]"	21	104	3	15719	0.0288461538461538	0.1428571428571428	query_1	['GO:0031062', 'GO:0051568', 'GO:0051569']	['PAXIP1', 'CTNNB1', 'BRCA1']
486	GO:BP	GO:0051000	positive regulation of nitric-oxide synthase activity	0.0022127166240047	True	"""Any process that activates or increases the activity of the enzyme nitric-oxide synthase."" [GOC:ai]"	21	104	3	15719	0.0288461538461538	0.1428571428571428	query_1	['GO:0032770', 'GO:0050999']	['AKT1', 'TERF2', 'TERT']
488	GO:BP	GO:0012501	programmed cell death	0.0022260979284276	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1850	104	25	15719	0.2403846153846154	0.0135135135135135	query_1	['GO:0008219']	['GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'LIG4', 'CTNNB1', 'MLH1', 'SHQ1', 'BRCA2', 'AR', 'TERT', 'PARP1', 'DAXX', 'AXIN1', 'ATM', 'RAD9A', 'MRE11', 'APEX1', 'BRCA1', 'PRKDC', 'BARD1', 'POLB', 'TP53', 'MSH6']
489	GO:BP	GO:0036211	protein modification process	0.0022473944998175	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3399	104	38	15719	0.3653846153846153	0.0111797587525742	query_1	['GO:0019538', 'GO:0043412']	['USP34', 'HUS1', 'GSK3B', 'AKT1', 'NBN', 'MDM2', 'USP1', 'RNF146', 'RAD50', 'FANCI', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'BRCA2', 'USP12', 'TNKS2', 'DVL2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'ATM', 'MRE11', 'RAD51', 'USP7', 'DVL1', 'USP46', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TNKS', 'TP53', 'RNF8']
153	REAC	REAC:R-HSA-3232118	SUMOylation of transcription factors	0.0023592129719115	True	SUMOylation of transcription factors	18	100	3	10022	0.03	0.1666666666666666	query_1	['REAC:R-HSA-3108232']	['MDM2', 'TP53BP1', 'TP53']
490	GO:BP	GO:0007275	multicellular organism development	0.0023785656229146	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4318	104	45	15719	0.4326923076923077	0.0104214914312181	query_1	['GO:0032501', 'GO:0048856']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'TERF2', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'H2AX', 'MSH3', 'BRCA2', 'RAD1', 'PCNA', 'AR', 'TERT', 'DVL2', 'PMS2', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'ATM', 'DVL1', 'EXO1', 'AXIN2', 'BRCA1', 'PRKDC', 'XRCC1', 'POLB', 'WRN', 'TP53', 'RNF8', 'MSH6']
491	GO:BP	GO:0048659	smooth muscle cell proliferation	0.0023834064699618	True	"""The multiplication or reproduction of smooth muscle cells, resulting in the expansion of a cell population."" [CL:0000192, GOC:ebc, PMID:1840698]"	143	104	6	15719	0.0576923076923076	0.0419580419580419	query_1	['GO:0033002']	['AKT1', 'XRCC6', 'CTNNB1', 'TERT', 'XRCC5', 'PRKDC']
493	GO:BP	GO:0010586	miRNA metabolic process	0.0024021293184411	True	"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]"	93	104	5	15719	0.048076923076923	0.053763440860215	query_1	['GO:0034660']	['AR', 'TERT', 'PARN', 'KHSRP', 'TP53']
492	GO:BP	GO:1901701	cellular response to oxygen-containing compound	0.0024021293184411	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1222	104	19	15719	0.1826923076923076	0.0155482815057283	query_1	['GO:0070887', 'GO:1901700']	['GSK3B', 'AKT1', 'MDM2', 'LIG4', 'CTNNB1', 'PCNA', 'AR', 'PARP1', 'XRCC5', 'BLM', 'ATM', 'RAD51', 'HADHB', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'TP53']
494	GO:BP	GO:0002639	positive regulation of immunoglobulin production	0.0024383660166844	True	"""Any process that activates or increases the frequency, rate, or extent of immunoglobulin production."" [GOC:add]"	52	104	4	15719	0.0384615384615384	0.0769230769230769	query_1	['GO:0002377', 'GO:0002637', 'GO:0002702']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
495	GO:BP	GO:0050864	regulation of B cell activation	0.002453907710555	True	"""Any process that modulates the frequency, rate or extent of B cell activation."" [GOC:ai]"	144	104	6	15719	0.0576923076923076	0.0416666666666666	query_1	['GO:0042113', 'GO:0051249']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1', 'ATM']
496	GO:BP	GO:0007059	chromosome segregation	0.0024805262515596	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]"	411	104	10	15719	0.0961538461538461	0.024330900243309	query_1	['GO:0022402']	['MLH1', 'TERF1', 'FANCD2', 'ATM', 'MRE11', 'TOP3A', 'BRCA1', 'RMI2', 'TNKS', 'RMI1']
497	GO:BP	GO:0009410	response to xenobiotic stimulus	0.0025718417890279	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."" [GOC:jl, GOC:krc]"	413	104	10	15719	0.0961538461538461	0.0242130750605326	query_1	['GO:0042221']	['CTNNB1', 'TERF1', 'PCNA', 'PMS2', 'XRCC5', 'RAD51', 'APEX1', 'XRCC1', 'TP53', 'HADHA']
498	GO:BP	GO:0001932	regulation of protein phosphorylation	0.0025814224666497	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."" [GOC:hjd]"	1031	104	17	15719	0.1634615384615384	0.0164888457807953	query_1	['GO:0006468', 'GO:0031399', 'GO:0042325']	['HUS1', 'AKT1', 'NBN', 'RAD50', 'XRCC6', 'TERF2IP', 'DVL2', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'MRE11', 'RAD51', 'DVL1', 'AXIN2', 'PRKDC', 'TP53']
511	GO:BP	GO:0002681	somatic recombination of T cell receptor gene segments	0.00262531465082	True	"""The process in which T cell receptor genes are formed through recombination of the germline genetic elements, also known as T cell receptor gene segments."" [GOC:add, ISBN:0781735149]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0002562', 'GO:0002568']	['LIG4', 'PRKDC']
512	GO:BP	GO:0072716	response to actinomycin D	0.00262531465082	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an actinomycin D stimulus."" [GOC:mah]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0046677', 'GO:1901652']	['MDM2', 'TP53']
510	GO:BP	GO:0002568	somatic diversification of T cell receptor genes	0.00262531465082	True	"""The somatic process that results in the generation of sequence diversity of T cell receptor genes."" [GOC:add, ISBN:0781735149]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0002200', 'GO:0030217']	['LIG4', 'PRKDC']
509	GO:BP	GO:0090666	scaRNA localization to Cajal body	0.00262531465082	True	"""A process in which a small Cajal body-specific RNA is transported to, or maintained in, a Cajal body."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:25467444]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0090670']	['DKC1', 'WRAP53']
508	GO:BP	GO:0006297	nucleotide-excision repair, DNA gap filling	0.00262531465082	True	"""Repair of the gap in the DNA helix by DNA polymerase and DNA ligase after the portion of the strand containing the lesion has been removed by pyrimidine-dimer repair enzymes."" [ISBN:0815316194]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0006259', 'GO:0006289']	['LIG4', 'POLD1']
507	GO:BP	GO:0071681	cellular response to indole-3-methanol	0.00262531465082	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an indole-3-methanol stimulus."" [GOC:mah, GOC:yaf]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0071407', 'GO:0071417', 'GO:0071680', 'GO:0097306']	['CTNNB1', 'BRCA1']
506	GO:BP	GO:0033153	T cell receptor V(D)J recombination	0.00262531465082	True	"""The process in which T cell receptor V, D, and J, or V and J gene segments, depending on the specific locus, are recombined within a single locus utilizing the conserved heptamer and nonomer recombination signal sequences (RSS)."" [GOC:add, ISBN:0781700221]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0002681', 'GO:0033151']	['LIG4', 'PRKDC']
505	GO:BP	GO:1901563	response to camptothecin	0.00262531465082	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a camptothecin stimulus."" [GOC:TermGenie]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0014070', 'GO:0043279', 'GO:0097305']	['BLM', 'RAD51']
501	GO:BP	GO:0044339	canonical Wnt signaling pathway involved in osteoblast differentiation	0.00262531465082	True	"""The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes involved in osteoblast differentiation."" [GOC:BHF, GOC:jl]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0001649', 'GO:0060070']	['GSK3B', 'CTNNB1']
503	GO:BP	GO:0060029	convergent extension involved in organogenesis	0.00262531465082	True	"""The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis contribution to the shaping of an organ."" [GOC:dph, PMID:12062082]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0048513', 'GO:0060026']	['DVL2', 'DVL1']
502	GO:BP	GO:0032077	positive regulation of deoxyribonuclease activity	0.00262531465082	True	"""Any process that activates or increases the frequency, rate or extent of deoxyribonuclease activity, the hydrolysis of ester linkages within deoxyribonucleic acid."" [GOC:mah]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0032070', 'GO:0032075', 'GO:0051054']	['AKT1', 'PCNA']
500	GO:BP	GO:0048296	regulation of isotype switching to IgA isotypes	0.00262531465082	True	"""Any process that modulates the frequency, rate or extent of isotype switching to IgA isotypes."" [GOC:jid]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0045191', 'GO:0048290']	['MSH2', 'MLH1']
499	GO:BP	GO:0045875	negative regulation of sister chromatid cohesion	0.00262531465082	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid cohesion."" [GOC:go_curators]"	5	104	2	15719	0.0192307692307692	0.4	query_1	['GO:0007062', 'GO:0007063', 'GO:0010948', 'GO:2001251']	['ATRX', 'TNKS']
504	GO:BP	GO:0043523	regulation of neuron apoptotic process	0.00262531465082	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process in neurons."" [GOC:go_curators, GOC:mtg_apoptosis]"	205	104	7	15719	0.0673076923076923	0.0341463414634146	query_1	['GO:0042981', 'GO:0051402', 'GO:1901214']	['MSH2', 'LIG4', 'CTNNB1', 'TERT', 'PARP1', 'ATM', 'TP53']
513	GO:BP	GO:0048731	system development	0.0026352375353961	True	"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]"	3689	104	40	15719	0.3846153846153846	0.0108430468961778	query_1	['GO:0007275', 'GO:0048856']	['ACD', 'GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'WDR48', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'H2AX', 'MSH3', 'BRCA2', 'RAD1', 'PCNA', 'AR', 'TERT', 'DVL2', 'PMS2', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'ATM', 'DVL1', 'EXO1', 'AXIN2', 'BRCA1', 'PRKDC', 'XRCC1', 'POLB', 'WRN', 'TP53', 'RNF8', 'MSH6']
514	GO:BP	GO:0034470	ncRNA processing	0.0026352375353961	True	"""Any process that results in the conversion of one or more primary non-coding RNA (ncRNA) transcripts into one or more mature ncRNA molecules."" [GOC:mah, PMID:27573892]"	416	104	10	15719	0.0961538461538461	0.0240384615384615	query_1	['GO:0006396', 'GO:0034660']	['SHQ1', 'NHP2', 'GAR1', 'TERT', 'DKC1', 'PARN', 'NAF1', 'PRKDC', 'NOP10', 'TP53']
517	GO:BP	GO:0042327	positive regulation of phosphorylation	0.0026536113212868	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule."" [GOC:jl]"	754	104	14	15719	0.1346153846153846	0.0185676392572944	query_1	['GO:0016310', 'GO:0042325', 'GO:0045937']	['AKT1', 'NBN', 'RAD50', 'XRCC6', 'TERF2IP', 'AR', 'DVL2', 'DAXX', 'AXIN1', 'XRCC5', 'MRE11', 'DVL1', 'AXIN2', 'TP53']
515	GO:BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	0.0026536113212868	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of extrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	96	104	5	15719	0.048076923076923	0.0520833333333333	query_1	['GO:0097191', 'GO:2001234', 'GO:2001236']	['GSK3B', 'AKT1', 'AR', 'TERT', 'BRCA1']
516	GO:BP	GO:0007276	gamete generation	0.0026536113212868	True	"""The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell."" [GOC:ems, GOC:mtg_sensu]"	754	104	14	15719	0.1346153846153846	0.0185676392572944	query_1	['GO:0019953', 'GO:0048609']	['AKT1', 'MSH2', 'ATRX', 'WDR48', 'CTNNB1', 'MLH1', 'H2AX', 'BRCA2', 'AR', 'PARN', 'FANCD2', 'ATM', 'RNF8', 'MSH6']
518	GO:BP	GO:0051094	positive regulation of developmental process	0.0026605136809324	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1237	104	19	15719	0.1826923076923076	0.01535974130962	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']	['GSK3B', 'AKT1', 'MDM2', 'MSH2', 'TP53BP1', 'XRCC6', 'PAXIP1', 'LIG4', 'CTNNB1', 'MLH1', 'AR', 'TERT', 'DVL2', 'PARP1', 'XRCC5', 'DVL1', 'AXIN2', 'BRCA1', 'PRKDC']
519	GO:BP	GO:0051249	regulation of lymphocyte activation	0.0027374238252008	True	"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	498	104	11	15719	0.1057692307692307	0.0220883534136546	query_1	['GO:0002694', 'GO:0046649']	['AKT1', 'MSH2', 'TP53BP1', 'XRCC6', 'PAXIP1', 'CTNNB1', 'APLF', 'MLH1', 'FANCD2', 'ATM', 'PRKDC']
155	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	0.0027456909095998	True	PIP3 activates AKT signaling	249	100	9	10022	0.09	0.036144578313253	query_1	['REAC:R-HSA-9006925']	['GSK3B', 'AKT1', 'MDM2', 'RNF146', 'PIP5K1B', 'TNKS2', 'USP7', 'TNKS', 'TP53']
154	REAC	REAC:R-HSA-6804760	Regulation of TP53 Activity through Methylation	0.0027456909095998	True	Regulation of TP53 Activity through Methylation	19	100	3	10022	0.03	0.1578947368421052	query_1	['REAC:R-HSA-5633007']	['MDM2', 'ATM', 'TP53']
520	GO:BP	GO:0097306	cellular response to alcohol	0.0027660518597951	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr]"	97	104	5	15719	0.048076923076923	0.0515463917525773	query_1	['GO:0071310', 'GO:0097305', 'GO:1901701']	['AKT1', 'CTNNB1', 'BLM', 'RAD51', 'BRCA1']
521	GO:BP	GO:0045732	positive regulation of protein catabolic process	0.002855825642661	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:go_curators]"	209	104	7	15719	0.0673076923076923	0.0334928229665071	query_1	['GO:0009896', 'GO:0030163', 'GO:0042176', 'GO:0051247']	['GSK3B', 'AKT1', 'MDM2', 'AXIN1', 'DVL1', 'AXIN2', 'BARD1']
522	GO:BP	GO:0031396	regulation of protein ubiquitination	0.002855825642661	True	"""Any process that modulates the frequency, rate or extent of the addition of ubiquitin groups to a protein."" [GOC:mah]"	209	104	7	15719	0.0673076923076923	0.0334928229665071	query_1	['GO:0016567', 'GO:1903320']	['AKT1', 'FANCI', 'WDR48', 'PAXIP1', 'DAXX', 'AXIN1', 'BRCA1']
77	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	0.0029011432188788	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	305	104	8	16420	0.0769230769230769	0.0262295081967213	query_1	['GO:1990234']	['XRCC6', 'PCNA', 'TERT', 'XRCC5', 'CDK2', 'PRKDC', 'POLA2', 'POLD1']
523	GO:BP	GO:0008219	cell death	0.0030637123057882	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2011	104	26	15719	0.25	0.0129288910989557	query_1	['GO:0009987']	['GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'LIG4', 'CTNNB1', 'MLH1', 'SHQ1', 'BRCA2', 'AR', 'TERT', 'PARP1', 'DAXX', 'AXIN1', 'ATM', 'RAD9A', 'MRE11', 'APEX1', 'AXIN2', 'BRCA1', 'PRKDC', 'BARD1', 'POLB', 'TP53', 'MSH6']
