Acquired partial lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1111	GO:BP	GO:0051924	regulation of calcium ion transport	0.0005709406726643	True	"""Any process that modulates the frequency, rate or extent of the directed movement of calcium ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	256	101	8	17376	0.0792079207920792	0.03125	query_1	['GO:0006816', 'GO:0010959']	['ITGB3', 'PLCG2', 'CTNNB1', 'FYN', 'LYN', 'TGFB1', 'PLCG1', 'PTK2B']
1112	GO:CC	GO:0031527	filopodium membrane	0.0005710946721985	True	"""The portion of the plasma membrane surrounding a filopodium."" [GOC:mah]"	18	101	3	17376	0.0297029702970297	0.1666666666666666	query_1	['GO:0030175', 'GO:0031253']	['ITGAV', 'ITGB3', 'ITGA3']
1113	GO:BP	GO:0040013	negative regulation of locomotion	0.0005733835627324	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	328	101	9	17376	0.0891089108910891	0.0274390243902439	query_1	['GO:0040011', 'GO:0040012', 'GO:0048519']	['SMAD7', 'CRK', 'VCL', 'CDH1', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'SEMA4D']
1114	GO:BP	GO:0090066	regulation of anatomical structure size	0.0005758743485222	True	"""Any process that modulates the size of an anatomical structure."" [GOC:dph, GOC:tb]"	488	101	11	17376	0.1089108910891089	0.0225409836065573	query_1	['GO:0065008']	['FN1', 'SPP1', 'GRB2', 'VAV1', 'CDH1', 'PTK2B', 'VEGFA', 'L1CAM', 'NRP1', 'ELN', 'SEMA4D']
1115	GO:BP	GO:0032368	regulation of lipid transport	0.0005782829115561	True	"""Any process that modulates the frequency, rate or extent of the directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	133	101	6	17376	0.0594059405940594	0.0451127819548872	query_1	['GO:0006869', 'GO:0051049', 'GO:1905952']	['ITGAV', 'SPP1', 'ITGB3', 'SYK', 'THBS1', 'PTPN11']
1116	GO:BP	GO:0016032	viral process	0.0005902784412304	True	"""A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle."" [GOC:bf, GOC:jl, GOC:mah]"	407	101	10	17376	0.099009900990099	0.0245700245700245	query_1	['GO:0008150']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA5', 'EGFR', 'ITGB6', 'NRP1', 'ITGB7', 'ITGA2']
1117	GO:BP	GO:0062197	cellular response to chemical stress	0.0005973768512322	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."" [PMID:26653712]"	330	101	9	17376	0.0891089108910891	0.0272727272727272	query_1	['GO:0033554', 'GO:0070887']	['MET', 'SRC', 'HGF', 'CTNNB1', 'PXN', 'FYN', 'FBLN5', 'EGFR', 'PDGFRA']
1118	GO:BP	GO:2000648	positive regulation of stem cell proliferation	0.0006102552959645	True	"""Any process that activates or increases the frequency, rate or extent of stem cell proliferation."" [GOC:dph]"	45	101	4	17376	0.0396039603960396	0.0888888888888888	query_1	['GO:0008284', 'GO:0072089', 'GO:0072091']	['VEGFC', 'CTNNB1', 'TGFB1', 'KDR']
1119	GO:BP	GO:0002762	negative regulation of myeloid leukocyte differentiation	0.0006102552959645	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of myeloid leukocyte differentiation."" [GOC:add]"	45	101	4	17376	0.0396039603960396	0.0888888888888888	query_1	['GO:0002573', 'GO:0002761', 'GO:0045638', 'GO:1902106']	['PIK3R1', 'CTNNB1', 'LYN', 'FBN1']
1120	GO:BP	GO:0032964	collagen biosynthetic process	0.0006102552959645	True	"""The chemical reactions and pathways resulting in the formation of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%)."" [GOC:mah, ISBN:0198506732]"	45	101	4	17376	0.0396039603960396	0.0888888888888888	query_1	['GO:0009058', 'GO:0032963']	['TGFB3', 'TGFB1', 'EMILIN1', 'ITGA2']
1121	GO:BP	GO:0031334	positive regulation of protein-containing complex assembly	0.0006102552959645	True	"""Any process that activates or increases the frequency, rate or extent of protein complex assembly."" [GOC:mah]"	193	101	7	17376	0.0693069306930693	0.0362694300518134	query_1	['GO:0043254', 'GO:0044089', 'GO:0051130', 'GO:0065003']	['MET', 'SRC', 'PLCG2', 'GRB2', 'SYK', 'PTK2B', 'VEGFA']
1122	GO:BP	GO:0042475	odontogenesis of dentin-containing tooth	0.0006219810753126	True	"""The process whose specific outcome is the progression of a dentin-containing tooth over time, from its formation to the mature structure. A dentin-containing tooth is a hard, bony organ borne on the jaw or other bone of a vertebrate, and is composed mainly of dentin, a dense calcified substance, covered by a layer of enamel."" [GOC:cjm, GOC:mah, GOC:mtg_sensu, PMID:10333884, PMID:15355794]"	85	101	5	17376	0.0495049504950495	0.0588235294117647	query_1	['GO:0042476']	['CTNNB1', 'LRP4', 'TGFB1', 'ITGB6', 'PDGFRA']
1123	GO:BP	GO:1903035	negative regulation of response to wounding	0.0006219810753126	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	85	101	5	17376	0.0495049504950495	0.0588235294117647	query_1	['GO:0009611', 'GO:0048585', 'GO:1903034']	['SPP1', 'CRK', 'VTN', 'THBS1', 'PDGFRA']
1124	GO:BP	GO:0032868	response to insulin	0.000642850288099	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]"	261	101	8	17376	0.0792079207920792	0.0306513409961685	query_1	['GO:0043434']	['BCAR1', 'SRC', 'PIK3R1', 'SHC1', 'SOS1', 'LYN', 'GRB2', 'PTPN11']
1125	GO:BP	GO:0042552	myelination	0.0006449758614478	True	"""The process in which myelin sheaths are formed and maintained around neurons. Oligodendrocytes in the brain and spinal cord and Schwann cells in the peripheral nervous system wrap axons with compact layers of their plasma membrane. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier."" [GOC:dgh, GOC:mah]"	136	101	6	17376	0.0594059405940594	0.0441176470588235	query_1	['GO:0008366']	['HGF', 'CTNNB1', 'TGFB1', 'JAM3', 'ERBB2', 'JAM2']
1126	GO:BP	GO:0030879	mammary gland development	0.0006449758614478	True	"""The process whose specific outcome is the progression of the mammary gland over time, from its formation to the mature structure. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk. Its development starts with the formation of the mammary line and ends as the mature gland cycles between nursing and weaning stages."" [PMID:9576833]"	136	101	6	17376	0.0594059405940594	0.0441176470588235	query_1	['GO:0048732']	['SRC', 'TGFB3', 'TGFBR2', 'TGFB1', 'VEGFA', 'ITGA2']
1127	GO:BP	GO:0048609	multicellular organismal reproductive process	0.0006465648344776	True	"""The process, occurring above the cellular level, that is pertinent to the reproductive function of a multicellular organism. This includes the integrated processes at the level of tissues and organs."" [GOC:dph, GOC:jid, GOC:tb]"	868	101	15	17376	0.1485148514851485	0.0172811059907834	query_1	['GO:0022414', 'GO:0032504']	['ITGB1', 'SRC', 'SPP1', 'TGFB3', 'CTNNB1', 'SOS1', 'TGFB1', 'JAM3', 'PTK2B', 'CRKL', 'TGFBR1', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA']
1128	GO:BP	GO:1903202	negative regulation of oxidative stress-induced cell death	0.000655883959085	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of oxidative stress-induced cell death."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:24252804]"	46	101	4	17376	0.0396039603960396	0.0869565217391304	query_1	['GO:0036473', 'GO:0060548', 'GO:1903201']	['MET', 'HGF', 'CTNNB1', 'FYN']
1129	GO:BP	GO:1990090	cellular response to nerve growth factor stimulus	0.000655883959085	True	"""A process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nerve growth factor stimulus."" [PMID:22399805, Wikipedia:Nerve_growth_factor]"	46	101	4	17376	0.0396039603960396	0.0869565217391304	query_1	['GO:0071363', 'GO:1990089']	['RAPGEF1', 'CRK', 'SH3GL2', 'CBL']
1130	GO:BP	GO:0048009	insulin-like growth factor receptor signaling pathway	0.000655883959085	True	"""The series of molecular signals initiated by a ligand binding to an insulin-like growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	46	101	4	17376	0.0396039603960396	0.0869565217391304	query_1	['GO:0007169']	['PIK3R1', 'SHC1', 'SOS1', 'GRB2']
1131	GO:BP	GO:0038128	ERBB2 signaling pathway	0.000655883959085	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor ERBB2 on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription. ERBB2 receptors are themselves unable to bind to ligands, but act as a signal-amplifying tyrosine kinase within a heterodimeric pair."" [GOC:jc, PMID:16460914, Reactome:R-HSA-1227986]"	18	101	3	17376	0.0297029702970297	0.1666666666666666	query_1	['GO:0038127']	['SRC', 'EGFR', 'ERBB2']
1132	GO:BP	GO:1905953	negative regulation of lipid localization	0.000655883959085	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of lipid localization."" [GO_REF:0000058, GOC:TermGenie, PMID:17564681]"	46	101	4	17376	0.0396039603960396	0.0869565217391304	query_1	['GO:0010876', 'GO:0048519', 'GO:1905952']	['ITGAV', 'ITGB3', 'THBS1', 'PTPN11']
1133	GO:BP	GO:0060977	coronary vasculature morphogenesis	0.000655883959085	True	"""The process in which the anatomical structures of blood vessels of the heart are generated and organized. The blood vessel is the vasculature carrying blood."" [GOC:mtg_heart]"	18	101	3	17376	0.0297029702970297	0.1666666666666666	query_1	['GO:0048514', 'GO:0060976']	['VEGFA', 'TGFBR1', 'NRP1']
1134	GO:BP	GO:2000353	positive regulation of endothelial cell apoptotic process	0.000655883959085	True	"""Any process that activates or increases the frequency, rate or extent of endothelial cell apoptotic process."" [GOC:BHF, GOC:mah, GOC:mtg_apoptosis]"	18	101	3	17376	0.0297029702970297	0.1666666666666666	query_1	['GO:0072577', 'GO:1904037', 'GO:2000351']	['ITGA4', 'PLCG1', 'THBS1']
1135	GO:BP	GO:0060976	coronary vasculature development	0.000655883959085	True	"""The process whose specific outcome is the progression of the blood vessels of the heart over time, from its formation to the mature structure."" [GOC:mtg_heart]"	46	101	4	17376	0.0396039603960396	0.0869565217391304	query_1	['GO:0001568', 'GO:0007507']	['VEGFB', 'VEGFA', 'TGFBR1', 'NRP1']
1136	GO:BP	GO:2000404	regulation of T cell migration	0.000655883959085	True	"""Any process that modulates the frequency, rate or extent of T cell migration."" [GOC:mah]"	46	101	4	17376	0.0396039603960396	0.0869565217391304	query_1	['GO:0072678', 'GO:2000401']	['ITGB3', 'CRK', 'ITGA4', 'CRKL']
1137	GO:BP	GO:0007272	ensheathment of neurons	0.0006887415413672	True	"""The process in which glial cells envelop neuronal cell bodies and/or axons to form an insulating layer. This can take the form of myelinating or non-myelinating ensheathment."" [GOC:dgh, GOC:dph, GOC:tb]"	138	101	6	17376	0.0594059405940594	0.0434782608695652	query_1	['GO:0007399', 'GO:0009987']	['HGF', 'CTNNB1', 'TGFB1', 'JAM3', 'ERBB2', 'JAM2']
1138	GO:BP	GO:0008366	axon ensheathment	0.0006887415413672	True	"""Any process in which the axon of a neuron is insulated, and that insulation maintained, thereby preventing dispersion of the electrical signal."" [GOC:jl, ISBN:0878932437]"	138	101	6	17376	0.0594059405940594	0.0434782608695652	query_1	['GO:0007272']	['HGF', 'CTNNB1', 'TGFB1', 'JAM3', 'ERBB2', 'JAM2']
1139	GO:BP	GO:0006816	calcium ion transport	0.0006997346920346	True	"""The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	417	101	10	17376	0.099009900990099	0.0239808153477218	query_1	['GO:0030001', 'GO:0071702']	['ITGAV', 'ITGB3', 'PLCG2', 'CTNNB1', 'FYN', 'LYN', 'TGFB1', 'PLCG1', 'PTK2B', 'LCK']
1140	GO:BP	GO:0010171	body morphogenesis	0.0007054009999038	True	"""The process in which the anatomical structures of the soma are generated and organized."" [GOC:ems, ISBN:0140512888]"	47	101	4	17376	0.0396039603960396	0.0851063829787234	query_1	['GO:0009653']	['TGFB3', 'TGFB1', 'PTPN11', 'PDGFRA']
1141	GO:BP	GO:1990089	response to nerve growth factor	0.0007054009999038	True	"""A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nerve growth factor stimulus."" [PMID:22399805]"	47	101	4	17376	0.0396039603960396	0.0851063829787234	query_1	['GO:0070848']	['RAPGEF1', 'CRK', 'SH3GL2', 'CBL']
1142	GO:BP	GO:1905314	semi-lunar valve development	0.0007054009999038	True	"""The process whose specific outcome is the progression of a semi-lunar valve over time, from its formation to the mature structure."" [GO_REF:0000094, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:19409885]"	47	101	4	17376	0.0396039603960396	0.0851063829787234	query_1	['GO:0003170']	['TGFBR2', 'TGFB1', 'EMILIN1', 'ELN']
1143	GO:BP	GO:0070849	response to epidermal growth factor	0.0007054009999038	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epidermal growth factor stimulus."" [GOC:BHF, GOC:mah]"	47	101	4	17376	0.0396039603960396	0.0851063829787234	query_1	['GO:0070848']	['EGFR', 'PLCG1', 'ERBB2', 'PTPN11']
1144	GO:BP	GO:0045638	negative regulation of myeloid cell differentiation	0.0007130191691344	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of myeloid cell differentiation."" [GOC:go_curators]"	88	101	5	17376	0.0495049504950495	0.0568181818181818	query_1	['GO:0030099', 'GO:0045596', 'GO:0045637']	['PIK3R1', 'CTNNB1', 'LYN', 'FBN1', 'PTK2B']
1145	GO:BP	GO:1902882	regulation of response to oxidative stress	0.0007130191691344	True	"""Any process that modulates the frequency, rate or extent of response to oxidative stress."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:16899554]"	88	101	5	17376	0.0495049504950495	0.0568181818181818	query_1	['GO:0006979', 'GO:0080134']	['MET', 'HGF', 'CTNNB1', 'FYN', 'FBLN5']
1146	GO:BP	GO:1900182	positive regulation of protein localization to nucleus	0.0007130191691344	True	"""Any process that activates or increases the frequency, rate or extent of protein localization to nucleus."" [GOC:TermGenie]"	88	101	5	17376	0.0495049504950495	0.0568181818181818	query_1	['GO:0034504', 'GO:1900180', 'GO:1903829']	['SRC', 'PIK3R1', 'FYN', 'TGFB1', 'CDH1']
1147	REAC	REAC:R-HSA-389357	CD28 dependent PI3K/Akt signaling	0.0007452865259064	True	CD28 dependent PI3K/Akt signaling	22	101	3	17376	0.0297029702970297	0.1363636363636363	query_1	['REAC:R-HSA-389356']	['PIK3R1', 'FYN', 'LCK']
1148	GO:BP	GO:0008285	negative regulation of cell population proliferation	0.0007468106638995	True	"""Any process that stops, prevents or reduces the rate or extent of cell proliferation."" [GOC:go_curators]"	686	101	13	17376	0.1287128712871287	0.0189504373177842	query_1	['GO:0008283', 'GO:0042127', 'GO:0048523']	['RAPGEF1', 'PLXNB1', 'SMAD7', 'TGFB3', 'CTNNB1', 'TGFBR2', 'LYN', 'TGFB1', 'ERBB2', 'PTK2B', 'TGFBR1', 'THBS1', 'FLT1']
1149	GO:BP	GO:0061448	connective tissue development	0.000749097908383	True	"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]"	268	101	8	17376	0.0792079207920792	0.0298507462686567	query_1	['GO:0009888']	['SMAD7', 'ITGB3', 'CTNNB1', 'TGFBR2', 'LOX', 'TGFB1', 'TGFBR1', 'PTPN11']
1150	GO:BP	GO:0048704	embryonic skeletal system morphogenesis	0.000749381050955	True	"""The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase."" [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]"	89	101	5	17376	0.0495049504950495	0.0561797752808988	query_1	['GO:0048562', 'GO:0048705', 'GO:0048706']	['TGFB3', 'CTNNB1', 'TGFBR2', 'TGFBR1', 'PDGFRA']
1151	GO:CC	GO:0043296	apical junction complex	0.0007498656705578	True	"""A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes and in some invertebrates, such as Drosophila, is composed of the subapical complex (SAC), the zonula adherens and the septate junction. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability."" [GOC:go_curators, GOC:kmv, PMID:12525486, PMID:15196556]"	144	101	6	17376	0.0594059405940594	0.0416666666666666	query_1	['GO:0005911']	['CTNNB1', 'JAM3', 'VCL', 'CDH1', 'TGFBR1', 'JAM2']
1152	GO:BP	GO:0046580	negative regulation of Ras protein signal transduction	0.000759876361207	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of Ras protein signal transduction."" [GOC:bf]"	48	101	4	17376	0.0396039603960396	0.0833333333333333	query_1	['GO:0007265', 'GO:0046578', 'GO:0051058']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA3']
1153	GO:BP	GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	0.0007620670798505	True	"""Any process that increases the frequency, rate or extent of cell migration involved in sprouting angiogenesis. Cell migration involved in sprouting angiogenesis is the orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels contributing to the process of sprouting angiogenesis."" [GOC:BHF, GOC:dph, GOC:rl, GOC:tb]"	19	101	3	17376	0.0297029702970297	0.1578947368421052	query_1	['GO:0002042', 'GO:0043536', 'GO:0090049']	['KDR', 'VEGFA', 'NRP1']
1154	GO:CC	GO:0035867	alphav-beta3 integrin-IGF-1-IGF1R complex	0.0007625352225478	True	"""A protein complex that consists of an alphav-beta3 integrin complex bound to insulin-like growth factor-1 (IGF-1) and type I insulin-like growth factor receptor (IGF1R). IGF1R is a heterotetramer that consists of two alpha-subunits and two beta-subunits."" [GOC:BHF, GOC:ebc, PMID:19578119]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0098797']	['ITGAV', 'ITGB3']
1155	GO:BP	GO:0045087	innate immune response	0.0007666306162653	True	"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_sensu]"	884	101	15	17376	0.1485148514851485	0.0169683257918552	query_1	['GO:0006955', 'GO:0098542']	['SRC', 'CRK', 'PLCG2', 'FYN', 'ZAP70', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2B', 'PTK2', 'LCK', 'ADAM15', 'PTPN11', 'MFAP4']
1156	GO:BP	GO:0048709	oligodendrocyte differentiation	0.0007861746427141	True	"""The process in which a relatively unspecialized cell acquires the specialized features of an oligodendrocyte. An oligodendrocyte is a type of glial cell involved in myelinating the axons of neurons in the central nervous system."" [GOC:vp, PMID:15139015]"	90	101	5	17376	0.0495049504950495	0.0555555555555555	query_1	['GO:0007417', 'GO:0010001']	['CTNNB1', 'LYN', 'TGFB1', 'ERBB2', 'VTN']
1157	GO:BP	GO:0072006	nephron development	0.0007891411202405	True	"""The process whose specific outcome is the progression of the nephron over time, from its formation to the mature structure. A nephron is the functional unit of the kidney."" [GOC:mtg_kidney_jan10]"	142	101	6	17376	0.0594059405940594	0.0422535211267605	query_1	['GO:0001822', 'GO:0048856']	['ITGB3', 'CTNNB1', 'TGFB1', 'VEGFA', 'ITGA3', 'PDGFRA']
1158	GO:BP	GO:0050728	negative regulation of inflammatory response	0.0007891411202405	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the inflammatory response."" [GOC:ai]"	142	101	6	17376	0.0594059405940594	0.0422535211267605	query_1	['GO:0006954', 'GO:0031348', 'GO:0032102', 'GO:0050727']	['SRC', 'HGF', 'FYN', 'LYN', 'SYK', 'PLCG1']
1159	GO:BP	GO:0032869	cellular response to insulin stimulus	0.0007997551918714	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]"	203	101	7	17376	0.0693069306930693	0.0344827586206896	query_1	['GO:0032868', 'GO:0071375']	['BCAR1', 'SRC', 'PIK3R1', 'SHC1', 'SOS1', 'GRB2', 'PTPN11']
1160	GO:BP	GO:0060324	face development	0.0008161561153484	True	"""The biological process whose specific outcome is the progression of a face from an initial condition to its mature state. The face is the ventral division of the head."" [GOC:dph]"	49	101	4	17376	0.0396039603960396	0.0816326530612244	query_1	['GO:0048856', 'GO:0060322']	['TGFB3', 'TGFB1', 'PTPN11', 'PDGFRA']
1161	GO:BP	GO:0050982	detection of mechanical stimulus	0.0008161561153484	True	"""The series of events by which a mechanical stimulus is received and converted into a molecular signal."" [GOC:ai, GOC:dos]"	49	101	4	17376	0.0396039603960396	0.0816326530612244	query_1	['GO:0009581', 'GO:0009582', 'GO:0009612']	['CTNNB1', 'FYN', 'PTK2', 'ITGA2']
1162	REAC	REAC:R-HSA-375165	NCAM signaling for neurite out-growth	0.0008573939874706	True	NCAM signaling for neurite out-growth	56	101	4	17376	0.0396039603960396	0.0714285714285714	query_1	['REAC:R-HSA-422475']	['SOS1', 'FYN', 'AGRN', 'PTK2']
1163	GO:BP	GO:1902669	positive regulation of axon guidance	0.000860242999006	True	"""Any process that activates or increases the frequency, rate or extent of axon guidance."" [GO_REF:0000058, GOC:hjd, GOC:TermGenie, PMID:23006775]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0007411', 'GO:0010976', 'GO:1902667']	['VEGFA', 'NRP1']
1164	GO:BP	GO:0061551	trigeminal ganglion development	0.000860242999006	True	"""The process whose specific outcome is the progression of a trigeminal ganglion over time, from its formation to the mature structure."" [GOC:dph]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0061550']	['NRP2', 'NRP1']
1165	GO:BP	GO:0007161	calcium-independent cell-matrix adhesion	0.000860242999006	True	"""The binding of a cell to the extracellular matrix via adhesion molecules that do not require the presence of calcium for the interaction."" [GOC:hb]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0007160']	['ITGB1', 'FN1']
1166	GO:BP	GO:0097490	sympathetic neuron projection extension	0.000860242999006	True	"""Long distance growth of a single sympathetic neuron projection involved in cellular development. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:BHF, GOC:rl, PMID:22790009]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:1990138']	['NRP2', 'NRP1']
1167	GO:BP	GO:0060364	frontal suture morphogenesis	0.000860242999006	True	"""The process in which the frontal suture is generated and organized."" [GOC:dph, GOC:sl]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0060363']	['TGFB3', 'TGFB1']
1168	GO:BP	GO:0060666	dichotomous subdivision of terminal units involved in salivary gland branching	0.000860242999006	True	"""The process in which a salivary epithelial cord bifurcates at its end."" [GOC:dph]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0060445', 'GO:0060600']	['NRP1', 'PLXNA1']
1169	GO:BP	GO:1904393	regulation of skeletal muscle acetylcholine-gated channel clustering	0.000860242999006	True	"""Any process that modulates the frequency, rate or extent of skeletal muscle acetylcholine-gated channel clustering."" [GO_REF:0000058, GOC:TermGenie, PMID:7722643]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0071340', 'GO:1903909']	['LRP4', 'CRKL']
1170	GO:BP	GO:0097491	sympathetic neuron projection guidance	0.000860242999006	True	"""The process in which the migration of a sympathetic neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues."" [GOC:BHF, GOC:rl, PMID:22790009]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0097485']	['NRP2', 'NRP1']
1171	GO:BP	GO:1901654	response to ketone	0.000860242999006	True	"""A response that results in a state of tolerance to ketone."" [GOC:mengo_curators, PMID:23356676]"	206	101	7	17376	0.0693069306930693	0.0339805825242718	query_1	['GO:0010033', 'GO:1901700']	['SRC', 'SPP1', 'TGFB3', 'TGFB1', 'THBS1', 'ADAM15', 'CBL']
1172	GO:BP	GO:0038189	neuropilin signaling pathway	0.000860242999006	True	"""The series of molecular signals initiated by an extracellular ligand binding to a neuropilin protein on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, PMID:12852851]"	4	101	2	17376	0.0198019801980198	0.5	query_1	['GO:0007166']	['VEGFA', 'NRP1']
1173	GO:BP	GO:0009791	post-embryonic development	0.000860242999006	True	"""The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."" [GOC:go_curators]"	92	101	5	17376	0.0495049504950495	0.0543478260869565	query_1	['GO:0007275', 'GO:0032501']	['FBN1', 'KDR', 'VEGFA', 'MFAP2', 'TGFBR1']
1174	GO:BP	GO:0045637	regulation of myeloid cell differentiation	0.000860242999006	True	"""Any process that modulates the frequency, rate or extent of myeloid cell differentiation."" [GOC:go_curators]"	206	101	7	17376	0.0693069306930693	0.0339805825242718	query_1	['GO:0030099', 'GO:1903706']	['PIK3R1', 'CTNNB1', 'LOX', 'LYN', 'TGFB1', 'FBN1', 'PTK2B']
1175	GO:BP	GO:1901890	positive regulation of cell junction assembly	0.000860242999006	True	"""Any process that activates or increases the frequency, rate or extent of cell junction assembly."" [GOC:TermGenie]"	92	101	5	17376	0.0495049504950495	0.0543478260869565	query_1	['GO:0034329', 'GO:0044089', 'GO:0051130', 'GO:1901888']	['KDR', 'VEGFA', 'AGRN', 'NRP1', 'SEMA4D']
1176	GO:BP	GO:2000351	regulation of endothelial cell apoptotic process	0.000869170253119	True	"""Any process that modulates the frequency, rate or extent of endothelial cell apoptotic process."" [GOC:mah, GOC:mtg_apoptosis]"	50	101	4	17376	0.0396039603960396	0.08	query_1	['GO:0072577', 'GO:1904035']	['ITGA4', 'KDR', 'PLCG1', 'THBS1']
1177	GO:BP	GO:1900120	regulation of receptor binding	0.0008695428142952	True	"""Any process that modulates the frequency, rate or extent of a protein or other molecule binding to a receptor."" [GOC:signaling, GOC:TermGenie]"	20	101	3	17376	0.0297029702970297	0.15	query_1	['GO:0043393']	['LOX', 'NRP1', 'ADAM15']
1178	GO:BP	GO:0061042	vascular wound healing	0.0008695428142952	True	"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels and contribute to the series of events that restore integrity to damaged vasculature."" [GOC:BHF, GOC:dph]"	20	101	3	17376	0.0297029702970297	0.15	query_1	['GO:0060055']	['VEGFB', 'KDR', 'VEGFA']
1179	REAC	REAC:R-HSA-3656534	Loss of Function of TGFBR1 in Cancer	0.0008794339419823	True	Loss of Function of TGFBR1 in Cancer	5	101	2	17376	0.0198019801980198	0.4	query_1	['REAC:R-HSA-3304351']	['TGFBR2', 'TGFBR1']
1180	REAC	REAC:R-HSA-3304349	Loss of Function of SMAD2/3 in Cancer	0.0008794339419823	True	Loss of Function of SMAD2/3 in Cancer	5	101	2	17376	0.0198019801980198	0.4	query_1	['REAC:R-HSA-3304351']	['TGFBR2', 'TGFBR1']
