Laron syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
529	CORUM	CORUM:1215	Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)	1.6519613220014297e-05	True	Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)	4	64	4	3383	0.0625	1.0	query_1	['CORUM:0000000']	['RBX1', 'SKP1', 'CUL1', 'FBXW7']
530	CORUM	CORUM:80	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	1.6519613220014297e-05	True	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	4	64	4	3383	0.0625	1.0	query_1	['CORUM:0000000']	['RBX1', 'SKP1', 'SKP2', 'CUL1']
531	HPA	HPA:0050052	breast; glandular cells[≥Medium]	1.8870378184273472e-05	True	breast; glandular cells[≥Medium]	5101	84	63	11006	0.75	0.0123505195059792	query_1	['HPA:0050051']	['SNX6', 'SHARPIN', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'MAP3K14', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'DLAT', 'RELA', 'IKBKB', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'BTRC', 'DBT', 'RNF31', 'SIL1', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'HIF1A', 'RIPK1', 'SKP1', 'TRADD', 'FLYWCH1', 'SOCS2', 'NFKB2', 'EP300', 'PDK1', 'ARNT', 'AHR', 'TAB1', 'NSUN6', 'MAP3K7', 'RELB', 'TRAF6', 'STAT5A', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'CASP8', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'UFM1', 'BCKDHA']
532	REAC	REAC:R-HSA-209560	NF-kB is activated and signals survival	1.925658331828657e-05	True	NF-kB is activated and signals survival	13	91	5	10790	0.0549450549450549	0.3846153846153846	query_1	['REAC:R-HSA-193639']	['RELA', 'IKBKB', 'NFKB1', 'TRAF6', 'NFKBIA']
533	REAC	REAC:R-HSA-9705462	Inactivation of CSF3 (G-CSF) signaling	1.9595063181415382e-05	True	Inactivation of CSF3 (G-CSF) signaling	25	91	6	10790	0.0659340659340659	0.24	query_1	['REAC:R-HSA-9674555']	['STAT3', 'ELOB', 'ELOC', 'STAT5A', 'CUL5', 'STAT5B']
534	REAC	REAC:R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	1.9595063181415382e-05	True	Caspase activation via extrinsic apoptotic signalling pathway	25	91	6	10790	0.0659340659340659	0.24	query_1	['REAC:R-HSA-109581']	['FAS', 'FADD', 'RIPK1', 'TRADD', 'TRAF2', 'CASP8']
535	WP	WP:WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	2.143734446955185e-05	True	Brain-derived neurotrophic factor (BDNF) signaling pathway	144	80	11	8133	0.1375	0.0763888888888889	query_1	['WP:000000']	['GSK3B', 'STAT3', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'IKBKG', 'TRAF6', 'STAT5A', 'NFKBIA', 'STAT5B']
536	HPA	HPA:0010011	adipose tissue; adipocytes[≥Low]	2.1519235595271853e-05	True	adipose tissue; adipocytes[≥Low]	3934	84	54	11006	0.6428571428571429	0.0137264870360955	query_1	['HPA:0010000']	['SHARPIN', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'CREBBP', 'NFKBIE', 'DLST', 'MAP3K14', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'BTRC', 'DBT', 'SIL1', 'EGLN1', 'BCKDHB', 'PDHA1', 'HIF1A', 'RIPK1', 'SKP1', 'TRADD', 'FLYWCH1', 'SOCS2', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'MAP3K7', 'RELB', 'TRAF6', 'STAT5A', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'OGDH', 'BCKDHA']
537	HPA	HPA:0010000	adipose tissue	2.1519235595271853e-05	True	adipose tissue	3934	84	54	11006	0.6428571428571429	0.0137264870360955	query_1	['HPA:0000000']	['SHARPIN', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'CREBBP', 'NFKBIE', 'DLST', 'MAP3K14', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'BTRC', 'DBT', 'SIL1', 'EGLN1', 'BCKDHB', 'PDHA1', 'HIF1A', 'RIPK1', 'SKP1', 'TRADD', 'FLYWCH1', 'SOCS2', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'MAP3K7', 'RELB', 'TRAF6', 'STAT5A', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'OGDH', 'BCKDHA']
538	KEGG	KEGG:05168	Herpes simplex virus 1 infection	2.309581484577283e-05	True	Herpes simplex virus 1 infection	505	88	20	8161	0.2272727272727272	0.0396039603960396	query_1	['KEGG:00000']	['TRAF3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8']
539	GO:BP	GO:0043433	negative regulation of DNA-binding transcription factor activity	2.344025281389318e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription."" [GOC:jl]"	176	99	10	21110	0.101010101010101	0.0568181818181818	query_1	['GO:0044092', 'GO:0051090']	['CDK5RAP3', 'NFKBIE', 'NFKBIB', 'TRAF3', 'CHUK', 'UFL1', 'RBCK1', 'BTRC', 'EGLN1', 'NFKBIA']
540	GO:BP	GO:0019318	hexose metabolic process	2.3868381302799213e-05	True	"""The chemical reactions and pathways involving a hexose, any monosaccharide with a chain of six carbon atoms in the molecule."" [ISBN:0198506732]"	229	99	11	21110	0.1111111111111111	0.0480349344978165	query_1	['GO:0005996']	['PDK4', 'DLAT', 'PDHA2', 'PDHB', 'TNF', 'BCKDK', 'PDHA1', 'PDK3', 'EP300', 'PDK1', 'PDK2']
541	REAC	REAC:R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	2.4681110247971752e-05	True	SARS-CoV-2 activates/modulates innate and adaptive immune responses	120	91	10	10790	0.1098901098901098	0.0833333333333333	query_1	['REAC:R-HSA-9705683']	['CREBBP', 'TRAF3', 'HSP90AB1', 'CHUK', 'TAB2', 'IKBKB', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6']
542	GO:BP	GO:0006099	tricarboxylic acid cycle	2.5082942555280897e-05	True	"""A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."" [ISBN:0198506732]"	34	99	6	21110	0.0606060606060606	0.1764705882352941	query_1	['GO:0009060', 'GO:0044238']	['DLST', 'DLAT', 'PDHA2', 'PDHB', 'PDHA1', 'OGDH']
543	GO:BP	GO:0071417	cellular response to organonitrogen compound	2.560439816121824e-05	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	662	99	17	21110	0.1717171717171717	0.0256797583081571	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['SNX6', 'PDK4', 'GSK3B', 'STAT3', 'RELA', 'TNF', 'NFKB1', 'GH2', 'CFLAR', 'SOCS2', 'AHR', 'GH1', 'GHR', 'STAT5A', 'PDK2', 'CSH2', 'STAT5B']
544	REAC	REAC:R-HSA-597592	Post-translational protein modification	2.596989748390173e-05	True	Post-translational protein modification	1415	91	32	10790	0.3516483516483517	0.0226148409893992	query_1	['REAC:R-HSA-392499']	['CREBBP', 'TRAF3', 'RELA', 'ELOB', 'OS9', 'RBX1', 'BTRC', 'TNIP2', 'VHL', 'HIF1A', 'RIPK1', 'SKP1', 'EPAS1', 'ELOC', 'SOCS2', 'NFKB2', 'EP300', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'CUL5', 'NFKBIA', 'SKP2', 'CUL1', 'CUL2', 'FBXW7', 'BCL10']
545	WP	WP:WP314	Fas ligand pathway and stress induction of heat shock proteins	2.6342402977647528e-05	True	Fas ligand pathway and stress induction of heat shock proteins	43	80	7	8133	0.0875	0.1627906976744186	query_1	['WP:000000']	['CASP10', 'TNF', 'FAS', 'FADD', 'CFLAR', 'MAP3K7', 'CASP8']
546	HP	HP:0008344	Elevated plasma branched chain amino acids	2.789470813413137e-05	True	An increased concentration of a branched chain amino acid in the blood.	4	58	4	4851	0.0689655172413793	1.0	query_1	['HP:0010892']	['DBT', 'BCKDHB', 'DLD', 'BCKDHA']
547	GO:BP	GO:0043434	response to peptide hormone	2.807663643168645e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	427	99	14	21110	0.1414141414141414	0.0327868852459016	query_1	['GO:0009725', 'GO:1901652']	['PDK4', 'GSK3B', 'STAT3', 'RELA', 'NFKB1', 'GH2', 'CFLAR', 'SOCS2', 'GH1', 'GHR', 'STAT5A', 'PDK2', 'CSH2', 'STAT5B']
548	HPA	HPA:0380521	placenta; trophoblastic cells[≥Low]	2.8493493935484507e-05	True	placenta; trophoblastic cells[≥Low]	6353	84	71	11006	0.8452380952380952	0.0111758224460884	query_1	['HPA:0380000']	['SHARPIN', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'GSK3B', 'NFKBIE', 'DLST', 'MAP3K14', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'ELOB', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'BTRC', 'DBT', 'RNF31', 'FADD', 'SIL1', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'PDK3', 'TRADD', 'FLYWCH1', 'SOCS2', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'TAB1', 'BIRC3', 'GH1', 'NSUN6', 'MAP3K7', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'CSH2', 'UFM1', 'STAT5B', 'BCKDHA']
549	GO:BP	GO:2000116	regulation of cysteine-type endopeptidase activity	2.8557375151020666e-05	True	"""Any process that modulates the frequency, rate or extent of cysteine-type endopeptidase activity."" [GOC:obol, GOC:yaf]"	233	99	11	21110	0.1111111111111111	0.0472103004291845	query_1	['GO:0052548']	['EGLN3', 'CASP10', 'TNF', 'FAS', 'FADD', 'CFLAR', 'MALT1', 'BIRC3', 'BIRC2', 'CASP8', 'BCL10']
550	REAC	REAC:R-HSA-5660668	CLEC7A/inflammasome pathway	2.8971151989437987e-05	True	CLEC7A/inflammasome pathway	6	91	4	10790	0.0439560439560439	0.6666666666666666	query_1	['REAC:R-HSA-5607764']	['RELA', 'NFKB1', 'MALT1', 'CASP8']
551	GO:BP	GO:0050852	T cell receptor signaling pathway	3.527323065313172e-05	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	136	99	9	21110	0.0909090909090909	0.0661764705882353	query_1	['GO:0050851']	['RELA', 'IKBKB', 'RBCK1', 'RNF31', 'MALT1', 'IKBKG', 'MAP3K7', 'TRAF6', 'BCL10']
552	GO:BP	GO:0045937	positive regulation of phosphate metabolic process	3.5909450346867035e-05	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	860	99	19	21110	0.1919191919191919	0.0220930232558139	query_1	['GO:0006796', 'GO:0010562', 'GO:0019220']	['HSP90AB1', 'TNFRSF1A', 'TAB2', 'DDRGK1', 'TNF', 'FAS', 'GH2', 'RIPK1', 'MALT1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'FBXW7', 'BCL10', 'CSH2', 'PRLR']
553	GO:BP	GO:0010562	positive regulation of phosphorus metabolic process	3.5909450346867035e-05	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	860	99	19	21110	0.1919191919191919	0.0220930232558139	query_1	['GO:0006793', 'GO:0031325', 'GO:0051174']	['HSP90AB1', 'TNFRSF1A', 'TAB2', 'DDRGK1', 'TNF', 'FAS', 'GH2', 'RIPK1', 'MALT1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'FBXW7', 'BCL10', 'CSH2', 'PRLR']
554	GO:BP	GO:0002221	pattern recognition receptor signaling pathway	3.975945102029274e-05	True	"""The series of molecular signals initiated by a ligand binding to a pattern recognition receptor (PRR), and ending with the regulation of a downstream cellular process, e.g. transcription. PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species, or damage-associated molecular pattern (DAMPs), endogenous molecules released from damaged cells."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967]"	186	99	10	21110	0.101010101010101	0.053763440860215	query_1	['GO:0002758']	['TRAF3', 'RELA', 'TNF', 'TNIP2', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10']
555	GO:BP	GO:0000165	MAPK cascade	3.9883471259109824e-05	True	"""An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]"	772	99	18	21110	0.1818181818181818	0.0233160621761658	query_1	['GO:0035556']	['MAP3K8', 'CDK5RAP3', 'MAP3K14', 'TRAF3', 'IKBKB', 'RBX1', 'TNF', 'FAS', 'NFKB1', 'RIPK1', 'CFLAR', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'FBXW7']
556	GO:BP	GO:0002753	cytosolic pattern recognition receptor signaling pathway	4.090420291513001e-05	True	"""The series of molecular signals initiated by the binding of a ligand from another organism to a cytosolic pattern recognition receptor (PRR). PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967, PMID:17328678, PMID:18272355, PMID:19531363, PMID:21187438]"	97	99	8	21110	0.0808080808080808	0.0824742268041237	query_1	['GO:0002221', 'GO:0030522']	['RELA', 'TNF', 'TNIP2', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA']
557	GO:BP	GO:0044281	small molecule metabolic process	4.203290003747778e-05	True	"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]"	1865	99	28	21110	0.2828282828282828	0.0150134048257372	query_1	['GO:0008152']	['PDK4', 'GCSH', 'DLST', 'STAT3', 'TNFRSF1A', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'DBT', 'TNF', 'NFKB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'HIF1A', 'PDK3', 'EP300', 'PDK1', 'ARNT', 'GHR', 'STAT5A', 'DLD', 'PDK2', 'ABHD6', 'OGDH', 'STAT5B', 'BCKDHA']
558	KEGG	KEGG:05221	Acute myeloid leukemia	4.305992791672125e-05	True	Acute myeloid leukemia	67	88	8	8161	0.0909090909090909	0.1194029850746268	query_1	['KEGG:00000']	['STAT3', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'IKBKG', 'STAT5A', 'STAT5B']
559	GO:BP	GO:0070997	neuron death	4.313127741020437e-05	True	"""The process of cell death in a neuron."" [GOC:BHF, GOC:mah]"	370	99	13	21110	0.1313131313131313	0.0351351351351351	query_1	['GO:0008219']	['SNX6', 'EGLN3', 'GSK3B', 'TNF', 'FAS', 'FADD', 'EGLN1', 'HIF1A', 'IKBKG', 'TRAF2', 'GHR', 'CASP8', 'FBXW7']
560	GO:BP	GO:0042325	regulation of phosphorylation	4.8212601448107306e-05	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1181	99	22	21110	0.2222222222222222	0.0186282811176968	query_1	['GO:0016310', 'GO:0019220']	['SNX6', 'CDK5RAP3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'IKBKB', 'DDRGK1', 'TNF', 'FAS', 'GH2', 'RIPK1', 'MALT1', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'FBXW7', 'BCL10', 'CSH2', 'PRLR']
561	GO:BP	GO:0048732	gland development	4.986610796640493e-05	True	"""The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion."" [GOC:jid]"	447	99	14	21110	0.1414141414141414	0.0313199105145413	query_1	['GO:0048513']	['CDK5RAP3', 'RELA', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'HIF1A', 'CFLAR', 'SOCS2', 'STAT5A', 'FBXW7', 'PRL', 'STAT5B', 'PRLR']
562	GO:BP	GO:0048856	anatomical structure development	5.000541750688645e-05	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5896	99	54	21110	0.5454545454545454	0.0091587516960651	query_1	['GO:0032502']	['SHARPIN', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'METTL21C', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'EGLN1', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'TRADD', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'TAB1', 'GH1', 'GHR', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'NFKBIA', 'CASP8', 'CUL1', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
563	WP	WP:WP2453	TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	5.18638263090248e-05	True	TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	16	80	5	8133	0.0625	0.3125	query_1	['WP:000000']	['DLST', 'DLAT', 'PDHA1', 'DLD', 'OGDH']
564	KEGG	KEGG:01523	Antifolate resistance	5.346744466001652e-05	True	Antifolate resistance	30	88	6	8161	0.0681818181818181	0.2	query_1	['KEGG:00000']	['CHUK', 'RELA', 'IKBKB', 'TNF', 'NFKB1', 'IKBKG']
565	GO:BP	GO:2001056	positive regulation of cysteine-type endopeptidase activity	5.467524913795141e-05	True	"""Any process that activates or increases the frequency, rate or extent of cysteine-type endopeptidase activity."" [GOC:obol]"	143	99	9	21110	0.0909090909090909	0.0629370629370629	query_1	['GO:0010950', 'GO:2000116']	['EGLN3', 'CASP10', 'TNF', 'FAS', 'FADD', 'CFLAR', 'MALT1', 'CASP8', 'BCL10']
566	GO:BP	GO:0050789	regulation of biological process	6.083878477040437e-05	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	12480	99	84	21110	0.8484848484848485	0.0067307692307692	query_1	['GO:0008150', 'GO:0065007']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'TRADD', 'FLYWCH1', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'ABHD6', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
567	HPA	HPA:0300411	lung; macrophages[≥Low]	6.238013633567687e-05	True	lung; macrophages[≥Low]	6779	84	73	11006	0.8690476190476191	0.0107685499336185	query_1	['HPA:0300000']	['SNX6', 'SHARPIN', 'PDK4', 'MAP3K8', 'PPM1K', 'SNX1', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'DLST', 'MAP3K14', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'BTRC', 'DBT', 'TNF', 'RNF31', 'FADD', 'SIL1', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'HIF1A', 'RIPK1', 'SKP1', 'PDK3', 'TRADD', 'FLYWCH1', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'TAB1', 'NSUN6', 'MAP3K7', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'OGDH', 'UFM1', 'STAT5B', 'BCKDHA']
568	GO:BP	GO:0048519	negative regulation of biological process	6.275992620754524e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5932	99	54	21110	0.5454545454545454	0.0091031692515171	query_1	['GO:0008150', 'GO:0050789']	['SNX6', 'SHARPIN', 'PDK4', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'STAT3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'VHL', 'BCKDK', 'HIF1A', 'RIPK1', 'CFLAR', 'FLYWCH1', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'AHR', 'IKBKG', 'BIRC3', 'TRAF2', 'GHR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'ABHD6', 'FBXW7', 'BCL10', 'PRL', 'UFM1', 'STAT5B', 'PRLR']
569	REAC	REAC:R-HSA-9674555	Signaling by CSF3 (G-CSF)	6.351103706159012e-05	True	Signaling by CSF3 (G-CSF)	30	91	6	10790	0.0659340659340659	0.2	query_1	['REAC:R-HSA-1280215']	['STAT3', 'ELOB', 'ELOC', 'STAT5A', 'CUL5', 'STAT5B']
570	REAC	REAC:R-HSA-5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	6.406275168719565e-05	True	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	16	91	5	10790	0.0549450549450549	0.3125	query_1	['REAC:R-HSA-5668541']	['MAP3K14', 'TRAF3', 'BIRC3', 'TRAF2', 'BIRC2']
571	REAC	REAC:R-HSA-193639	p75NTR signals via NF-kB	6.406275168719565e-05	True	p75NTR signals via NF-kB	16	91	5	10790	0.0549450549450549	0.3125	query_1	['REAC:R-HSA-193704']	['RELA', 'IKBKB', 'NFKB1', 'TRAF6', 'NFKBIA']
572	GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	6.669413992589672e-05	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	253	99	11	21110	0.1111111111111111	0.0434782608695652	query_1	['GO:0002429']	['RELA', 'IKBKB', 'RBCK1', 'RNF31', 'NFKB1', 'MALT1', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'BCL10']
573	HPA	HPA:0380000	placenta	6.66977939857058e-05	True	placenta	7509	84	77	11006	0.9166666666666666	0.0102543614329471	query_1	['HPA:0000000']	['SHARPIN', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'DLST', 'MAP3K14', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'BTRC', 'DBT', 'RNF31', 'FADD', 'SIL1', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'PDK3', 'TRADD', 'FLYWCH1', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'TAB1', 'BIRC3', 'GH1', 'NSUN6', 'MAP3K7', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'CSH2', 'UFM1', 'STAT5B', 'BCKDHA']
574	REAC	REAC:R-HSA-5688426	Deubiquitination	6.932413416561922e-05	True	Deubiquitination	297	91	14	10790	0.1538461538461538	0.0471380471380471	query_1	['REAC:R-HSA-597592']	['TRAF3', 'TNIP2', 'HIF1A', 'RIPK1', 'EP300', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'SKP2']
