Classical Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
420	GO:BP	GO:0022612	gland morphogenesis	9.812752928770185e-05	True	"""The process in which the anatomical structures of a gland are generated and organized."" [GOC:isa_complete]"	121	101	7	15719	0.0693069306930693	0.0578512396694214	query_1	['GO:0009887', 'GO:0048732']	['SRC', 'TGFB3', 'HGF', 'TNC', 'EGFR', 'NRP1', 'PLXNA1']
421	GO:BP	GO:0038083	peptidyl-tyrosine autophosphorylation	9.962106886567195e-05	True	"""The phosphorylation by a protein of one or more of its own tyrosine amino acid residues, or a tyrosine residue on an identical protein."" [PMID:10037737, PMID:10068444, PMID:10940390]"	23	101	4	15719	0.0396039603960396	0.1739130434782608	query_1	['GO:0018108', 'GO:0046777']	['SRC', 'EGFR', 'VEGFA', 'LCK']
422	GO:BP	GO:0035023	regulation of Rho protein signal transduction	0.0001020710232219	True	"""Any process that modulates the frequency, rate or extent of Rho protein signal transduction."" [GOC:bf]"	81	101	6	15719	0.0594059405940594	0.074074074074074	query_1	['GO:0007266', 'GO:0046578']	['MET', 'ITGB1', 'COL3A1', 'PDGFRB', 'NRP1', 'ITGA3']
423	GO:BP	GO:0009410	response to xenobiotic stimulus	0.0001020710232219	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."" [GOC:jl, GOC:krc]"	413	101	12	15719	0.1188118811881188	0.0290556900726392	query_1	['GO:0042221']	['SRC', 'ITGB3', 'LYN', 'VAV1', 'CDH1', 'COL1A1', 'CRKL', 'LCK', 'THBS1', 'ITGA3', 'ITGA2', 'PGF']
424	GO:BP	GO:0042542	response to hydrogen peroxide	0.0001025829235919	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus."" [GOC:jl]"	122	101	7	15719	0.0693069306930693	0.0573770491803278	query_1	['GO:0000302', 'GO:0010033', 'GO:0010035']	['MET', 'SRC', 'CRK', 'HGF', 'FYN', 'PDGFRB', 'COL1A1']
429	GO:BP	GO:0061438	renal system vasculature morphogenesis	0.0001061494076599	True	"""The process in which the renal system vasculature is generated and organized. Morphogenesis pertains to the creation of form."" [GOC:dph, GOC:mtg_kidney_jan10, PMID:11891195]"	8	101	3	15719	0.0297029702970297	0.375	query_1	['GO:0009653', 'GO:0061437']	['PDGFRB', 'NRP1', 'PDGFRA']
430	GO:BP	GO:0072239	metanephric glomerulus vasculature development	0.0001061494076599	True	"""The biological process whose specific outcome is the progression of a metanephric glomerulus vasculature from an initial condition to its mature state. This process begins with the formation of the metanephric glomerulus vasculature and ends with the mature structure. The metanephric glomerulus vasculature is composed of the tubule structures that carry blood or lymph in the metanephric glomerulus."" [GOC:mtg_kidney_jan10]"	8	101	3	15719	0.0297029702970297	0.375	query_1	['GO:0072012', 'GO:0072224']	['PDGFB', 'PDGFRB', 'PDGFRA']
425	GO:BP	GO:0060753	regulation of mast cell chemotaxis	0.0001061494076599	True	"""Any process that modulates the rate, frequency or extent of mast cell chemotaxis. Mast cell chemotaxis is the movement of a mast cell in response to an external stimulus."" [GOC:dph, GOC:tb]"	8	101	3	15719	0.0297029702970297	0.375	query_1	['GO:0002551', 'GO:0002688']	['VEGFB', 'VEGFA', 'PGF']
428	GO:BP	GO:0061439	kidney vasculature morphogenesis	0.0001061494076599	True	"""The process in which the kidney vasculature is generated and organized. Morphogenesis pertains to the creation of form."" [GOC:dph, GOC:mtg_kidney_jan10]"	8	101	3	15719	0.0297029702970297	0.375	query_1	['GO:0009653', 'GO:0061438', 'GO:0061440']	['PDGFRB', 'NRP1', 'PDGFRA']
427	GO:BP	GO:0021888	hypothalamus gonadotrophin-releasing hormone neuron development	0.0001061494076599	True	"""The process whose specific outcome is the progression of a hypothalamus gonadotrophin-releasing hormone neuron over time, from initial commitment of its fate, to the fully functional differentiated cell."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, PMID:12626695]"	8	101	3	15719	0.0297029702970297	0.375	query_1	['GO:0021884', 'GO:0021886']	['NRP2', 'NRP1', 'PLXNA1']
426	GO:BP	GO:0021886	hypothalamus gonadotrophin-releasing hormone neuron differentiation	0.0001061494076599	True	"""The process in which a relatively unspecialized cell acquires specialized features of a neuron located in the hypothalamus. These neurons release gonadotrophin-releasing hormone as a neural transmitter."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, PMID:12626695]"	8	101	3	15719	0.0297029702970297	0.375	query_1	['GO:0021979']	['NRP2', 'NRP1', 'PLXNA1']
431	GO:BP	GO:0048661	positive regulation of smooth muscle cell proliferation	0.0001074885214468	True	"""Any process that activates or increases the rate or extent of smooth muscle cell proliferation."" [CL:0000192, GOC:ebc]"	82	101	6	15719	0.0594059405940594	0.073170731707317	query_1	['GO:0008284', 'GO:0048659', 'GO:0048660']	['PDGFB', 'SRC', 'ITGB3', 'PDGFRB', 'THBS1', 'ITGA2']
122	REAC	REAC:R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	0.0001104728094795	True	Role of LAT2/NTAL/LAB on calcium mobilization	19	95	4	10022	0.0421052631578947	0.2105263157894736	query_1	['REAC:R-HSA-2454202']	['PIK3R1', 'SOS1', 'FYN', 'LYN']
121	REAC	REAC:R-HSA-416700	Other semaphorin interactions	0.0001104728094795	True	Other semaphorin interactions	19	95	4	10022	0.0421052631578947	0.2105263157894736	query_1	['REAC:R-HSA-373755']	['ITGB1', 'ITGA1', 'SEMA4D', 'PLXNA1']
432	GO:BP	GO:0090287	regulation of cellular response to growth factor stimulus	0.0001104859233041	True	"""Any process that modulates the rate, frequency, or extent of a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:tb]"	285	101	10	15719	0.099009900990099	0.0350877192982456	query_1	['GO:0048583', 'GO:0071363']	['PTP4A3', 'VEGFB', 'ITGB3', 'TGFB3', 'ITGA5', 'VEGFA', 'VTN', 'NRP1', 'THBS1', 'ITGA3']
433	GO:BP	GO:0050769	positive regulation of neurogenesis	0.0001111660378909	True	"""Any process that activates or increases the frequency, rate or extent of neurogenesis, the generation of cells within the nervous system."" [GOC:ai]"	226	101	9	15719	0.0891089108910891	0.0398230088495575	query_1	['GO:0010720', 'GO:0022008', 'GO:0050767', 'GO:0051962']	['ITGB1', 'PLXNB1', 'FN1', 'LYN', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
123	REAC	REAC:R-HSA-8853659	RET signaling	0.0001122612298792	True	RET signaling	38	95	5	10022	0.0526315789473684	0.131578947368421	query_1	['REAC:R-HSA-422475']	['PIK3R1', 'SHC1', 'SOS1', 'PLCG1', 'PTPN11']
434	GO:BP	GO:0007528	neuromuscular junction development	0.0001127777076426	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a neuromuscular junction."" [GOC:mtg_OBO2OWL_2013]"	49	101	5	15719	0.0495049504950495	0.1020408163265306	query_1	['GO:0050808']	['TNC', 'ERBB2', 'CRKL', 'COL4A5', 'COL4A1']
435	GO:BP	GO:0071900	regulation of protein serine/threonine kinase activity	0.0001128164764504	True	"""Any process that modulates the rate, frequency, or extent of protein serine/threonine kinase activity."" [GOC:mah]"	350	101	11	15719	0.1089108910891089	0.0314285714285714	query_1	['GO:0045859']	['PDGFB', 'SRC', 'SOS1', 'LYN', 'PDGFRB', 'EGFR', 'ERBB2', 'VEGFA', 'DIPK2A', 'THBS1', 'FLT1']
436	GO:BP	GO:0038095	Fc-epsilon receptor signaling pathway	0.0001148735427991	True	"""The series of molecular signals initiated by the binding of the Fc portion of immunoglobulin E (IgE) to an Fc-epsilon receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, PMID:12413516, PMID:15048725]"	24	101	4	15719	0.0396039603960396	0.1666666666666666	query_1	['GO:0038093']	['SOS1', 'LYN', 'VAV1', 'PLCG1']
437	GO:BP	GO:0071621	granulocyte chemotaxis	0.0001166510168696	True	"""The movement of a granulocyte in response to an external stimulus."" [GOC:rph]"	125	101	7	15719	0.0693069306930693	0.056	query_1	['GO:0030595', 'GO:0097530']	['ITGA9', 'ITGA1', 'JAM3', 'VAV1', 'VEGFA', 'PTK2', 'THBS1']
438	GO:BP	GO:0043536	positive regulation of blood vessel endothelial cell migration	0.0001235373303549	True	"""Any process that activates or increases the frequency, rate or extent of the migration of the endothelial cells of blood vessels."" [GOC:go_curators]"	50	101	5	15719	0.0495049504950495	0.1	query_1	['GO:0010595', 'GO:0043534', 'GO:0043535']	['PDGFB', 'PLCG1', 'VEGFA', 'NRP1', 'THBS1']
124	REAC	REAC:R-HSA-5674135	MAP2K and MAPK activation	0.0001257817090892	True	MAP2K and MAPK activation	39	95	5	10022	0.0526315789473684	0.1282051282051282	query_1	['REAC:R-HSA-5673001']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'TLN1']
125	REAC	REAC:R-HSA-5654736	Signaling by FGFR1	0.0001257817090892	True	Signaling by FGFR1	39	95	5	10022	0.0526315789473684	0.1282051282051282	query_1	['REAC:R-HSA-190236']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11', 'CBL']
439	GO:BP	GO:0060348	bone development	0.0001260786285337	True	"""The process whose specific outcome is the progression of bone over time, from its formation to the mature structure. Bone is the hard skeletal connective tissue consisting of both mineral and cellular components."" [GOC:dph]"	230	101	9	15719	0.0891089108910891	0.0391304347826087	query_1	['GO:0001501', 'GO:0048513']	['PLXNB1', 'SRC', 'TGFB3', 'COL2A1', 'COL3A1', 'COL1A1', 'ITGB6', 'PTPN11', 'SEMA4D']
440	GO:BP	GO:0050852	T cell receptor signaling pathway	0.0001284780717369	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	127	101	7	15719	0.0693069306930693	0.0551181102362204	query_1	['GO:0050851']	['PTPN2', 'BCAR1', 'FYN', 'LCP2', 'PLCG1', 'CRKL', 'LCK']
441	GO:BP	GO:1903035	negative regulation of response to wounding	0.0001291957868482	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	85	101	6	15719	0.0594059405940594	0.0705882352941176	query_1	['GO:0009611', 'GO:0048585', 'GO:1903034']	['PDGFB', 'SPP1', 'CRK', 'VTN', 'THBS1', 'PDGFRA']
126	REAC	REAC:R-HSA-389513	CTLA4 inhibitory signaling	0.0001327730954201	True	CTLA4 inhibitory signaling	20	95	4	10022	0.0421052631578947	0.2	query_1	['REAC:R-HSA-388841']	['FYN', 'LYN', 'LCK', 'PTPN11']
442	GO:BP	GO:0006929	substrate-dependent cell migration	0.0001336346424474	True	"""The orderly movement of a cell from one site to another along a substrate such as the extracellular matrix; the migrating cell forms a protrusion that attaches to the substrate."" [ISBN:0815316194, PMID:11944043, PMID:14657486]"	25	101	4	15719	0.0396039603960396	0.16	query_1	['GO:0016477']	['FN1', 'ITGA11', 'NRP1', 'ITGA2']
443	GO:BP	GO:0033622	integrin activation	0.0001336346424474	True	"""The aggregation, arrangement and bonding together of an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits, that lead to the increased affinity of the integrin for its extracellular ligands."" [GOC:add, PMID:12213832, PMID:14754902]"	25	101	4	15719	0.0396039603960396	0.16	query_1	['GO:0065003']	['FN1', 'SRC', 'JAM3', 'TLN1']
444	GO:BP	GO:0048011	neurotrophin TRK receptor signaling pathway	0.0001336346424474	True	"""The series of molecular signals initiated by neurotrophin binding to its receptor on the surface of a target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:ceb, GOC:jc, GOC:signaling, PMID:12065629, Wikipedia:Trk_receptor]"	25	101	4	15719	0.0396039603960396	0.16	query_1	['GO:0007169', 'GO:0038179']	['BCAR1', 'SRC', 'SOS1', 'PTPN11']
445	GO:BP	GO:0030097	hemopoiesis	0.0001360726975323	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	914	101	18	15719	0.1782178217821782	0.0196936542669584	query_1	['GO:0048468']	['PTPN2', 'ITGB1', 'SRC', 'PIK3R1', 'SOS1', 'ITGA4', 'SH3PXD2A', 'LYN', 'JAM3', 'VAV1', 'ERBB2', 'VEGFA', 'VCAM1', 'ITGB6', 'LCK', 'PTPN11', 'PDGFRA', 'FLT1']
446	GO:BP	GO:0007565	female pregnancy	0.0001384312955515	True	"""The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth."" [ISBN:0192800825]"	178	101	8	15719	0.0792079207920792	0.0449438202247191	query_1	['GO:0044703', 'GO:0044706']	['SPP1', 'ITGB3', 'TGFB3', 'ITGA5', 'VEGFA', 'ITGA3', 'ITGA2', 'PGF']
127	REAC	REAC:R-HSA-9656223	Signaling by RAF1 mutants	0.0001404498730572	True	Signaling by RAF1 mutants	40	95	5	10022	0.0526315789473684	0.125	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'TLN1']
447	GO:BP	GO:0048762	mesenchymal cell differentiation	0.0001419788564479	True	"""The process in which a relatively unspecialized cell acquires specialized features of a mesenchymal cell. A mesenchymal cell is a loosely associated cell that is part of the connective tissue in an organism. Mesenchymal cells give rise to more mature connective tissue cell types."" [GOC:dph, GOC:jid]"	234	101	9	15719	0.0891089108910891	0.0384615384615384	query_1	['GO:0030154', 'GO:0060485']	['FN1', 'TGFB3', 'HGF', 'NRP2', 'COL1A1', 'PTK2', 'NRP1', 'ADAM15', 'SEMA4D']
448	GO:BP	GO:0061138	morphogenesis of a branching epithelium	0.000143505041964	True	"""The process in which the anatomical structures of a branched epithelium are generated and organized."" [GOC:dph]"	179	101	8	15719	0.0792079207920792	0.0446927374301676	query_1	['GO:0001763', 'GO:0002009']	['MET', 'SRC', 'HGF', 'GRB2', 'VEGFA', 'NRP1', 'COL4A1', 'PLXNA1']
449	GO:BP	GO:0007266	Rho protein signal transduction	0.0001465334680101	True	"""The series of molecular signals within the cell that are mediated by a member of the Rho family of proteins switching to a GTP-bound active state."" [GOC:bf]"	130	101	7	15719	0.0693069306930693	0.0538461538461538	query_1	['GO:0007265']	['MET', 'ITGB1', 'COL3A1', 'PDGFRB', 'COL1A2', 'NRP1', 'ITGA3']
450	GO:BP	GO:0050767	regulation of neurogenesis	0.000149088252825	True	"""Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."" [GOC:ai]"	362	101	11	15719	0.1089108910891089	0.0303867403314917	query_1	['GO:0022008', 'GO:0051960', 'GO:0060284']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'LYN', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
451	GO:BP	GO:0060485	mesenchyme development	0.0001507838164614	True	"""The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells."" [GOC:dph]"	297	101	10	15719	0.099009900990099	0.0336700336700336	query_1	['GO:0009888', 'GO:0048513']	['FN1', 'TGFB3', 'HGF', 'PDGFRB', 'NRP2', 'COL1A1', 'PTK2', 'NRP1', 'ADAM15', 'SEMA4D']
452	GO:BP	GO:0035635	entry of bacterium into host cell	0.0001507838164614	True	"""The process in which a bacterium enters a host cell. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [GOC:bf, PMID:21187937]"	9	101	3	15719	0.0297029702970297	0.3333333333333333	query_1	['GO:0044409']	['ITGAV', 'SRC', 'CBL']
453	GO:BP	GO:0065007	biological regulation	0.0001518750779048	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10874	101	88	15719	0.8712871287128713	0.0080926981791429	query_1	['GO:0008150']	['PTP4A3', 'P4HB', 'MET', 'RAPGEF1', 'NES', 'PTPN2', 'MSR1', 'ITGB1', 'ITGA9', 'COL4A3', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'COL5A2', 'BCAR1', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'TGFB3', 'PIK3R1', 'COCH', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'CAMKMT', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'TNC', 'NRP2', 'LCP2', 'JAM3', 'EGFR', 'COL5A1', 'ITGAE', 'VAV1', 'AGPAT1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'CDH1', 'VEGFA', 'SH3GL2', 'COL1A1', 'ADAM12', 'CRKL', 'ERO1A', 'VTN', 'DIPK2A', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'COL4A5', 'COL4A1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1', 'COL4A6']
454	GO:BP	GO:0072012	glomerulus vasculature development	0.000152361167749	True	"""The biological process whose specific outcome is the progression of a glomerulus vasculature from an initial condition to its mature state. This process begins with the formation of the glomerulus vasculature and ends with the mature structure. The glomerulus vasculature is composed of the tubule structures that carry blood or lymph in the glomerulus."" [GOC:mtg_kidney_jan10]"	26	101	4	15719	0.0396039603960396	0.1538461538461538	query_1	['GO:0001568', 'GO:0032835', 'GO:0061440']	['PDGFB', 'ITGB3', 'PDGFRB', 'PDGFRA']
455	GO:BP	GO:2000209	regulation of anoikis	0.000152361167749	True	"""Any process that modulates the frequency, rate or extent of anoikis."" [GOC:mah]"	26	101	4	15719	0.0396039603960396	0.1538461538461538	query_1	['GO:0042981', 'GO:0043276']	['ITGB1', 'SRC', 'ITGA5', 'PTK2']
456	GO:BP	GO:0050927	positive regulation of positive chemotaxis	0.000152361167749	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of a motile cell or organism towards a higher concentration in a concentration gradient of a specific chemical."" [GOC:ai]"	26	101	4	15719	0.0396039603960396	0.1538461538461538	query_1	['GO:0050918', 'GO:0050921', 'GO:0050926']	['VEGFB', 'VEGFA', 'ITGA2', 'PGF']
457	GO:BP	GO:0101023	vascular endothelial cell proliferation	0.000152361167749	True	"""The multiplication or reproduction of blood vessel endothelial cells, resulting in the expansion of a cell population."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:23201774]"	26	101	4	15719	0.0396039603960396	0.1538461538461538	query_1	['GO:0001935']	['COL4A3', 'ITGA4', 'PLCG1', 'FLT1']
458	GO:BP	GO:1905562	regulation of vascular endothelial cell proliferation	0.000152361167749	True	"""Any process that modulates the frequency, rate or extent of vascular endothelial cell proliferation."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23201774]"	26	101	4	15719	0.0396039603960396	0.1538461538461538	query_1	['GO:0001936', 'GO:0101023']	['COL4A3', 'ITGA4', 'PLCG1', 'FLT1']
128	REAC	REAC:R-HSA-388841	Costimulation by the CD28 family	0.000155036761666	True	Costimulation by the CD28 family	67	95	6	10022	0.0631578947368421	0.0895522388059701	query_1	['REAC:R-HSA-1280218']	['PIK3R1', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11']
130	REAC	REAC:R-HSA-5654687	Downstream signaling of activated FGFR1	0.0001578544724722	True	Downstream signaling of activated FGFR1	21	95	4	10022	0.0421052631578947	0.1904761904761904	query_1	['REAC:R-HSA-5654736']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11']
129	REAC	REAC:R-HSA-5654716	Downstream signaling of activated FGFR4	0.0001578544724722	True	Downstream signaling of activated FGFR4	21	95	4	10022	0.0421052631578947	0.1904761904761904	query_1	['REAC:R-HSA-5654743']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11']
459	GO:BP	GO:0048145	regulation of fibroblast proliferation	0.0001615670401529	True	"""Any process that modulates the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]"	89	101	6	15719	0.0594059405940594	0.0674157303370786	query_1	['GO:0042127', 'GO:0048144']	['FN1', 'PDGFB', 'ITGB3', 'PDGFRB', 'EGFR', 'PDGFRA']
460	GO:BP	GO:0008361	regulation of cell size	0.0001639018634683	True	"""Any process that modulates the size of a cell."" [GOC:go_curators]"	183	101	8	15719	0.0792079207920792	0.0437158469945355	query_1	['GO:0032535']	['FN1', 'SPP1', 'VAV1', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D']
132	REAC	REAC:R-HSA-416550	Sema4D mediated inhibition of cell attachment and migration	0.000173217746457	True	Sema4D mediated inhibition of cell attachment and migration	8	95	3	10022	0.031578947368421	0.375	query_1	['REAC:R-HSA-400685']	['MET', 'PLXNB1', 'SEMA4D']
131	REAC	REAC:R-HSA-8851805	MET activates RAS signaling	0.000173217746457	True	MET activates RAS signaling	8	95	3	10022	0.031578947368421	0.375	query_1	['REAC:R-HSA-6806834']	['MET', 'HGF', 'SOS1']
461	GO:BP	GO:0051493	regulation of cytoskeleton organization	0.000173857723566	True	"""Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]"	514	101	13	15719	0.1287128712871287	0.0252918287937743	query_1	['GO:0007010', 'GO:0033043']	['MET', 'NES', 'PLXNB1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'GRB2', 'PDGFRB', 'JAM3', 'PTK2', 'NRP1', 'PDGFRA']
462	GO:BP	GO:0002521	leukocyte differentiation	0.0001738604630599	True	"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]"	592	101	14	15719	0.1386138613861386	0.0236486486486486	query_1	['GO:0030097', 'GO:0030154']	['PTPN2', 'ITGB1', 'SRC', 'PIK3R1', 'SOS1', 'ITGA4', 'SH3PXD2A', 'LYN', 'VAV1', 'ERBB2', 'VEGFA', 'VCAM1', 'ITGB6', 'LCK']
464	GO:BP	GO:0050926	regulation of positive chemotaxis	0.0001753051107189	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a motile cell or organism towards a higher concentration in a concentration gradient of a specific chemical."" [GOC:ai]"	27	101	4	15719	0.0396039603960396	0.1481481481481481	query_1	['GO:0050918', 'GO:0050920']	['VEGFB', 'VEGFA', 'ITGA2', 'PGF']
465	GO:BP	GO:0035767	endothelial cell chemotaxis	0.0001753051107189	True	"""The directed movement of an endothelial cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [CL:0000115, GOC:BHF]"	27	101	4	15719	0.0396039603960396	0.1481481481481481	query_1	['GO:0043542', 'GO:0060326']	['MET', 'VEGFA', 'NRP1', 'THBS1']
463	GO:BP	GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	0.0001753051107189	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of epidermal growth factor receptor signaling pathway activity."" [GOC:go_curators]"	27	101	4	15719	0.0396039603960396	0.1481481481481481	query_1	['GO:0007173', 'GO:0042058', 'GO:1901185']	['PTPN2', 'ITGA1', 'EGFR', 'CBL']
466	GO:BP	GO:0072001	renal system development	0.0001784344446084	True	"""The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels."" [GOC:mtg_kidney_jan10, GOC:yaf, http://en.wikibooks.org/wiki/Human_Physiology/The_Urinary_System]"	304	101	10	15719	0.099009900990099	0.0328947368421052	query_1	['GO:0048731']	['COL4A3', 'PDGFB', 'ITGB3', 'PDGFRB', 'COL4A4', 'VEGFA', 'NRP1', 'COL4A1', 'ITGA3', 'PDGFRA']
133	REAC	REAC:R-HSA-5654696	Downstream signaling of activated FGFR2	0.0001872484850126	True	Downstream signaling of activated FGFR2	22	95	4	10022	0.0421052631578947	0.1818181818181818	query_1	['REAC:R-HSA-5654738']	['PIK3R1', 'SOS1', 'PLCG1', 'PTPN11']
467	GO:BP	GO:0001501	skeletal system development	0.0001898497563065	True	"""The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton)."" [GOC:dph, GOC:jid, GOC:tb]"	519	101	13	15719	0.1287128712871287	0.02504816955684	query_1	['GO:0048731']	['PLXNB1', 'COL5A2', 'SRC', 'TGFB3', 'COL2A1', 'COL3A1', 'COL1A2', 'COL10A1', 'COL1A1', 'ITGB6', 'PTPN11', 'PDGFRA', 'SEMA4D']
64	GO:CC	GO:0016222	procollagen-proline 4-dioxygenase complex	0.0001927977618072	True	"""A protein complex that catalyzes the formation of procollagen trans-4-hydroxy-L-proline and succinate from procollagen L-proline and 2-oxoglutarate, requiring Fe2+ and ascorbate. Contains two alpha subunits that contribute to most parts of the catalytic sites, and two beta subunits that are identical to protein-disulfide isomerase."" [PMID:14500733, PMID:7753822]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0140534', 'GO:1990204']	['P4HB', 'P4HA1']
63	GO:CC	GO:0005584	collagen type I trimer	0.0001927977618072	True	"""A collagen trimer containing alpha(I) chains. The most common form of type I collagen is a heterotrimer containing two alpha1(I) chains and one alpha2(I) chain; homotrimers containing three alpha1(I) chains are also found. Type I collagen triple helices associate to form banded fibrils."" [GOC:mah, GOC:sl, ISBN:0721639976]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0005583']	['COL1A2', 'COL1A1']
62	GO:CC	GO:0034674	integrin alpha5-beta1 complex	0.0001927977618072	True	"""An integrin complex that comprises one alpha5 subunit and one beta1 subunit."" [PMID:12297042]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0008305']	['ITGB1', 'ITGA5']
61	GO:CC	GO:0070435	Shc-EGFR complex	0.0001927977618072	True	"""A protein complex that contains the epidermal growth factor receptor (EGFR) and the adaptor protein Shc, and is involved in linking EGFR activation to the p21-Ras pathway."" [GOC:mah, PMID:7798267]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0098797']	['SHC1', 'EGFR']
60	GO:CC	GO:0034684	integrin alphav-beta5 complex	0.0001927977618072	True	"""An integrin complex that comprises one alphav subunit and one beta5 subunit."" [PMID:12297042]"	2	102	2	16420	0.0196078431372549	1.0	query_1	['GO:0008305']	['ITGB5', 'ITGAV']
