Neuroectodermal melanolysosomal disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
190	REAC	REAC:R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	0.0015515663287369	True	Association of TriC/CCT with target proteins during biosynthesis	37	98	4	10022	0.0408163265306122	0.1081081081081081	query_1	['REAC:R-HSA-390466']	['STAT3', 'CCNE2', 'CCNE1', 'TP53']
192	REAC	REAC:R-HSA-9614657	FOXO-mediated transcription of cell death genes	0.0016035965075	True	FOXO-mediated transcription of cell death genes	16	98	3	10022	0.0306122448979591	0.1875	query_1	['REAC:R-HSA-9614085']	['CREBBP', 'EP300', 'FOXO1']
193	REAC	REAC:R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	0.0016035965075	True	Initiation of Nuclear Envelope (NE) Reformation	16	98	3	10022	0.0306122448979591	0.1875	query_1	['REAC:R-HSA-2995410']	['CCNB1', 'CCNB2', 'CDK1']
465	GO:BP	GO:0031668	cellular response to extracellular stimulus	0.00162438947516	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."" [GOC:mah]"	255	100	8	15719	0.08	0.0313725490196078	query_1	['GO:0007154', 'GO:0009991', 'GO:0051716', 'GO:0071496']	['CDKN2B', 'EHMT2', 'MAX', 'CDKN1A', 'SP1', 'FOXO1', 'KAT5', 'TP53']
466	GO:BP	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.0016351735115508	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	47	100	4	15719	0.04	0.0851063829787234	query_1	['GO:0008630', 'GO:0072332']	['CDKN1A', 'EP300', 'TP53', 'KDM1A']
467	GO:BP	GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	0.0016452452303431	True	"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, resulting in the induction of the transcription of p21 (also known as WAF1, CIP1 and SDI1) or any equivalent protein, in response to the detection of DNA damage."" [PMID:10967424]"	19	100	3	15719	0.03	0.1578947368421052	query_1	['GO:0030330', 'GO:0042772']	['CDKN1A', 'KAT5', 'TP53']
468	GO:BP	GO:0003002	regionalization	0.0016753957383417	True	"""The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment."" [GOC:dph, GOC:isa_complete]"	400	100	10	15719	0.1	0.025	query_1	['GO:0007389']	['BMI1', 'RING1', 'CTNNB1', 'SMAD2', 'SMAD4', 'EP300', 'PCGF2', 'RNF2', 'TP53', 'SMAD3']
472	GO:BP	GO:1905448	positive regulation of mitochondrial ATP synthesis coupled electron transport	0.0017155390306945	True	"""Any process that activates or increases the frequency, rate or extent of mitochondrial ATP synthesis coupled electron transport."" [GO_REF:0000058, GOC:bc, GOC:PARL, GOC:TermGenie, PMID:23707074]"	4	100	2	15719	0.02	0.5	query_1	['GO:0031325', 'GO:0042775', 'GO:1905446']	['CCNB1', 'CDK1']
473	GO:BP	GO:0051169	nuclear transport	0.0017155390306945	True	"""The directed movement of substances into, out of, or within the nucleus."" [GOC:ai]"	327	100	9	15719	0.09	0.0275229357798165	query_1	['GO:0046907']	['AKT1', 'CDK5', 'STAT3', 'CDKN1A', 'CDK1', 'CDKN2A', 'CDKN1B', 'TP53', 'SMAD3']
470	GO:BP	GO:0018076	N-terminal peptidyl-lysine acetylation	0.0017155390306945	True	"""The acetylation of the N-terminal lysine of proteins."" [GOC:ai]"	4	100	2	15719	0.02	0.5	query_1	['GO:0006474', 'GO:0018394']	['CREBBP', 'EP300']
474	GO:BP	GO:1990086	lens fiber cell apoptotic process	0.0017155390306945	True	"""Any apoptotic process in a lens fiber cell. Lens fiber cells are elongated, tightly packed cells that make up the bulk of the mature lens in a camera-type eye."" [CL:0011004, GOC:hjd, PMID:11095619]"	4	100	2	15719	0.02	0.5	query_1	['GO:1904019']	['E2F2', 'E2F1']
469	GO:BP	GO:0060992	response to fungicide	0.0017155390306945	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fungicide stimulus. Fungicides are chemicals used to kill fungi."" [GOC:dph]"	4	100	2	15719	0.02	0.5	query_1	['GO:0009636', 'GO:0046677']	['EHMT2', 'KDM1A']
475	GO:BP	GO:0006913	nucleocytoplasmic transport	0.0017155390306945	True	"""The directed movement of molecules between the nucleus and the cytoplasm."" [GOC:go_curators]"	327	100	9	15719	0.09	0.0275229357798165	query_1	['GO:0051169']	['AKT1', 'CDK5', 'STAT3', 'CDKN1A', 'CDK1', 'CDKN2A', 'CDKN1B', 'TP53', 'SMAD3']
471	GO:BP	GO:1990049	retrograde neuronal dense core vesicle transport	0.0017155390306945	True	"""The directed movement of neuronal dense core vesicles along axonal microtubules towards the cell body."" [GOC:kmv, PMID:23358451, PMID:24762653]"	4	100	2	15719	0.02	0.5	query_1	['GO:0008090', 'GO:0047496', 'GO:0099519']	['KIF5A', 'KIF5B']
194	REAC	REAC:R-HSA-9645723	Diseases of programmed cell death	0.0017202200567641	True	Diseases of programmed cell death	103	98	6	10022	0.0612244897959183	0.058252427184466	query_1	['REAC:R-HSA-1643685']	['CDK5', 'RBBP4', 'DNMT1', 'CDK5R1', 'CDKN2A', 'TP53']
477	GO:BP	GO:0046677	response to antibiotic	0.0017343158455008	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an antibiotic stimulus. An antibiotic is a chemical substance produced by a microorganism which has the capacity to inhibit the growth of or to kill other microorganisms."" [GOC:ai, GOC:ef]"	48	100	4	15719	0.04	0.0833333333333333	query_1	['GO:0042221']	['EHMT2', 'CDKN1B', 'TP53', 'KDM1A']
476	GO:BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.0017343158455008	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, with ubiquitin-protein ligation catalyzed by an SCF (Skp1/Cul1/F-box protein) complex, and mediated by the proteasome."" [PMID:15380083]"	48	100	4	15719	0.04	0.0833333333333333	query_1	['GO:0043161']	['RBX1', 'SKP1', 'SKP2', 'CUL1']
478	GO:BP	GO:0043010	camera-type eye development	0.0017673190266198	True	"""The process whose specific outcome is the progression of the camera-type eye over time, from its formation to the mature structure. The camera-type eye is an organ of sight that receives light through an aperture and focuses it through a lens, projecting it on a photoreceptor field."" [GOC:go_curators, GOC:mtg_sensu]"	329	100	9	15719	0.09	0.0273556231003039	query_1	['GO:0001654']	['STAT3', 'MAX', 'RING1', 'CTNNB1', 'HDAC1', 'SMARCA4', 'CDKN1B', 'SMAD3', 'HDAC2']
89	GO:CC	GO:0005856	cytoskeleton	0.0017726759812684	True	"""A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."" [GOC:mah, PMID:16959967, PMID:27419875]"	2267	101	27	16420	0.2673267326732673	0.011910013233348	query_1	['GO:0043232']	['MYRIP', 'AKT1', 'CDK5', 'CBX3', 'KIF5A', 'CCNB1', 'CCNA1', 'KLC4', 'CCNE2', 'CTNNB1', 'RB1', 'CCNE1', 'KIF5B', 'CCNB2', 'SKP1', 'KLC2', 'SMAD4', 'E2F1', 'MYO5A', 'RUVBL1', 'CDK1', 'CDK2', 'KAT5', 'TP53', 'TFDP2', 'KLC1', 'CDK6']
195	REAC	REAC:R-HSA-5250913	Positive epigenetic regulation of rRNA expression	0.0018020561307753	True	Positive epigenetic regulation of rRNA expression	104	98	6	10022	0.0612244897959183	0.0576923076923076	query_1	['REAC:R-HSA-212165']	['EHMT2', 'CBX3', 'HDAC1', 'RBBP4', 'EP300', 'HDAC2']
480	GO:BP	GO:0048704	embryonic skeletal system morphogenesis	0.0018246366750184	True	"""The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase."" [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]"	89	100	5	15719	0.05	0.0561797752808988	query_1	['GO:0048562', 'GO:0048705', 'GO:0048706']	['BMI1', 'CTNNB1', 'SMAD2', 'PCGF2', 'SMAD3']
479	GO:BP	GO:1901216	positive regulation of neuron death	0.0018246366750184	True	"""Any process that activates or increases the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]"	89	100	5	15719	0.05	0.0561797752808988	query_1	['GO:0010942', 'GO:0070997', 'GO:1901214']	['CDK5', 'CTNNB1', 'CDK5R1', 'NQO1', 'TP53']
482	GO:BP	GO:0072073	kidney epithelium development	0.0018350721929313	True	"""The process whose specific outcome is the progression of an epithelium in the kidney over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:mtg_kidney_jan10]"	139	100	6	15719	0.06	0.0431654676258992	query_1	['GO:0001822', 'GO:0060429']	['SMAD1', 'MYC', 'CTNNB1', 'SMAD2', 'SMAD4', 'SMAD3']
481	GO:BP	GO:0010721	negative regulation of cell development	0.0018350721929313	True	"""Any process that decreases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]"	261	100	8	15719	0.08	0.0306513409961685	query_1	['GO:0045596', 'GO:0048468', 'GO:0060284']	['CDKN2B', 'MYC', 'CDK5', 'CTNNB1', 'RB1', 'CDKN2A', 'TP53', 'CDK6']
489	GO:BP	GO:0051716	cellular response to stimulus	0.0018401572009428	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6649	100	60	15719	0.6	0.0090239133704316	query_1	['GO:0009987', 'GO:0050896']	['SMAD1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'STAT3', 'CCNB1', 'CDK7', 'MAX', 'RBL1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'E2F2', 'SMAD2', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'MYO5A', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
483	GO:BP	GO:0071731	response to nitric oxide	0.0018401572009428	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitric oxide stimulus."" [GOC:mah, GOC:yaf]"	20	100	3	15719	0.03	0.15	query_1	['GO:0010035', 'GO:1901698', 'GO:1901700']	['CCNA2', 'CDK2', 'FOXO1']
487	GO:BP	GO:0032388	positive regulation of intracellular transport	0.0018401572009428	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances within cells."" [GOC:mah]"	197	100	7	15719	0.07	0.0355329949238578	query_1	['GO:0032386', 'GO:0046907', 'GO:0048522', 'GO:0051050']	['OAZ1', 'OAZ3', 'CDK5', 'OAZ2', 'CDK5R1', 'CDK1', 'SMAD3']
486	GO:BP	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	0.0018401572009428	True	"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage and resulting in the stopping or reduction in rate of the cell cycle."" [GOC:go_curators]"	20	100	3	15719	0.03	0.15	query_1	['GO:0030330', 'GO:0031571']	['CDKN1A', 'CDKN1B', 'TP53']
488	GO:BP	GO:0048468	cell development	0.0018401572009428	True	"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]"	2609	100	31	15719	0.31	0.0118819471061709	query_1	['GO:0030154', 'GO:0048856', 'GO:0048869']	['CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CDK5', 'EHMT2', 'E2F4', 'STAT3', 'KIF5A', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'KIF5B', 'SIN3A', 'CDK5R1', 'SMAD4', 'EP300', 'E2F1', 'CDK1', 'CDKN2A', 'RCOR1', 'ESR1', 'KAT5', 'RNF2', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1']
485	GO:BP	GO:0042772	DNA damage response, signal transduction resulting in transcription	0.0018401572009428	True	"""A cascade of processes initiated in response to the detection of DNA damage, and resulting in the induction of transcription."" [GOC:go_curators]"	20	100	3	15719	0.03	0.15	query_1	['GO:0042770']	['CDKN1A', 'KAT5', 'TP53']
484	GO:BP	GO:0006508	proteolysis	0.0018401572009428	True	"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]"	1668	100	23	15719	0.23	0.01378896882494	query_1	['GO:0019538']	['AKT1', 'MYC', 'CDK5', 'STAT3', 'TRRAP', 'CTNNB1', 'HDAC1', 'RBX1', 'CDKN2D', 'PSMC5', 'SKP1', 'RYBP', 'USP37', 'CDK1', 'CDKN2A', 'CDK2', 'UBE2W', 'KAT5', 'SKP2', 'CUL1', 'TP53', 'SMAD3', 'HDAC2']
490	GO:BP	GO:0032868	response to insulin	0.0018517722355065	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]"	262	100	8	15719	0.08	0.0305343511450381	query_1	['GO:0043434']	['AKT1', 'MAX', 'RB1', 'MYO5A', 'SP1', 'FOXO1', 'CCND3', 'CDK4']
200	REAC	REAC:R-HSA-211163	AKT-mediated inactivation of FOXO1A	0.001874533400996	True	AKT-mediated inactivation of FOXO1A	4	98	2	10022	0.0204081632653061	0.5	query_1	['REAC:R-HSA-210745']	['AKT1', 'FOXO1']
199	REAC	REAC:R-HSA-69560	Transcriptional activation of p53 responsive genes  	0.001874533400996	True	Transcriptional activation of p53 responsive genes  	4	98	2	10022	0.0204081632653061	0.5	query_1	['REAC:R-HSA-69563']	['CDKN1A', 'TP53']
198	REAC	REAC:R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	0.001874533400996	True	SMAD2/3 Phosphorylation Motif Mutants in Cancer	4	98	2	10022	0.0204081632653061	0.5	query_1	['REAC:R-HSA-3304349']	['SMAD2', 'SMAD3']
197	REAC	REAC:R-HSA-69895	Transcriptional  activation of  cell cycle inhibitor p21 	0.001874533400996	True	Transcriptional  activation of  cell cycle inhibitor p21 	4	98	2	10022	0.0204081632653061	0.5	query_1	['REAC:R-HSA-69560']	['CDKN1A', 'TP53']
196	REAC	REAC:R-HSA-3656532	TGFBR1 KD Mutants in Cancer	0.001874533400996	True	TGFBR1 KD Mutants in Cancer	4	98	2	10022	0.0204081632653061	0.5	query_1	['REAC:R-HSA-3656534']	['SMAD2', 'SMAD3']
491	GO:BP	GO:0048709	oligodendrocyte differentiation	0.001879336544912	True	"""The process in which a relatively unspecialized cell acquires the specialized features of an oligodendrocyte. An oligodendrocyte is a type of glial cell involved in myelinating the axons of neurons in the central nervous system."" [GOC:vp, PMID:15139015]"	90	100	5	15719	0.05	0.0555555555555555	query_1	['GO:0007417', 'GO:0010001']	['CDK5', 'CTNNB1', 'HDAC1', 'CDKN2C', 'HDAC2']
492	GO:BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.0019165944263864	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]"	660	100	13	15719	0.13	0.0196969696969696	query_1	['GO:0019941']	['AKT1', 'CTNNB1', 'RBX1', 'PSMC5', 'SKP1', 'RYBP', 'USP37', 'CDKN2A', 'CDK2', 'UBE2W', 'KAT5', 'SKP2', 'CUL1']
493	GO:BP	GO:0031056	regulation of histone modification	0.0019379959866105	True	"""Any process that modulates the frequency, rate or extent of the covalent alteration of a histone."" [GOC:mah]"	141	100	6	15719	0.06	0.0425531914893617	query_1	['GO:0016570', 'GO:0031399']	['EHMT2', 'CTNNB1', 'SMAD4', 'EHMT1', 'TP53', 'KDM1A']
494	GO:BP	GO:0043392	negative regulation of DNA binding	0.0019630044391377	True	"""Any process that stops or reduces the frequency, rate or extent of DNA binding. DNA binding is any process in which a gene product interacts selectively with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb]"	50	100	4	15719	0.04	0.08	query_1	['GO:0051100', 'GO:0051101']	['SIN3A', 'E2F1', 'HDAC2', 'KDM1A']
201	REAC	REAC:R-HSA-449147	Signaling by Interleukins	0.0019698280725917	True	Signaling by Interleukins	467	98	13	10022	0.1326530612244898	0.0278372591006423	query_1	['REAC:R-HSA-1280215']	['AKT1', 'MYC', 'STAT3', 'SMARCA4', 'RBX1', 'PSMC5', 'CDKN1A', 'SKP1', 'FOXO1', 'CUL1', 'TP53', 'SMAD3', 'CCND1']
202	REAC	REAC:R-HSA-446652	Interleukin-1 family signaling	0.0019826484690268	True	Interleukin-1 family signaling	148	98	7	10022	0.0714285714285714	0.0472972972972973	query_1	['REAC:R-HSA-449147']	['STAT3', 'RBX1', 'PSMC5', 'SKP1', 'CUL1', 'TP53', 'SMAD3']
495	GO:BP	GO:0007276	gamete generation	0.0019998417894938	True	"""The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell."" [GOC:ems, GOC:mtg_sensu]"	754	100	14	15719	0.14	0.0185676392572944	query_1	['GO:0019953', 'GO:0048609']	['SMAD1', 'AKT1', 'OAZ3', 'EHMT2', 'CCNA1', 'CTNNB1', 'RB1', 'CCNB2', 'SMAD4', 'E2F1', 'RUVBL1', 'KAT5', 'RNF2', 'EPC1']
496	GO:BP	GO:0009987	cellular process	0.0020092251568108	True	"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]"	14494	100	100	15719	1.0	0.006899406651028	query_1	['GO:0008150']	['SMAD1', 'MYRIP', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'KIF5A', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'KLC4', 'CCNE2', 'RBL2', 'SYTL3', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MYO5A', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'KLC1', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
497	GO:BP	GO:0007154	cell communication	0.0020669098360862	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5768	100	54	15719	0.54	0.0093619972260748	query_1	['GO:0009987']	['SMAD1', 'MYRIP', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'STAT3', 'KIF5A', 'CCNB1', 'MAX', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'CDK5R1', 'CDKN1A', 'CCNA2', 'E2F2', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'MYO5A', 'RUVBL1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'CCND1']
498	GO:BP	GO:0036294	cellular response to decreased oxygen levels	0.0020697398833308	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	143	100	6	15719	0.06	0.0419580419580419	query_1	['GO:0036293', 'GO:0071453']	['AKT1', 'MYC', 'CCNA2', 'E2F1', 'CDKN1B', 'TP53']
499	GO:BP	GO:0007623	circadian rhythm	0.0020848596674138	True	"""Any biological process in an organism that recurs with a regularity of approximately 24 hours."" [GOC:bf, GOC:go_curators]"	202	100	7	15719	0.07	0.0346534653465346	query_1	['GO:0048511']	['HDAC1', 'SIN3A', 'EP300', 'CDK1', 'KAT5', 'TP53', 'HDAC2']
500	GO:BP	GO:0051567	histone H3-K9 methylation	0.0020900373310722	True	"""The modification of histone H3 by addition of one or more methyl groups to lysine at position 9 of the histone."" [GOC:ai, GOC:pr]"	21	100	3	15719	0.03	0.1428571428571428	query_1	['GO:0034968', 'GO:0061647']	['EHMT2', 'EHMT1', 'KDM1A']
501	GO:BP	GO:0014009	glial cell proliferation	0.0020901763625335	True	"""The multiplication or reproduction of glial cells by cell division, resulting in the expansion of their population. Glial cells exist throughout the nervous system, and include Schwann cells, astrocytes, and oligodendrocytes among others."" [GOC:ef, ISBN:0878932585]"	51	100	4	15719	0.04	0.0784313725490196	query_1	['GO:0008283', 'GO:0042063']	['CDKN2B', 'RB1', 'E2F1', 'TP53']
502	GO:BP	GO:0043065	positive regulation of apoptotic process	0.0021166546659658	True	"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	496	100	11	15719	0.11	0.0221774193548387	query_1	['GO:0006915', 'GO:0042981', 'GO:0043068']	['MYC', 'CDK5', 'CTNNB1', 'CDK5R1', 'RYBP', 'SMAD4', 'E2F1', 'CDKN2A', 'FOXO1', 'NQO1', 'TP53']
505	GO:BP	GO:0048598	embryonic morphogenesis	0.0021286592436878	True	"""The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."" [GOC:jid, GOC:mtg_sensu]"	581	100	12	15719	0.12	0.0206540447504302	query_1	['GO:0009653', 'GO:0009790']	['SMAD1', 'BMI1', 'CREBBP', 'CTNNB1', 'HDAC1', 'SMAD2', 'SMAD4', 'PCGF2', 'RNF2', 'TP53', 'SMAD3', 'HDAC2']
504	GO:BP	GO:0006979	response to oxidative stress	0.0021286592436878	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl, PMID:12115731]"	416	100	10	15719	0.1	0.0240384615384615	query_1	['GO:0006950']	['AKT1', 'CTNNB1', 'SIN3A', 'CDK1', 'SP1', 'PCGF2', 'FOXO1', 'NQO1', 'TP53', 'HDAC2']
503	GO:BP	GO:0006576	biogenic amine metabolic process	0.0021286592436878	True	"""The chemical reactions and pathways occurring at the level of individual cells involving any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters."" [GOC:jl, ISBN:0395825172]"	93	100	5	15719	0.05	0.053763440860215	query_1	['GO:0009308']	['OAZ1', 'OAZ3', 'OAZ2', 'ODC1', 'AZIN1']
506	GO:BP	GO:0019941	modification-dependent protein catabolic process	0.0021541825052281	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	670	100	13	15719	0.13	0.0194029850746268	query_1	['GO:0043632', 'GO:0051603']	['AKT1', 'CTNNB1', 'RBX1', 'PSMC5', 'SKP1', 'RYBP', 'USP37', 'CDKN2A', 'CDK2', 'UBE2W', 'KAT5', 'SKP2', 'CUL1']
507	GO:BP	GO:0010506	regulation of autophagy	0.0021691627026083	True	"""Any process that modulates the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."" [GOC:dph, GOC:tb]"	341	100	9	15719	0.09	0.0263929618768328	query_1	['GO:0006914', 'GO:0031329']	['AKT1', 'CDK5', 'EHMT2', 'STAT3', 'CDK5R1', 'EP300', 'FOXO1', 'KAT5', 'TP53']
508	GO:BP	GO:0046649	lymphocyte activation	0.0021691627026083	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	762	100	14	15719	0.14	0.0183727034120734	query_1	['GO:0045321']	['BMI1', 'AKT1', 'STAT3', 'CTNNB1', 'SMARCA4', 'CDKN1A', 'EP300', 'CDKN2A', 'KAT5', 'CCND3', 'TP53', 'SMAD3', 'RAB27A', 'CDK6']
509	GO:BP	GO:0032869	cellular response to insulin stimulus	0.0021697116493199	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]"	204	100	7	15719	0.07	0.034313725490196	query_1	['GO:0032868', 'GO:0071375']	['AKT1', 'RB1', 'MYO5A', 'SP1', 'FOXO1', 'CCND3', 'CDK4']
511	GO:BP	GO:2000677	regulation of transcription regulatory region DNA binding	0.0022093625842025	True	"""Any process that modulates the frequency, rate or extent of transcription regulatory region DNA binding."" [GOC:obol]"	52	100	4	15719	0.04	0.0769230769230769	query_1	['GO:0051101']	['CTNNB1', 'RB1', 'SIN3A', 'EP300']
