Lenz-Majewski hyperostotic dwarfism	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
116	GO:BP	GO:0120036	plasma membrane bounded cell projection organization	0.0002412610336806	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."" [GOC:krc]"	1435	96	23	15719	0.2395833333333333	0.0160278745644599	query_1	['GO:0030030']	['MOV10', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'HTT', 'RAB3IP', 'ABCD1', 'RAB5A', 'DICER1', 'RAB13', 'RHOG', 'RILP', 'GDI1', 'SNAP25', 'GDI2', 'RAB10', 'STXBP1', 'RAB35', 'RAB23', 'RHOH', 'RAB3A', 'RAB6A']
117	GO:BP	GO:0046700	heterocycle catabolic process	0.0002447758599921	True	"""The chemical reactions and pathways resulting in the breakdown of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [GOC:ai]"	435	96	12	15719	0.125	0.0275862068965517	query_1	['GO:0044248', 'GO:0046483']	['MOV10', 'AGO4', 'ZFP36', 'NT5E', 'AGO2', 'TNRC6A', 'TNRC6B', 'ABCD1', 'DICER1', 'TNRC6C', 'AGO3', 'AGO1']
118	GO:BP	GO:0006402	mRNA catabolic process	0.0002461055539792	True	"""The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."" [ISBN:0198506732]"	235	96	9	15719	0.09375	0.0382978723404255	query_1	['GO:0006401', 'GO:0010629', 'GO:0016071']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
72	GO:CC	GO:0070062	extracellular exosome	0.0002492279774376	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2021	95	26	16420	0.2736842105263158	0.0128649183572488	query_1	['GO:0005615', 'GO:1903561']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RAB8A', 'OSBPL1A', 'RAB8B', 'NT5E', 'RAB5B', 'AGO2', 'RAB5C', 'RAB5A', 'RAB4A', 'DICER1', 'RAB13', 'ARHGDIA', 'RHOG', 'RAB1A', 'YWHAE', 'SLC27A2', 'GDI2', 'RAB10', 'STXBP1', 'RAB35', 'ARHGDIB', 'RAB6A']
119	GO:BP	GO:1900151	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.0002724475076086	True	"""Any process that modulates the frequency, rate or extent of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay."" [GOC:mcc, GOC:TermGenie]"	25	96	4	15719	0.0416666666666666	0.16	query_1	['GO:0000288', 'GO:0006417', 'GO:0043488']	['ZFP36', 'AGO2', 'TNRC6B', 'TNRC6C']
120	GO:BP	GO:0032879	regulation of localization	0.0003248692438237	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2021	96	28	15719	0.2916666666666667	0.0138545274616526	query_1	['GO:0050789', 'GO:0051179']	['RAB14', 'RAB7A', 'RUFY1', 'SYT1', 'RAB8A', 'HTT', 'TMEM102', 'RAB8B', 'ZFP36', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'RAB13', 'ARHGDIA', 'RHOG', 'YWHAE', 'GDI1', 'SNAP25', 'GDI2', 'ARHGDIG', 'RAB10', 'STXBP1', 'RAB23', 'RAB3A']
121	GO:BP	GO:0019439	aromatic compound catabolic process	0.0003248692438237	True	"""The chemical reactions and pathways resulting in the breakdown of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]"	449	96	12	15719	0.125	0.0267260579064587	query_1	['GO:0006725', 'GO:0044248']	['MOV10', 'AGO4', 'ZFP36', 'NT5E', 'AGO2', 'TNRC6A', 'TNRC6B', 'ABCD1', 'DICER1', 'TNRC6C', 'AGO3', 'AGO1']
73	GO:CC	GO:0030140	trans-Golgi network transport vesicle	0.000326223159968	True	"""A vesicle that mediates transport between the trans-Golgi network and other parts of the cell."" [GOC:mah]"	39	95	4	16420	0.0421052631578947	0.1025641025641025	query_1	['GO:0005798', 'GO:0030133', 'GO:0030136']	['RAB14', 'RAB8A', 'RAB8B', 'RAB13']
122	GO:BP	GO:0034248	regulation of amide metabolic process	0.000374915389255	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving amides."" [GOC:mah]"	456	96	12	15719	0.125	0.0263157894736842	query_1	['GO:0043603', 'GO:0051171']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'TNRC6C', 'GGA3', 'AGO3', 'TRMT10C', 'AGO1']
74	GO:CC	GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex	0.0004137449499003	True	"""A SNARE complex that contains synaptobrevin 2 (VAMP2), SNAP-25, syntaxin 1a, and complexin II (or orthologs thereof)."" [PMID:7553862]"	3	95	2	16420	0.0210526315789473	0.6666666666666666	query_1	['GO:0031201']	['VAMP2', 'STX1A']
75	GO:CC	GO:0030678	mitochondrial ribonuclease P complex	0.0004137449499003	True	"""A ribonuclease P complex located in the mitochondrion of a eukaryotic cell, where it catalyzes the 5' endonucleolytic cleavage of precursor tRNAs to yield mature tRNAs. The subunit composition of mitochondrial ribonuclease P complexes varies between species. The complex contains a single RNA molecule and a single protein molecule in yeast (PMID:12045094), but comprises three proteins and lacks an RNA component in humans."" [GOC:mah, PMID:12045094, PMID:27187488]"	3	95	2	16420	0.0210526315789473	0.6666666666666666	query_1	['GO:0030677', 'GO:0098798']	['HSD17B10', 'TRMT10C']
76	GO:CC	GO:0060200	clathrin-sculpted acetylcholine transport vesicle	0.0004137449499003	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release and containing acetylcholine."" [GOC:dph]"	3	95	2	16420	0.0210526315789473	0.6666666666666666	query_1	['GO:0030133', 'GO:0060198']	['SYT1', 'RAB3A']
77	GO:CC	GO:0060201	clathrin-sculpted acetylcholine transport vesicle membrane	0.0004137449499003	True	"""The lipid bilayer surrounding a clathrin-sculpted acetylcholine transport vesicle."" [GOC:dph]"	3	95	2	16420	0.0210526315789473	0.6666666666666666	query_1	['GO:0030658', 'GO:0030665', 'GO:0060200']	['SYT1', 'RAB3A']
46	REAC	REAC:R-HSA-1660499	Synthesis of PIPs at the plasma membrane	0.0004185293160329	True	Synthesis of PIPs at the plasma membrane	51	86	5	10022	0.0581395348837209	0.0980392156862745	query_1	['REAC:R-HSA-1483255']	['RAB14', 'RUFY1', 'BMX', 'RAB5A', 'RAB4A']
124	GO:BP	GO:1990504	dense core granule exocytosis	0.0004484805014236	True	"""The secretion of molecules (e.g. neuropeptides, insulin-related peptides or neuromodulators such as serotonin and dopamine) contained within a membrane-bounced dense core granule by fusion of the granule with the plasma membrane of a cell in response to increased cytosolic calcium levels."" [GOC:kmv, PMID:17553987, PMID:24653208]"	10	96	3	15719	0.03125	0.3	query_1	['GO:0017156']	['SNAP25', 'STXBP1', 'RAB3A']
123	GO:BP	GO:0006996	organelle organization	0.0004484805014236	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3437	96	39	15719	0.40625	0.0113471050334594	query_1	['GO:0016043']	['RAB34', 'RAB14', 'RAB1B', 'AGO4', 'TPX2', 'RAB7A', 'PAWR', 'OPTN', 'ABCD3', 'SYT1', 'RAB8A', 'ABCD2', 'HTT', 'TMEM102', 'RAB8B', 'VAMP2', 'RAB5B', 'RAB3IP', 'STX1A', 'ABCD1', 'RAB5A', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'RAB1A', 'GOLM1', 'SNAP25', 'PEX19', 'HSD17B10', 'GDI2', 'RAB10', 'STXBP1', 'RAB23', 'RHOH', 'RAB3A', 'PEX16', 'ARHGDIB']
125	GO:BP	GO:1903530	regulation of secretion by cell	0.0004637111849616	True	"""Any process that modulates the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]"	546	96	13	15719	0.1354166666666666	0.0238095238095238	query_1	['GO:0032940', 'GO:0050794', 'GO:0051046']	['RAB7A', 'SYT1', 'RAB8A', 'RAB8B', 'VAMP2', 'RABGEF1', 'STX1A', 'RAB5A', 'RAB13', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A']
47	REAC	REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	0.0004647022752432	True	Oxidative Stress Induced Senescence	122	86	7	10022	0.0813953488372093	0.0573770491803278	query_1	['REAC:R-HSA-2559583']	['MOV10', 'AGO4', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
126	GO:BP	GO:0006417	regulation of translation	0.0005256311038327	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."" [GOC:isa_complete]"	398	96	11	15719	0.1145833333333333	0.0276381909547738	query_1	['GO:0006412', 'GO:0010556', 'GO:0010608', 'GO:0031326', 'GO:0034248', 'GO:0051246']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'TNRC6C', 'AGO3', 'TRMT10C', 'AGO1']
127	GO:BP	GO:0007265	Ras protein signal transduction	0.0005502074824731	True	"""The series of molecular signals within the cell that are mediated by a member of the Ras superfamily of proteins switching to a GTP-bound active state."" [GOC:bf]"	329	96	10	15719	0.1041666666666666	0.0303951367781155	query_1	['GO:0007264']	['RABGEF1', 'RAB4A', 'ARHGDIA', 'RHOG', 'RAB12', 'GDI1', 'ARHGDIG', 'RAB35', 'RHOH', 'ARHGDIB']
128	GO:BP	GO:1901361	organic cyclic compound catabolic process	0.0005674797256501	True	"""The chemical reactions and pathways resulting in the breakdown of organic cyclic compound."" [GOC:TermGenie]"	478	96	12	15719	0.125	0.0251046025104602	query_1	['GO:1901360', 'GO:1901575']	['MOV10', 'AGO4', 'ZFP36', 'NT5E', 'AGO2', 'TNRC6A', 'TNRC6B', 'ABCD1', 'DICER1', 'TNRC6C', 'AGO3', 'AGO1']
129	GO:BP	GO:0001505	regulation of neurotransmitter levels	0.0005813717767192	True	"""Any process that modulates levels of neurotransmitter."" [GOC:jl]"	204	96	8	15719	0.0833333333333333	0.0392156862745098	query_1	['GO:0065008']	['SYT1', 'VAMP2', 'STX1A', 'RAB5A', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
130	GO:BP	GO:0046903	secretion	0.0005813717767192	True	"""The controlled release of a substance by a cell or a tissue."" [GOC:ai]"	915	96	17	15719	0.1770833333333333	0.0185792349726775	query_1	['GO:0006810']	['RAB7A', 'SYT1', 'RAB8A', 'RAB8B', 'VAMP2', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5A', 'RAB13', 'RAB1A', 'PPFIA3', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A', 'RAB3IL1']
131	GO:BP	GO:0016081	synaptic vesicle docking	0.0005813717767192	True	"""The initial (indirect) attachment of a synaptic vesicle membrane to the presynaptic active zone membrane, mediated by proteins protruding from the membrane and proteins of the presynaptic active zone cytoplasmic component. Synaptic vesicle tethering is the first step in this process."" [PMID:15217342]"	11	96	3	15719	0.03125	0.2727272727272727	query_1	['GO:0006904', 'GO:0016079']	['STX1A', 'PPFIA3', 'SNAP25']
132	GO:BP	GO:0016557	peroxisome membrane biogenesis	0.0006058634236817	True	"""The process in which a peroxisome membrane is synthesized, aggregates, and bonds together."" [GOC:mah]"	2	96	2	15719	0.0208333333333333	1.0	query_1	['GO:0007031', 'GO:0044091']	['PEX19', 'PEX16']
78	GO:CC	GO:0099522	cytosolic region	0.0007014446460417	True	"""Any (proper) part of the cytosol of a single cell of sufficient size to still be considered cytosol."" [GOC:dos]"	19	95	3	16420	0.031578947368421	0.1578947368421052	query_1	['GO:0005829']	['HTT', 'GDI1', 'STXBP1']
79	GO:CC	GO:0005798	Golgi-associated vesicle	0.0007082441095011	True	"""Any vesicle associated with the Golgi complex and involved in mediating transport within the Golgi or between the Golgi and other parts of the cell."" [GOC:mah]"	90	95	5	16420	0.0526315789473684	0.0555555555555555	query_1	['GO:0031410']	['RAB14', 'RAB8A', 'RAB8B', 'BACE1', 'RAB13']
134	GO:BP	GO:1901632	regulation of synaptic vesicle membrane organization	0.0007545793649882	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle membrane organization."" [GOC:TermGenie, PMID:22426000]"	12	96	3	15719	0.03125	0.25	query_1	['GO:0048499', 'GO:0051128']	['SYT1', 'STXBP1', 'RAB3A']
133	GO:BP	GO:0031630	regulation of synaptic vesicle fusion to presynaptic active zone membrane	0.0007545793649882	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle fusion to the presynaptic membrane."" [GOC:mah]"	12	96	3	15719	0.03125	0.25	query_1	['GO:0031338', 'GO:0031629', 'GO:1901632']	['SYT1', 'STXBP1', 'RAB3A']
135	GO:BP	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.0007591107135503	True	"""A major pathway of degradation of nuclear-transcribed mRNAs that proceeds through a series of ordered steps that includes poly(A) tail shortening and that can regulate mRNA stability."" [GOC:jp, GOC:krc]"	65	96	5	15719	0.0520833333333333	0.0769230769230769	query_1	['GO:0000956', 'GO:0061157']	['ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C']
48	REAC	REAC:R-HSA-157118	Signaling by NOTCH	0.000788477073972	True	Signaling by NOTCH	228	86	9	10022	0.1046511627906976	0.0394736842105263	query_1	['REAC:R-HSA-162582']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1', 'RAB6A']
80	GO:CC	GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex	0.0007938342651414	True	"""A SNARE complex that contains synaptobrevin 2 (VAMP2), SNAP-25, and syntaxin 1a (or orthologs thereof)."" [PMID:10336434]"	4	95	2	16420	0.0210526315789473	0.5	query_1	['GO:0031201']	['VAMP2', 'STX1A']
136	GO:BP	GO:0010608	post-transcriptional regulation of gene expression	0.000826402738224	True	"""Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript."" [GOC:dph, GOC:tb]"	500	96	12	15719	0.125	0.024	query_1	['GO:0010468']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'DICER1', 'TNRC6C', 'AGO3', 'TRMT10C', 'AGO1']
137	GO:BP	GO:0006699	bile acid biosynthetic process	0.0008327335560039	True	"""The chemical reactions and pathways resulting in the formation of bile acids, any of a group of steroid carboxylic acids occurring in bile."" [GOC:go_curators]"	34	96	4	15719	0.0416666666666666	0.1176470588235294	query_1	['GO:0006694', 'GO:0008206', 'GO:0072330', 'GO:1901617']	['ABCD3', 'OSBPL1A', 'SLC27A2', 'HSD17B10']
81	GO:CC	GO:0030054	cell junction	0.0009581274723615	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2080	95	25	16420	0.2631578947368421	0.0120192307692307	query_1	['GO:0110165']	['APBA3', 'RAB7A', 'SYT1', 'RAB8A', 'HTT', 'RAB8B', 'BACE1', 'VAMP2', 'RAB5B', 'STX1A', 'RAB5A', 'RAB4A', 'RAB13', 'ARHGDIA', 'RHOG', 'YWHAE', 'PPFIA3', 'GDI1', 'SNAP25', 'GDI2', 'RAB10', 'STXBP1', 'RAB35', 'RAB23', 'RAB3A']
138	GO:BP	GO:0043488	regulation of mRNA stability	0.0009785255986554	True	"""Any process that modulates the propensity of mRNA molecules to degradation. Includes processes that both stabilize and destabilize mRNAs."" [GOC:jl]"	163	96	7	15719	0.0729166666666666	0.0429447852760736	query_1	['GO:0043487', 'GO:0061013']	['MOV10', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3']
49	REAC	REAC:R-HSA-6803205	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	0.0011307650609536	True	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	14	86	3	10022	0.0348837209302325	0.2142857142857142	query_1	['REAC:R-HSA-5633008']	['RABGGTB', 'RABGGTA', 'CHM']
51	REAC	REAC:R-HSA-5250989	Toxicity of botulinum toxin type G (botG)	0.0011307650609536	True	Toxicity of botulinum toxin type G (botG)	3	86	2	10022	0.0232558139534883	0.6666666666666666	query_1	['REAC:R-HSA-168799']	['SYT1', 'VAMP2']
52	REAC	REAC:R-HSA-5250971	Toxicity of botulinum toxin type C (botC)	0.0011307650609536	True	Toxicity of botulinum toxin type C (botC)	3	86	2	10022	0.0232558139534883	0.6666666666666666	query_1	['REAC:R-HSA-168799']	['STX1A', 'SNAP25']
50	REAC	REAC:R-HSA-5250958	Toxicity of botulinum toxin type B (botB)	0.0011307650609536	True	Toxicity of botulinum toxin type B (botB)	3	86	2	10022	0.0232558139534883	0.6666666666666666	query_1	['REAC:R-HSA-168799']	['SYT1', 'VAMP2']
140	GO:BP	GO:0051046	regulation of secretion	0.0011682338165198	True	"""Any process that modulates the frequency, rate or extent of the controlled release of a substance from a cell or a tissue."" [GOC:ai]"	604	96	13	15719	0.1354166666666666	0.021523178807947	query_1	['GO:0046903', 'GO:0051049']	['RAB7A', 'SYT1', 'RAB8A', 'RAB8B', 'VAMP2', 'RABGEF1', 'STX1A', 'RAB5A', 'RAB13', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A']
139	GO:BP	GO:0016482	cytosolic transport	0.0011682338165198	True	"""The directed movement of substances or organelles within the cytosol."" [GOC:ai]"	168	96	7	15719	0.0729166666666666	0.0416666666666666	query_1	['GO:0046907']	['RAB14', 'RAB7A', 'RAB5A', 'GGA1', 'RILP', 'TBC1D17', 'RAB6A']
141	GO:BP	GO:0006635	fatty acid beta-oxidation	0.0012721827375977	True	"""A fatty acid oxidation process that results in the complete oxidation of a long-chain fatty acid. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and occurs by successive cycles of reactions during each of which the fatty acid is shortened by a two-carbon fragment removed as acetyl coenzyme A; the cycle continues until only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively)."" [GOC:mah, ISBN:0198506732, MetaCyc:FAO-PWY]"	73	96	5	15719	0.0520833333333333	0.0684931506849315	query_1	['GO:0009062', 'GO:0019395']	['ABCD3', 'ABCD2', 'ABCD1', 'SLC27A2', 'HSD17B10']
53	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	0.001384953286482	True	PIP3 activates AKT signaling	249	86	9	10022	0.1046511627906976	0.036144578313253	query_1	['REAC:R-HSA-9006925']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'RHOG', 'TNRC6C', 'AGO3', 'AGO1']
142	GO:BP	GO:0046928	regulation of neurotransmitter secretion	0.0014377115487148	True	"""Any process that modulates the frequency, rate or extent of the regulated release of a neurotransmitter from a cell."" [GOC:ai]"	75	96	5	15719	0.0520833333333333	0.0666666666666666	query_1	['GO:0001505', 'GO:0007269', 'GO:0050804', 'GO:0051588', 'GO:1903530']	['SYT1', 'STX1A', 'RAB5A', 'STXBP1', 'RAB3A']
143	GO:BP	GO:0001956	positive regulation of neurotransmitter secretion	0.0014437236052707	True	"""Any process that activates or increases the frequency, rate or extent of the regulated release of a neurotransmitter."" [GOC:hjd]"	15	96	3	15719	0.03125	0.2	query_1	['GO:0007269', 'GO:0046928', 'GO:0050806', 'GO:0051590', 'GO:1903532']	['SYT1', 'STX1A', 'STXBP1']
145	GO:BP	GO:0043487	regulation of RNA stability	0.001514988271598	True	"""Any process that modulates the propensity of RNA molecules to degradation. Includes processes that both stabilize and destabilize RNAs."" [GOC:jl]"	176	96	7	15719	0.0729166666666666	0.0397727272727272	query_1	['GO:0006401', 'GO:0010608', 'GO:0031329', 'GO:0051252', 'GO:0065008']	['MOV10', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3']
144	GO:BP	GO:0000956	nuclear-transcribed mRNA catabolic process	0.001514988271598	True	"""The chemical reactions and pathways resulting in the breakdown of nuclear-transcribed mRNAs in eukaryotic cells."" [GOC:krc]"	122	96	6	15719	0.0625	0.0491803278688524	query_1	['GO:0006402']	['ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO1']
146	GO:BP	GO:0070901	mitochondrial tRNA methylation	0.0016159439240658	True	"""The posttranscriptional addition of methyl groups to specific residues in a mitochondrial tRNA molecule."" [GOC:mah, GOC:mcc]"	3	96	2	15719	0.0208333333333333	0.6666666666666666	query_1	['GO:0030488', 'GO:0070900']	['HSD17B10', 'TRMT10C']
148	GO:BP	GO:1990180	mitochondrial tRNA 3'-end processing	0.0016159439240658	True	"""The process in which the 3' end of a pre-tRNA molecule is converted to that of a mature tRNA in the mitochondrion."" [GOC:mah, GOC:TermGenie, PMID:23928301]"	3	96	2	15719	0.0208333333333333	0.6666666666666666	query_1	['GO:0000965', 'GO:0042780', 'GO:0090646']	['HSD17B10', 'TRMT10C']
147	GO:BP	GO:0097745	mitochondrial tRNA 5'-end processing	0.0016159439240658	True	"""The process in which the 5' end of a pre-tRNA molecule is converted to that of a mature tRNA in the mitochondrion."" [GOC:pf, PMID:21307182, PMID:26143376, PMID:27484477]"	3	96	2	15719	0.0208333333333333	0.6666666666666666	query_1	['GO:0000964', 'GO:0090646', 'GO:0099116']	['HSD17B10', 'TRMT10C']
149	GO:BP	GO:0036465	synaptic vesicle recycling	0.0016524922398827	True	"""The trafficking of synaptic vesicles from the pre-synaptic membrane so the vesicle can dock and prime for another round of exocytosis and neurotransmitter release. Recycling occurs after synaptic vesicle exocytosis, and is necessary to replenish presynaptic vesicle pools, sustain transmitter release and preserve the structural integrity of the presynaptic membrane. Recycling can occur following transient fusion with the presynaptic membrane (kiss and run), or via endocytosis of presynaptic membrane."" [GOC:bf, GOC:pad, GOC:PARL, PMID:15217342, PMID:22026965, PMID:23245563]"	78	96	5	15719	0.0520833333333333	0.0641025641025641	query_1	['GO:0006810', 'GO:0051649', 'GO:0099504']	['SYT1', 'VAMP2', 'STX1A', 'RAB5A', 'RAB3A']
150	GO:BP	GO:0061013	regulation of mRNA catabolic process	0.0016792796133557	True	"""Any process that modulates the rate, frequency, or extent of a mRNA catabolic process, the chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	180	96	7	15719	0.0729166666666666	0.0388888888888888	query_1	['GO:0006402', 'GO:0010468', 'GO:0031329', 'GO:1903311']	['MOV10', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3']
151	GO:BP	GO:0017158	regulation of calcium ion-dependent exocytosis	0.001757782990374	True	"""Any process that modulates the frequency, rate or extent of calcium ion-dependent exocytosis."" [GOC:go_curators]"	42	96	4	15719	0.0416666666666666	0.0952380952380952	query_1	['GO:0017156', 'GO:1903305']	['SYT1', 'STX1A', 'STXBP1', 'RAB3A']
82	GO:CC	GO:0005776	autophagosome	0.0018856159263765	True	"""A double-membrane-bounded compartment that engulfs endogenous cellular material as well as invading microorganisms to target them to the lytic vacuole/lysosome for degradation as part of macroautophagy."" [GOC:autophagy, ISBN:0198547684, PMID:11099404]"	112	95	5	16420	0.0526315789473684	0.0446428571428571	query_1	['GO:0005773']	['RAB7A', 'OPTN', 'HTT', 'TBC1D17', 'RAB23']
152	GO:BP	GO:0048167	regulation of synaptic plasticity	0.0019000656755188	True	"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]"	184	96	7	15719	0.0729166666666666	0.0380434782608695	query_1	['GO:0050804', 'GO:0065008']	['RAB8A', 'VAMP2', 'RAB5A', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
153	GO:BP	GO:0065008	regulation of biological quality	0.0019568520962905	True	"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	2763	96	32	15719	0.3333333333333333	0.0115816141874773	query_1	['GO:0065007']	['PRKRA', 'MOV10', 'RAB7A', 'SYT1', 'RAB8A', 'HTT', 'TMEM102', 'RAB8B', 'ZFP36', 'VAMP2', 'AGO2', 'TNRC6A', 'STX1A', 'TNRC6B', 'ABCD1', 'RAB5A', 'RHOG', 'RILP', 'TNRC6C', 'RAB1A', 'GGA3', 'YWHAE', 'PPFIA3', 'GDI1', 'SNAP25', 'AGO3', 'PEX19', 'HSD17B10', 'USP3', 'STXBP1', 'RHOH', 'RAB3A']
154	GO:BP	GO:0001845	phagolysosome assembly	0.0019740947036659	True	"""The process that results in the fusion of a phagosome, a vesicle formed by phagocytosis, with a lysosome."" [GOC:add, ISBN:0781735149]"	17	96	3	15719	0.03125	0.1764705882352941	query_1	['GO:0006909', 'GO:0007040', 'GO:0016050', 'GO:0070925', 'GO:0090382']	['RAB34', 'RAB14', 'RAB7A']
155	GO:BP	GO:0045956	positive regulation of calcium ion-dependent exocytosis	0.0019740947036659	True	"""Any process that activates or increases the frequency, rate or extent of calcium ion-dependent exocytosis."" [GOC:go_curators]"	17	96	3	15719	0.03125	0.1764705882352941	query_1	['GO:0017156', 'GO:0017158', 'GO:1903307']	['SYT1', 'STX1A', 'STXBP1']
156	GO:BP	GO:1903305	regulation of regulated secretory pathway	0.0020844869719176	True	"""Any process that modulates the frequency, rate or extent of regulated secretory pathway."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:12526776]"	131	96	6	15719	0.0625	0.0458015267175572	query_1	['GO:0017157', 'GO:0045055']	['SYT1', 'RABGEF1', 'STX1A', 'RAB5A', 'STXBP1', 'RAB3A']
157	GO:BP	GO:0051049	regulation of transport	0.0022924457828035	True	"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1690	96	23	15719	0.2395833333333333	0.0136094674556213	query_1	['GO:0006810', 'GO:0032879']	['RAB7A', 'RUFY1', 'SYT1', 'RAB8A', 'HTT', 'TMEM102', 'RAB8B', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'RAB13', 'ARHGDIA', 'YWHAE', 'GDI1', 'SNAP25', 'RAB10', 'STXBP1', 'RAB23', 'RAB3A']
