Representing term id	Representing term name	Representing term rank	cluster_1 term id	cluster_1 term name	cluster_1 term rank	cluster_2 term id	cluster_2 term name	cluster_2 term rank	cluster_3 term id	cluster_3 term name	cluster_3 term rank	cluster_4 term id	cluster_4 term name	cluster_4 term rank	cluster_5 term id	cluster_5 term name	cluster_5 term rank	cluster_6 term id	cluster_6 term name	cluster_6 term rank
						REAC:R-HSA-9700206	Signaling by ALK in cancer	162	REAC:R-HSA-9700206	Signaling by ALK in cancer	230				REAC:R-HSA-9700206	Signaling by ALK in cancer	136			
						REAC:R-HSA-9725370	Signaling by ALK fusions and activated point mutants	163	REAC:R-HSA-9725370	Signaling by ALK fusions and activated point mutants	231				REAC:R-HSA-9725370	Signaling by ALK fusions and activated point mutants	137			
															REAC:R-HSA-9671555	Signaling by PDGFR in disease	144			
															REAC:R-HSA-9682385	FLT3 signaling in disease	154			
															REAC:R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	157			
			REAC:R-HSA-4791275	Signaling by WNT in cancer	159															
															REAC:R-HSA-5655332	Signaling by FGFR3 in disease	163			
						REAC:R-HSA-198693	AKT phosphorylates targets in the nucleus	170	REAC:R-HSA-198693	AKT phosphorylates targets in the nucleus	249	REAC:R-HSA-198693	AKT phosphorylates targets in the nucleus	176						
															REAC:R-HSA-5673000	RAF activation	172			
			REAC:R-HSA-5358752	CTNNB1 T41 mutants aren't phosphorylated	192															
									REAC:R-HSA-5387390	Hh mutants abrogate ligand secretion	192									
			REAC:R-HSA-5358749	CTNNB1 S37 mutants aren't phosphorylated	193															
			REAC:R-HSA-5339716	Signaling by GSK3beta mutants	194															
			REAC:R-HSA-4839743	Signaling by CTNNB1 phospho-site mutants	195															
			REAC:R-HSA-5358747	CTNNB1 S33 mutants aren't phosphorylated	196															
			REAC:R-HSA-5358751	CTNNB1 S45 mutants aren't phosphorylated	197															
															REAC:R-HSA-5655302	Signaling by FGFR1 in disease	215			
															REAC:R-HSA-1226099	Signaling by FGFR in disease	224			
															REAC:R-HSA-9703465	Signaling by FLT3 fusion proteins	229			
															REAC:R-HSA-5655253	Signaling by FGFR2 in disease	231			
									REAC:R-HSA-5362768	Hh mutants are degraded by ERAD	236									
															REAC:R-HSA-9702518	STAT5 activation downstream of FLT3 ITD mutants	277			
REAC:R-HSA-193692	Regulated proteolysis of p75NTR	10
									REAC:R-HSA-193692	Regulated proteolysis of p75NTR	154	REAC:R-HSA-193692	Regulated proteolysis of p75NTR	136				REAC:R-HSA-193692	Regulated proteolysis of p75NTR	10
REAC:R-HSA-1980143	Signaling by NOTCH1	12
						REAC:R-HSA-1980143	Signaling by NOTCH1	127	REAC:R-HSA-1980143	Signaling by NOTCH1	12	REAC:R-HSA-1980143	Signaling by NOTCH1	198				REAC:R-HSA-1980143	Signaling by NOTCH1	71
						REAC:R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	102	REAC:R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	20	REAC:R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	156						
									REAC:R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	122							REAC:R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	46
REAC:R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	12
									REAC:R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	89							REAC:R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	12
REAC:R-HSA-1643685	Disease	13
			REAC:R-HSA-1643685	Disease	69	REAC:R-HSA-1643685	Disease	67	REAC:R-HSA-1643685	Disease	13	REAC:R-HSA-1643685	Disease	80	REAC:R-HSA-1643685	Disease	79			
									REAC:R-HSA-9013700	NOTCH4 Activation and Transmission of Signal to the Nucleus	103							REAC:R-HSA-9013700	NOTCH4 Activation and Transmission of Signal to the Nucleus	19
																		REAC:R-HSA-168799	Neurotoxicity of clostridium toxins	32
									REAC:R-HSA-162599	Late Phase of HIV Life Cycle	48									
															REAC:R-HSA-5339562	Uptake and actions of bacterial toxins	255	REAC:R-HSA-5339562	Uptake and actions of bacterial toxins	52
												REAC:R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	57						
												REAC:R-HSA-9705683	SARS-CoV-2-host interactions	63						
			REAC:R-HSA-162587	HIV Life Cycle	117				REAC:R-HSA-162587	HIV Life Cycle	64									
															REAC:R-HSA-9664422	FCGR3A-mediated phagocytosis	68			
															REAC:R-HSA-9664407	Parasite infection	69			
						REAC:R-HSA-9679506	SARS-CoV Infections	235				REAC:R-HSA-9679506	SARS-CoV Infections	70						
															REAC:R-HSA-9664417	Leishmania phagocytosis	70			
												REAC:R-HSA-9694516	SARS-CoV-2 Infection	74						
												REAC:R-HSA-9660826	Purinergic signaling in leishmaniasis infection	78						
												REAC:R-HSA-9664424	Cell recruitment (pro-inflammatory response)	79						
						REAC:R-HSA-5663205	Infectious disease	262	REAC:R-HSA-5663205	Infectious disease	105	REAC:R-HSA-5663205	Infectious disease	88	REAC:R-HSA-5663205	Infectious disease	208			
			REAC:R-HSA-162594	Early Phase of HIV Life Cycle	91															
																		REAC:R-HSA-9637687	Suppression of phagosomal maturation	92
			REAC:R-HSA-162906	HIV Infection	131				REAC:R-HSA-162906	HIV Infection	93									
									REAC:R-HSA-8876384	Listeria monocytogenes entry into host cells	213				REAC:R-HSA-8876384	Listeria monocytogenes entry into host cells	101			
						REAC:R-HSA-9645723	Diseases of programmed cell death	104				REAC:R-HSA-9645723	Diseases of programmed cell death	102						
						REAC:R-HSA-918233	TRAF3-dependent IRF activation pathway	263				REAC:R-HSA-918233	TRAF3-dependent IRF activation pathway	106						
						REAC:R-HSA-9734009	Defective Intrinsic Pathway for Apoptosis	110	REAC:R-HSA-9734009	Defective Intrinsic Pathway for Apoptosis	225	REAC:R-HSA-9734009	Defective Intrinsic Pathway for Apoptosis	112						
						REAC:R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	166	REAC:R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	298	REAC:R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	127						
						REAC:R-HSA-8863678	Neurodegenerative Diseases	168	REAC:R-HSA-8863678	Neurodegenerative Diseases	296	REAC:R-HSA-8863678	Neurodegenerative Diseases	128						
						REAC:R-HSA-9679191	Potential therapeutics for SARS	160	REAC:R-HSA-9679191	Potential therapeutics for SARS	293	REAC:R-HSA-9679191	Potential therapeutics for SARS	132	REAC:R-HSA-9679191	Potential therapeutics for SARS	232			
						REAC:R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	191				REAC:R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	139						
			REAC:R-HSA-9683610	Maturation of nucleoprotein	160															
												REAC:R-HSA-9658195	Leishmania infection	165	REAC:R-HSA-9658195	Leishmania infection	184			
						REAC:R-HSA-3214815	HDACs deacetylate histones	215	REAC:R-HSA-3214815	HDACs deacetylate histones	169									
			REAC:R-HSA-9694631	Maturation of nucleoprotein	177				REAC:R-HSA-9694631	Maturation of nucleoprotein	275									
															REAC:R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	177			
						REAC:R-HSA-9710421	Defective pyroptosis	222												
															REAC:R-HSA-2029481	FCGR activation	228			
									REAC:R-HSA-9609690	HCMV Early Events	239									
															REAC:R-HSA-9664323	FCGR3A-mediated IL10 synthesis	247			
									REAC:R-HSA-9609646	HCMV Infection	262									
									REAC:R-HSA-9678108	SARS-CoV-1 Infection	287									
REAC:R-HSA-5684996	MAPK1/MAPK3 signaling	13
															REAC:R-HSA-5684996	MAPK1/MAPK3 signaling	13			
															REAC:R-HSA-5673001	RAF/MAP kinase cascade	14			
															REAC:R-HSA-5674135	MAP2K and MAPK activation	15			
															REAC:R-HSA-5675221	Negative regulation of MAPK pathway	148			
															REAC:R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	170			
															REAC:R-HSA-112409	RAF-independent MAPK1/3 activation	245			
REAC:R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	13
																		REAC:R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	13
REAC:R-HSA-9020702	Interleukin-1 signaling	15
						REAC:R-HSA-9020702	Interleukin-1 signaling	229				REAC:R-HSA-9020702	Interleukin-1 signaling	15						
REAC:R-HSA-181429	Serotonin Neurotransmitter Release Cycle	15
																		REAC:R-HSA-181429	Serotonin Neurotransmitter Release Cycle	15
REAC:R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle	16
																		REAC:R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle	16
REAC:R-HSA-2559583	Cellular Senescence	17
			REAC:R-HSA-2559583	Cellular Senescence	93	REAC:R-HSA-2559583	Cellular Senescence	17	REAC:R-HSA-2559583	Cellular Senescence	130							REAC:R-HSA-2559583	Cellular Senescence	91
			REAC:R-HSA-2559585	Oncogene Induced Senescence	158	REAC:R-HSA-2559585	Oncogene Induced Senescence	35	REAC:R-HSA-2559585	Oncogene Induced Senescence	70							REAC:R-HSA-2559585	Oncogene Induced Senescence	20
						REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	37	REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	210							REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	68
						REAC:R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	72	REAC:R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	199									
			REAC:R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	88	REAC:R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	100	REAC:R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	221									
REAC:R-HSA-157118	Signaling by NOTCH	17
						REAC:R-HSA-157118	Signaling by NOTCH	101	REAC:R-HSA-157118	Signaling by NOTCH	17							REAC:R-HSA-157118	Signaling by NOTCH	27
									REAC:R-HSA-9012852	Signaling by NOTCH3	27							REAC:R-HSA-9012852	Signaling by NOTCH3	55
						REAC:R-HSA-9013694	Signaling by NOTCH4	138	REAC:R-HSA-9013694	Signaling by NOTCH4	32	REAC:R-HSA-9013694	Signaling by NOTCH4	163				REAC:R-HSA-9013694	Signaling by NOTCH4	75
									REAC:R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	120							REAC:R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	34
						REAC:R-HSA-1912422	Pre-NOTCH Expression and Processing	190	REAC:R-HSA-1912422	Pre-NOTCH Expression and Processing	88							REAC:R-HSA-1912422	Pre-NOTCH Expression and Processing	36
									REAC:R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus	95							REAC:R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus	38
						REAC:R-HSA-1912408	Pre-NOTCH Transcription and Translation	175	REAC:R-HSA-1912408	Pre-NOTCH Transcription and Translation	87							REAC:R-HSA-1912408	Pre-NOTCH Transcription and Translation	40
						REAC:R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	214	REAC:R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	45									
									REAC:R-HSA-1980145	Signaling by NOTCH2	65							REAC:R-HSA-1980145	Signaling by NOTCH2	47
									REAC:R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	92									
									REAC:R-HSA-2197563	NOTCH2 intracellular domain regulates transcription	152									
						REAC:R-HSA-9604323	Negative regulation of NOTCH4 signaling	193	REAC:R-HSA-9604323	Negative regulation of NOTCH4 signaling	261	REAC:R-HSA-9604323	Negative regulation of NOTCH4 signaling	169						
									REAC:R-HSA-1912420	Pre-NOTCH Processing in Golgi	205									
REAC:R-HSA-9603798	Class I peroxisomal membrane protein import	17
																		REAC:R-HSA-9603798	Class I peroxisomal membrane protein import	17
REAC:R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	18
									REAC:R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	90							REAC:R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	18
REAC:R-HSA-168249	Innate Immune System	19
												REAC:R-HSA-168249	Innate Immune System	19	REAC:R-HSA-168249	Innate Immune System	110			
												REAC:R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	26						
												REAC:R-HSA-5607764	CLEC7A (Dectin-1) signaling	29						
						REAC:R-HSA-5621481	C-type lectin receptors (CLRs)	252				REAC:R-HSA-5621481	C-type lectin receptors (CLRs)	31						
															REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	32			
												REAC:R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	37						
												REAC:R-HSA-2871837	FCERI mediated NF-kB activation	38						
												REAC:R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	45						
			REAC:R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	215							REAC:R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	49						
												REAC:R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	51	REAC:R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	161			
												REAC:R-HSA-933542	TRAF6 mediated NF-kB activation	60						
															REAC:R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	61			
																		REAC:R-HSA-6798695	Neutrophil degranulation	66
															REAC:R-HSA-2424491	DAP12 signaling	67			
												REAC:R-HSA-933543	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	82						
															REAC:R-HSA-2172127	DAP12 interactions	92			
												REAC:R-HSA-933541	TRAF6 mediated IRF7 activation	93						
						REAC:R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	250				REAC:R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	94						
												REAC:R-HSA-9645460	Alpha-protein kinase 1 signaling pathway	97						
						REAC:R-HSA-5676590	NIK-->noncanonical NF-kB signaling	247				REAC:R-HSA-5676590	NIK-->noncanonical NF-kB signaling	103						
															REAC:R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	121			
												REAC:R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling	123						
												REAC:R-HSA-5621575	CD209 (DC-SIGN) signaling	124	REAC:R-HSA-5621575	CD209 (DC-SIGN) signaling	282			
															REAC:R-HSA-2871796	FCERI mediated MAPK activation	129			
			REAC:R-HSA-3270619	IRF3-mediated induction of type I IFN	137							REAC:R-HSA-3270619	IRF3-mediated induction of type I IFN	196						
			REAC:R-HSA-1834941	STING mediated induction of host immune responses	141							REAC:R-HSA-1834941	STING mediated induction of host immune responses	207						
															REAC:R-HSA-2871809	FCERI mediated Ca+2 mobilization	171			
															REAC:R-HSA-2029485	Role of phospholipids in phagocytosis	189			
												REAC:R-HSA-3134975	Regulation of innate immune responses to cytosolic DNA	208						
															REAC:R-HSA-5621480	Dectin-2 family	291			
REAC:R-HSA-5683057	MAPK family signaling cascades	19
															REAC:R-HSA-5683057	MAPK family signaling cascades	19			
						REAC:R-HSA-5687128	MAPK6/MAPK4 signaling	206										REAC:R-HSA-5687128	MAPK6/MAPK4 signaling	39
REAC:R-HSA-168256	Immune System	20
												REAC:R-HSA-168256	Immune System	20	REAC:R-HSA-168256	Immune System	74			
REAC:R-HSA-2262752	Cellular responses to stress	21
			REAC:R-HSA-2262752	Cellular responses to stress	122	REAC:R-HSA-2262752	Cellular responses to stress	21	REAC:R-HSA-2262752	Cellular responses to stress	133	REAC:R-HSA-2262752	Cellular responses to stress	140						
						REAC:R-HSA-9755511	KEAP1-NFE2L2 pathway	53	REAC:R-HSA-9755511	KEAP1-NFE2L2 pathway	224	REAC:R-HSA-9755511	KEAP1-NFE2L2 pathway	121						
						REAC:R-HSA-9711123	Cellular response to chemical stress	69	REAC:R-HSA-9711123	Cellular response to chemical stress	117	REAC:R-HSA-9711123	Cellular response to chemical stress	159						
						REAC:R-HSA-9759194	Nuclear events mediated by NFE2L2	99	REAC:R-HSA-9759194	Nuclear events mediated by NFE2L2	274	REAC:R-HSA-9759194	Nuclear events mediated by NFE2L2	138						
												REAC:R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	100						
						REAC:R-HSA-3371568	Attenuation phase	261				REAC:R-HSA-3371568	Attenuation phase	101						
												REAC:R-HSA-3371571	HSF1-dependent transactivation	111						
									REAC:R-HSA-9707616	Heme signaling	112									
									REAC:R-HSA-9707564	Cytoprotection by HMOX1	114									
			REAC:R-HSA-3371556	Cellular response to heat stress	179							REAC:R-HSA-3371556	Cellular response to heat stress	126						
						REAC:R-HSA-9708530	Regulation of BACH1 activity	132	REAC:R-HSA-9708530	Regulation of BACH1 activity	218	REAC:R-HSA-9708530	Regulation of BACH1 activity	135						
			REAC:R-HSA-3371511	HSF1 activation	168							REAC:R-HSA-3371511	HSF1 activation	137						
			REAC:R-HSA-3371453	Regulation of HSF1-mediated heat shock response	155															
						REAC:R-HSA-1234158	Regulation of gene expression by Hypoxia-inducible Factor	171												
						REAC:R-HSA-1234174	Cellular response to hypoxia	225												
															REAC:R-HSA-3299685	Detoxification of Reactive Oxygen Species	256			
REAC:R-HSA-446652	Interleukin-1 family signaling	21
						REAC:R-HSA-446652	Interleukin-1 family signaling	200				REAC:R-HSA-446652	Interleukin-1 family signaling	21						
															REAC:R-HSA-9008059	Interleukin-37 signaling	287			
REAC:R-HSA-212676	Dopamine Neurotransmitter Release Cycle	21
																		REAC:R-HSA-212676	Dopamine Neurotransmitter Release Cycle	21
REAC:R-HSA-9006931	Signaling by Nuclear Receptors	22
						REAC:R-HSA-9006931	Signaling by Nuclear Receptors	173	REAC:R-HSA-9006931	Signaling by Nuclear Receptors	22							REAC:R-HSA-9006931	Signaling by Nuclear Receptors	88
						REAC:R-HSA-8939211	ESR-mediated signaling	134	REAC:R-HSA-8939211	ESR-mediated signaling	43	REAC:R-HSA-8939211	ESR-mediated signaling	180	REAC:R-HSA-8939211	ESR-mediated signaling	295	REAC:R-HSA-8939211	ESR-mediated signaling	69
						REAC:R-HSA-9018519	Estrogen-dependent gene expression	152	REAC:R-HSA-9018519	Estrogen-dependent gene expression	71							REAC:R-HSA-9018519	Estrogen-dependent gene expression	49
						REAC:R-HSA-9009391	Extra-nuclear estrogen signaling	224	REAC:R-HSA-9009391	Extra-nuclear estrogen signaling	162	REAC:R-HSA-9009391	Extra-nuclear estrogen signaling	205	REAC:R-HSA-9009391	Extra-nuclear estrogen signaling	160			
						REAC:R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	174	REAC:R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	172	REAC:R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	162	REAC:R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	309			
REAC:R-HSA-73887	Death Receptor Signaling	22
									REAC:R-HSA-73887	Death Receptor Signaling	269	REAC:R-HSA-73887	Death Receptor Signaling	22				REAC:R-HSA-73887	Death Receptor Signaling	48
												REAC:R-HSA-75893	TNF signaling	25						
												REAC:R-HSA-5357956	TNFR1-induced NFkappaB signaling pathway	28						
												REAC:R-HSA-5357905	Regulation of TNFR1 signaling	30						
									REAC:R-HSA-193704	p75 NTR receptor-mediated signalling	220	REAC:R-HSA-193704	p75 NTR receptor-mediated signalling	108	REAC:R-HSA-193704	p75 NTR receptor-mediated signalling	297	REAC:R-HSA-193704	p75 NTR receptor-mediated signalling	31
									REAC:R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	291							REAC:R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	33
																		REAC:R-HSA-193697	p75NTR regulates axonogenesis	54
												REAC:R-HSA-5357786	TNFR1-induced proapoptotic signaling	71						
												REAC:R-HSA-69416	Dimerization of procaspase-8	75						
												REAC:R-HSA-3371378	Regulation by c-FLIP	76						
												REAC:R-HSA-5218900	CASP8 activity is inhibited	77						
												REAC:R-HSA-193639	p75NTR signals via NF-kB	84				REAC:R-HSA-193639	p75NTR signals via NF-kB	105
												REAC:R-HSA-209560	NF-kB is activated and signals survival	91				REAC:R-HSA-209560	NF-kB is activated and signals survival	93
												REAC:R-HSA-209543	p75NTR recruits signalling complexes	115	REAC:R-HSA-209543	p75NTR recruits signalling complexes	301	REAC:R-HSA-209543	p75NTR recruits signalling complexes	95
REAC:R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	22
												REAC:R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	178	REAC:R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	22			
REAC:R-HSA-210500	Glutamate Neurotransmitter Release Cycle	22
																		REAC:R-HSA-210500	Glutamate Neurotransmitter Release Cycle	22
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	23
												REAC:R-HSA-1280215	Cytokine Signaling in Immune system	23	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	182			
						REAC:R-HSA-449147	Signaling by Interleukins	221				REAC:R-HSA-449147	Signaling by Interleukins	27	REAC:R-HSA-449147	Signaling by Interleukins	143			
															REAC:R-HSA-912631	Regulation of signaling by CBL	34			
												REAC:R-HSA-448424	Interleukin-17 signaling	36						
															REAC:R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	38			
												REAC:R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	41						
												REAC:R-HSA-5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	66						
																		REAC:R-HSA-449836	Other interleukin signaling	76
						REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	167	REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	259	REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	99						
						REAC:R-HSA-9607240	FLT3 Signaling	256	REAC:R-HSA-9607240	FLT3 Signaling	292	REAC:R-HSA-9607240	FLT3 Signaling	193	REAC:R-HSA-9607240	FLT3 Signaling	99			
															REAC:R-HSA-451927	Interleukin-2 family signaling	115			
						REAC:R-HSA-1170546	Prolactin receptor signaling	146	REAC:R-HSA-1170546	Prolactin receptor signaling	280	REAC:R-HSA-1170546	Prolactin receptor signaling	119						
												REAC:R-HSA-5669034	TNFs bind their physiological receptors	120						
															REAC:R-HSA-912526	Interleukin receptor SHC signaling	149			
															REAC:R-HSA-9674555	Signaling by CSF3 (G-CSF)	209			
												REAC:R-HSA-6783783	Interleukin-10 signaling	218						
															REAC:R-HSA-9020558	Interleukin-2 signaling	241			
															REAC:R-HSA-8983432	Interleukin-15 signaling	253			
															REAC:R-HSA-982772	Growth hormone receptor signaling	294			
															REAC:R-HSA-1266695	Interleukin-7 signaling	303			
REAC:R-HSA-194315	Signaling by Rho GTPases	23
															REAC:R-HSA-194315	Signaling by Rho GTPases	23			
															REAC:R-HSA-9012999	RHO GTPase cycle	39			
															REAC:R-HSA-9013408	RHOG GTPase cycle	155	REAC:R-HSA-9013408	RHOG GTPase cycle	45
																		REAC:R-HSA-9013407	RHOH GTPase cycle	50
						REAC:R-HSA-5625970	RHO GTPases activate KTN1	103							REAC:R-HSA-5625970	RHO GTPases activate KTN1	104	REAC:R-HSA-5625970	RHO GTPases activate KTN1	84
															REAC:R-HSA-195258	RHO GTPase Effectors	95			
															REAC:R-HSA-9013149	RAC1 GTPase cycle	100			
															REAC:R-HSA-9013420	RHOU GTPase cycle	125			
												REAC:R-HSA-9013418	RHOBTB2 GTPase cycle	130						
												REAC:R-HSA-9706574	RHOBTB GTPase Cycle	144						
															REAC:R-HSA-9013404	RAC2 GTPase cycle	162			
															REAC:R-HSA-9013424	RHOV GTPase cycle	199			
															REAC:R-HSA-9013148	CDC42 GTPase cycle	203			
															REAC:R-HSA-9696270	RND2 GTPase cycle	218			
															REAC:R-HSA-9013409	RHOJ GTPase cycle	219			
															REAC:R-HSA-9013406	RHOQ GTPase cycle	227			
															REAC:R-HSA-9696273	RND1 GTPase cycle	271			
															REAC:R-HSA-9013423	RAC3 GTPase cycle	290			
															REAC:R-HSA-8980692	RHOA GTPase cycle	296			
															REAC:R-HSA-5668599	RHO GTPases Activate NADPH Oxidases	308			
REAC:R-HSA-4086398	Ca2+ pathway	24
																		REAC:R-HSA-4086398	Ca2+ pathway	24
REAC:R-HSA-8953897	Cellular responses to stimuli	26
			REAC:R-HSA-8953897	Cellular responses to stimuli	125	REAC:R-HSA-8953897	Cellular responses to stimuli	26	REAC:R-HSA-8953897	Cellular responses to stimuli	134	REAC:R-HSA-8953897	Cellular responses to stimuli	141						
REAC:R-HSA-9006936	Signaling by TGFB family members	26
						REAC:R-HSA-9006936	Signaling by TGFB family members	52	REAC:R-HSA-9006936	Signaling by TGFB family members	26				REAC:R-HSA-9006936	Signaling by TGFB family members	94			
						REAC:R-HSA-170834	Signaling by TGF-beta Receptor Complex	54	REAC:R-HSA-170834	Signaling by TGF-beta Receptor Complex	33				REAC:R-HSA-170834	Signaling by TGF-beta Receptor Complex	60			
						REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	220							REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	86			
															REAC:R-HSA-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	127			
						REAC:R-HSA-1502540	Signaling by Activin	148	REAC:R-HSA-1502540	Signaling by Activin	197									
															REAC:R-HSA-2173788	Downregulation of TGF-beta receptor signaling	223			
									REAC:R-HSA-201451	Signaling by BMP	237									
REAC:R-HSA-392499	Metabolism of proteins	26
			REAC:R-HSA-392499	Metabolism of proteins	173	REAC:R-HSA-392499	Metabolism of proteins	58	REAC:R-HSA-392499	Metabolism of proteins	217	REAC:R-HSA-392499	Metabolism of proteins	146				REAC:R-HSA-392499	Metabolism of proteins	26
			REAC:R-HSA-2990846	SUMOylation	89	REAC:R-HSA-2990846	SUMOylation	46	REAC:R-HSA-2990846	SUMOylation	28	REAC:R-HSA-2990846	SUMOylation	184						
																		REAC:R-HSA-977225	Amyloid fiber formation	28
			REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	87	REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	43	REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	34	REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	179						
			REAC:R-HSA-597592	Post-translational protein modification	105	REAC:R-HSA-597592	Post-translational protein modification	49	REAC:R-HSA-597592	Post-translational protein modification	183	REAC:R-HSA-597592	Post-translational protein modification	104				REAC:R-HSA-597592	Post-translational protein modification	37
			REAC:R-HSA-5688426	Deubiquitination	90	REAC:R-HSA-5688426	Deubiquitination	61	REAC:R-HSA-5688426	Deubiquitination	204	REAC:R-HSA-5688426	Deubiquitination	95						
			REAC:R-HSA-4090294	SUMOylation of intracellular receptors	164				REAC:R-HSA-4090294	SUMOylation of intracellular receptors	63									
						REAC:R-HSA-8951664	Neddylation	77				REAC:R-HSA-8951664	Neddylation	161						
			REAC:R-HSA-3899300	SUMOylation of transcription cofactors	165	REAC:R-HSA-3899300	SUMOylation of transcription cofactors	82	REAC:R-HSA-3899300	SUMOylation of transcription cofactors	82									
			REAC:R-HSA-5689880	Ub-specific processing proteases	92	REAC:R-HSA-5689880	Ub-specific processing proteases	83	REAC:R-HSA-5689880	Ub-specific processing proteases	267	REAC:R-HSA-5689880	Ub-specific processing proteases	133						
			REAC:R-HSA-4551638	SUMOylation of chromatin organization proteins	219	REAC:R-HSA-4551638	SUMOylation of chromatin organization proteins	91	REAC:R-HSA-4551638	SUMOylation of chromatin organization proteins	282									
